FCTH3,FCTH4,FCTH6,FCTH7,FCTH9,FCTH10,FCTH12,FCTH13,FCTH16,FCTH27,FCTH28,FCTH31,FCTH34,FCTH48,FCTH55,FCTH57,FCTH58,FCTH79,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Class
0,1,1,5,0,7,4,6,0,0,0,1,0,1,1,0,1,0,-2.8607,-2.9779,-2.9774,-17.954,-3.2237,-4.7605,-8.6675,-3.1325,0.5109,-10.352,-8.6761,-7.3939,-9.3485,-1.7928,-8.8,-4.8648,-7.6453,-15.547,-14.928,9.3507,30.756,30.932,1.3199,-10.169,-3.1262,1
0,1,1,4,0,7,4,6,0,0,0,1,0,0,1,0,1,0,-0.62627,-0.6466,-4.8814,-15.687,-7.1775,-1.9511,-11.002,-2.9372,-1.6439,-8.1664,-11.32,-5.0369,-9.6014,-9.7911,-6.1179,2.6063,-0.43579,-3.0541,-5.8091,-2.7615,12.807,24.038,14.255,-1.2365,-10.274,1
0,1,0,5,0,7,3,6,0,0,0,2,0,1,2,0,1,0,0.59455,0.96511,2.5612,-15.123,-1.0271,-7.3515,-8.6316,-6.6083,-6.4421,-3.9045,-8.1309,0.5641,-6.5111,-0.44024,-2.7439,0.53278,-4.3611,-7.4296,-9.3931,-11.726,-0.27525,11.344,14.784,9.6824,-2.9362,1
1,1,1,5,0,7,3,6,0,1,0,2,0,1,2,0,1,0,2.2431,4.4495,7.4985,-6.7293,1.5363,-16.682,-6.8917,-3.1239,-7.0683,2.8685,-7.4658,-1.8371,-7.8188,-1.358,-7.2537,-5.0586,-8.4471,-6.4684,-9.1228,-11.69,-7.1141,1.7336,10.078,15.319,5.781,1
1,1,0,6,0,7,3,6,0,1,0,2,1,1,1,0,1,0,-2.3956,5.0402,6.4406,-10.378,0.82997,-13.566,-11.164,-3.2264,-8.0582,-2.8982,-3.9237,-0.89488,-5.1979,-6.8169,-8.9545,-8.5713,-12.927,-10.53,-12.475,-13.989,-6.5034,9.1119,20.307,20.632,12.445,1
1,1,1,6,0,7,3,5,0,0,0,2,1,1,1,0,0,0,6.3315,-7.0969,-6.1777,-3.7492,-0.92206,-12.419,0.33698,-2.3208,-3.6866,-8.2715,-5.4859,-1.3999,-11.745,-1.4741,-8.9273,-4.6823,-2.3119,-3.5435,-3.4267,-4.0439,-5.6424,3.0523,1.358,4.4439,9.4557,1
1,2,1,7,0,7,0,0,0,1,0,2,1,1,1,0,1,0,4.09,-3.3442,-8.6779,-0.055834,-8.8707,-4.0397,-7.9001,-0.47329,-7.4299,-2.0254,-7.2853,-2.2113,-9.7457,-5.6074,-4.3949,-6.6152,-2.7817,-8.4043,-5.7802,-5.1864,-6.7059,-2.3603,1.9161,9.184,15.484,1
1,2,1,4,0,7,2,5,0,1,1,1,1,1,1,0,1,0,8.4169,-8.2517,-3.0856,-3.5811,-12.514,-2.7753,-5.6864,-3.4367,0.27155,-5.8821,-5.4661,-9.1817,-5.4481,-11.197,-7.0507,-3.8909,-0.31623,-2.9485,-3.4147,-5.7894,-4.809,-8.5853,-5.9969,4.8819,18.151,1
1,1,0,4,0,7,3,6,0,1,0,2,1,1,1,0,1,0,5.6475,-4.3791,-4.1187,-4.2468,-2.5924,-6.4163,-4.8364,-2.5346,-11.376,-5.5117,-6.0366,-4.2174,-9.3588,-4.1929,-8.0699,-4.58,-4.0547,-7.2813,-4.339,-9.2002,-3.4454,-7.9878,-3.933,8.1035,16.011,1
1,2,1,5,0,7,3,5,0,0,0,1,0,0,1,0,1,0,1.9004,-10.526,-1.0951,-8.0911,-4.7743,0.58786,-2.8454,-9.5437,-4.7504,-8.3581,-10.476,-4.2568,-9.5565,-10.317,-16.571,-4.2837,-13.243,-3.0669,-3.0253,4.0659,14.525,18.572,16.419,8.0665,0.14278,1
1,1,1,6,0,7,3,5,0,0,0,2,1,0,1,0,1,0,1.5478,-9.7105,1.325,-3.7464,-0.91761,-0.2713,-0.96819,-10.582,-3.981,-1.7911,-7.1882,-2.7783,-8.8311,-10.776,-12.438,-3.4623,-7.299,-2.3223,-8.4785,-8.8065,-2.0366,12.501,26.739,21.48,0.75702,1
1,1,1,6,0,7,2,4,0,0,0,2,1,1,2,0,1,0,-2.2555,-0.81179,-2.0677,-3.9157,-0.12456,-1.4064,-6.478,-5.0607,-4.2231,-1.4243,-10.223,-0.94674,-6.5585,-5.9716,-13.814,-8.6047,-9.5259,-7.5041,-4.0875,-6.7952,-1.939,10.508,20.047,22.341,6.9803,1
1,2,0,5,0,7,3,5,0,1,1,2,1,1,1,0,1,0,-0.68653,-10.246,1.702,-15.473,-4.8149,-4.6662,-5.9344,-9.3456,-1.3199,-9.0356,-10.624,-2.2157,-9.5861,-3.6027,-11.998,-1.4042,-10.861,-4.2349,-12.067,-11.397,-18.692,-1.8804,14.088,30.382,24.471,1
1,1,0,5,0,7,3,5,0,1,1,2,1,1,1,0,1,0,2.101,-6.3333,2.7247,-14.019,-4.9494,-15.78,-0.035342,-5.6641,-5.578,-8.4397,-11.614,-7.5606,-11.252,-5.8078,-12.127,-3.7563,-9.7372,-0.83017,-8.1069,-6.1656,-10.538,-9.0245,3.2742,21.217,31.879,1
