iter,step,fold,acc,prec,rec,f1score
0,2,0,80.576,70.224,80.576,74.591
1,2,0,79.856,69.474,79.856,73.857
2,2,0,80.576,69.864,80.576,74.55
3,2,0,84.173,82.506,84.173,82.574
4,2,0,84.892,83.647,84.892,83.467
5,2,0,84.173,81.528,84.173,81.349
6,2,0,81.295,74.66,81.295,76.709
7,2,0,81.295,79.168,81.295,78.665
8,2,0,80.576,78.22,80.576,78.675
9,2,0,83.453,82.033,83.453,81.584
10,2,0,84.173,82.305,84.173,82.389
11,2,0,84.892,83.09,84.892,82.594
12,2,0,84.173,82.4,84.173,81.889
13,2,0,84.892,82.935,84.892,83.061
14,2,0,82.734,80.311,82.734,80.788
15,2,0,86.331,85.91,86.331,85.021
16,2,0,85.612,84.64,85.612,83.56
17,2,0,89.209,89.34,89.209,88.046
18,2,0,87.77,87.87,87.77,86.332
19,2,0,89.928,89.753,89.928,89.455
20,2,0,89.928,89.915,89.928,89.617
21,2,0,89.928,89.656,89.928,89.269
22,2,0,92.086,92.121,92.086,91.7
23,2,0,89.928,90.127,89.928,89.449
24,2,0,90.647,90.485,90.647,90.161
25,2,0,89.928,89.766,89.928,89.441
26,2,0,90.647,90.577,90.647,90.307
27,2,0,92.806,92.755,92.806,92.663
28,2,0,93.525,93.528,93.525,93.378
29,2,0,89.928,89.988,89.928,89.726
30,2,0,92.086,92.182,92.086,91.838
31,2,0,89.928,89.789,89.928,89.779
32,2,0,91.367,91.369,91.367,91.248
33,2,0,92.086,91.932,92.086,91.866
34,2,0,92.086,92.292,92.086,91.944
35,2,0,91.367,91.569,91.367,91.234
36,2,0,91.367,91.219,91.367,91.213
37,2,0,89.928,89.898,89.928,89.796
38,2,0,87.05,87.382,87.05,86.761
39,2,0,92.086,92.107,92.086,91.949
40,2,0,89.928,90.045,89.928,89.799
41,2,0,89.928,89.879,89.928,89.667
42,2,0,92.086,92.063,92.086,91.84
43,2,0,91.367,91.865,91.367,91.217
44,2,0,91.367,91.663,91.367,91.107
45,2,0,92.806,92.963,92.806,92.521
46,2,0,89.928,90.041,89.928,89.65
47,2,0,91.367,91.737,91.367,91.08
48,2,0,92.806,92.963,92.806,92.521
49,2,0,91.367,91.537,91.367,91.129
50,2,0,90.647,90.791,90.647,90.424
51,2,0,90.647,90.911,90.647,90.274
52,2,0,92.086,92.309,92.086,91.836
53,2,0,90.647,90.911,90.647,90.274
54,2,0,90.647,90.577,90.647,90.307
55,2,0,92.806,92.771,92.806,92.224
56,2,0,92.806,92.771,92.806,92.224
57,2,0,91.367,91.437,91.367,91.122
58,2,0,92.086,92.176,92.086,91.697
59,2,0,93.525,93.573,93.525,93.252
60,2,0,92.086,92.137,92.086,91.832
61,2,0,92.806,92.854,92.806,92.533
62,2,0,92.806,92.854,92.806,92.533
63,2,0,93.525,93.523,93.525,93.244
