iter,step,fold,acc,prec,rec,f1score
0,2,0,80.576,70.224,80.576,74.591
1,2,0,82.014,84.497,82.014,78.312
2,2,0,83.453,85.741,83.453,79.684
3,2,0,84.892,84.256,84.892,83.755
4,2,0,86.331,86.897,86.331,84.666
5,2,0,85.612,85.372,85.612,82.985
6,2,0,84.892,84.747,84.892,82.301
7,2,0,87.05,87.122,87.05,85.269
8,2,0,84.173,85.942,84.173,82.041
9,2,0,84.173,86.144,84.173,81.567
10,2,0,82.734,82.823,82.734,79.806
11,2,0,84.892,84.355,84.892,81.759
12,2,0,85.612,87.399,85.612,82.315
13,2,0,87.05,87.103,87.05,84.885
14,2,0,86.331,86.282,86.331,84.156
15,2,0,89.209,89.115,89.209,87.343
16,2,0,87.05,87.205,87.05,85.641
17,2,0,89.209,88.845,89.209,88.335
18,2,0,90.647,90.37,90.647,89.974
19,2,0,87.77,87.356,87.77,87.185
20,2,0,89.928,89.442,89.928,89.087
21,2,0,87.77,87.491,87.77,86.94
22,2,0,87.05,87.276,87.05,85.958
23,2,0,89.209,88.89,89.209,88.723
24,2,0,89.209,89.134,89.209,88.693
25,2,0,90.647,90.209,90.647,90.138
26,2,0,89.928,89.803,89.928,89.748
27,2,0,89.928,89.793,89.928,89.598
28,2,0,90.647,90.56,90.647,90.428
29,2,0,92.086,91.855,92.086,91.858
30,2,0,89.928,89.843,89.928,89.58
31,2,0,89.928,90.012,89.928,89.916
32,2,0,92.806,92.807,92.806,92.684
33,2,0,92.086,92.223,92.086,91.919
34,2,0,90.647,90.511,90.647,90.437
35,2,0,92.086,91.96,92.086,91.847
36,2,0,91.367,91.433,91.367,90.997
37,2,0,89.209,89.121,89.209,88.729
38,2,0,90.647,90.343,90.647,90.341
39,2,0,89.928,89.669,89.928,89.703
40,2,0,91.367,91.164,91.367,91.041
41,2,0,89.209,89.176,89.209,88.789
42,2,0,92.086,92.133,92.086,91.706
43,2,0,93.525,93.898,93.525,93.107
44,2,0,90.647,90.341,90.647,90.328
45,2,0,92.086,91.969,92.086,91.827
46,2,0,89.928,89.793,89.928,89.598
47,2,0,88.489,88.222,88.489,88.323
48,2,0,89.209,89.135,89.209,89.007
49,2,0,89.928,89.664,89.928,89.572
50,2,0,89.209,89.201,89.209,88.908
51,2,0,88.489,89.766,88.489,88.187
52,2,0,91.367,91.702,91.367,90.975
53,2,0,91.367,92.172,91.367,90.993
54,2,0,90.647,91.111,90.647,90.257
55,2,0,90.647,90.904,90.647,90.416
56,2,0,90.647,90.849,90.647,90.444
57,2,0,89.209,89.16,89.209,89.009
58,2,0,89.928,89.664,89.928,89.572
59,2,0,89.928,89.798,89.928,89.697
60,2,0,90.647,90.47,90.647,90.324
61,2,0,92.086,92.307,92.086,91.689
62,2,0,90.647,90.57,90.647,90.281
63,2,0,89.209,89.094,89.209,88.969
64,2,0,89.928,90.016,89.928,89.695
65,2,0,92.086,92.021,92.086,91.936
66,2,0,89.928,90.016,89.928,89.695
67,2,0,89.928,90.408,89.928,89.739
68,2,0,89.928,90.299,89.928,89.557
69,2,0,92.806,93.203,92.806,92.543
70,2,0,89.209,89.16,89.209,89.009
71,2,0,89.209,89.157,89.209,89.102
72,2,0,90.647,91.099,90.647,90.535
73,2,0,89.209,89.158,89.209,88.985
74,2,0,90.647,90.564,90.647,90.406
75,2,0,89.209,89.25,89.209,88.952
76,2,0,87.05,87.183,87.05,86.789
77,2,0,87.77,87.985,87.77,87.481
78,2,0,88.489,88.486,88.489,88.29
79,2,0,92.806,92.859,92.806,92.646
80,2,0,89.209,89.225,89.209,88.981
81,2,0,89.928,89.739,89.928,89.749
82,2,0,90.647,90.802,90.647,90.402
83,2,0,91.367,91.457,91.367,91.133
84,2,0,92.086,92.336,92.086,91.921
85,2,0,93.525,93.791,93.525,93.362
86,2,0,91.367,91.463,91.367,91.119
87,2,0,92.086,92.197,92.086,91.932
88,2,0,91.367,91.357,91.367,91.214
89,2,0,94.245,94.532,94.245,94.074
90,2,0,91.367,91.474,91.367,91.231
91,2,0,92.086,92.48,92.086,91.843
92,2,0,91.367,91.821,91.367,91.134
93,2,0,90.647,91.103,90.647,90.436
94,2,0,89.209,89.519,89.209,88.957
95,2,0,89.209,89.519,89.209,88.957
96,2,0,92.086,92.137,92.086,91.832
97,2,0,92.086,92.199,92.086,91.819
98,2,0,92.806,92.854,92.806,92.533
99,2,0,92.086,92.471,92.086,91.848
100,2,0,90.647,91.176,90.647,90.422
0,2,1,87.77,81.83,87.77,84.526
1,2,1,87.77,88.584,87.77,85.422
2,2,1,89.928,90.54,89.928,88.751
3,2,1,89.928,90.534,89.928,89.203
4,2,1,88.489,89.351,88.489,87.813
5,2,1,92.086,92.472,92.086,91.604
6,2,1,92.806,93.113,92.806,92.308
7,2,1,92.086,91.822,92.086,91.632
8,2,1,93.525,93.22,93.525,93.051
9,2,1,90.647,91.344,90.647,90.186
10,2,1,90.647,91.182,90.647,90.16
11,2,1,92.806,93.139,92.806,92.0
12,2,1,92.086,92.454,92.086,91.595
13,2,1,93.525,93.736,93.525,93.237
14,2,1,92.806,93.066,92.806,92.522
15,2,1,94.245,94.441,94.245,93.952
16,2,1,94.245,94.441,94.245,93.952
17,2,1,92.806,93.12,92.806,92.555
18,2,1,94.245,94.538,94.245,93.953
19,2,1,93.525,93.348,93.525,93.262
20,2,1,93.525,93.35,93.525,93.255
21,2,1,95.683,95.694,95.683,95.559
22,2,1,94.964,95.11,94.964,94.745
23,2,1,96.403,96.465,96.403,96.412
24,2,1,95.683,96.024,95.683,95.73
25,2,1,96.403,96.435,96.403,96.413
26,2,1,95.683,95.926,95.683,95.666
27,2,1,93.525,94.496,93.525,93.589
28,2,1,93.525,94.181,93.525,93.486
29,2,1,94.964,95.311,94.964,95.006
30,2,1,96.403,96.544,96.403,96.417
31,2,1,95.683,96.138,95.683,95.686
32,2,1,94.245,94.736,94.245,94.268
33,2,1,94.245,94.814,94.245,94.159
34,2,1,95.683,95.986,95.683,95.558
35,2,1,96.403,96.724,96.403,96.43
36,2,1,96.403,96.724,96.403,96.386
37,2,1,97.842,97.935,97.842,97.86
38,2,1,96.403,96.628,96.403,96.434
39,2,1,96.403,96.678,96.403,96.415
40,2,1,94.245,94.943,94.245,94.371
41,2,1,95.683,95.974,95.683,95.748
42,2,1,94.245,94.943,94.245,94.371
43,2,1,94.964,95.418,94.964,94.998
44,2,1,94.964,95.418,94.964,94.998
45,2,1,95.683,96.01,95.683,95.722
46,2,1,95.683,95.904,95.683,95.73
47,2,1,96.403,96.724,96.403,96.43
48,2,1,95.683,96.138,95.683,95.725
49,2,1,93.525,94.199,93.525,93.678
50,2,1,95.683,96.07,95.683,95.698
51,2,1,95.683,96.138,95.683,95.725
52,2,1,94.964,95.349,94.964,95.022
53,2,1,94.964,95.418,94.964,94.998
54,2,1,93.525,94.199,93.525,93.678
55,2,1,95.683,96.005,95.683,95.708
56,2,1,94.964,95.356,94.964,95.037
57,2,1,95.683,96.138,95.683,95.725
58,2,1,96.403,96.563,96.403,96.433
59,2,1,94.964,95.572,94.964,95.02
60,2,1,95.683,96.138,95.683,95.725
61,2,1,95.683,95.945,95.683,95.727
62,2,1,95.683,95.945,95.683,95.727
63,2,1,96.403,96.724,96.403,96.43
64,2,1,95.683,95.945,95.683,95.727
65,2,1,94.245,95.025,94.245,94.317
66,2,1,95.683,96.138,95.683,95.725
67,2,1,93.525,94.22,93.525,93.615
68,2,1,94.964,95.349,94.964,95.022
69,2,1,93.525,94.14,93.525,93.59
70,2,1,94.245,94.775,94.245,94.318
71,2,1,94.964,95.247,94.964,94.83
72,2,1,95.683,96.138,95.683,95.725
73,2,1,94.964,95.572,94.964,95.02
74,2,1,95.683,95.945,95.683,95.727
75,2,1,97.122,97.204,97.122,97.141
76,2,1,94.964,95.38,94.964,94.947
77,2,1,95.683,96.138,95.683,95.725
78,2,1,94.245,95.025,94.245,94.317
79,2,1,94.964,95.38,94.964,94.947
80,2,1,94.245,94.803,94.245,94.243
81,2,1,94.245,95.025,94.245,94.317
82,2,1,95.683,96.138,95.683,95.725
83,2,1,92.806,93.985,92.806,92.91
84,2,1,94.245,95.025,94.245,94.317
85,2,1,93.525,94.246,93.525,93.539
86,2,1,93.525,94.16,93.525,93.599
87,2,1,93.525,93.978,93.525,93.529
88,2,1,94.245,94.725,94.245,94.302
89,2,1,94.964,95.572,94.964,95.02
90,2,1,95.683,96.138,95.683,95.725
91,2,1,94.964,95.38,94.964,94.947
92,2,1,94.964,95.572,94.964,95.02
93,2,1,94.964,95.572,94.964,95.02
94,2,1,94.964,95.572,94.964,95.02
95,2,1,94.964,95.572,94.964,95.02
96,2,1,94.245,95.025,94.245,94.317
97,2,1,94.245,95.025,94.245,94.317
98,2,1,94.245,95.025,94.245,94.317
99,2,1,94.245,95.025,94.245,94.317
100,2,1,94.964,95.572,94.964,95.02
0,2,2,80.576,83.573,80.576,77.509
1,2,2,85.612,86.865,85.612,82.367
2,2,2,85.612,86.915,85.612,83.133
3,2,2,88.489,89.402,88.489,87.458
4,2,2,87.77,88.635,87.77,86.762
