iter,step,fold,acc,prec,rec,f1score
0,2,0,80.576,70.224,80.576,74.591
1,2,0,79.856,69.474,79.856,73.857
2,2,0,81.295,70.424,81.295,75.18
3,2,0,79.856,69.775,79.856,73.93
4,2,0,79.137,69.009,79.137,73.188
5,2,0,79.137,69.332,79.137,73.263
6,2,0,80.576,69.946,80.576,74.521
7,2,0,77.698,73.96,77.698,73.229
8,2,0,78.417,73.992,78.417,73.917
9,2,0,79.856,68.755,79.856,73.732
10,2,0,79.856,68.755,79.856,73.732
11,2,0,79.856,68.611,79.856,73.697
12,2,0,79.856,69.145,79.856,73.831
13,2,0,80.576,69.638,80.576,74.489
14,2,0,79.137,68.367,79.137,73.143
15,2,0,81.295,84.752,81.295,76.157
16,2,0,81.295,77.763,81.295,76.31
17,2,0,81.295,80.595,81.295,77.22
18,2,0,80.576,75.234,80.576,75.888
19,2,0,79.856,83.458,79.856,74.801
20,2,0,79.856,78.942,79.856,75.829
21,2,0,79.137,83.25,79.137,74.196
22,2,0,79.856,76.936,79.856,75.064
23,2,0,78.417,73.992,78.417,73.917
24,2,0,79.137,76.459,79.137,74.392
25,2,0,79.856,77.292,79.856,76.01
26,2,0,79.856,74.959,79.856,75.272
27,2,0,80.576,78.52,80.576,77.478
28,2,0,81.295,77.622,81.295,77.562
29,2,0,81.295,78.291,81.295,77.361
30,2,0,83.453,81.501,83.453,80.064
31,2,0,82.734,82.707,82.734,79.259
32,2,0,83.453,86.304,83.453,80.458
33,2,0,84.173,82.566,84.173,81.884
34,2,0,83.453,82.012,83.453,81.192
35,2,0,84.892,84.02,84.892,83.762
36,2,0,84.173,82.857,84.173,82.822
37,2,0,83.453,82.164,83.453,82.047
38,2,0,82.014,80.24,82.014,80.414
39,2,0,84.173,83.443,84.173,82.21
40,2,0,84.892,84.368,84.892,83.287
41,2,0,86.331,85.704,86.331,85.344
42,2,0,84.892,84.072,84.892,82.881
43,2,0,85.612,84.829,85.612,84.371
44,2,0,85.612,85.227,85.612,84.316
45,2,0,84.892,85.131,84.892,83.217
46,2,0,87.05,86.916,87.05,86.468
47,2,0,85.612,85.785,85.612,83.897
48,2,0,87.77,87.942,87.77,86.649
49,2,0,84.892,86.429,84.892,83.177
50,2,0,86.331,87.722,86.331,84.562
51,2,0,85.612,85.798,85.612,83.905
52,2,0,86.331,87.683,86.331,84.548
53,2,0,87.05,88.262,87.05,85.624
54,2,0,84.892,85.131,84.892,83.217
55,2,0,84.892,85.227,84.892,83.577
56,2,0,86.331,85.861,86.331,85.005
57,2,0,83.453,82.42,83.453,82.353
58,2,0,83.453,82.412,83.453,81.965
59,2,0,84.892,83.779,84.892,83.75
60,2,0,83.453,82.536,83.453,82.674
61,2,0,84.892,83.542,84.892,83.412
62,2,0,83.453,81.949,83.453,82.112
63,2,0,85.612,84.221,85.612,83.091
