iter,step,fold,acc,prec,rec,f1score
0,2,0,48.921,39.722,48.921,41.276
1,2,0,51.079,41.108,51.079,42.331
2,2,0,50.36,40.276,50.36,41.845
3,2,0,51.799,42.243,51.799,43.365
4,2,0,52.518,43.674,52.518,43.824
5,2,0,52.518,44.239,52.518,42.598
6,2,0,53.237,47.131,53.237,42.345
7,2,0,52.518,45.588,52.518,41.132
8,2,0,52.518,45.926,52.518,40.323
9,2,0,53.237,50.006,53.237,39.858
10,2,0,53.237,50.006,53.237,39.858
11,2,0,54.676,66.478,54.676,42.742
12,2,0,53.237,50.006,53.237,39.858
13,2,0,52.518,52.551,52.518,38.383
14,2,0,52.518,52.551,52.518,38.383
15,2,0,51.799,49.422,51.799,36.937
16,2,0,51.799,49.422,51.799,36.937
17,2,0,52.518,58.356,52.518,40.563
18,2,0,56.115,64.667,56.115,46.746
19,2,0,55.396,61.517,55.396,47.433
20,2,0,55.396,61.517,55.396,47.433
21,2,0,56.115,62.206,56.115,49.383
22,2,0,56.115,62.206,56.115,49.383
23,2,0,54.676,60.449,54.676,46.377
24,2,0,53.957,49.912,53.957,46.622
25,2,0,56.835,52.462,56.835,50.801
26,2,0,56.115,52.869,56.115,51.601
27,2,0,56.115,52.828,56.115,52.014
28,2,0,55.396,51.952,55.396,50.929
29,2,0,55.396,51.952,55.396,50.929
30,2,0,55.396,51.952,55.396,50.929
31,2,0,56.115,52.373,56.115,51.904
32,2,0,55.396,51.15,55.396,51.365
33,2,0,55.396,51.15,55.396,51.365
34,2,0,55.396,51.15,55.396,51.365
35,2,0,54.676,50.605,54.676,50.392
36,2,0,55.396,51.481,55.396,51.333
37,2,0,56.115,52.325,56.115,52.258
38,2,0,56.115,52.325,56.115,52.258
39,2,0,56.115,52.325,56.115,52.258
40,2,0,57.554,53.64,57.554,54.084
41,2,0,58.273,53.865,58.273,53.907
42,2,0,56.835,52.181,56.835,52.418
43,2,0,56.115,51.301,56.115,51.835
44,2,0,56.115,51.301,56.115,51.835
45,2,0,56.835,51.771,56.835,52.741
46,2,0,56.835,51.771,56.835,52.741
47,2,0,56.835,51.771,56.835,52.741
48,2,0,56.835,51.771,56.835,52.741
49,2,0,56.835,51.815,56.835,52.434
50,2,0,56.835,52.181,56.835,52.418
51,2,0,56.115,53.208,56.115,52.734
52,2,0,56.115,52.852,56.115,52.75
53,2,0,58.273,54.026,58.273,54.633
54,2,0,56.835,52.489,56.835,53.183
55,2,0,57.554,53.235,57.554,54.031
56,2,0,57.554,53.235,57.554,54.031
57,2,0,57.554,53.235,57.554,54.031
58,2,0,57.554,53.235,57.554,54.031
59,2,0,56.835,52.7,56.835,53.417
60,2,0,57.554,53.496,57.554,54.023
61,2,0,57.554,53.425,57.554,54.249
62,2,0,57.554,53.425,57.554,54.249
63,2,0,57.554,53.425,57.554,54.249
64,2,0,56.835,52.644,56.835,53.835
65,2,0,56.835,52.644,56.835,53.835
66,2,0,56.835,52.644,56.835,53.835
67,2,0,56.835,52.644,56.835,53.835
68,2,0,56.835,52.644,56.835,53.835
69,2,0,56.835,52.644,56.835,53.835
70,2,0,56.835,52.644,56.835,53.835
71,2,0,56.835,52.644,56.835,53.835
72,2,0,56.115,51.929,56.115,53.216
73,2,0,56.115,51.929,56.115,53.216
74,2,0,56.835,52.644,56.835,53.835
75,2,0,58.273,54.136,58.273,55.07
76,2,0,58.273,54.136,58.273,55.07
77,2,0,58.273,54.136,58.273,55.07
78,2,0,62.59,59.158,62.59,58.548
79,2,0,62.59,59.158,62.59,58.548
80,2,0,61.871,58.531,61.871,57.79
81,2,0,61.871,58.338,61.871,57.781
82,2,0,61.871,53.938,61.871,56.933
83,2,0,61.871,53.938,61.871,56.933
84,2,0,61.871,53.744,61.871,56.926
85,2,0,60.432,52.833,60.432,55.907
86,2,0,61.871,54.271,61.871,57.153
87,2,0,62.59,58.028,62.59,58.572
88,2,0,62.59,58.028,62.59,58.572
89,2,0,63.309,59.421,63.309,59.017
90,2,0,63.309,59.421,63.309,59.017
91,2,0,63.309,59.421,63.309,59.017
92,2,0,63.309,59.381,63.309,59.162
93,2,0,63.309,59.381,63.309,59.162
94,2,0,61.871,57.308,61.871,58.086
95,2,0,61.871,57.308,61.871,58.086
96,2,0,61.871,57.308,61.871,58.086
97,2,0,61.871,57.218,61.871,58.098
98,2,0,61.871,57.218,61.871,58.098
99,2,0,61.871,57.218,61.871,58.098
100,2,0,62.59,59.353,62.59,59.768
0,2,1,52.518,46.372,52.518,47.892
1,2,1,52.518,46.372,52.518,47.892
2,2,1,54.676,47.88,54.676,48.098
3,2,1,54.676,47.493,54.676,48.163
4,2,1,53.957,46.285,53.957,47.106
5,2,1,55.396,48.062,55.396,48.11
6,2,1,55.396,48.062,55.396,48.11
7,2,1,57.554,50.833,57.554,44.818
8,2,1,55.396,49.304,55.396,50.542
9,2,1,55.396,49.304,55.396,50.542
10,2,1,56.115,50.071,56.115,51.094
11,2,1,56.115,50.238,56.115,51.481
12,2,1,56.115,50.071,56.115,51.094
13,2,1,56.115,50.071,56.115,51.094
14,2,1,56.835,51.007,56.835,52.04
15,2,1,56.835,51.007,56.835,52.04
16,2,1,56.835,51.007,56.835,52.04
17,2,1,56.835,51.007,56.835,52.04
18,2,1,58.993,55.074,58.993,48.423
19,2,1,58.993,55.074,58.993,48.423
20,2,1,58.993,55.074,58.993,48.423
21,2,1,58.993,55.074,58.993,48.423
22,2,1,59.712,56.667,59.712,49.69
23,2,1,58.993,55.074,58.993,48.423
24,2,1,58.993,57.266,58.993,48.345
25,2,1,58.993,56.229,58.993,49.146
26,2,1,58.993,56.229,58.993,49.146
27,2,1,58.993,55.05,58.993,50.565
28,2,1,58.993,55.05,58.993,50.565
29,2,1,58.993,55.05,58.993,50.565
30,2,1,58.273,53.486,58.273,50.059
31,2,1,58.273,53.486,58.273,50.059
32,2,1,58.273,53.486,58.273,50.059
33,2,1,58.273,53.486,58.273,50.059
34,2,1,58.273,54.597,58.273,50.009
35,2,1,58.273,54.597,58.273,50.009
36,2,1,58.273,54.597,58.273,50.009
37,2,1,58.993,56.358,58.993,50.519
38,2,1,60.432,57.851,60.432,53.368
39,2,1,60.432,57.851,60.432,53.368
40,2,1,59.712,56.002,59.712,53.332
41,2,1,59.712,56.002,59.712,53.332
42,2,1,59.712,56.002,59.712,53.332
43,2,1,59.712,56.002,59.712,53.332
44,2,1,58.993,55.023,58.993,52.281
45,2,1,58.993,56.182,58.993,52.458
46,2,1,58.993,56.182,58.993,52.458
47,2,1,59.712,57.662,59.712,53.006
48,2,1,59.712,57.662,59.712,53.006
49,2,1,58.993,56.182,58.993,52.458
50,2,1,59.712,59.144,59.712,53.974
51,2,1,59.712,59.144,59.712,53.974
52,2,1,64.748,65.327,64.748,61.188
53,2,1,66.187,69.419,66.187,62.855
54,2,1,66.187,69.419,66.187,62.855
55,2,1,66.906,70.093,66.906,63.729
56,2,1,66.906,70.093,66.906,63.729
57,2,1,66.906,69.784,66.906,63.96
58,2,1,67.626,70.449,67.626,64.804
59,2,1,67.626,70.449,67.626,64.804
60,2,1,67.626,70.449,67.626,64.804
61,2,1,68.345,71.103,68.345,65.636
62,2,1,67.626,70.202,67.626,64.997
63,2,1,67.626,70.202,67.626,64.997
64,2,1,66.906,66.302,66.906,64.294
65,2,1,66.906,66.302,66.906,64.294
66,2,1,66.906,66.302,66.906,64.294
67,2,1,66.906,66.302,66.906,64.294
68,2,1,66.906,66.302,66.906,64.294
69,2,1,66.906,66.302,66.906,64.294
70,2,1,65.468,64.579,65.468,63.026
71,2,1,66.187,65.424,66.187,63.659
72,2,1,66.906,66.111,66.906,64.485
73,2,1,66.906,66.111,66.906,64.485
74,2,1,66.187,61.871,66.187,63.048
75,2,1,66.187,61.871,66.187,63.048
76,2,1,66.187,61.871,66.187,63.048
77,2,1,66.187,61.871,66.187,63.048
78,2,1,66.187,61.871,66.187,63.048
79,2,1,66.187,61.871,66.187,63.048
80,2,1,66.187,61.871,66.187,63.048
81,2,1,65.468,61.175,65.468,62.226
82,2,1,65.468,61.175,65.468,62.226
83,2,1,64.748,60.151,64.748,61.608
84,2,1,64.748,60.151,64.748,61.608
85,2,1,63.309,59.757,63.309,60.795
86,2,1,63.309,59.586,63.309,60.811
87,2,1,62.59,58.84,62.59,59.988
88,2,1,61.871,58.084,61.871,59.156
89,2,1,61.871,58.084,61.871,59.156
90,2,1,61.871,58.084,61.871,59.156
91,2,1,61.871,58.084,61.871,59.156
92,2,1,61.871,58.084,61.871,59.156
93,2,1,62.59,58.46,62.59,59.756
94,2,1,63.309,59.198,63.309,60.576
95,2,1,63.309,59.198,63.309,60.576
96,2,1,63.309,59.198,63.309,60.576
97,2,1,63.309,59.198,63.309,60.576
98,2,1,63.309,59.198,63.309,60.576
99,2,1,63.309,59.198,63.309,60.576
100,2,1,63.309,59.198,63.309,60.576
0,2,2,58.273,52.603,58.273,53.689
1,2,2,55.396,50.517,55.396,48.834
2,2,2,56.115,60.396,56.115,43.999
3,2,2,55.396,58.931,55.396,42.619
4,2,2,56.115,66.592,56.115,43.044
5,2,2,46.763,44.142,46.763,42.409
6,2,2,46.763,44.142,46.763,42.409
7,2,2,45.324,40.281,45.324,39.433
8,2,2,47.482,45.159,47.482,42.931
9,2,2,51.079,50.643,51.079,48.329
10,2,2,53.237,53.145,53.237,51.666
11,2,2,53.237,53.167,53.237,51.981
12,2,2,51.079,50.647,51.079,49.849
13,2,2,51.079,50.863,51.079,49.81
14,2,2,48.921,48.673,48.921,48.237
15,2,2,47.482,46.458,47.482,45.824
16,2,2,46.763,45.942,46.763,45.561
17,2,2,48.201,47.426,48.201,46.759
18,2,2,53.957,50.756,53.957,50.775
19,2,2,56.115,53.126,56.115,52.438
20,2,2,57.554,54.895,57.554,53.955
21,2,2,57.554,54.895,57.554,53.955
22,2,2,57.554,54.963,57.554,53.584
23,2,2,58.273,56.81,58.273,54.752
24,2,2,57.554,55.911,57.554,53.774
25,2,2,55.396,53.436,55.396,52.027
26,2,2,54.676,52.488,54.676,51.053
27,2,2,53.957,51.42,53.957,49.597
28,2,2,53.237,50.853,53.237,48.509
29,2,2,55.396,54.059,55.396,51.045
30,2,2,56.115,55.238,56.115,51.596
31,2,2,55.396,54.152,55.396,50.526
32,2,2,56.115,55.439,56.115,51.066
33,2,2,54.676,52.961,54.676,50.494
34,2,2,54.676,52.961,54.676,50.494
35,2,2,53.237,50.965,53.237,49.392
36,2,2,54.676,52.986,54.676,50.406
37,2,2,54.676,52.986,54.676,50.406
38,2,2,54.676,52.986,54.676,50.406
39,2,2,53.957,51.892,53.957,49.359
40,2,2,53.957,51.892,53.957,49.359
41,2,2,53.957,51.829,53.957,48.82
42,2,2,55.396,54.322,55.396,49.876
43,2,2,54.676,54.133,54.676,49.827
44,2,2,55.396,54.309,55.396,50.061
45,2,2,53.957,51.346,53.957,48.673
46,2,2,53.957,51.346,53.957,48.673
47,2,2,55.396,53.57,55.396,51.304
48,2,2,56.115,54.558,56.115,52.317
49,2,2,56.115,54.558,56.115,52.317
50,2,2,57.554,56.245,57.554,54.022
51,2,2,57.554,56.245,57.554,54.022
52,2,2,57.554,56.245,57.554,54.022
53,2,2,57.554,56.245,57.554,54.022
54,2,2,57.554,56.245,57.554,54.022
55,2,2,57.554,56.245,57.554,54.022
56,2,2,57.554,55.93,57.554,53.813
57,2,2,55.396,52.116,55.396,50.77
58,2,2,55.396,52.116,55.396,50.77
59,2,2,55.396,52.116,55.396,50.77
60,2,2,55.396,52.577,55.396,50.74
61,2,2,56.115,53.439,56.115,52.103
62,2,2,56.835,54.295,56.835,53.039
63,2,2,56.835,54.295,56.835,53.039
64,2,2,56.835,54.295,56.835,53.039
65,2,2,56.835,54.295,56.835,53.039
66,2,2,58.273,55.103,58.273,53.542
67,2,2,58.273,55.103,58.273,53.542
68,2,2,58.273,55.103,58.273,53.542
69,2,2,58.273,55.103,58.273,53.542
70,2,2,57.554,54.059,57.554,52.96
71,2,2,58.273,55.162,58.273,54.101
72,2,2,58.273,55.162,58.273,54.101
73,2,2,58.273,55.162,58.273,54.101
74,2,2,58.993,56.193,58.993,54.692
75,2,2,58.993,56.193,58.993,54.692
76,2,2,58.993,56.193,58.993,54.692
77,2,2,58.993,56.193,58.993,54.692
78,2,2,58.993,56.193,58.993,54.692
79,2,2,58.993,56.193,58.993,54.692
80,2,2,58.993,56.193,58.993,54.692
81,2,2,58.273,54.696,58.273,54.109
82,2,2,58.273,54.696,58.273,54.109
83,2,2,58.273,54.696,58.273,54.109
84,2,2,58.273,54.696,58.273,54.109
85,2,2,58.273,54.696,58.273,54.109
86,2,2,58.273,54.572,58.273,54.432
87,2,2,58.273,54.572,58.273,54.432
88,2,2,58.273,54.572,58.273,54.432
89,2,2,58.273,54.572,58.273,54.432
90,2,2,57.554,53.692,57.554,53.839
91,2,2,57.554,53.692,57.554,53.839
92,2,2,57.554,53.823,57.554,54.616
93,2,2,57.554,53.874,57.554,54.378
94,2,2,57.554,53.874,57.554,54.378
95,2,2,56.835,54.387,56.835,54.137
96,2,2,56.835,54.387,56.835,54.137
97,2,2,56.835,54.387,56.835,54.137
98,2,2,56.835,54.387,56.835,54.137
99,2,2,56.115,53.59,56.115,53.248
100,2,2,55.396,52.771,55.396,52.345
0,5,0,48.921,39.722,48.921,41.276
1,5,0,46.763,39.065,46.763,42.188
2,5,0,44.604,36.671,44.604,39.796
3,5,0,48.201,39.292,48.201,41.697
4,5,0,48.201,39.414,48.201,42.563
5,5,0,53.957,45.214,53.957,45.889
6,5,0,52.518,42.445,52.518,42.036
7,5,0,52.518,42.445,52.518,42.036
8,5,0,48.921,42.206,48.921,42.59
9,5,0,53.237,45.417,53.237,46.576
10,5,0,51.799,47.827,51.799,47.936
11,5,0,52.518,48.346,52.518,48.539
12,5,0,51.079,45.871,51.079,46.47
13,5,0,48.921,44.515,48.921,45.292
14,5,0,48.921,44.515,48.921,45.292
15,5,0,54.676,50.127,54.676,51.685
16,5,0,56.835,52.016,56.835,53.242
17,5,0,58.273,56.783,58.273,54.466
18,5,0,58.273,56.844,58.273,54.413
19,5,0,59.712,65.08,59.712,55.474
20,5,0,61.151,66.637,61.151,56.705
21,5,0,61.871,67.269,61.871,57.466
22,5,0,58.273,53.838,58.273,54.275
23,5,0,57.554,53.11,57.554,53.426
24,5,0,58.993,54.807,58.993,54.615
25,5,0,58.993,54.807,58.993,54.615
26,5,0,58.273,53.838,58.273,54.275
27,5,0,58.273,53.838,58.273,54.275
28,5,0,61.871,60.602,61.871,57.631
29,5,0,61.871,60.602,61.871,57.631
30,5,0,60.432,56.147,60.432,57.42
31,5,0,60.432,56.348,60.432,57.431
32,5,0,59.712,55.582,59.712,56.786
33,5,0,61.151,56.723,61.151,58.289
34,5,0,60.432,57.125,60.432,58.075
