iter,step,fold,acc,prec,rec,f1score
0,2,0,48.921,39.722,48.921,41.276
1,2,0,48.921,39.281,48.921,38.798
2,2,0,48.921,39.281,48.921,38.798
3,2,0,49.64,38.447,49.64,39.458
4,2,0,49.64,38.447,49.64,39.458
5,2,0,51.799,42.524,51.799,42.769
6,2,0,51.799,42.524,51.799,42.769
7,2,0,50.36,41.208,50.36,42.813
8,2,0,49.64,40.164,49.64,41.823
9,2,0,51.079,41.809,51.079,42.824
10,2,0,51.079,41.809,51.079,42.824
11,2,0,51.799,42.304,51.799,42.167
12,2,0,51.799,42.304,51.799,42.167
13,2,0,50.36,40.987,50.36,44.27
14,2,0,50.36,40.987,50.36,44.27
15,2,0,51.799,42.664,51.799,45.997
16,2,0,51.799,42.664,51.799,45.997
17,2,0,53.237,43.461,53.237,46.373
18,2,0,53.237,43.461,53.237,46.373
19,2,0,51.799,42.433,51.799,45.675
20,2,0,51.799,42.433,51.799,45.675
21,2,0,51.079,41.442,51.079,44.369
22,2,0,51.079,41.442,51.079,44.369
23,2,0,50.36,41.339,50.36,44.551
24,2,0,49.64,40.493,49.64,43.684
25,2,0,48.921,39.849,48.921,43.21
26,2,0,48.921,39.849,48.921,43.21
27,2,0,51.079,41.296,51.079,44.424
28,2,0,51.079,41.296,51.079,44.424
29,2,0,51.079,41.296,51.079,44.424
30,2,0,51.079,41.296,51.079,44.424
31,2,0,51.799,41.917,51.799,44.941
32,2,0,51.799,41.917,51.799,44.941
33,2,0,45.324,38.412,45.324,41.562
34,2,0,45.324,38.412,45.324,41.562
35,2,0,46.043,39.391,46.043,42.458
36,2,0,46.043,39.391,46.043,42.458
37,2,0,44.604,37.916,44.604,40.98
38,2,0,44.604,37.916,44.604,40.98
39,2,0,48.921,40.1,48.921,43.653
40,2,0,48.921,40.1,48.921,43.653
41,2,0,48.921,40.1,48.921,43.653
42,2,0,48.921,40.1,48.921,43.653
43,2,0,51.079,41.706,51.079,45.257
44,2,0,51.079,41.706,51.079,45.257
45,2,0,50.36,41.16,50.36,44.724
46,2,0,50.36,41.16,50.36,44.724
47,2,0,48.921,40.087,48.921,43.465
48,2,0,48.921,40.087,48.921,43.465
49,2,0,49.64,40.632,49.64,43.995
50,2,0,49.64,40.632,49.64,43.995
51,2,0,51.799,43.382,51.799,46.757
52,2,0,51.799,43.382,51.799,46.757
53,2,0,52.518,44.152,52.518,47.568
54,2,0,52.518,44.152,52.518,47.568
55,2,0,53.237,44.909,53.237,48.368
56,2,0,53.237,44.909,53.237,48.368
57,2,0,54.676,46.546,54.676,50.165
58,2,0,54.676,46.546,54.676,50.165
59,2,0,54.676,46.577,54.676,50.217
60,2,0,54.676,46.577,54.676,50.217
61,2,0,54.676,46.546,54.676,50.165
62,2,0,54.676,46.546,54.676,50.165
63,2,0,55.396,47.107,55.396,50.71
64,2,0,55.396,47.107,55.396,50.71
65,2,0,56.835,57.578,56.835,53.512
66,2,0,56.835,57.578,56.835,53.512
67,2,0,58.273,59.225,58.273,53.77
68,2,0,58.273,59.225,58.273,53.77
69,2,0,59.712,60.782,59.712,55.212
70,2,0,61.871,62.425,61.871,58.409
71,2,0,61.871,62.425,61.871,58.409
72,2,0,61.871,62.425,61.871,58.409
73,2,0,62.59,61.132,62.59,58.242
74,2,0,62.59,61.132,62.59,58.242
75,2,0,62.59,61.132,62.59,58.242
76,2,0,62.59,61.132,62.59,58.242
77,2,0,64.029,62.377,64.029,59.75
78,2,0,64.029,62.377,64.029,59.75
79,2,0,63.309,61.576,63.309,58.992
80,2,0,63.309,61.576,63.309,58.992
81,2,0,64.029,62.293,64.029,59.614
82,2,0,64.029,62.293,64.029,59.614
83,2,0,64.029,62.293,64.029,59.614
84,2,0,64.029,62.293,64.029,59.614
85,2,0,63.309,61.425,63.309,58.991
86,2,0,64.748,63.032,64.748,60.237
87,2,0,64.748,63.032,64.748,60.237
88,2,0,64.748,63.032,64.748,60.237
89,2,0,64.748,63.032,64.748,60.237
90,2,0,64.748,63.032,64.748,60.237
91,2,0,65.468,65.67,65.468,61.791
92,2,0,65.468,65.67,65.468,61.791
93,2,0,64.748,64.961,64.748,61.163
94,2,0,64.748,64.961,64.748,61.163
95,2,0,64.029,64.321,64.029,60.411
96,2,0,64.029,64.321,64.029,60.411
97,2,0,64.748,64.961,64.748,61.163
98,2,0,64.748,64.961,64.748,61.163
99,2,0,64.748,64.83,64.748,61.165
100,2,0,64.748,64.83,64.748,61.165
0,2,1,52.518,46.372,52.518,47.892
1,2,1,55.396,46.431,55.396,44.391
2,2,1,55.396,46.431,55.396,44.391
3,2,1,52.518,39.287,52.518,42.087
4,2,1,52.518,39.287,52.518,42.087
5,2,1,52.518,39.287,52.518,42.087
6,2,1,52.518,39.287,52.518,42.087
7,2,1,53.237,38.236,53.237,41.593
8,2,1,53.237,38.236,53.237,41.593
9,2,1,51.079,39.744,51.079,41.598
10,2,1,51.079,39.744,51.079,41.598
11,2,1,51.079,39.744,51.079,41.598
12,2,1,51.079,39.744,51.079,41.598
13,2,1,50.36,30.688,50.36,38.136
14,2,1,51.799,39.329,51.799,40.956
15,2,1,53.237,39.718,53.237,41.672
16,2,1,53.237,39.718,53.237,41.672
17,2,1,53.237,39.718,53.237,41.672
18,2,1,53.237,39.718,53.237,41.672
19,2,1,53.957,43.42,53.957,44.034
20,2,1,53.957,43.42,53.957,44.034
21,2,1,51.799,35.041,51.799,40.073
22,2,1,51.799,35.041,51.799,40.073
23,2,1,49.64,33.595,49.64,38.927
24,2,1,49.64,33.595,49.64,38.927
25,2,1,49.64,33.595,49.64,38.927
26,2,1,49.64,33.595,49.64,38.927
27,2,1,49.64,33.595,49.64,38.927
28,2,1,49.64,33.595,49.64,38.927
29,2,1,49.64,33.595,49.64,38.927
30,2,1,49.64,33.595,49.64,38.927
31,2,1,48.201,40.777,48.201,42.938
32,2,1,48.201,40.777,48.201,42.938
33,2,1,50.36,43.197,50.36,44.97
34,2,1,50.36,43.197,50.36,44.97
35,2,1,50.36,43.197,50.36,44.97
36,2,1,50.36,43.197,50.36,44.97
37,2,1,50.36,43.197,50.36,44.97
38,2,1,50.36,43.197,50.36,44.97
39,2,1,50.36,43.197,50.36,44.97
40,2,1,50.36,43.197,50.36,44.97
41,2,1,50.36,45.723,50.36,46.342
42,2,1,50.36,45.723,50.36,46.342
43,2,1,53.957,47.568,53.957,46.183
44,2,1,53.957,47.568,53.957,46.183
45,2,1,53.957,47.568,53.957,46.183
46,2,1,53.957,47.78,53.957,46.107
47,2,1,53.957,47.78,53.957,46.107
48,2,1,53.957,47.78,53.957,46.107
49,2,1,53.957,47.568,53.957,46.183
50,2,1,53.957,47.568,53.957,46.183
51,2,1,53.237,44.142,53.237,44.069
52,2,1,53.237,44.142,53.237,44.069
53,2,1,52.518,43.107,52.518,43.643
54,2,1,53.237,43.249,53.237,43.493
55,2,1,52.518,40.494,52.518,42.174
56,2,1,51.799,40.649,51.799,42.938
57,2,1,52.518,46.808,52.518,46.646
58,2,1,52.518,46.808,52.518,46.646
59,2,1,52.518,46.808,52.518,46.646
60,2,1,52.518,46.808,52.518,46.646
61,2,1,52.518,45.937,52.518,45.916
62,2,1,52.518,45.937,52.518,45.916
63,2,1,52.518,45.937,52.518,45.916
64,2,1,52.518,45.937,52.518,45.916
65,2,1,53.957,49.361,53.957,48.309
66,2,1,53.957,49.361,53.957,48.309
67,2,1,53.957,49.361,53.957,48.309
68,2,1,53.957,49.361,53.957,48.309
69,2,1,51.799,49.536,51.799,47.642
70,2,1,51.799,49.536,51.799,47.642
71,2,1,52.518,47.446,52.518,46.437
72,2,1,52.518,47.446,52.518,46.437
73,2,1,53.237,47.673,53.237,46.723
74,2,1,53.237,47.673,53.237,46.723
75,2,1,54.676,49.004,54.676,47.488
76,2,1,54.676,49.004,54.676,47.488
77,2,1,54.676,49.004,54.676,47.488
78,2,1,54.676,49.004,54.676,47.488
79,2,1,53.957,48.977,53.957,46.902
80,2,1,53.957,48.977,53.957,46.902
81,2,1,51.799,46.501,51.799,45.452
82,2,1,52.518,47.271,52.518,45.936
83,2,1,52.518,47.271,52.518,45.936
84,2,1,52.518,47.271,52.518,45.936
85,2,1,52.518,47.271,52.518,45.936
86,2,1,52.518,47.271,52.518,45.936
87,2,1,52.518,47.271,52.518,45.936
88,2,1,52.518,47.271,52.518,45.936
89,2,1,52.518,47.271,52.518,45.936
90,2,1,52.518,47.271,52.518,45.936
91,2,1,52.518,47.271,52.518,45.936
92,2,1,52.518,47.271,52.518,45.936
93,2,1,52.518,47.271,52.518,45.936
94,2,1,52.518,47.271,52.518,45.936
95,2,1,52.518,47.271,52.518,45.936
96,2,1,52.518,47.271,52.518,45.936
97,2,1,53.237,48.656,53.237,47.039
98,2,1,53.237,48.656,53.237,47.039
99,2,1,51.799,48.179,51.799,47.705
100,2,1,51.799,48.179,51.799,47.705
0,2,2,58.273,52.603,58.273,53.689
1,2,2,46.043,48.223,46.043,42.874
2,2,2,46.043,48.223,46.043,42.874
3,2,2,46.043,48.223,46.043,42.874
4,2,2,46.043,48.223,46.043,42.874
5,2,2,46.043,48.048,46.043,45.014
6,2,2,46.043,48.048,46.043,45.014
7,2,2,50.36,48.593,50.36,43.261
8,2,2,50.36,47.095,50.36,42.556
9,2,2,51.079,50.31,51.079,42.544
10,2,2,49.64,45.071,49.64,39.842
11,2,2,53.237,51.878,53.237,43.993
12,2,2,53.237,50.904,53.237,45.48
13,2,2,53.237,51.301,53.237,44.767
14,2,2,53.237,51.301,53.237,44.767
15,2,2,53.237,52.768,53.237,43.153
16,2,2,53.237,52.768,53.237,43.153
17,2,2,52.518,48.232,52.518,44.347
18,2,2,52.518,48.232,52.518,44.347
19,2,2,52.518,48.232,52.518,44.347
20,2,2,52.518,48.232,52.518,44.347
21,2,2,52.518,48.232,52.518,44.347
22,2,2,52.518,48.232,52.518,44.347
23,2,2,53.237,49.577,53.237,46.785
24,2,2,53.237,49.577,53.237,46.785
25,2,2,53.237,48.921,53.237,47.381
26,2,2,53.237,48.921,53.237,47.381
27,2,2,53.957,50.644,53.957,48.668
28,2,2,53.957,50.644,53.957,48.668
29,2,2,53.957,50.644,53.957,48.668
30,2,2,53.957,50.644,53.957,48.668
31,2,2,53.957,50.644,53.957,48.668
32,2,2,53.957,50.644,53.957,48.668
33,2,2,53.957,50.986,53.957,48.995
34,2,2,53.957,50.986,53.957,48.995
35,2,2,56.835,53.96,56.835,54.673
36,2,2,56.835,53.96,56.835,54.673
37,2,2,56.835,53.993,56.835,54.549
38,2,2,56.835,53.993,56.835,54.549
39,2,2,54.676,51.5,54.676,52.098
40,2,2,54.676,51.5,54.676,52.098
41,2,2,54.676,51.5,54.676,52.098
42,2,2,54.676,51.5,54.676,52.098
43,2,2,53.237,49.802,53.237,50.35
44,2,2,53.237,49.802,53.237,50.35
45,2,2,53.957,50.661,53.957,51.23
46,2,2,53.957,50.661,53.957,51.23
47,2,2,53.957,50.661,53.957,51.23
48,2,2,53.957,50.661,53.957,51.23
49,2,2,53.957,50.805,53.957,51.04
50,2,2,53.957,50.805,53.957,51.04
51,2,2,54.676,52.755,54.676,50.497
52,2,2,54.676,52.755,54.676,50.497
53,2,2,54.676,52.755,54.676,50.497
54,2,2,55.396,53.882,55.396,51.558
55,2,2,54.676,54.015,54.676,50.389
56,2,2,55.396,55.119,55.396,51.464
57,2,2,55.396,55.052,55.396,50.693
58,2,2,55.396,55.052,55.396,50.693
59,2,2,56.115,56.459,56.115,51.239
60,2,2,56.115,56.459,56.115,51.239
61,2,2,57.554,59.025,57.554,52.89
62,2,2,57.554,59.025,57.554,52.89
63,2,2,58.273,60.688,58.273,53.449
64,2,2,58.273,60.688,58.273,53.449
65,2,2,58.993,62.53,58.993,54.009
66,2,2,58.993,62.53,58.993,54.009
67,2,2,58.993,62.53,58.993,54.009
68,2,2,58.993,62.53,58.993,54.009
69,2,2,58.993,62.53,58.993,54.009
70,2,2,58.993,62.53,58.993,54.009
71,2,2,58.273,60.688,58.273,53.449
72,2,2,58.273,60.688,58.273,53.449
73,2,2,58.273,60.688,58.273,53.449
74,2,2,58.273,60.688,58.273,53.449
75,2,2,57.554,60.625,57.554,51.73
76,2,2,58.993,61.506,58.993,52.554
77,2,2,58.273,59.188,58.273,51.273
78,2,2,58.273,60.272,58.273,51.19
79,2,2,58.273,60.272,58.273,51.19
80,2,2,58.273,60.272,58.273,51.19
81,2,2,58.273,60.272,58.273,51.19
82,2,2,58.273,60.272,58.273,51.19
83,2,2,58.273,60.272,58.273,51.19
84,2,2,58.273,60.272,58.273,51.19
85,2,2,58.993,62.309,58.993,51.699
86,2,2,58.993,62.309,58.993,51.699
87,2,2,58.993,61.42,58.993,52.351
88,2,2,58.993,61.42,58.993,52.351
89,2,2,58.993,61.42,58.993,52.351
90,2,2,58.993,61.42,58.993,52.351
91,2,2,57.554,59.126,57.554,51.766
92,2,2,57.554,59.126,57.554,51.766
93,2,2,57.554,57.854,57.554,51.809
94,2,2,57.554,57.854,57.554,51.809
95,2,2,57.554,57.854,57.554,51.809
96,2,2,57.554,57.854,57.554,51.809
97,2,2,57.554,57.854,57.554,51.809
98,2,2,57.554,57.854,57.554,51.809
99,2,2,56.115,54.309,56.115,50.301
100,2,2,56.115,54.309,56.115,50.301
0,5,0,48.921,39.722,48.921,41.276
1,5,0,51.079,43.391,51.079,39.379
2,5,0,51.079,43.391,51.079,39.379
3,5,0,52.518,54.133,52.518,39.289
4,5,0,52.518,54.133,52.518,39.289
5,5,0,53.237,43.833,53.237,43.168
6,5,0,52.518,42.445,52.518,42.036
7,5,0,49.64,38.744,49.64,40.865
8,5,0,49.64,38.744,49.64,40.865
9,5,0,51.079,40.484,51.079,43.034
10,5,0,51.079,40.484,51.079,43.034
11,5,0,52.518,47.637,52.518,45.724
12,5,0,52.518,47.637,52.518,45.724
13,5,0,52.518,47.362,52.518,45.22
14,5,0,52.518,47.362,52.518,45.22
15,5,0,51.079,45.376,51.079,43.063
16,5,0,54.676,50.928,54.676,48.974
17,5,0,55.396,52.485,55.396,49.856
18,5,0,55.396,52.485,55.396,49.856
19,5,0,50.36,45.379,50.36,42.457
20,5,0,50.36,45.379,50.36,42.457
21,5,0,55.396,52.485,55.396,49.856
22,5,0,55.396,52.485,55.396,49.856
23,5,0,58.273,55.659,58.273,53.104
24,5,0,58.273,55.659,58.273,53.104
