iter,step,fold,acc,prec,rec,f1score
0,2,0,48.921,39.722,48.921,41.276
1,2,0,47.482,36.722,47.482,37.953
2,2,0,47.482,36.722,47.482,37.953
3,2,0,47.482,36.722,47.482,37.953
4,2,0,48.201,38.167,48.201,39.064
5,2,0,51.799,43.94,51.799,45.094
6,2,0,51.799,43.94,51.799,45.094
7,2,0,52.518,44.807,52.518,45.638
8,2,0,52.518,44.807,52.518,45.638
9,2,0,53.957,49.638,53.957,50.26
10,2,0,53.237,48.832,53.237,49.383
11,2,0,58.273,53.703,58.273,55.015
12,2,0,57.554,53.008,57.554,54.268
13,2,0,60.432,60.951,60.432,57.036
14,2,0,61.151,66.085,61.151,57.548
15,2,0,59.712,61.277,59.712,56.611
16,2,0,61.151,62.64,61.151,58.187
17,2,0,62.59,67.077,62.59,59.791
18,2,0,62.59,67.077,62.59,59.791
19,2,0,63.309,67.734,63.309,60.53
20,2,0,64.748,69.066,64.748,61.786
21,2,0,63.309,67.769,63.309,60.282
22,2,0,63.309,65.037,63.309,60.954
23,2,0,64.029,63.619,64.029,62.174
24,2,0,64.748,65.101,64.748,62.771
25,2,0,64.748,65.101,64.748,62.771
26,2,0,64.748,65.101,64.748,62.771
27,2,0,66.187,65.459,66.187,64.741
28,2,0,66.187,65.459,66.187,64.741
29,2,0,67.626,67.298,67.626,66.009
30,2,0,67.626,67.298,67.626,66.009
31,2,0,69.065,69.437,69.065,66.689
32,2,0,69.065,69.437,69.065,66.689
33,2,0,70.504,70.343,70.504,68.5
34,2,0,70.504,70.343,70.504,68.5
35,2,0,70.504,70.707,70.504,68.526
36,2,0,70.504,70.707,70.504,68.526
37,2,0,69.065,69.114,69.065,66.69
38,2,0,66.187,64.791,66.187,64.47
39,2,0,65.468,64.466,65.468,63.472
40,2,0,66.187,65.666,66.187,64.569
41,2,0,66.906,66.344,66.906,65.194
42,2,0,66.906,66.417,66.906,65.185
43,2,0,67.626,67.931,67.626,65.68
44,2,0,67.626,67.931,67.626,65.68
45,2,0,65.468,65.471,65.468,63.261
46,2,0,65.468,65.471,65.468,63.261
47,2,0,64.748,63.986,64.748,62.075
48,2,0,65.468,64.629,65.468,62.705
49,2,0,66.906,66.242,66.906,63.966
50,2,0,66.906,66.242,66.906,63.966
51,2,0,69.065,69.324,69.065,66.475
52,2,0,69.065,69.324,69.065,66.475
53,2,0,68.345,67.774,68.345,65.925
54,2,0,67.626,66.379,67.626,64.747
55,2,0,69.065,68.919,69.065,67.039
56,2,0,69.784,70.383,69.784,67.617
57,2,0,69.065,69.324,69.065,66.475
58,2,0,69.065,69.324,69.065,66.475
59,2,0,69.065,69.324,69.065,66.475
60,2,0,69.065,69.324,69.065,66.475
61,2,0,69.065,69.324,69.065,66.475
62,2,0,69.784,71.419,69.784,67.034
63,2,0,70.504,72.237,70.504,67.675
64,2,0,70.504,72.237,70.504,67.675
65,2,0,69.784,71.65,69.784,66.905
66,2,0,70.504,72.511,70.504,67.544
67,2,0,71.223,73.35,71.223,68.713
68,2,0,71.223,73.35,71.223,68.713
69,2,0,71.223,73.35,71.223,68.713
