iter,step,fold,acc,prec,rec,f1score
0,2,0,48.921,39.722,48.921,41.276
1,2,0,47.482,37.209,47.482,37.884
2,2,0,47.482,37.209,47.482,37.884
3,2,0,48.201,38.195,48.201,38.342
4,2,0,48.201,38.195,48.201,38.342
5,2,0,48.201,38.195,48.201,38.342
6,2,0,48.201,38.195,48.201,38.342
7,2,0,51.799,44.394,51.799,44.682
8,2,0,51.799,44.394,51.799,44.682
9,2,0,51.079,43.474,51.079,44.143
10,2,0,51.079,43.474,51.079,44.143
11,2,0,51.799,44.358,51.799,45.085
12,2,0,51.799,44.358,51.799,45.085
13,2,0,52.518,58.981,52.518,46.633
14,2,0,52.518,58.981,52.518,46.633
15,2,0,53.237,59.988,53.237,46.769
16,2,0,53.957,61.026,53.957,47.31
17,2,0,52.518,50.237,52.518,46.711
18,2,0,52.518,50.237,52.518,46.711
19,2,0,53.237,52.43,53.237,46.544
20,2,0,53.237,52.43,53.237,46.544
21,2,0,53.237,54.601,53.237,46.425
22,2,0,53.237,54.601,53.237,46.425
23,2,0,53.237,54.601,53.237,46.425
24,2,0,53.237,54.601,53.237,46.425
25,2,0,53.237,54.601,53.237,46.425
26,2,0,53.237,54.601,53.237,46.425
27,2,0,53.237,54.601,53.237,46.425
28,2,0,53.237,54.601,53.237,46.425
29,2,0,52.518,53.637,52.518,45.393
30,2,0,52.518,53.637,52.518,45.393
31,2,0,52.518,53.637,52.518,45.393
32,2,0,53.957,55.032,53.957,46.963
33,2,0,53.957,55.032,53.957,46.963
34,2,0,53.957,55.032,53.957,46.963
35,2,0,59.712,58.03,59.712,55.655
36,2,0,59.712,58.03,59.712,55.655
37,2,0,53.237,52.86,53.237,50.16
38,2,0,53.237,52.86,53.237,50.16
39,2,0,53.237,52.638,53.237,50.019
40,2,0,53.237,52.638,53.237,50.019
41,2,0,57.554,56.051,57.554,53.326
42,2,0,57.554,56.051,57.554,53.326
43,2,0,58.993,57.343,58.993,54.894
44,2,0,58.993,57.343,58.993,54.894
45,2,0,59.712,57.98,59.712,55.497
46,2,0,58.993,55.226,58.993,54.884
47,2,0,60.432,56.897,60.432,56.061
48,2,0,60.432,56.897,60.432,56.061
49,2,0,60.432,56.897,60.432,56.061
50,2,0,60.432,56.897,60.432,56.061
51,2,0,61.151,61.178,61.151,57.892
52,2,0,61.151,61.178,61.151,57.892
53,2,0,61.871,61.848,61.871,58.7
54,2,0,61.871,61.848,61.871,58.7
55,2,0,63.309,64.244,63.309,60.521
56,2,0,62.59,63.59,62.59,59.703
57,2,0,62.59,64.3,62.59,60.003
58,2,0,62.59,64.3,62.59,60.003
59,2,0,62.59,63.223,62.59,60.202
60,2,0,62.59,63.223,62.59,60.202
61,2,0,61.871,62.514,61.871,59.38
62,2,0,61.871,62.514,61.871,59.38
63,2,0,64.029,64.606,64.029,61.815
64,2,0,64.029,64.606,64.029,61.815
65,2,0,64.748,64.779,64.748,63.083
66,2,0,64.748,64.779,64.748,63.083
67,2,0,64.748,65.234,64.748,63.072
68,2,0,64.748,65.234,64.748,63.072
69,2,0,65.468,66.95,65.468,63.273
70,2,0,65.468,66.95,65.468,63.273
71,2,0,65.468,66.95,65.468,63.273
72,2,0,65.468,66.95,65.468,63.273
73,2,0,66.906,69.393,66.906,64.762
74,2,0,66.906,69.393,66.906,64.762
75,2,0,66.906,69.393,66.906,64.762
76,2,0,66.906,69.393,66.906,64.762
77,2,0,66.187,69.9,66.187,63.772
78,2,0,66.187,69.9,66.187,63.772
79,2,0,65.468,69.289,65.468,62.92
80,2,0,65.468,69.289,65.468,62.92
81,2,0,65.468,68.265,65.468,63.313
82,2,0,65.468,68.265,65.468,63.313
83,2,0,65.468,68.265,65.468,63.313
84,2,0,65.468,68.265,65.468,63.313
85,2,0,65.468,68.265,65.468,63.313
86,2,0,65.468,68.265,65.468,63.313
87,2,0,65.468,66.837,65.468,63.702
88,2,0,65.468,66.837,65.468,63.702
89,2,0,65.468,66.837,65.468,63.702
90,2,0,65.468,66.837,65.468,63.702
91,2,0,65.468,66.837,65.468,63.702
92,2,0,65.468,66.837,65.468,63.702
93,2,0,65.468,66.559,65.468,64.054
94,2,0,65.468,66.559,65.468,64.054
95,2,0,65.468,66.559,65.468,64.054
96,2,0,65.468,66.559,65.468,64.054
97,2,0,65.468,66.658,65.468,64.204
98,2,0,65.468,66.658,65.468,64.204
99,2,0,65.468,66.658,65.468,64.204
100,2,0,65.468,66.658,65.468,64.204
0,2,1,52.518,46.372,52.518,47.892
1,2,1,49.64,44.638,49.64,46.614
2,2,1,49.64,44.638,49.64,46.614
3,2,1,55.396,51.335,55.396,53.286
4,2,1,55.396,51.335,55.396,53.286
5,2,1,59.712,54.769,59.712,55.012
6,2,1,59.712,54.769,59.712,55.012
7,2,1,59.712,54.769,59.712,55.012
8,2,1,59.712,54.769,59.712,55.012
9,2,1,59.712,54.769,59.712,55.012
10,2,1,59.712,54.769,59.712,55.012
11,2,1,58.273,53.685,58.273,54.039
12,2,1,58.273,53.685,58.273,54.039
13,2,1,59.712,55.289,59.712,56.129
14,2,1,59.712,55.289,59.712,56.129
15,2,1,59.712,54.707,59.712,55.653
16,2,1,59.712,54.707,59.712,55.653
17,2,1,58.273,54.903,58.273,55.042
18,2,1,58.273,54.903,58.273,55.042
19,2,1,61.151,57.425,61.151,58.056
20,2,1,61.151,57.425,61.151,58.056
21,2,1,65.468,61.453,65.468,63.214
22,2,1,65.468,61.453,65.468,63.214
23,2,1,63.309,59.508,63.309,60.728
24,2,1,63.309,59.508,63.309,60.728
25,2,1,63.309,59.508,63.309,60.728
26,2,1,63.309,59.508,63.309,60.728
27,2,1,61.151,59.944,61.151,60.21
28,2,1,61.151,59.944,61.151,60.21
29,2,1,62.59,61.523,62.59,61.875
30,2,1,62.59,61.523,62.59,61.875
31,2,1,65.468,64.559,65.468,64.316
32,2,1,65.468,64.559,65.468,64.316
33,2,1,64.748,62.868,64.748,63.571
34,2,1,64.748,62.868,64.748,63.571
35,2,1,64.748,62.868,64.748,63.571
36,2,1,64.748,62.868,64.748,63.571
37,2,1,64.029,62.281,64.029,62.954
38,2,1,64.748,62.856,64.748,63.467
39,2,1,65.468,63.55,65.468,64.137
40,2,1,65.468,63.55,65.468,64.137
41,2,1,62.59,60.897,62.59,61.48
42,2,1,64.029,62.179,64.029,62.818
43,2,1,64.748,62.763,64.748,63.165
44,2,1,64.748,62.861,64.748,62.864
45,2,1,64.748,62.861,64.748,62.864
46,2,1,64.748,62.861,64.748,62.864
47,2,1,64.029,62.078,64.029,62.221
48,2,1,64.029,62.078,64.029,62.221
49,2,1,64.748,62.878,64.748,62.715
50,2,1,64.748,62.878,64.748,62.715
51,2,1,66.187,64.461,66.187,63.991
52,2,1,66.187,64.461,66.187,63.991
53,2,1,66.906,65.475,66.906,64.437
54,2,1,66.906,65.475,66.906,64.437
55,2,1,67.626,66.386,67.626,65.074
56,2,1,67.626,66.386,67.626,65.074
57,2,1,69.065,68.813,69.065,66.406
58,2,1,69.065,68.813,69.065,66.406
59,2,1,69.065,68.813,69.065,66.406
60,2,1,69.065,68.813,69.065,66.406
61,2,1,69.784,70.814,69.784,67.681
62,2,1,69.784,70.814,69.784,67.681
63,2,1,70.504,71.545,70.504,68.446
64,2,1,70.504,71.545,70.504,68.446
65,2,1,69.784,70.956,69.784,67.593
66,2,1,70.504,72.117,70.504,68.247
67,2,1,68.345,67.744,68.345,66.46
68,2,1,68.345,67.744,68.345,66.46
69,2,1,66.906,66.549,66.906,65.548
70,2,1,66.906,66.549,66.906,65.548
71,2,1,68.345,67.741,68.345,66.573
72,2,1,68.345,67.741,68.345,66.573
73,2,1,69.065,68.652,69.065,67.776
74,2,1,69.065,68.652,69.065,67.776
75,2,1,66.906,66.686,66.906,65.839
76,2,1,66.906,66.686,66.906,65.839
77,2,1,67.626,67.591,67.626,66.496
78,2,1,67.626,67.591,67.626,66.496
79,2,1,69.065,68.856,69.065,67.596
80,2,1,69.065,68.856,69.065,67.596
81,2,1,69.065,68.856,69.065,67.596
82,2,1,69.065,68.856,69.065,67.596
83,2,1,69.065,68.856,69.065,67.596
84,2,1,69.065,68.856,69.065,67.596
85,2,1,69.065,68.856,69.065,67.596
86,2,1,69.065,68.856,69.065,67.596
87,2,1,68.345,68.44,68.345,66.538
88,2,1,68.345,68.44,68.345,66.538
89,2,1,68.345,68.169,68.345,66.754
90,2,1,68.345,68.169,68.345,66.754
91,2,1,68.345,68.169,68.345,66.754
92,2,1,68.345,68.169,68.345,66.754
93,2,1,69.065,69.068,69.065,67.326
94,2,1,69.065,69.068,69.065,67.326
95,2,1,69.065,69.068,69.065,67.326
96,2,1,69.065,69.068,69.065,67.326
97,2,1,69.065,68.733,69.065,67.326
98,2,1,69.065,68.733,69.065,67.326
99,2,1,69.784,69.635,69.784,67.96
100,2,1,69.784,69.635,69.784,67.96
0,2,2,58.273,52.603,58.273,53.689
1,2,2,58.273,52.905,58.273,52.738
2,2,2,58.273,52.905,58.273,52.738
3,2,2,54.676,48.571,54.676,50.501
4,2,2,54.676,48.571,54.676,50.501
5,2,2,54.676,48.571,54.676,50.501
6,2,2,54.676,48.571,54.676,50.501
7,2,2,56.115,50.005,56.115,51.666
8,2,2,56.115,50.005,56.115,51.666
9,2,2,56.835,50.789,56.835,52.524
10,2,2,56.835,50.789,56.835,52.524
11,2,2,55.396,49.2,55.396,50.796
12,2,2,55.396,49.2,55.396,50.796
13,2,2,56.835,50.789,56.835,52.524
14,2,2,56.835,50.789,56.835,52.524
15,2,2,58.273,52.312,58.273,53.699
16,2,2,58.273,52.312,58.273,53.699
17,2,2,58.993,53.115,58.993,54.287
18,2,2,58.993,53.115,58.993,54.287
19,2,2,58.273,52.312,58.273,53.699
20,2,2,58.273,52.312,58.273,53.699
21,2,2,57.554,51.538,57.554,53.112
22,2,2,57.554,51.538,57.554,53.112
23,2,2,56.115,50.062,56.115,51.936
24,2,2,56.115,50.062,56.115,51.936
25,2,2,56.115,50.126,56.115,52.18
26,2,2,56.115,50.126,56.115,52.18
27,2,2,56.115,50.126,56.115,52.18
28,2,2,56.115,50.126,56.115,52.18
29,2,2,55.396,49.836,55.396,51.525
30,2,2,55.396,49.836,55.396,51.525
31,2,2,56.115,50.062,56.115,51.936
32,2,2,56.115,50.062,56.115,51.936
33,2,2,55.396,49.357,55.396,51.347
34,2,2,55.396,49.357,55.396,51.347
35,2,2,55.396,49.357,55.396,51.347
36,2,2,55.396,49.357,55.396,51.347
37,2,2,55.396,49.357,55.396,51.347
38,2,2,55.396,49.357,55.396,51.347
39,2,2,55.396,49.357,55.396,51.347
40,2,2,55.396,49.357,55.396,51.347
41,2,2,55.396,49.357,55.396,51.347
42,2,2,55.396,49.357,55.396,51.347
43,2,2,56.115,53.432,56.115,53.135
44,2,2,56.115,53.432,56.115,53.135
45,2,2,59.712,58.585,59.712,57.841
46,2,2,59.712,58.585,59.712,57.841
47,2,2,59.712,59.061,59.712,58.21
48,2,2,59.712,59.061,59.712,58.21
49,2,2,59.712,59.061,59.712,58.21
50,2,2,59.712,59.061,59.712,58.21
51,2,2,60.432,59.403,60.432,58.339
52,2,2,60.432,59.403,60.432,58.339
53,2,2,60.432,63.667,60.432,58.196
54,2,2,60.432,63.667,60.432,58.196
55,2,2,61.151,55.668,61.151,58.261
56,2,2,61.151,55.668,61.151,58.261
57,2,2,58.273,53.71,58.273,55.692
58,2,2,58.273,53.71,58.273,55.692
