iter,step,fold,acc,prec,rec,f1score
0,2,0,48.921,39.722,48.921,41.276
1,2,0,46.043,43.372,46.043,42.615
2,2,0,46.043,41.613,46.043,38.81
3,2,0,58.273,56.882,58.273,56.789
4,2,0,56.115,55.044,56.115,54.802
5,2,0,58.993,57.545,58.993,57.388
6,2,0,56.835,55.351,56.835,54.954
7,2,0,56.835,53.636,56.835,54.589
8,2,0,57.554,55.26,57.554,55.323
9,2,0,56.835,54.845,56.835,54.722
10,2,0,56.835,55.516,56.835,54.634
11,2,0,57.554,56.047,57.554,55.28
12,2,0,57.554,56.047,57.554,55.28
13,2,0,56.115,54.796,56.115,54.756
14,2,0,56.835,55.049,56.835,54.763
15,2,0,55.396,54.147,55.396,53.932
16,2,0,56.835,55.865,56.835,55.38
17,2,0,56.115,55.802,56.115,54.783
18,2,0,51.799,52.123,51.799,50.695
19,2,0,51.799,51.876,51.799,50.705
20,2,0,51.799,51.291,51.799,50.694
21,2,0,51.799,51.732,51.799,50.652
22,2,0,58.993,57.114,58.993,57.236
23,2,0,58.993,56.929,58.993,57.125
24,2,0,58.993,57.229,58.993,56.932
25,2,0,56.835,55.505,56.835,53.616
26,2,0,59.712,58.336,59.712,56.778
27,2,0,61.871,60.242,61.871,58.66
28,2,0,61.871,60.242,61.871,58.66
29,2,0,63.309,61.583,63.309,59.91
30,2,0,63.309,61.583,63.309,59.91
31,2,0,64.029,62.137,64.029,60.669
32,2,0,64.029,62.137,64.029,60.669
33,2,0,64.029,62.137,64.029,60.669
34,2,0,64.748,62.974,64.748,60.841
35,2,0,64.029,62.316,64.029,60.046
36,2,0,64.029,62.575,64.029,60.051
37,2,0,64.029,62.155,64.029,60.782
38,2,0,64.029,62.155,64.029,60.782
39,2,0,63.309,61.479,63.309,59.22
40,2,0,64.029,62.149,64.029,59.851
41,2,0,64.029,69.055,64.029,59.578
42,2,0,66.906,71.847,66.906,62.952
43,2,0,66.906,71.455,66.906,63.052
44,2,0,66.906,71.849,66.906,62.207
45,2,0,66.906,71.849,66.906,62.207
46,2,0,66.187,71.104,66.187,61.576
47,2,0,65.468,70.499,65.468,60.83
48,2,0,64.748,69.675,64.748,60.316
49,2,0,65.468,70.29,65.468,61.047
