iter,step,fold,acc,prec,rec,f1score
0,2,0,64.029,67.189,64.029,62.957
1,2,0,66.187,65.17,66.187,65.483
2,2,0,71.942,74.362,71.942,68.627
3,2,0,66.187,71.421,66.187,61.796
4,2,0,71.223,70.533,71.223,70.282
5,2,0,62.59,61.613,62.59,62.071
6,2,0,69.784,71.104,69.784,67.221
7,2,0,73.381,72.608,73.381,72.863
8,2,0,72.662,74.837,72.662,70.693
9,2,0,74.82,80.84,74.82,72.191
10,2,0,74.101,79.738,74.101,71.526
11,2,0,72.662,72.771,72.662,71.044
12,2,0,74.101,74.52,74.101,72.522
13,2,0,74.101,76.904,74.101,72.802
14,2,0,74.101,78.39,74.101,72.296
15,2,0,73.381,77.779,73.381,71.023
16,2,0,76.259,76.25,76.259,75.621
17,2,0,74.101,74.147,74.101,73.219
18,2,0,76.978,77.311,76.978,75.668
19,2,0,74.101,74.147,74.101,73.219
20,2,0,74.101,76.103,74.101,72.32
21,2,0,73.381,76.435,73.381,71.686
22,2,0,74.82,77.401,74.82,73.253
23,2,0,74.82,76.25,74.82,72.605
24,2,0,72.662,74.759,72.662,70.314
25,2,0,74.101,75.752,74.101,71.851
26,2,0,78.417,78.925,78.417,77.572
27,2,0,77.698,79.577,77.698,76.516
28,2,0,78.417,78.66,78.417,77.616
29,2,0,74.82,77.113,74.82,72.997
30,2,0,76.978,78.132,76.978,74.881
31,2,0,78.417,78.894,78.417,76.594
32,2,0,79.137,79.873,79.137,78.069
33,2,0,76.259,76.546,76.259,74.177
34,2,0,76.978,78.032,76.978,75.635
35,2,0,75.54,77.885,75.54,74.022
36,2,0,74.101,75.675,74.101,72.263
37,2,0,74.82,76.602,74.82,73.073
38,2,0,74.82,76.2,74.82,73.017
39,2,0,73.381,73.935,73.381,71.629
40,2,0,75.54,77.144,75.54,73.691
41,2,0,76.259,78.622,76.259,74.437
42,2,0,76.259,77.255,76.259,74.502
43,2,0,76.978,78.161,76.978,75.181
44,2,0,76.978,78.161,76.978,75.181
45,2,0,76.259,77.651,76.259,74.44
46,2,0,76.259,77.932,76.259,74.723
47,2,0,75.54,76.708,75.54,73.828
48,2,0,76.259,77.932,76.259,74.723
49,2,0,76.978,79.636,76.978,75.68
50,2,0,77.698,79.577,77.698,76.516
51,2,0,76.978,78.448,76.978,75.475
52,2,0,77.698,79.577,77.698,76.516
53,2,0,77.698,79.352,77.698,76.276
54,2,0,78.417,79.848,78.417,77.011
55,2,0,77.698,79.352,77.698,76.276
56,2,0,79.137,80.809,79.137,77.703
57,2,0,77.698,79.352,77.698,76.276
58,2,0,77.698,79.043,77.698,75.974
59,2,0,76.978,78.555,76.978,75.242
60,2,0,77.698,79.043,77.698,75.974
61,2,0,79.856,81.269,79.856,78.946
62,2,0,79.856,81.269,79.856,78.946
63,2,0,79.856,81.093,79.856,78.731
64,2,0,79.137,80.754,79.137,78.204
65,2,0,79.856,80.929,79.856,78.897
66,2,0,80.576,81.921,80.576,79.852
67,2,0,79.137,80.388,79.137,78.153
68,2,0,82.014,83.311,82.014,81.373
69,2,0,82.014,82.988,82.014,81.321
70,2,0,82.734,83.827,82.734,82.096
71,2,0,82.014,83.311,82.014,81.373
72,2,0,82.014,83.311,82.014,81.373
73,2,0,79.137,80.233,79.137,77.948
74,2,0,79.856,80.77,79.856,78.681
75,2,0,80.576,81.312,80.576,79.407
76,2,0,81.295,82.028,81.295,80.363
77,2,0,82.734,83.853,82.734,81.8
78,2,0,81.295,81.762,81.295,80.395
79,2,0,81.295,82.706,81.295,80.436
80,2,0,81.295,82.696,81.295,80.706
81,2,0,80.576,80.943,80.576,79.753
82,2,0,80.576,81.659,80.576,79.972
83,2,0,80.576,81.486,80.576,79.987
84,2,0,81.295,82.425,81.295,80.714
85,2,0,80.576,82.113,80.576,79.786
86,2,0,82.734,84.037,82.734,81.896
87,2,0,82.734,83.806,82.734,82.119
88,2,0,82.014,82.964,82.014,81.182
89,2,0,82.014,82.964,82.014,81.182
90,2,0,54.676,64.815,54.676,52.231
91,2,0,66.187,70.194,66.187,65.675
92,2,0,69.784,73.205,69.784,69.21
93,2,0,79.137,81.333,79.137,77.726
94,2,0,77.698,81.059,77.698,76.687
95,2,0,76.978,80.557,76.978,74.135
96,2,0,82.734,82.561,82.734,82.615
97,2,0,82.014,82.104,82.014,81.174
98,2,0,82.734,82.565,82.734,82.617
99,2,0,83.453,83.823,83.453,82.777
100,2,0,82.014,82.467,82.014,80.067
0,2,1,58.993,65.121,58.993,59.076
1,2,1,64.748,67.834,64.748,65.628
2,2,1,58.993,62.403,58.993,60.376
3,2,1,63.309,65.989,63.309,64.43
4,2,1,63.309,61.353,63.309,61.409
5,2,1,63.309,60.93,63.309,61.45
6,2,1,66.187,62.865,66.187,64.251
7,2,1,64.748,61.603,64.748,63.12
8,2,1,66.187,64.223,66.187,64.308
9,2,1,66.187,64.891,66.187,64.814
10,2,1,67.626,67.013,67.626,66.436
11,2,1,64.748,63.102,64.748,62.611
12,2,1,68.345,63.045,68.345,65.232
13,2,1,68.345,63.055,68.345,65.073
14,2,1,69.065,66.595,69.065,67.285
15,2,1,72.662,67.921,72.662,69.462
16,2,1,66.906,65.133,66.906,65.384
17,2,1,69.784,71.266,69.784,67.449
18,2,1,66.187,64.351,66.187,65.12
19,2,1,69.065,67.249,69.065,67.659
20,2,1,71.223,66.447,71.223,68.023
21,2,1,68.345,66.01,68.345,66.796
22,2,1,69.784,69.71,69.784,68.484
23,2,1,70.504,69.626,70.504,69.347
24,2,1,69.784,65.188,69.784,67.407
25,2,1,71.223,70.491,71.223,69.767
26,2,1,69.065,68.814,69.065,68.112
27,2,1,71.223,68.128,71.223,69.422
28,2,1,68.345,64.17,68.345,66.175
29,2,1,72.662,70.404,72.662,70.843
30,2,1,71.942,68.118,71.942,69.966
31,2,1,70.504,66.141,70.504,68.188
32,2,1,71.942,67.526,71.942,69.626
33,2,1,73.381,70.985,73.381,71.541
34,2,1,73.381,68.783,73.381,70.805
35,2,1,71.942,70.295,71.942,70.812
36,2,1,72.662,68.692,72.662,70.592
37,2,1,74.101,72.568,74.101,73.0
38,2,1,75.54,73.443,75.54,74.215
39,2,1,76.978,75.857,76.978,75.313
40,2,1,74.101,71.718,74.101,72.344
41,2,1,74.101,72.679,74.101,73.106
42,2,1,76.978,75.776,76.978,76.097
43,2,1,74.82,72.866,74.82,73.553
44,2,1,75.54,73.928,75.54,74.353
45,2,1,76.259,74.245,76.259,74.734
46,2,1,76.259,74.465,76.259,74.798
47,2,1,76.259,74.245,76.259,74.734
48,2,1,77.698,75.737,77.698,76.179
49,2,1,77.698,75.737,77.698,76.179
50,2,1,75.54,75.631,75.54,75.471
51,2,1,74.82,74.113,74.82,74.259
52,2,1,76.978,76.875,76.978,76.448
53,2,1,78.417,78.365,78.417,78.317
54,2,1,76.978,76.031,76.978,75.982
55,2,1,79.137,78.962,79.137,78.77
56,2,1,77.698,77.576,77.698,77.358
57,2,1,76.259,75.109,76.259,75.405
58,2,1,77.698,77.576,77.698,77.358
59,2,1,79.137,78.831,79.137,78.926
60,2,1,74.82,73.611,74.82,73.947
61,2,1,78.417,77.47,78.417,77.734
62,2,1,80.576,79.542,80.576,79.829
63,2,1,80.576,79.92,80.576,80.047
64,2,1,82.014,81.817,82.014,81.814
65,2,1,81.295,80.719,81.295,80.641
66,2,1,80.576,80.224,80.576,80.33
67,2,1,82.734,82.536,82.734,82.478
68,2,1,82.734,82.887,82.734,82.639
69,2,1,84.173,84.116,84.173,83.852
70,2,1,84.892,85.093,84.892,84.657
71,2,1,83.453,83.269,83.453,83.003
72,2,1,84.173,84.014,84.173,83.615
73,2,1,82.014,81.713,82.014,81.65
74,2,1,81.295,81.031,81.295,80.881
75,2,1,82.014,82.374,82.014,81.884
76,2,1,82.734,82.31,82.734,82.397
77,2,1,81.295,81.001,81.295,81.109
78,2,1,83.453,82.785,83.453,82.976
79,2,1,82.734,82.175,82.734,82.339
80,2,1,81.295,80.912,81.295,81.038
81,2,1,82.014,81.645,82.014,81.725
82,2,1,82.734,81.757,82.734,82.068
83,2,1,82.734,81.952,82.734,82.237
84,2,1,84.892,84.619,84.892,84.734
85,2,1,83.453,82.785,83.453,82.976
86,2,1,82.014,81.023,82.014,81.403
87,2,1,84.173,84.214,84.173,84.008
88,2,1,84.173,84.13,84.173,84.07
89,2,1,84.173,84.024,84.173,83.988
90,2,1,33.094,26.447,33.094,20.449
91,2,1,72.662,78.459,72.662,72.093
92,2,1,83.453,86.635,83.453,83.983
93,2,1,85.612,85.312,85.612,84.698
94,2,1,87.05,87.054,87.05,86.368
95,2,1,79.137,78.582,79.137,77.62
96,2,1,82.014,82.374,82.014,81.884
97,2,1,84.173,83.588,84.173,83.184
98,2,1,87.77,87.374,87.77,87.514
99,2,1,81.295,81.523,81.295,80.982
100,2,1,82.014,80.302,82.014,80.118
0,2,2,52.518,54.598,52.518,49.39
1,2,2,53.237,54.501,53.237,53.12
2,2,2,61.871,60.12,61.871,59.728
3,2,2,53.957,53.838,53.957,48.68
4,2,2,58.273,59.388,58.273,57.243
5,2,2,53.237,55.215,53.237,48.57
6,2,2,56.835,60.078,56.835,53.466
7,2,2,58.273,54.113,58.273,51.137
8,2,2,57.554,57.572,57.554,56.623
