iter,step,fold,acc,prec,rec,f1score
0,2,0,64.029,67.189,64.029,62.957
1,2,0,66.187,65.17,66.187,65.483
2,2,0,69.065,72.977,69.065,66.305
3,2,0,60.432,61.577,60.432,57.53
4,2,0,57.554,63.623,57.554,53.663
5,2,0,61.151,64.218,61.151,56.397
6,2,0,57.554,61.491,57.554,53.142
7,2,0,61.151,60.247,61.151,57.519
8,2,0,62.59,60.908,62.59,60.417
9,2,0,61.871,63.475,61.871,58.516
10,2,0,63.309,59.945,63.309,60.045
11,2,0,57.554,57.405,57.554,55.338
12,2,0,61.871,66.59,61.871,56.795
13,2,0,68.345,70.053,68.345,65.056
14,2,0,61.871,67.361,61.871,57.907
15,2,0,69.784,70.052,69.784,67.246
16,2,0,66.906,66.802,66.906,65.17
17,2,0,64.748,65.331,64.748,62.535
18,2,0,65.468,65.09,65.468,62.152
19,2,0,66.906,69.085,66.906,65.051
20,2,0,64.029,68.348,64.029,61.026
21,2,0,69.784,69.75,69.784,67.538
22,2,0,63.309,63.599,63.309,60.012
23,2,0,64.748,66.841,64.748,60.762
24,2,0,69.784,70.152,69.784,67.647
25,2,0,66.187,65.114,66.187,63.363
26,2,0,69.784,67.171,69.784,67.491
27,2,0,71.942,72.206,71.942,70.056
28,2,0,69.784,72.454,69.784,67.568
29,2,0,69.784,66.989,69.784,67.597
30,2,0,72.662,69.903,72.662,70.114
31,2,0,71.942,69.503,71.942,70.122
32,2,0,70.504,70.502,70.504,68.373
33,2,0,72.662,73.138,72.662,70.742
34,2,0,73.381,73.887,73.381,72.108
35,2,0,71.223,71.813,71.223,69.731
36,2,0,74.101,73.439,74.101,72.528
37,2,0,73.381,72.92,73.381,71.789
38,2,0,73.381,73.668,73.381,71.64
39,2,0,72.662,73.45,72.662,71.205
40,2,0,72.662,72.256,72.662,71.147
41,2,0,72.662,73.735,72.662,71.503
42,2,0,74.101,74.766,74.101,72.892
43,2,0,74.101,74.2,74.101,72.658
44,2,0,75.54,75.456,75.54,74.235
45,2,0,71.942,71.893,71.942,70.287
46,2,0,72.662,72.715,72.662,70.82
47,2,0,73.381,72.92,73.381,71.789
48,2,0,71.223,70.586,71.223,68.93
49,2,0,73.381,71.599,73.381,71.37
50,2,0,70.504,70.226,70.504,68.478
51,2,0,74.101,73.449,74.101,72.048
52,2,0,74.82,75.791,74.82,73.027
53,2,0,74.101,75.464,74.101,72.884
54,2,0,75.54,76.852,75.54,74.593
55,2,0,71.942,70.836,71.942,69.934
56,2,0,71.942,72.273,71.942,70.001
57,2,0,77.698,77.567,77.698,76.396
58,2,0,76.259,75.614,76.259,74.499
59,2,0,76.259,75.173,76.259,74.65
60,2,0,75.54,74.653,75.54,73.947
61,2,0,76.259,75.246,76.259,74.817
62,2,0,76.259,75.452,76.259,75.118
63,2,0,78.417,78.163,78.417,76.461
64,2,0,76.978,76.193,76.978,75.14
65,2,0,77.698,77.667,77.698,75.754
66,2,0,74.82,73.214,74.82,72.987
67,2,0,76.259,74.532,76.259,74.21
68,2,0,76.978,75.414,76.978,74.914
69,2,0,76.259,75.238,76.259,74.592
70,2,0,75.54,73.477,75.54,73.638
71,2,0,76.259,75.173,76.259,74.65
72,2,0,72.662,70.893,72.662,70.361
73,2,0,71.942,71.233,71.942,69.992
74,2,0,73.381,72.065,73.381,70.915
75,2,0,72.662,71.37,72.662,70.32
76,2,0,70.504,68.859,70.504,67.665
77,2,0,74.101,74.352,74.101,72.552
78,2,0,73.381,73.887,73.381,71.804
79,2,0,73.381,73.445,73.381,71.389
80,2,0,73.381,72.643,73.381,71.536
81,2,0,72.662,73.712,72.662,70.96
82,2,0,74.82,75.174,74.82,72.797
83,2,0,75.54,76.273,75.54,73.474
84,2,0,73.381,74.152,73.381,71.423
85,2,0,74.82,75.793,74.82,72.726
86,2,0,74.82,75.793,74.82,72.726
87,2,0,74.101,75.764,74.101,72.188
88,2,0,73.381,74.262,73.381,71.428
89,2,0,76.259,79.307,76.259,74.275
90,2,0,68.345,67.956,68.345,67.916
91,2,0,72.662,64.473,72.662,66.935
92,2,0,70.504,74.011,70.504,71.119
93,2,0,78.417,79.203,78.417,77.53
94,2,0,73.381,78.069,73.381,68.48
95,2,0,77.698,77.683,77.698,76.601
96,2,0,75.54,74.476,75.54,74.12
97,2,0,74.101,72.95,74.101,71.195
98,2,0,76.978,77.151,76.978,76.486
99,2,0,74.82,72.699,74.82,72.618
100,2,0,69.784,76.546,69.784,71.366
0,2,1,58.993,65.121,58.993,59.076
1,2,1,64.748,67.834,64.748,65.628
2,2,1,55.396,62.888,55.396,58.223
3,2,1,52.518,62.396,52.518,55.552
4,2,1,64.029,63.852,64.029,63.743
5,2,1,58.993,65.851,58.993,61.47
6,2,1,64.748,66.466,64.748,63.952
7,2,1,64.748,66.383,64.748,62.678
8,2,1,64.029,67.512,64.029,61.002
9,2,1,67.626,67.304,67.626,66.897
10,2,1,64.748,67.803,64.748,63.158
11,2,1,64.029,69.777,64.029,63.309
12,2,1,60.432,63.518,60.432,60.685
13,2,1,58.993,61.725,58.993,56.945
14,2,1,61.151,66.514,61.151,62.434
15,2,1,64.029,68.648,64.029,63.128
16,2,1,66.906,69.014,66.906,66.147
17,2,1,58.273,61.787,58.273,58.776
18,2,1,61.151,65.208,61.151,61.33
19,2,1,61.871,64.577,61.871,62.064
20,2,1,70.504,71.444,70.504,69.352
21,2,1,70.504,71.946,70.504,69.378
22,2,1,70.504,72.169,70.504,68.833
23,2,1,66.906,68.102,66.906,64.55
24,2,1,67.626,70.509,67.626,65.039
25,2,1,69.065,71.924,69.065,67.441
26,2,1,69.065,69.825,69.065,67.279
27,2,1,69.065,71.753,69.065,67.02
28,2,1,69.065,72.562,69.065,66.624
29,2,1,67.626,70.797,67.626,67.439
30,2,1,67.626,70.936,67.626,68.033
31,2,1,70.504,72.849,70.504,69.49
32,2,1,71.942,73.486,71.942,72.099
33,2,1,73.381,75.29,73.381,73.465
34,2,1,69.784,70.405,69.784,69.688
35,2,1,69.784,72.428,69.784,69.617
36,2,1,67.626,70.095,67.626,67.775
37,2,1,69.784,72.428,69.784,69.617
38,2,1,69.065,69.852,69.065,69.398
39,2,1,71.223,73.225,71.223,71.213
40,2,1,71.223,72.412,71.223,71.554
41,2,1,69.065,70.725,69.065,68.916
42,2,1,68.345,71.859,68.345,68.477
43,2,1,68.345,71.046,68.345,68.269
44,2,1,68.345,69.369,68.345,68.375
45,2,1,66.906,69.966,66.906,67.636
46,2,1,70.504,72.332,70.504,70.694
47,2,1,65.468,67.268,65.468,65.472
48,2,1,66.187,68.844,66.187,66.308
49,2,1,64.748,66.392,64.748,64.805
50,2,1,65.468,67.89,65.468,65.635
51,2,1,65.468,67.668,65.468,65.832
52,2,1,65.468,68.241,65.468,65.987
53,2,1,66.906,69.4,66.906,67.485
54,2,1,68.345,71.42,68.345,69.387
55,2,1,70.504,72.75,70.504,71.251
56,2,1,66.906,69.827,66.906,67.879
57,2,1,67.626,70.217,67.626,68.299
58,2,1,66.187,69.505,66.187,67.523
59,2,1,68.345,70.823,68.345,69.296
60,2,1,70.504,72.859,70.504,71.243
61,2,1,70.504,71.381,70.504,70.608
62,2,1,69.065,70.223,69.065,69.054
63,2,1,71.942,72.178,71.942,71.791
64,2,1,71.223,71.165,71.223,70.831
65,2,1,72.662,72.588,72.662,72.403
66,2,1,71.223,72.5,71.223,71.768
67,2,1,66.906,67.955,66.906,67.105
68,2,1,68.345,69.482,68.345,68.805
69,2,1,69.065,70.629,69.065,69.653
70,2,1,70.504,71.73,70.504,70.775
71,2,1,71.223,72.473,71.223,71.57
72,2,1,70.504,71.73,70.504,70.775
73,2,1,71.223,72.011,71.223,71.411
74,2,1,68.345,69.196,68.345,68.63
75,2,1,73.381,74.469,73.381,73.815
76,2,1,72.662,74.208,72.662,73.311
77,2,1,71.942,72.502,71.942,72.079
78,2,1,71.942,73.153,71.942,72.373
79,2,1,73.381,75.159,73.381,74.104
80,2,1,72.662,74.425,72.662,73.402
81,2,1,74.101,76.281,74.101,75.09
82,2,1,74.82,75.986,74.82,75.345
83,2,1,74.101,75.433,74.101,74.626
84,2,1,75.54,76.979,75.54,76.164
85,2,1,71.942,73.454,71.942,72.538
86,2,1,72.662,73.72,72.662,73.04
87,2,1,73.381,74.133,73.381,73.736
88,2,1,74.101,75.278,74.101,74.644
89,2,1,73.381,74.273,73.381,73.666
90,2,1,68.345,71.897,68.345,64.919
91,2,1,70.504,71.141,70.504,70.521
92,2,1,74.82,76.751,74.82,75.513
93,2,1,75.54,78.662,75.54,76.671
94,2,1,80.576,81.583,80.576,80.561
95,2,1,65.468,70.472,65.468,67.222
96,2,1,69.065,73.554,69.065,68.261
97,2,1,80.576,80.542,80.576,80.48
98,2,1,73.381,77.375,73.381,73.019
99,2,1,76.978,79.048,76.978,77.724
100,2,1,76.259,77.558,76.259,76.775
0,2,2,52.518,54.598,52.518,49.39
1,2,2,53.237,54.501,53.237,53.12
2,2,2,58.993,56.942,58.993,57.624
3,2,2,58.273,61.803,58.273,59.353
4,2,2,60.432,64.372,60.432,58.625
5,2,2,55.396,59.515,55.396,50.094
6,2,2,61.151,62.054,61.151,58.588
7,2,2,63.309,63.268,63.309,62.038
8,2,2,60.432,59.219,60.432,59.609
