iter,step,fold,acc,prec,rec,f1score
0,2,0,64.029,67.189,64.029,62.957
1,2,0,66.187,64.769,66.187,64.237
2,2,0,61.151,68.858,61.151,55.308
3,2,0,67.626,66.781,67.626,66.721
4,2,0,67.626,68.022,67.626,65.732
5,2,0,69.065,67.893,69.065,68.349
6,2,0,70.504,74.881,70.504,68.708
7,2,0,71.942,77.02,71.942,66.888
8,2,0,68.345,60.608,68.345,62.072
9,2,0,72.662,78.807,72.662,69.946
10,2,0,73.381,72.612,73.381,71.927
11,2,0,66.906,78.239,66.906,62.665
12,2,0,71.942,76.506,71.942,69.71
13,2,0,71.223,71.837,71.223,69.326
14,2,0,71.223,74.433,71.223,69.296
15,2,0,71.223,72.78,71.223,69.856
16,2,0,69.065,73.172,69.065,66.712
17,2,0,69.065,73.608,69.065,66.01
18,2,0,71.223,76.823,71.223,69.092
19,2,0,74.82,75.844,74.82,72.838
20,2,0,74.101,74.84,74.101,71.906
21,2,0,71.942,75.642,71.942,69.304
22,2,0,76.978,79.346,76.978,75.035
23,2,0,74.101,77.131,74.101,71.656
24,2,0,73.381,77.394,73.381,71.259
25,2,0,75.54,78.96,75.54,73.865
26,2,0,76.978,80.537,76.978,75.695
27,2,0,76.259,79.291,76.259,74.347
28,2,0,75.54,78.96,75.54,73.865
29,2,0,74.82,77.378,74.82,72.861
30,2,0,75.54,78.96,75.54,73.865
31,2,0,79.856,81.512,79.856,78.388
32,2,0,75.54,78.504,75.54,74.185
33,2,0,75.54,79.681,75.54,74.284
34,2,0,74.82,78.004,74.82,73.555
35,2,0,75.54,78.065,75.54,74.459
36,2,0,76.259,77.072,76.259,75.04
37,2,0,75.54,77.279,75.54,74.432
38,2,0,77.698,79.684,77.698,76.825
39,2,0,77.698,79.284,77.698,76.769
40,2,0,76.978,80.045,76.978,76.188
41,2,0,76.259,79.284,76.259,75.232
42,2,0,76.978,79.54,76.978,76.18
43,2,0,79.137,81.172,79.137,78.049
44,2,0,76.259,79.045,76.259,75.128
45,2,0,79.137,82.651,79.137,78.002
46,2,0,79.137,81.569,79.137,78.101
47,2,0,80.576,83.113,80.576,79.406
48,2,0,80.576,83.05,80.576,79.536
49,2,0,80.576,83.05,80.576,79.536
50,2,0,81.295,82.751,81.295,80.366
51,2,0,78.417,80.184,78.417,77.38
52,2,0,79.137,81.244,79.137,78.142
53,2,0,79.856,81.307,79.856,79.156
54,2,0,78.417,80.115,78.417,77.514
55,2,0,77.698,80.156,77.698,76.825
56,2,0,81.295,83.097,81.295,80.608
57,2,0,82.014,83.623,82.014,81.336
58,2,0,81.295,82.395,81.295,80.671
59,2,0,81.295,82.649,81.295,80.463
60,2,0,82.014,83.154,82.014,81.182
61,2,0,82.734,83.329,82.734,81.895
62,2,0,82.014,83.07,82.014,81.324
63,2,0,80.576,80.947,80.576,79.551
64,2,0,82.014,82.788,82.014,81.19
65,2,0,79.856,80.421,79.856,78.834
66,2,0,82.014,82.277,82.014,81.207
67,2,0,82.734,83.03,82.734,82.077
68,2,0,82.014,82.28,82.014,81.343
69,2,0,82.014,82.28,82.014,81.343
70,2,0,82.014,82.162,82.014,81.363
71,2,0,83.453,83.633,83.453,82.782
72,2,0,83.453,83.633,83.453,82.782
73,2,0,82.734,83.03,82.734,82.077
74,2,0,82.734,82.434,82.734,81.883
75,2,0,82.734,82.905,82.734,81.856
76,2,0,82.734,82.905,82.734,81.856
77,2,0,82.734,82.905,82.734,81.856
78,2,0,83.453,84.064,83.453,82.518
79,2,0,81.295,81.542,81.295,80.457
80,2,0,81.295,81.542,81.295,80.457
81,2,0,82.734,83.453,82.734,81.823
82,2,0,84.173,84.802,84.173,83.213
83,2,0,82.734,83.453,82.734,81.823
84,2,0,83.453,84.064,83.453,82.518
85,2,0,83.453,84.064,83.453,82.518
86,2,0,83.453,84.064,83.453,82.518
87,2,0,84.892,85.451,84.892,84.156
88,2,0,84.892,84.987,84.892,84.355
89,2,0,83.453,84.064,83.453,82.518
90,2,0,75.54,77.678,75.54,74.626
91,2,0,80.576,82.863,80.576,78.119
92,2,0,75.54,79.376,75.54,74.491
93,2,0,84.173,84.087,84.173,84.055
94,2,0,82.014,83.814,82.014,80.46
95,2,0,82.734,82.692,82.734,82.643
96,2,0,82.014,82.537,82.014,80.484
97,2,0,82.014,82.212,82.014,81.637
98,2,0,86.331,86.728,86.331,85.935
99,2,0,77.698,78.689,77.698,76.21
100,2,0,85.612,86.093,85.612,85.227
0,2,1,58.993,65.121,58.993,59.076
1,2,1,53.957,62.154,53.957,54.443
2,2,1,56.115,59.003,56.115,52.457
3,2,1,62.59,62.589,62.59,58.724
4,2,1,64.748,64.291,64.748,62.542
5,2,1,61.871,64.051,61.871,62.76
6,2,1,61.871,60.762,61.871,57.528
7,2,1,64.748,63.525,64.748,62.022
8,2,1,64.029,63.648,64.029,59.977
9,2,1,64.748,62.762,64.748,62.862
10,2,1,62.59,57.82,62.59,58.033
11,2,1,66.906,61.838,66.906,64.219
12,2,1,62.59,60.261,62.59,58.677
13,2,1,67.626,67.255,67.626,66.397
14,2,1,66.906,66.535,66.906,65.94
15,2,1,70.504,70.197,70.504,70.246
16,2,1,64.029,65.13,64.029,61.434
17,2,1,65.468,64.472,65.468,63.331
18,2,1,66.906,68.632,66.906,63.491
19,2,1,67.626,70.911,67.626,63.853
20,2,1,66.906,66.404,66.906,64.986
21,2,1,66.906,66.689,66.906,66.125
22,2,1,67.626,66.768,67.626,66.69
23,2,1,66.187,65.748,66.187,65.077
24,2,1,63.309,61.937,63.309,60.919
25,2,1,64.748,64.437,64.748,62.823
26,2,1,66.187,65.527,66.187,64.459
27,2,1,70.504,70.522,70.504,70.184
28,2,1,69.065,68.989,69.065,68.706
29,2,1,69.065,68.864,69.065,68.477
30,2,1,70.504,70.402,70.504,69.95
31,2,1,71.942,71.801,71.942,70.931
32,2,1,74.82,75.124,74.82,74.617
33,2,1,72.662,72.508,72.662,71.765
34,2,1,74.101,74.07,74.101,73.737
35,2,1,74.82,75.061,74.82,74.725
36,2,1,74.101,73.926,74.101,73.853
37,2,1,74.82,74.263,74.82,74.152
38,2,1,76.978,77.123,76.978,76.684
39,2,1,75.54,75.776,75.54,75.207
40,2,1,76.259,76.47,76.259,76.0
41,2,1,75.54,75.461,75.54,75.336
42,2,1,76.259,76.24,76.259,76.022
43,2,1,76.978,77.045,76.978,76.709
44,2,1,76.978,77.045,76.978,76.709
45,2,1,79.137,79.228,79.137,78.944
46,2,1,79.137,80.593,79.137,78.719
47,2,1,79.856,81.189,79.856,79.527
48,2,1,78.417,79.742,78.417,78.106
49,2,1,80.576,81.458,80.576,80.302
50,2,1,82.734,83.154,82.734,82.524
51,2,1,79.856,80.541,79.856,79.714
52,2,1,79.137,80.087,79.137,79.116
53,2,1,81.295,81.701,81.295,81.189
54,2,1,82.014,82.902,82.014,81.72
55,2,1,82.014,82.509,82.014,81.843
56,2,1,82.734,83.484,82.734,82.601
57,2,1,82.734,83.133,82.734,82.683
58,2,1,80.576,80.742,80.576,80.492
59,2,1,84.173,84.357,84.173,84.088
60,2,1,83.453,83.81,83.453,83.38
61,2,1,82.734,83.513,82.734,82.694
62,2,1,82.734,83.513,82.734,82.694
63,2,1,84.892,85.536,84.892,84.99
64,2,1,83.453,84.178,83.453,83.465
65,2,1,82.014,82.901,82.014,82.08
66,2,1,83.453,83.814,83.453,83.443
67,2,1,82.734,83.133,82.734,82.683
68,2,1,83.453,83.814,83.453,83.443
69,2,1,82.734,83.012,82.734,82.734
70,2,1,83.453,83.814,83.453,83.443
71,2,1,82.014,82.314,82.014,81.977
72,2,1,82.014,82.314,82.014,81.977
73,2,1,82.734,83.333,82.734,82.756
74,2,1,84.173,84.865,84.173,84.101
75,2,1,83.453,83.983,83.453,83.391
76,2,1,82.734,83.133,82.734,82.683
77,2,1,83.453,83.814,83.453,83.443
78,2,1,82.734,83.133,82.734,82.683
79,2,1,82.734,83.133,82.734,82.683
80,2,1,82.734,83.133,82.734,82.683
81,2,1,82.734,83.133,82.734,82.683
82,2,1,82.014,82.314,82.014,81.977
83,2,1,82.734,83.133,82.734,82.683
84,2,1,84.173,84.643,84.173,84.153
85,2,1,84.173,84.27,84.173,84.173
86,2,1,83.453,84.028,83.453,83.52
87,2,1,84.173,84.731,84.173,84.277
88,2,1,83.453,83.524,83.453,83.462
89,2,1,85.612,85.838,85.612,85.599
90,2,1,51.079,59.161,51.079,52.55
91,2,1,69.784,64.47,69.784,66.967
92,2,1,71.223,77.229,71.223,67.748
93,2,1,79.137,82.81,79.137,79.319
94,2,1,75.54,80.219,75.54,73.586
95,2,1,81.295,84.892,81.295,82.335
96,2,1,80.576,81.089,80.576,80.728
97,2,1,82.734,85.202,82.734,83.466
98,2,1,83.453,83.857,83.453,83.306
99,2,1,84.892,85.127,84.892,84.987
