iter,step,fold,acc,prec,rec,f1score
0,2,0,64.029,67.189,64.029,62.957
1,2,0,66.187,69.311,66.187,64.512
2,2,0,66.187,69.311,66.187,64.512
3,2,0,57.554,59.241,57.554,58.196
4,2,0,64.748,66.194,64.748,64.902
5,2,0,68.345,72.549,68.345,65.908
6,2,0,68.345,72.549,68.345,65.908
7,2,0,66.187,70.418,66.187,62.844
8,2,0,68.345,68.906,68.345,66.826
9,2,0,66.187,69.778,66.187,63.625
10,2,0,66.187,69.071,66.187,62.915
11,2,0,71.223,69.408,71.223,69.452
12,2,0,71.942,70.525,71.942,70.493
13,2,0,72.662,70.815,72.662,70.751
14,2,0,72.662,70.815,72.662,70.751
15,2,0,65.468,65.439,65.468,62.447
16,2,0,71.942,69.598,71.942,69.889
17,2,0,69.065,67.53,69.065,68.165
18,2,0,69.065,67.53,69.065,68.165
19,2,0,73.381,71.462,73.381,71.69
20,2,0,73.381,71.462,73.381,71.69
21,2,0,66.906,67.702,66.906,65.153
22,2,0,73.381,69.953,73.381,69.728
23,2,0,71.942,70.124,71.942,70.654
24,2,0,75.54,74.604,75.54,73.96
25,2,0,74.82,74.025,74.82,74.018
26,2,0,74.82,73.547,74.82,73.564
27,2,0,72.662,71.84,72.662,71.555
28,2,0,72.662,71.84,72.662,71.555
29,2,0,76.259,74.64,76.259,74.698
30,2,0,76.259,74.64,76.259,74.698
31,2,0,73.381,72.184,73.381,71.683
32,2,0,74.82,73.268,74.82,73.296
33,2,0,74.82,72.414,74.82,72.327
34,2,0,74.82,72.414,74.82,72.327
35,2,0,76.259,75.436,76.259,74.961
36,2,0,76.259,75.436,76.259,74.961
37,2,0,75.54,73.441,75.54,73.732
38,2,0,75.54,73.441,75.54,73.732
39,2,0,73.381,72.738,73.381,72.481
40,2,0,74.101,72.77,74.101,72.43
41,2,0,74.101,72.77,74.101,72.43
42,2,0,76.259,75.56,76.259,75.163
43,2,0,74.82,74.183,74.82,73.938
44,2,0,74.82,74.183,74.82,73.938
45,2,0,75.54,72.804,75.54,73.277
46,2,0,75.54,72.804,75.54,73.277
47,2,0,72.662,69.324,72.662,70.076
48,2,0,72.662,69.324,72.662,70.076
49,2,0,74.82,74.105,74.82,73.696
50,2,0,74.82,74.105,74.82,73.696
51,2,0,73.381,71.551,73.381,71.401
52,2,0,74.82,72.582,74.82,73.035
53,2,0,74.82,72.656,74.82,73.185
54,2,0,72.662,70.815,72.662,70.751
55,2,0,73.381,71.348,73.381,71.516
56,2,0,73.381,71.348,73.381,71.516
57,2,0,73.381,72.143,73.381,71.927
58,2,0,73.381,72.143,73.381,71.927
59,2,0,73.381,70.67,73.381,71.09
60,2,0,73.381,70.67,73.381,71.09
61,2,0,74.101,71.365,74.101,71.838
62,2,0,74.101,71.365,74.101,71.838
63,2,0,74.101,71.763,74.101,72.471
64,2,0,74.101,71.763,74.101,72.471
65,2,0,73.381,71.131,73.381,71.831
66,2,0,73.381,71.943,73.381,72.343
67,2,0,74.82,73.332,74.82,73.771
68,2,0,74.82,73.332,74.82,73.771
69,2,0,72.662,71.191,72.662,71.721
70,2,0,72.662,71.191,72.662,71.721
71,2,0,72.662,70.85,72.662,71.413
72,2,0,72.662,70.85,72.662,71.413
73,2,0,74.82,72.497,74.82,73.198
74,2,0,74.82,72.497,74.82,73.198
75,2,0,71.942,68.425,71.942,69.459
76,2,0,71.942,68.425,71.942,69.459
77,2,0,75.54,73.316,75.54,74.044
78,2,0,75.54,73.316,75.54,74.044
79,2,0,74.82,72.664,74.82,73.208
80,2,0,74.82,72.664,74.82,73.208
81,2,0,76.259,74.61,76.259,74.793
