iter,step,fold,acc,prec,rec,f1score
0,2,0,54.676,50.981,54.676,51.948
1,2,0,50.36,47.589,50.36,47.169
2,2,0,51.079,48.198,51.079,48.871
3,2,0,49.64,48.046,49.64,47.755
4,2,0,62.59,54.468,62.59,57.544
5,2,0,64.748,56.675,64.748,59.212
6,2,0,58.273,57.321,58.273,56.708
7,2,0,55.396,49.139,55.396,49.468
8,2,0,58.993,60.012,58.993,58.179
9,2,0,54.676,54.091,54.676,52.556
10,2,0,53.957,51.369,53.957,51.177
11,2,0,57.554,50.497,57.554,49.875
12,2,0,59.712,60.064,59.712,55.712
13,2,0,58.273,56.799,58.273,54.62
14,2,0,57.554,60.321,57.554,51.535
15,2,0,59.712,66.732,59.712,54.566
16,2,0,57.554,58.151,57.554,53.465
17,2,0,60.432,59.976,60.432,57.294
18,2,0,61.151,65.619,61.151,58.144
19,2,0,60.432,60.85,60.432,57.174
20,2,0,56.115,55.669,56.115,51.781
21,2,0,61.151,61.771,61.151,55.413
22,2,0,60.432,66.25,60.432,55.852
23,2,0,62.59,64.438,62.59,56.421
24,2,0,64.029,65.398,64.029,60.775
25,2,0,66.187,64.323,66.187,63.657
26,2,0,69.065,71.695,69.065,67.41
27,2,0,59.712,60.643,59.712,53.618
28,2,0,65.468,64.911,65.468,63.184
29,2,0,63.309,62.86,63.309,60.677
30,2,0,64.029,69.974,64.029,60.693
31,2,0,64.029,62.964,64.029,61.005
32,2,0,63.309,67.89,63.309,59.163
33,2,0,64.748,70.437,64.748,60.333
34,2,0,65.468,71.276,65.468,60.543
35,2,0,71.223,74.774,71.223,68.156
36,2,0,64.029,64.755,64.029,61.208
37,2,0,66.906,66.537,66.906,64.944
38,2,0,68.345,68.15,68.345,66.321
39,2,0,71.223,71.223,71.223,69.226
40,2,0,68.345,68.59,68.345,67.082
41,2,0,69.784,70.15,69.784,67.601
42,2,0,68.345,67.211,68.345,67.149
43,2,0,70.504,69.933,70.504,68.726
44,2,0,69.065,67.523,69.065,67.585
45,2,0,64.748,64.829,64.748,62.874
46,2,0,70.504,72.438,70.504,68.682
47,2,0,68.345,67.85,68.345,66.248
48,2,0,69.065,69.675,69.065,67.4
49,2,0,66.187,66.145,66.187,64.184
50,2,0,66.187,68.154,66.187,63.292
51,2,0,66.906,65.693,66.906,65.524
52,2,0,70.504,73.755,70.504,68.281
53,2,0,69.784,69.247,69.784,66.774
54,2,0,68.345,66.995,68.345,66.589
55,2,0,71.223,71.145,71.223,69.377
56,2,0,69.784,69.674,69.784,68.746
57,2,0,69.065,68.624,69.065,68.019
58,2,0,74.82,75.559,74.82,73.932
59,2,0,73.381,73.751,73.381,72.408
60,2,0,71.942,71.808,71.942,70.78
61,2,0,75.54,75.707,75.54,74.195
62,2,0,73.381,73.596,73.381,72.512
63,2,0,75.54,76.057,75.54,74.75
64,2,0,71.942,72.28,71.942,71.316
65,2,0,78.417,78.674,78.417,77.539
66,2,0,76.978,77.379,76.978,76.357
67,2,0,78.417,78.452,78.417,77.81
68,2,0,74.101,73.823,74.101,73.435
69,2,0,76.259,76.286,76.259,75.428
70,2,0,71.942,71.499,71.942,71.385
71,2,0,76.978,76.552,76.978,76.339
72,2,0,77.698,77.232,77.698,77.039
73,2,0,72.662,73.043,72.662,71.603
74,2,0,73.381,73.02,73.381,72.627
75,2,0,74.101,74.214,74.101,72.894
76,2,0,70.504,70.489,70.504,69.252
77,2,0,74.82,74.243,74.82,73.858
78,2,0,71.223,70.584,71.223,70.467
79,2,0,76.259,76.744,76.259,75.231
80,2,0,74.82,74.717,74.82,73.742
81,2,0,74.82,74.171,74.82,73.835
82,2,0,73.381,73.138,73.381,72.154
83,2,0,68.345,67.91,68.345,67.844
84,2,0,76.259,76.06,76.259,75.377
85,2,0,71.223,71.183,71.223,70.235
86,2,0,74.82,74.848,74.82,73.925
87,2,0,74.101,73.545,74.101,73.192
88,2,0,73.381,73.062,73.381,72.528
89,2,0,71.942,71.577,71.942,70.846
90,2,0,57.554,53.345,57.554,49.011
91,2,0,65.468,65.428,65.468,65.24
92,2,0,60.432,70.627,60.432,54.854
93,2,0,43.165,55.577,43.165,44.57
94,2,0,70.504,71.06,70.504,66.56
95,2,0,63.309,69.586,63.309,59.099
96,2,0,71.942,73.664,71.942,71.154
97,2,0,76.259,79.275,76.259,72.879
98,2,0,64.029,70.927,64.029,65.716
99,2,0,72.662,72.001,72.662,71.554
100,2,0,75.54,76.876,75.54,74.027
0,2,1,64.029,63.949,64.029,63.953
1,2,1,59.712,63.193,59.712,60.545
2,2,1,63.309,61.132,63.309,62.097
3,2,1,64.029,62.36,64.029,59.858
4,2,1,60.432,58.736,60.432,55.64
5,2,1,61.871,57.999,61.871,59.619
