iter,step,fold,acc,prec,rec,f1score
0,2,0,54.676,50.981,54.676,51.948
1,2,0,50.36,47.589,50.36,47.169
2,2,0,53.237,52.925,53.237,51.137
3,2,0,52.518,52.948,52.518,51.133
4,2,0,52.518,53.427,52.518,51.95
5,2,0,54.676,54.191,54.676,54.387
6,2,0,53.957,57.142,53.957,52.939
7,2,0,52.518,56.938,52.518,51.049
8,2,0,58.993,58.909,58.993,56.206
9,2,0,56.115,57.028,56.115,49.948
10,2,0,64.748,59.021,64.748,59.02
11,2,0,57.554,60.317,57.554,52.667
12,2,0,59.712,61.946,59.712,53.628
13,2,0,65.468,57.782,65.468,59.846
14,2,0,61.151,58.388,61.151,55.426
15,2,0,57.554,60.174,57.554,51.274
16,2,0,69.784,70.616,69.784,65.025
17,2,0,64.029,61.107,64.029,60.125
18,2,0,61.151,59.763,61.151,56.856
19,2,0,59.712,64.77,59.712,55.817
20,2,0,64.029,64.921,64.029,62.255
21,2,0,61.871,66.206,61.871,59.93
22,2,0,63.309,65.239,63.309,61.477
23,2,0,66.187,66.705,66.187,63.843
24,2,0,73.381,74.4,73.381,71.131
25,2,0,73.381,74.771,73.381,71.586
26,2,0,73.381,74.001,73.381,71.629
27,2,0,70.504,71.572,70.504,67.973
28,2,0,70.504,70.031,70.504,68.916
29,2,0,71.942,73.23,71.942,70.678
30,2,0,69.065,70.603,69.065,68.329
31,2,0,69.784,69.538,69.784,68.538
32,2,0,74.101,74.043,74.101,73.209
33,2,0,71.223,71.251,71.223,70.619
34,2,0,69.065,68.388,69.065,68.296
35,2,0,70.504,70.989,70.504,69.419
36,2,0,67.626,66.486,67.626,66.402
37,2,0,69.784,70.227,69.784,68.469
38,2,0,74.82,75.926,74.82,74.166
39,2,0,71.223,71.357,71.223,70.325
40,2,0,73.381,73.91,73.381,72.603
41,2,0,73.381,74.662,73.381,72.06
42,2,0,76.978,78.905,76.978,76.307
43,2,0,71.942,72.482,71.942,71.079
44,2,0,73.381,74.646,73.381,72.526
45,2,0,73.381,73.112,73.381,72.808
46,2,0,78.417,79.512,78.417,77.825
47,2,0,71.223,71.158,71.223,70.766
48,2,0,74.82,74.841,74.82,74.142
49,2,0,76.978,77.379,76.978,76.357
50,2,0,72.662,74.123,72.662,72.183
51,2,0,77.698,79.72,77.698,77.056
52,2,0,80.576,81.244,80.576,79.669
53,2,0,81.295,81.957,81.295,80.643
54,2,0,75.54,75.438,75.54,73.927
55,2,0,82.734,82.827,82.734,82.252
56,2,0,76.978,77.28,76.978,76.256
57,2,0,80.576,80.597,80.576,79.62
58,2,0,79.856,79.593,79.856,79.087
59,2,0,83.453,83.958,83.453,82.5
60,2,0,78.417,77.971,78.417,77.403
61,2,0,79.137,78.392,79.137,77.802
62,2,0,80.576,80.649,80.576,79.715
63,2,0,80.576,80.741,80.576,79.959
64,2,0,80.576,80.667,80.576,79.757
65,2,0,79.856,79.423,79.856,78.856
66,2,0,79.856,80.066,79.856,79.287
67,2,0,80.576,80.352,80.576,79.978
68,2,0,79.137,79.936,79.137,78.323
69,2,0,79.856,80.036,79.856,79.247
70,2,0,80.576,80.814,80.576,79.686
71,2,0,82.014,82.0,82.014,81.107
72,2,0,80.576,80.661,80.576,79.741
73,2,0,81.295,81.485,81.295,80.88
74,2,0,83.453,83.529,83.453,82.939
75,2,0,84.892,84.902,84.892,84.344
76,2,0,84.173,84.195,84.173,83.654
77,2,0,84.892,84.957,84.892,84.523
78,2,0,87.05,87.34,87.05,86.795
79,2,0,85.612,85.609,85.612,85.237
80,2,0,84.173,84.267,84.173,83.848
81,2,0,82.014,82.126,82.014,81.555
82,2,0,84.173,83.89,84.173,83.676
83,2,0,84.892,84.918,84.892,84.532
84,2,0,85.612,85.668,85.612,84.826
85,2,0,80.576,80.329,80.576,79.943
86,2,0,82.734,82.408,82.734,82.306
87,2,0,81.295,81.432,81.295,80.599
88,2,0,83.453,83.273,83.453,82.922
89,2,0,84.892,85.139,84.892,84.444
90,2,0,64.748,66.499,64.748,63.735
91,2,0,62.59,64.574,62.59,60.784
92,2,0,59.712,72.504,59.712,53.126
93,2,0,43.885,56.254,43.885,44.709
94,2,0,74.82,76.151,74.82,74.156
95,2,0,75.54,74.43,75.54,71.663
96,2,0,82.734,82.622,82.734,82.668
97,2,0,82.014,81.925,82.014,81.626
98,2,0,82.014,81.631,82.014,81.685
99,2,0,79.856,81.083,79.856,79.374
100,2,0,79.856,84.259,79.856,78.542
0,2,1,64.029,63.949,64.029,63.953
1,2,1,59.712,63.193,59.712,60.545
2,2,1,58.993,62.242,58.993,59.067
3,2,1,56.115,61.871,56.115,58.015
4,2,1,58.993,64.928,58.993,58.892
5,2,1,53.957,64.157,53.957,55.063
