iter,step,fold,acc,prec,rec,f1score
0,2,0,54.676,50.981,54.676,51.948
1,2,0,50.36,47.589,50.36,47.169
2,2,0,50.36,47.589,50.36,47.169
3,2,0,53.237,52.925,53.237,51.137
4,2,0,53.237,52.925,53.237,51.137
5,2,0,52.518,52.948,52.518,51.133
6,2,0,52.518,52.948,52.518,51.133
7,2,0,55.396,54.556,55.396,54.879
8,2,0,55.396,54.556,55.396,54.879
9,2,0,51.799,54.916,51.799,50.755
10,2,0,51.799,54.916,51.799,50.755
11,2,0,48.921,48.313,48.921,46.749
12,2,0,48.921,48.313,48.921,46.749
13,2,0,56.115,54.075,56.115,54.449
14,2,0,55.396,48.917,55.396,51.702
15,2,0,51.079,51.2,51.079,49.451
16,2,0,59.712,57.574,59.712,57.668
17,2,0,66.906,70.923,66.906,62.925
18,2,0,58.993,57.938,58.993,54.698
19,2,0,64.748,56.402,64.748,60.246
20,2,0,64.748,56.402,64.748,60.246
21,2,0,64.029,56.17,64.029,58.029
22,2,0,64.029,56.17,64.029,58.029
23,2,0,68.345,68.973,68.345,65.451
24,2,0,68.345,68.973,68.345,65.451
25,2,0,56.835,52.565,56.835,54.196
26,2,0,64.748,66.241,64.748,61.747
27,2,0,65.468,65.744,65.468,61.913
28,2,0,65.468,65.593,65.468,62.161
29,2,0,63.309,65.071,63.309,59.847
30,2,0,66.187,65.305,66.187,63.097
31,2,0,69.065,70.15,69.065,66.24
32,2,0,69.065,70.15,69.065,66.24
33,2,0,72.662,74.767,72.662,69.96
34,2,0,72.662,74.767,72.662,69.96
35,2,0,69.784,70.811,69.784,68.165
36,2,0,66.906,66.114,66.906,65.38
37,2,0,71.942,71.411,71.942,70.424
38,2,0,69.065,69.264,69.065,67.44
39,2,0,70.504,70.324,70.504,69.4
40,2,0,70.504,70.324,70.504,69.4
41,2,0,69.784,71.132,69.784,68.15
42,2,0,69.784,71.132,69.784,68.15
43,2,0,72.662,72.559,72.662,71.148
44,2,0,72.662,72.559,72.662,71.148
45,2,0,69.065,68.378,69.065,67.575
46,2,0,67.626,66.722,67.626,65.951
47,2,0,68.345,67.73,68.345,66.416
48,2,0,68.345,67.73,68.345,66.416
49,2,0,74.101,75.449,74.101,72.515
50,2,0,74.101,75.449,74.101,72.515
51,2,0,72.662,73.802,72.662,71.596
52,2,0,72.662,73.802,72.662,71.596
53,2,0,71.223,71.287,71.223,69.919
54,2,0,74.82,74.541,74.82,73.65
55,2,0,69.065,68.676,69.065,67.311
56,2,0,69.065,68.676,69.065,67.311
57,2,0,71.223,70.629,71.223,69.997
58,2,0,71.223,70.629,71.223,69.997
59,2,0,72.662,72.373,72.662,71.361
60,2,0,72.662,72.373,72.662,71.361
61,2,0,70.504,69.968,70.504,69.421
62,2,0,70.504,69.968,70.504,69.421
63,2,0,69.065,68.578,69.065,68.109
64,2,0,70.504,70.697,70.504,68.923
65,2,0,71.942,72.094,71.942,71.19
66,2,0,69.784,69.286,69.784,69.151
67,2,0,72.662,72.734,72.662,72.012
68,2,0,72.662,72.734,72.662,72.012
69,2,0,69.784,70.396,69.784,68.79
70,2,0,69.784,69.429,69.784,68.983
71,2,0,71.942,71.647,71.942,71.247
72,2,0,71.942,71.647,71.942,71.247
73,2,0,71.942,72.462,71.942,70.91
74,2,0,70.504,70.682,70.504,69.972
75,2,0,72.662,72.846,72.662,72.146
76,2,0,72.662,72.846,72.662,72.146
77,2,0,71.942,72.154,71.942,71.55
78,2,0,71.942,72.154,71.942,71.55
79,2,0,74.101,74.23,74.101,73.547
80,2,0,74.101,74.23,74.101,73.547
81,2,0,74.101,74.01,74.101,73.272
82,2,0,74.101,74.01,74.101,73.272
83,2,0,73.381,73.484,73.381,72.624
84,2,0,73.381,73.484,73.381,72.624
85,2,0,76.259,76.587,76.259,75.352
86,2,0,76.259,76.587,76.259,75.352
87,2,0,75.54,75.62,75.54,75.115
88,2,0,75.54,75.62,75.54,75.115
89,2,0,72.662,71.955,72.662,71.77
90,2,0,76.259,76.855,76.259,75.861
91,2,0,74.101,74.503,74.101,73.194
92,2,0,74.101,74.503,74.101,73.194
93,2,0,74.101,74.555,74.101,73.262
94,2,0,74.101,74.555,74.101,73.262
95,2,0,71.223,71.316,71.223,70.412
96,2,0,72.662,72.68,72.662,71.811
97,2,0,74.101,74.634,74.101,73.827
98,2,0,75.54,76.24,75.54,74.948
99,2,0,78.417,79.273,78.417,77.785
100,2,0,78.417,79.273,78.417,77.785
0,2,1,64.029,63.949,64.029,63.953
1,2,1,56.115,69.834,56.115,60.139
2,2,1,71.942,70.554,71.942,69.651
3,2,1,72.662,68.782,72.662,69.104
4,2,1,67.626,63.296,67.626,63.882
5,2,1,65.468,67.152,65.468,64.452
