iter,step,fold,acc,prec,rec,f1score
0,2,0,54.676,50.981,54.676,51.948
1,2,0,48.201,55.539,48.201,48.985
2,2,0,53.957,51.277,53.957,50.227
3,2,0,58.273,57.911,58.273,57.972
4,2,0,65.468,56.1,65.468,59.831
5,2,0,61.151,62.339,61.151,56.654
6,2,0,68.345,68.465,68.345,65.692
7,2,0,60.432,60.138,60.432,59.009
8,2,0,60.432,58.712,60.432,58.964
9,2,0,64.748,64.717,64.748,64.248
10,2,0,60.432,62.095,60.432,58.746
11,2,0,53.957,54.352,53.957,52.246
12,2,0,61.871,61.59,61.871,60.882
13,2,0,63.309,71.844,63.309,57.885
14,2,0,65.468,64.583,65.468,63.017
15,2,0,64.029,65.322,64.029,62.258
16,2,0,62.59,64.261,62.59,59.29
17,2,0,61.871,62.357,61.871,60.87
18,2,0,62.59,63.174,62.59,60.856
19,2,0,64.748,66.153,64.748,62.579
20,2,0,66.187,67.444,66.187,63.932
21,2,0,64.029,65.17,64.029,63.102
22,2,0,69.065,68.687,69.065,68.36
23,2,0,66.187,69.326,66.187,64.279
24,2,0,62.59,63.724,62.59,61.423
25,2,0,63.309,65.592,63.309,61.212
26,2,0,66.187,67.812,66.187,64.494
27,2,0,61.871,62.473,61.871,59.702
28,2,0,68.345,69.234,68.345,67.532
29,2,0,66.906,67.484,66.906,65.755
30,2,0,69.784,71.599,69.784,68.519
31,2,0,78.417,78.892,78.417,77.807
32,2,0,66.187,68.26,66.187,64.786
33,2,0,71.223,72.474,71.223,70.136
34,2,0,67.626,67.33,67.626,65.865
35,2,0,66.187,65.446,66.187,64.942
36,2,0,65.468,66.349,65.468,63.602
37,2,0,65.468,66.115,65.468,64.075
38,2,0,64.029,65.009,64.029,62.824
39,2,0,63.309,62.906,63.309,62.582
40,2,0,68.345,67.663,68.345,67.709
41,2,0,65.468,66.673,65.468,64.031
42,2,0,64.748,65.62,64.748,62.748
43,2,0,69.784,71.706,69.784,69.357
44,2,0,64.029,63.635,64.029,63.67
45,2,0,66.187,66.272,66.187,65.68
46,2,0,64.748,64.398,64.748,64.153
47,2,0,65.468,65.412,65.468,64.887
48,2,0,63.309,62.9,63.309,62.677
49,2,0,62.59,62.246,62.59,61.555
50,2,0,64.029,63.88,64.029,63.435
51,2,0,69.784,69.658,69.784,69.187
52,2,0,70.504,70.228,70.504,70.078
53,2,0,71.942,71.612,71.942,71.314
54,2,0,71.942,71.962,71.942,71.935
55,2,0,67.626,67.945,67.626,66.764
56,2,0,67.626,67.423,67.626,67.335
57,2,0,68.345,68.063,68.345,67.851
58,2,0,65.468,64.991,65.468,64.903
59,2,0,71.942,71.873,71.942,71.546
60,2,0,72.662,73.162,72.662,72.242
61,2,0,74.82,74.761,74.82,74.716
62,2,0,67.626,67.614,67.626,67.356
63,2,0,70.504,69.963,70.504,69.986
64,2,0,76.259,76.191,76.259,75.779
65,2,0,72.662,72.594,72.662,72.283
66,2,0,71.223,71.116,71.223,70.968
67,2,0,72.662,72.607,72.662,72.568
68,2,0,71.223,71.134,71.223,71.16
69,2,0,71.223,71.23,71.223,70.903
70,2,0,69.784,69.57,69.784,69.566
71,2,0,74.101,74.249,74.101,74.07
72,2,0,71.223,71.236,71.223,71.135
73,2,0,71.223,71.318,71.223,70.9
74,2,0,70.504,71.185,70.504,70.253
75,2,0,74.101,74.691,74.101,73.683
76,2,0,73.381,73.379,73.381,73.164
77,2,0,71.223,71.644,71.223,70.766
78,2,0,74.101,74.426,74.101,73.743
79,2,0,68.345,68.321,68.345,68.148
80,2,0,76.259,76.381,76.259,76.159
81,2,0,74.101,74.368,74.101,73.871
82,2,0,76.259,76.695,76.259,75.966
83,2,0,75.54,75.78,75.54,75.313
84,2,0,73.381,73.472,73.381,73.083
85,2,0,72.662,72.975,72.662,72.068
86,2,0,76.978,77.481,76.978,76.432
87,2,0,69.784,69.759,69.784,69.155
88,2,0,72.662,73.239,72.662,71.769
89,2,0,76.978,77.631,76.978,76.676
90,2,0,53.237,45.24,53.237,47.236
91,2,0,58.273,65.704,58.273,51.585
92,2,0,66.906,66.279,66.906,66.066
93,2,0,53.237,69.194,53.237,55.722
94,2,0,54.676,68.255,54.676,56.64
95,2,0,53.237,62.621,53.237,54.876
96,2,0,61.871,67.304,61.871,58.017
97,2,0,67.626,65.154,67.626,65.454
98,2,0,76.978,76.827,76.978,76.839
99,2,0,80.576,81.701,80.576,80.292
100,2,0,70.504,71.798,70.504,69.437
0,2,1,64.029,63.949,64.029,63.953
1,2,1,63.309,70.129,63.309,65.197
2,2,1,66.187,62.724,66.187,61.223
3,2,1,70.504,66.741,70.504,65.849
4,2,1,68.345,67.363,68.345,65.937
5,2,1,62.59,61.329,62.59,57.37
6,2,1,66.187,64.842,66.187,63.841
7,2,1,66.906,67.525,66.906,64.826
8,2,1,61.871,57.476,61.871,56.982
9,2,1,67.626,66.47,67.626,61.835
10,2,1,64.748,60.971,64.748,61.172
11,2,1,67.626,67.585,67.626,64.64
12,2,1,64.029,60.166,64.029,61.195
13,2,1,67.626,66.545,67.626,65.298
14,2,1,66.187,62.59,66.187,62.652
15,2,1,66.187,66.312,66.187,66.069
16,2,1,73.381,72.565,73.381,72.25
17,2,1,69.784,69.713,69.784,68.96
18,2,1,66.187,65.66,66.187,65.33
19,2,1,69.784,69.597,69.784,68.677
20,2,1,66.187,65.134,66.187,65.012
21,2,1,68.345,67.833,68.345,66.76
22,2,1,67.626,67.101,67.626,66.558
23,2,1,64.748,64.023,64.748,64.222
24,2,1,64.029,63.104,64.029,62.588
25,2,1,65.468,63.458,65.468,63.879
26,2,1,66.187,65.017,66.187,63.363
27,2,1,70.504,69.827,70.504,68.226
28,2,1,69.065,69.094,69.065,67.239
29,2,1,74.101,72.648,74.101,72.078
30,2,1,71.223,69.82,71.223,69.237
31,2,1,72.662,72.711,72.662,71.297
32,2,1,70.504,69.475,70.504,69.021
33,2,1,71.942,71.082,71.942,71.287
34,2,1,72.662,71.703,72.662,71.683
35,2,1,71.942,71.01,71.942,70.978
36,2,1,70.504,68.411,70.504,69.182
37,2,1,73.381,71.369,73.381,72.125
38,2,1,72.662,70.531,72.662,71.103
39,2,1,73.381,71.344,73.381,72.179
40,2,1,72.662,70.452,72.662,71.265
41,2,1,74.82,73.278,74.82,72.914
42,2,1,73.381,71.238,73.381,71.671
43,2,1,69.784,67.817,69.784,68.639
44,2,1,74.82,72.733,74.82,73.625
45,2,1,74.82,72.59,74.82,73.204
46,2,1,74.82,73.693,74.82,73.756
47,2,1,71.942,69.877,71.942,70.726
48,2,1,72.662,72.097,72.662,72.177
49,2,1,77.698,75.555,77.698,75.86
50,2,1,76.978,74.742,76.978,75.357
51,2,1,77.698,76.415,77.698,75.981
52,2,1,75.54,73.255,75.54,74.079
53,2,1,75.54,74.119,75.54,74.524
54,2,1,76.259,74.553,76.259,74.266
55,2,1,74.101,71.894,74.101,72.728
56,2,1,76.978,74.778,76.978,75.6
57,2,1,74.82,74.774,74.82,74.779
58,2,1,73.381,72.767,73.381,73.006
59,2,1,72.662,70.7,72.662,71.176
60,2,1,71.223,70.718,71.223,70.936
61,2,1,74.82,74.013,74.82,74.209
62,2,1,72.662,71.974,72.662,72.227
63,2,1,76.259,74.97,76.259,75.345
64,2,1,74.101,73.034,74.101,73.269
65,2,1,75.54,74.027,75.54,73.739
66,2,1,75.54,74.766,75.54,74.82
67,2,1,79.856,77.774,79.856,78.041
68,2,1,79.856,78.266,79.856,78.026
69,2,1,79.856,77.5,79.856,78.072
70,2,1,79.856,77.611,79.856,78.082
71,2,1,82.014,81.771,82.014,81.073
72,2,1,79.137,77.913,79.137,77.896
73,2,1,76.259,74.724,76.259,75.219
74,2,1,76.978,76.572,76.978,76.626
75,2,1,81.295,81.294,81.295,81.275
76,2,1,82.734,81.931,82.734,81.986
77,2,1,79.856,79.248,79.856,79.481
78,2,1,81.295,80.716,81.295,80.88
79,2,1,76.259,75.894,76.259,76.06
80,2,1,77.698,77.75,77.698,77.705
81,2,1,76.259,76.253,76.259,76.237
82,2,1,76.259,75.448,76.259,75.814
83,2,1,74.82,75.089,74.82,74.916
84,2,1,78.417,77.77,78.417,78.056
85,2,1,74.82,74.216,74.82,74.283
86,2,1,75.54,75.601,75.54,75.4
87,2,1,77.698,78.004,77.698,77.781
88,2,1,74.101,74.059,74.101,74.007
89,2,1,76.978,76.432,76.978,76.665
90,2,1,67.626,68.482,67.626,65.208
91,2,1,69.784,69.533,69.784,65.63
92,2,1,62.59,71.528,62.59,64.419
93,2,1,74.101,71.706,74.101,71.424
94,2,1,74.82,69.391,74.82,72.0
95,2,1,81.295,80.572,81.295,79.449
