iter,step,fold,acc,prec,rec,f1score
0,2,0,69.065,60.757,69.065,63.492
1,2,0,70.504,61.764,70.504,64.941
2,2,0,69.784,60.925,69.784,64.166
3,2,0,69.784,61.266,69.784,64.088
4,2,0,69.784,61.266,69.784,64.088
5,2,0,69.065,60.754,69.065,63.347
6,2,0,74.101,77.788,74.101,70.834
7,2,0,71.942,76.082,71.942,68.084
8,2,0,71.223,75.344,71.223,67.423
9,2,0,71.223,70.958,71.223,68.793
10,2,0,72.662,71.232,72.662,70.325
11,2,0,73.381,71.895,73.381,71.548
12,2,0,71.223,69.81,71.223,69.503
13,2,0,71.942,71.055,71.942,70.402
14,2,0,72.662,71.386,72.662,70.832
15,2,0,72.662,71.386,72.662,70.832
16,2,0,75.54,75.305,75.54,74.788
17,2,0,79.137,79.061,79.137,79.021
18,2,0,79.137,79.061,79.137,79.021
19,2,0,79.137,79.061,79.137,79.021
20,2,0,78.417,78.408,78.417,78.333
21,2,0,79.856,79.808,79.856,79.752
22,2,0,82.014,81.838,82.014,81.823
23,2,0,83.453,83.299,83.453,83.205
24,2,0,84.892,84.861,84.892,84.592
25,2,0,84.173,84.228,84.173,83.846
26,2,0,79.856,80.204,79.856,79.708
27,2,0,80.576,80.744,80.576,80.54
28,2,0,81.295,81.447,81.295,81.294
29,2,0,81.295,81.447,81.295,81.294
30,2,0,81.295,81.793,81.295,81.444
31,2,0,82.014,82.53,82.014,82.198
32,2,0,82.734,83.043,82.734,82.854
33,2,0,82.734,83.043,82.734,82.854
34,2,0,83.453,84.167,83.453,83.697
35,2,0,82.734,83.429,82.734,82.947
36,2,0,82.734,83.429,82.734,82.947
37,2,0,83.453,84.167,83.453,83.697
38,2,0,83.453,84.167,83.453,83.697
39,2,0,82.734,83.281,82.734,82.946
40,2,0,82.014,82.53,82.014,82.198
41,2,0,80.576,81.799,80.576,80.904
42,2,0,80.576,81.799,80.576,80.904
43,2,0,82.014,82.963,82.014,82.285
44,2,0,81.295,82.354,81.295,81.525
45,2,0,81.295,82.354,81.295,81.525
46,2,0,81.295,82.537,81.295,81.668
47,2,0,81.295,83.757,81.295,82.086
48,2,0,81.295,83.757,81.295,82.086
49,2,0,81.295,83.757,81.295,82.086
50,2,0,81.295,83.757,81.295,82.086
51,2,0,82.014,84.098,82.014,82.699
52,2,0,82.734,84.456,82.734,83.313
53,2,0,82.734,84.456,82.734,83.313
54,2,0,82.734,84.456,82.734,83.313
55,2,0,82.734,84.456,82.734,83.313
56,2,0,82.734,84.456,82.734,83.313
57,2,0,81.295,83.757,81.295,82.086
58,2,0,81.295,83.757,81.295,82.086
59,2,0,81.295,83.757,81.295,82.086
60,2,0,81.295,83.757,81.295,82.086
61,2,0,81.295,83.757,81.295,82.086
62,2,0,78.417,82.53,78.417,79.636
63,2,0,78.417,82.53,78.417,79.636
64,2,0,78.417,82.53,78.417,79.636
65,2,0,79.137,82.82,79.137,80.249
66,2,0,79.856,83.12,79.856,80.862
67,2,0,79.856,83.12,79.856,80.862
68,2,0,78.417,81.076,78.417,79.227
69,2,0,79.137,81.438,79.137,79.835
70,2,0,80.576,82.939,80.576,81.337
71,2,0,80.576,82.939,80.576,81.337
