iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.013,77.698,71.899
1,2,0,78.417,70.504,78.417,72.719
2,2,0,79.137,70.363,79.137,73.301
3,2,0,79.856,70.755,79.856,73.983
4,2,0,79.856,70.755,79.856,73.983
5,2,0,79.137,70.86,79.137,73.405
6,2,0,79.137,70.86,79.137,73.405
7,2,0,79.856,71.223,79.856,74.085
8,2,0,78.417,70.504,78.417,72.719
9,2,0,78.417,70.504,78.417,72.719
10,2,0,78.417,70.86,78.417,72.964
11,2,0,78.417,70.86,78.417,72.964
12,2,0,78.417,70.86,78.417,72.964
13,2,0,78.417,70.86,78.417,72.964
14,2,0,78.417,70.86,78.417,72.964
15,2,0,78.417,70.504,78.417,72.719
16,2,0,78.417,70.86,78.417,72.964
17,2,0,78.417,70.504,78.417,72.719
18,2,0,78.417,70.504,78.417,72.719
19,2,0,79.137,70.86,79.137,73.405
20,2,0,79.137,70.86,79.137,73.405
21,2,0,78.417,70.504,78.417,72.719
22,2,0,78.417,70.504,78.417,72.719
23,2,0,78.417,70.504,78.417,72.719
24,2,0,78.417,70.504,78.417,72.719
25,2,0,79.137,70.86,79.137,73.405
26,2,0,79.137,70.86,79.137,73.405
27,2,0,78.417,70.504,78.417,72.719
28,2,0,78.417,70.504,78.417,72.719
29,2,0,78.417,70.504,78.417,72.719
30,2,0,78.417,70.504,78.417,72.719
31,2,0,78.417,70.504,78.417,72.719
32,2,0,78.417,70.504,78.417,72.719
33,2,0,78.417,70.504,78.417,72.719
34,2,0,78.417,70.504,78.417,72.719
35,2,0,78.417,70.504,78.417,72.719
36,2,0,79.137,70.86,79.137,73.405
37,2,0,79.137,70.86,79.137,73.405
38,2,0,79.137,70.86,79.137,73.405
39,2,0,78.417,70.504,78.417,72.719
40,2,0,78.417,70.504,78.417,72.719
41,2,0,78.417,70.504,78.417,72.719
42,2,0,78.417,70.504,78.417,72.719
43,2,0,78.417,70.504,78.417,72.719
44,2,0,78.417,70.504,78.417,72.719
45,2,0,78.417,70.504,78.417,72.719
46,2,0,78.417,70.504,78.417,72.719
47,2,0,78.417,70.504,78.417,72.719
48,2,0,78.417,70.504,78.417,72.719
49,2,0,78.417,69.978,78.417,72.613
50,2,0,78.417,69.978,78.417,72.613
51,2,0,78.417,70.504,78.417,72.719
52,2,0,78.417,70.504,78.417,72.719
53,2,0,78.417,70.504,78.417,72.719
54,2,0,78.417,70.504,78.417,72.719
55,2,0,78.417,70.504,78.417,72.719
56,2,0,78.417,70.504,78.417,72.719
57,2,0,78.417,70.504,78.417,72.719
58,2,0,78.417,70.504,78.417,72.719
59,2,0,78.417,70.504,78.417,72.719
60,2,0,78.417,70.504,78.417,72.719
61,2,0,79.137,70.86,79.137,73.405
62,2,0,79.137,70.86,79.137,73.405
63,2,0,78.417,70.504,78.417,72.719
64,2,0,78.417,70.504,78.417,72.719
65,2,0,78.417,70.504,78.417,72.719
66,2,0,79.137,70.86,79.137,73.405
67,2,0,79.137,70.86,79.137,73.405
68,2,0,79.137,70.86,79.137,73.405
69,2,0,78.417,70.504,78.417,72.719
70,2,0,79.137,70.86,79.137,73.405
71,2,0,78.417,70.504,78.417,72.719
72,2,0,79.137,70.86,79.137,73.405
73,2,0,78.417,70.504,78.417,72.719
