iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.013,77.698,71.899
1,2,0,77.698,68.877,77.698,72.002
2,2,0,78.417,70.504,78.417,72.719
3,2,0,77.698,69.47,77.698,72.017
4,2,0,79.856,70.115,79.856,74.013
5,2,0,83.453,86.01,83.453,78.085
6,2,0,82.014,71.233,82.014,75.873
7,2,0,83.453,71.533,83.453,77.014
8,2,0,84.173,86.483,84.173,79.614
9,2,0,83.453,85.817,83.453,78.923
10,2,0,84.892,87.018,84.892,81.036
11,2,0,87.05,89.192,87.05,83.804
12,2,0,85.612,85.485,85.612,82.534
13,2,0,86.331,85.881,86.331,84.937
14,2,0,86.331,85.251,86.331,84.874
15,2,0,87.05,86.261,87.05,84.981
16,2,0,88.489,88.244,88.489,86.215
17,2,0,89.209,90.412,89.209,87.325
18,2,0,88.489,88.478,88.489,86.667
19,2,0,87.77,87.788,87.77,85.594
20,2,0,88.489,87.903,88.489,86.783
21,2,0,87.77,87.638,87.77,86.444
22,2,0,88.489,88.618,88.489,86.289
23,2,0,90.647,91.693,90.647,89.1
24,2,0,89.928,91.248,89.928,87.572
25,2,0,92.806,93.328,92.806,92.016
26,2,0,92.806,93.452,92.806,91.777
27,2,0,93.525,93.596,93.525,92.958
28,2,0,92.806,92.632,92.806,92.28
29,2,0,92.806,93.385,92.806,92.034
30,2,0,92.086,91.834,92.086,91.574
31,2,0,92.806,92.632,92.806,92.28
32,2,0,92.806,92.587,92.806,92.289
33,2,0,92.086,91.784,92.086,91.558
34,2,0,91.367,91.386,91.367,90.401
35,2,0,91.367,90.84,91.367,90.723
36,2,0,93.525,93.596,93.525,92.958
37,2,0,92.806,92.813,92.806,92.037
38,2,0,92.086,92.089,92.086,91.334
39,2,0,92.086,92.089,92.086,91.334
40,2,0,91.367,91.033,91.367,90.664
41,2,0,90.647,90.069,90.647,90.009
42,2,0,90.647,90.42,90.647,90.455
43,2,0,92.806,92.632,92.806,92.28
44,2,0,94.964,94.964,94.964,94.666
45,2,0,93.525,93.449,93.525,93.404
46,2,0,92.806,92.679,92.806,92.622
47,2,0,93.525,93.354,93.525,93.295
48,2,0,93.525,93.354,93.525,93.295
49,2,0,91.367,91.164,91.367,91.041
50,2,0,93.525,93.36,93.525,93.265
51,2,0,92.806,92.589,92.806,92.585
52,2,0,93.525,93.485,93.525,93.317
53,2,0,93.525,93.36,93.525,93.265
54,2,0,93.525,93.418,93.525,93.415
55,2,0,94.245,94.11,94.245,93.976
56,2,0,94.964,94.95,94.964,94.807
57,2,0,94.245,94.11,94.245,93.976
58,2,0,94.245,94.11,94.245,93.976
59,2,0,94.964,94.95,94.964,94.807
60,2,0,94.245,94.11,94.245,93.976
61,2,0,93.525,93.244,93.525,93.121
62,2,0,94.245,94.11,94.245,93.976
63,2,0,94.964,94.95,94.964,94.807
64,2,0,94.245,94.245,94.245,94.121
65,2,0,94.245,94.245,94.245,94.121
66,2,0,94.245,94.04,94.245,93.965
67,2,0,94.245,94.13,94.245,94.103
68,2,0,94.245,94.226,94.245,93.999
69,2,0,92.806,92.476,92.806,92.45
70,2,0,93.525,93.354,93.525,93.295
71,2,0,93.525,93.27,93.525,93.284
72,2,0,93.525,93.36,93.525,93.265
73,2,0,94.245,94.11,94.245,93.976
74,2,0,94.964,94.95,94.964,94.807
75,2,0,94.964,94.964,94.964,94.666
76,2,0,94.964,94.95,94.964,94.807
77,2,0,94.245,94.17,94.245,94.089
78,2,0,94.964,94.931,94.964,94.773
79,2,0,96.403,96.643,96.403,96.208
80,2,0,95.683,95.892,95.683,95.49
81,2,0,94.245,94.277,94.245,93.825
82,2,0,94.245,94.205,94.245,93.81
83,2,0,96.403,96.643,96.403,96.208
84,2,0,96.403,96.643,96.403,96.208
85,2,0,94.245,94.11,94.245,93.976
86,2,0,95.683,95.743,95.683,95.502
87,2,0,94.245,94.228,94.245,93.956
88,2,0,94.245,94.245,94.245,94.121
89,2,0,94.964,94.95,94.964,94.807
90,2,0,94.245,94.11,94.245,93.976
91,2,0,94.245,94.13,94.245,94.103
92,2,0,92.806,92.476,92.806,92.45
93,2,0,94.964,94.95,94.964,94.807
94,2,0,94.245,94.277,94.245,93.825
95,2,0,94.964,94.851,94.964,94.789
96,2,0,94.245,94.11,94.245,93.976
97,2,0,94.964,95.065,94.964,94.689
98,2,0,93.525,93.485,93.525,93.317
99,2,0,95.683,95.743,95.683,95.502
100,2,0,96.403,96.643,96.403,96.208
0,2,1,84.173,79.499,84.173,81.328
1,2,1,85.612,81.354,85.612,82.441
2,2,1,87.05,81.556,87.05,83.823
3,2,1,87.05,80.822,87.05,83.803
4,2,1,85.612,79.833,85.612,82.464
5,2,1,84.173,78.131,84.173,81.001
6,2,1,86.331,80.21,86.331,83.139
7,2,1,86.331,80.799,86.331,83.42
8,2,1,87.77,81.718,87.77,84.523
9,2,1,87.77,81.718,87.77,84.523
10,2,1,89.928,83.466,89.928,86.571
11,2,1,92.086,85.549,92.086,88.679
12,2,1,91.367,85.136,91.367,88.02
13,2,1,92.806,93.476,92.806,90.334
14,2,1,92.086,92.874,92.086,90.356
15,2,1,89.928,91.203,89.928,87.551
16,2,1,89.928,90.527,89.928,88.215
17,2,1,92.806,93.151,92.806,91.999
18,2,1,94.964,95.258,94.964,94.434
19,2,1,92.806,93.28,92.806,91.589
20,2,1,92.806,93.176,92.806,91.573
21,2,1,92.086,91.683,92.086,91.329
22,2,1,93.525,93.911,93.525,92.691
23,2,1,93.525,93.277,93.525,93.046
24,2,1,93.525,93.023,93.525,92.757
25,2,1,93.525,93.938,93.525,92.729
26,2,1,94.245,93.819,94.245,93.475
27,2,1,93.525,92.846,93.525,92.389
