iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.013,77.698,71.899
1,2,0,77.698,68.877,77.698,72.002
2,2,0,79.137,69.808,79.137,73.285
3,2,0,79.137,68.367,79.137,73.143
4,2,0,79.137,68.367,79.137,73.143
5,2,0,78.417,67.611,78.417,72.457
6,2,0,78.417,82.103,78.417,73.48
7,2,0,78.417,67.923,78.417,72.442
8,2,0,80.576,70.021,80.576,74.479
9,2,0,82.014,85.312,82.014,76.787
10,2,0,82.014,85.658,82.014,76.803
11,2,0,79.856,80.132,79.856,75.869
12,2,0,82.014,86.322,82.014,77.793
13,2,0,80.576,79.491,80.576,77.992
14,2,0,81.295,79.81,81.295,78.81
15,2,0,82.014,83.808,82.014,79.193
16,2,0,83.453,86.683,83.453,80.483
17,2,0,84.173,87.595,84.173,80.546
18,2,0,84.173,84.805,84.173,81.198
19,2,0,81.295,84.418,81.295,77.617
20,2,0,83.453,86.189,83.453,79.72
21,2,0,89.209,90.702,89.209,86.905
22,2,0,84.892,87.716,84.892,81.792
23,2,0,87.05,89.162,87.05,84.385
24,2,0,86.331,88.472,86.331,83.084
25,2,0,87.05,88.784,87.05,84.876
26,2,0,87.05,89.131,87.05,84.884
27,2,0,87.77,88.217,87.77,85.684
28,2,0,89.209,89.683,89.209,87.821
29,2,0,87.77,87.89,87.77,85.194
30,2,0,87.77,87.89,87.77,85.194
31,2,0,87.77,87.697,87.77,85.14
32,2,0,88.489,88.731,88.489,86.35
33,2,0,88.489,90.096,88.489,86.247
34,2,0,89.209,90.673,89.209,87.354
35,2,0,89.928,90.067,89.928,88.453
36,2,0,89.209,89.502,89.209,87.776
37,2,0,88.489,90.067,88.489,86.696
38,2,0,89.209,90.577,89.209,87.756
39,2,0,87.77,88.011,87.77,85.63
40,2,0,88.489,88.779,88.489,86.729
41,2,0,89.209,90.872,89.209,87.404
42,2,0,87.05,87.709,87.05,85.37
43,2,0,87.77,89.39,87.77,85.535
44,2,0,86.331,88.362,86.331,83.685
45,2,0,88.489,90.168,88.489,86.235
46,2,0,86.331,88.627,86.331,84.202
47,2,0,89.209,90.449,89.209,86.839
48,2,0,89.209,90.449,89.209,86.839
49,2,0,89.928,91.22,89.928,88.028
50,2,0,89.928,91.22,89.928,88.028
51,2,0,90.647,91.551,90.647,89.047
52,2,0,90.647,91.631,90.647,89.066
53,2,0,92.086,92.853,92.086,91.094
54,2,0,93.525,94.012,93.525,92.937
55,2,0,92.806,92.832,92.806,92.54
56,2,0,92.086,92.149,92.086,91.704
57,2,0,90.647,90.597,90.647,89.412
58,2,0,91.367,91.392,91.367,90.632
59,2,0,93.525,93.496,93.525,93.106
60,2,0,93.525,93.533,93.525,93.115
61,2,0,94.245,94.205,94.245,93.81
62,2,0,92.806,92.738,92.806,92.025
63,2,0,94.245,94.614,94.245,93.81
64,2,0,92.806,92.771,92.806,92.224
65,2,0,93.525,93.476,93.525,93.264
66,2,0,94.245,94.245,94.245,93.947
67,2,0,94.964,95.233,94.964,94.656
68,2,0,93.525,93.375,93.525,93.249
69,2,0,93.525,93.476,93.525,93.264
70,2,0,94.245,94.687,94.245,93.973
71,2,0,93.525,93.476,93.525,93.264
72,2,0,92.086,91.914,92.086,91.775
73,2,0,92.086,91.958,92.086,91.75
74,2,0,92.806,92.753,92.806,92.433
75,2,0,92.086,92.029,92.086,91.577
76,2,0,92.086,91.974,92.086,91.724
77,2,0,92.806,92.682,92.806,92.6
78,2,0,93.525,93.476,93.525,93.264
79,2,0,92.806,92.637,92.806,92.413
80,2,0,93.525,93.558,93.525,93.106
81,2,0,94.245,94.614,94.245,93.81
82,2,0,94.245,94.331,94.245,93.962
83,2,0,94.245,94.614,94.245,93.81
84,2,0,93.525,93.983,93.525,93.111
85,2,0,92.806,92.925,92.806,92.399
86,2,0,94.245,94.331,94.245,93.962
87,2,0,92.806,92.726,92.806,92.53
88,2,0,92.086,91.742,92.086,91.723
89,2,0,93.525,93.375,93.525,93.249
90,2,0,94.245,94.331,94.245,93.962
91,2,0,94.245,94.176,94.245,93.806
92,2,0,91.367,91.076,91.367,90.996
93,2,0,94.964,94.909,94.964,94.655
94,2,0,94.245,94.585,94.245,93.952
95,2,0,93.525,93.476,93.525,93.264
96,2,0,93.525,93.476,93.525,93.264
97,2,0,94.245,94.331,94.245,93.962
98,2,0,94.245,94.331,94.245,93.962
99,2,0,93.525,93.438,93.525,93.281
100,2,0,92.806,92.934,92.806,92.546
0,2,1,84.173,79.499,84.173,81.328
1,2,1,85.612,81.354,85.612,82.441
2,2,1,84.892,80.362,84.892,81.732
3,2,1,85.612,79.542,85.612,82.426
4,2,1,83.453,77.48,83.453,80.339
5,2,1,84.892,79.113,84.892,81.745
6,2,1,84.173,78.364,84.173,81.057
7,2,1,87.77,87.667,87.77,87.135
8,2,1,86.331,85.361,86.331,85.75
9,2,1,87.77,87.197,87.77,87.438
10,2,1,84.173,83.562,84.173,83.698
11,2,1,85.612,84.644,85.612,84.902
12,2,1,86.331,85.726,86.331,85.893
13,2,1,86.331,85.187,86.331,85.063
14,2,1,87.05,86.986,87.05,86.09
15,2,1,85.612,87.362,85.612,84.101
16,2,1,87.77,87.896,87.77,87.1
17,2,1,89.928,89.999,89.928,89.505
18,2,1,88.489,88.32,88.489,88.263
19,2,1,93.525,93.775,93.525,93.013
20,2,1,91.367,91.201,91.367,90.936
21,2,1,92.086,92.508,92.086,90.873
22,2,1,89.928,89.574,89.928,89.236
23,2,1,89.928,89.574,89.928,89.236
24,2,1,92.086,91.635,92.086,91.35
25,2,1,92.086,92.472,92.086,91.604
26,2,1,93.525,93.775,93.525,93.013
27,2,1,92.086,91.615,92.086,91.703
