iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.013,77.698,71.899
1,2,0,77.698,69.47,77.698,72.017
2,2,0,77.698,83.224,77.698,72.933
3,2,0,79.137,83.517,79.137,75.098
4,2,0,79.137,83.517,79.137,75.098
5,2,0,78.417,75.719,78.417,74.197
6,2,0,77.698,69.696,77.698,72.346
7,2,0,79.137,85.248,79.137,74.334
8,2,0,78.417,84.892,78.417,73.638
9,2,0,79.856,78.788,79.856,75.213
10,2,0,79.137,85.248,79.137,74.334
11,2,0,80.576,79.553,80.576,76.815
12,2,0,80.576,79.553,80.576,76.815
13,2,0,82.014,80.351,82.014,78.192
14,2,0,82.014,80.351,82.014,78.192
15,2,0,85.612,85.352,85.612,82.003
16,2,0,84.892,84.12,84.892,82.051
17,2,0,84.173,82.999,84.173,81.29
18,2,0,84.892,84.892,84.892,81.884
19,2,0,84.892,84.765,84.892,81.815
20,2,0,84.892,84.765,84.892,81.815
21,2,0,81.295,82.167,81.295,78.364
22,2,0,81.295,82.167,81.295,78.364
23,2,0,84.892,83.333,84.892,81.929
24,2,0,84.892,83.333,84.892,81.929
25,2,0,85.612,84.517,85.612,83.126
26,2,0,86.331,85.292,86.331,83.818
27,2,0,85.612,84.517,85.612,83.126
28,2,0,85.612,84.517,85.612,83.126
29,2,0,87.77,87.755,87.77,85.538
30,2,0,87.77,87.467,87.77,85.055
31,2,0,87.05,86.894,87.05,84.374
32,2,0,87.05,86.894,87.05,84.374
33,2,0,87.77,87.719,87.77,85.556
34,2,0,87.77,87.719,87.77,85.556
35,2,0,87.05,88.934,87.05,83.765
36,2,0,87.05,88.934,87.05,83.765
37,2,0,87.77,89.533,87.77,84.419
38,2,0,87.77,89.533,87.77,84.419
39,2,0,87.05,89.221,87.05,83.132
40,2,0,87.05,89.221,87.05,83.132
41,2,0,87.77,87.77,87.77,85.129
42,2,0,87.77,87.77,87.77,85.129
43,2,0,88.489,89.828,88.489,86.172
44,2,0,88.489,89.828,88.489,86.172
45,2,0,89.928,91.127,89.928,87.537
46,2,0,89.928,91.127,89.928,87.537
47,2,0,87.77,87.846,87.77,85.588
48,2,0,89.209,90.702,89.209,86.905
49,2,0,89.209,90.702,89.209,86.905
50,2,0,89.209,90.702,89.209,86.905
51,2,0,89.928,89.991,89.928,88.412
52,2,0,89.928,89.991,89.928,88.412
53,2,0,92.086,92.761,92.086,90.762
54,2,0,92.086,92.761,92.086,90.762
55,2,0,91.367,92.107,91.367,90.077
56,2,0,91.367,92.107,91.367,90.077
57,2,0,90.647,91.911,90.647,89.138
58,2,0,90.647,91.911,90.647,89.138
59,2,0,91.367,91.115,91.367,90.682
60,2,0,92.806,93.425,92.806,92.032
61,2,0,92.806,93.543,92.806,92.061
62,2,0,93.525,94.115,93.525,92.961
63,2,0,93.525,94.115,93.525,92.961
64,2,0,93.525,94.115,93.525,92.961
65,2,0,93.525,94.012,93.525,92.937
66,2,0,92.806,93.425,92.806,92.032
67,2,0,92.806,93.425,92.806,92.032
68,2,0,92.806,93.425,92.806,92.032
69,2,0,92.806,93.558,92.806,91.806
70,2,0,93.525,94.012,93.525,92.937
71,2,0,93.525,94.039,93.525,92.72
72,2,0,93.525,94.039,93.525,92.72
73,2,0,91.367,91.614,91.367,90.856
74,2,0,91.367,91.614,91.367,90.856
75,2,0,92.086,92.853,92.086,91.094
76,2,0,92.086,92.853,92.086,91.094
77,2,0,93.525,94.115,93.525,92.961
78,2,0,93.525,94.115,93.525,92.961
79,2,0,93.525,93.66,93.525,93.126
80,2,0,93.525,93.951,93.525,92.923
81,2,0,94.245,94.642,94.245,93.628
82,2,0,94.245,94.642,94.245,93.628
83,2,0,93.525,94.012,93.525,92.937
84,2,0,93.525,94.012,93.525,92.937
85,2,0,95.683,95.938,95.683,95.368
86,2,0,95.683,95.938,95.683,95.368
87,2,0,94.245,94.277,94.245,93.825
88,2,0,94.245,94.277,94.245,93.825
89,2,0,95.683,95.895,95.683,95.357
90,2,0,95.683,95.895,95.683,95.357
91,2,0,94.245,94.277,94.245,93.825
92,2,0,94.245,94.277,94.245,93.825
93,2,0,93.525,93.354,93.525,93.295
94,2,0,93.525,93.354,93.525,93.295
95,2,0,94.245,94.11,94.245,93.976
96,2,0,94.245,94.11,94.245,93.976
97,2,0,94.245,94.11,94.245,93.976
98,2,0,93.525,93.476,93.525,93.264
99,2,0,94.245,94.11,94.245,93.976
100,2,0,94.245,94.11,94.245,93.976
0,2,1,84.173,79.499,84.173,81.328
1,2,1,85.612,81.354,85.612,82.441
2,2,1,85.612,81.354,85.612,82.441
3,2,1,87.05,81.556,87.05,83.823
4,2,1,87.05,81.556,87.05,83.823
5,2,1,89.928,91.186,89.928,88.24
6,2,1,89.928,91.186,89.928,88.24
7,2,1,89.928,90.526,89.928,88.225
8,2,1,89.928,90.526,89.928,88.225
9,2,1,89.928,90.989,89.928,87.511
10,2,1,89.928,90.989,89.928,87.511
11,2,1,90.647,91.13,90.647,89.47
12,2,1,90.647,91.13,90.647,89.47
13,2,1,87.77,88.638,87.77,86.714
14,2,1,87.77,88.638,87.77,86.714
15,2,1,89.209,90.705,89.209,88.176
16,2,1,89.209,90.705,89.209,88.176
17,2,1,90.647,91.45,90.647,89.937
18,2,1,90.647,91.45,90.647,89.937
19,2,1,87.77,87.95,87.77,86.873
20,2,1,87.77,87.95,87.77,86.873
21,2,1,87.77,87.535,87.77,87.259
22,2,1,87.77,87.535,87.77,87.259
23,2,1,90.647,90.72,90.647,90.006
24,2,1,90.647,90.72,90.647,90.006
