iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.013,77.698,71.899
1,2,0,78.417,70.504,78.417,72.719
2,2,0,80.576,70.316,80.576,74.548
3,2,0,82.014,80.984,82.014,78.664
4,2,0,82.014,80.867,82.014,79.218
5,2,0,87.77,89.401,87.77,84.384
6,2,0,82.014,81.197,82.014,79.164
7,2,0,79.856,82.294,79.856,76.926
8,2,0,81.295,83.637,81.295,79.208
9,2,0,85.612,87.41,85.612,83.423
10,2,0,86.331,88.221,86.331,84.971
11,2,0,89.209,90.612,89.209,88.06
12,2,0,85.612,86.759,85.612,83.941
13,2,0,84.892,87.448,84.892,83.906
14,2,0,86.331,88.443,86.331,85.32
15,2,0,84.173,86.011,84.173,83.119
16,2,0,87.77,88.816,87.77,87.359
17,2,0,86.331,87.73,86.331,85.942
18,2,0,85.612,86.14,85.612,85.322
19,2,0,84.892,85.41,84.892,84.687
20,2,0,82.734,83.228,82.734,82.348
21,2,0,84.173,84.781,84.173,84.015
22,2,0,87.77,87.85,87.77,87.489
23,2,0,88.489,88.441,88.489,88.188
24,2,0,89.209,89.534,89.209,89.023
25,2,0,89.209,89.898,89.209,89.025
26,2,0,90.647,90.794,90.647,90.287
27,2,0,90.647,91.81,90.647,90.42
28,2,0,90.647,91.382,90.647,90.388
29,2,0,88.489,88.76,88.489,88.163
30,2,0,85.612,87.05,85.612,85.251
31,2,0,86.331,87.024,86.331,86.018
32,2,0,84.892,85.02,84.892,84.501
33,2,0,85.612,85.447,85.612,85.342
34,2,0,83.453,83.55,83.453,83.273
35,2,0,85.612,86.219,85.612,85.258
36,2,0,79.856,80.853,79.856,79.214
37,2,0,84.173,84.261,84.173,83.931
38,2,0,86.331,87.621,86.331,85.888
39,2,0,84.173,84.994,84.173,83.706
40,2,0,85.612,86.668,85.612,85.068
41,2,0,88.489,88.903,88.489,87.965
42,2,0,85.612,86.197,85.612,85.016
43,2,0,87.77,87.901,87.77,87.172
44,2,0,85.612,86.5,85.612,85.26
45,2,0,83.453,84.228,83.453,83.0
46,2,0,89.928,90.562,89.928,89.622
47,2,0,89.209,89.992,89.209,88.885
48,2,0,88.489,88.818,88.489,88.176
49,2,0,91.367,91.47,91.367,91.08
50,2,0,90.647,90.67,90.647,90.38
51,2,0,87.77,88.161,87.77,87.366
52,2,0,91.367,91.47,91.367,91.08
53,2,0,89.209,89.423,89.209,88.915
54,2,0,89.928,90.608,89.928,89.692
55,2,0,89.209,89.972,89.209,88.91
56,2,0,89.209,89.423,89.209,88.915
57,2,0,91.367,91.737,91.367,91.08
58,2,0,91.367,91.945,91.367,91.112
59,2,0,94.245,94.523,94.245,94.091
60,2,0,94.964,94.964,94.964,94.666
61,2,0,94.245,94.245,94.245,94.121
62,2,0,94.245,94.245,94.245,93.947
63,2,0,94.245,94.245,94.245,93.947
64,2,0,94.245,94.245,94.245,93.947
65,2,0,94.964,94.964,94.964,94.666
66,2,0,94.964,94.909,94.964,94.655
67,2,0,94.245,94.11,94.245,93.976
68,2,0,93.525,93.27,93.525,93.284
69,2,0,94.964,94.909,94.964,94.655
70,2,0,94.964,94.964,94.964,94.666
71,2,0,93.525,93.27,93.525,93.284
72,2,0,94.245,94.331,94.245,93.962
73,2,0,94.245,94.375,94.245,94.064
