iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.013,77.698,71.899
1,2,0,78.417,70.504,78.417,72.719
2,2,0,79.137,70.363,79.137,73.301
3,2,0,80.576,85.982,80.576,75.706
4,2,0,80.576,85.982,80.576,75.706
5,2,0,83.453,82.252,83.453,80.116
6,2,0,82.734,83.541,82.734,79.304
7,2,0,82.734,81.064,82.734,80.03
8,2,0,83.453,82.764,83.453,80.664
9,2,0,84.892,83.521,84.892,81.971
10,2,0,82.014,82.374,82.014,79.073
11,2,0,80.576,83.115,80.576,76.902
12,2,0,82.734,85.001,82.734,78.193
13,2,0,82.734,85.053,82.734,80.186
14,2,0,82.734,85.053,82.734,80.186
15,2,0,81.295,84.244,81.295,78.757
16,2,0,83.453,85.749,83.453,81.334
17,2,0,84.892,86.848,84.892,82.731
18,2,0,84.892,86.848,84.892,82.731
19,2,0,88.489,89.858,88.489,87.037
20,2,0,88.489,89.858,88.489,87.037
21,2,0,84.173,86.667,84.173,82.861
22,2,0,84.892,86.657,84.892,83.541
23,2,0,85.612,87.042,85.612,84.53
24,2,0,85.612,87.042,85.612,84.53
25,2,0,83.453,86.23,83.453,82.055
26,2,0,83.453,86.23,83.453,82.055
27,2,0,83.453,85.161,83.453,82.896
28,2,0,83.453,85.161,83.453,82.896
29,2,0,84.173,86.483,84.173,83.507
30,2,0,84.173,86.483,84.173,83.507
31,2,0,84.892,86.341,84.892,84.433
32,2,0,88.489,89.516,88.489,88.192
33,2,0,81.295,81.999,81.295,80.671
34,2,0,84.173,85.548,84.173,83.639
35,2,0,85.612,86.891,85.612,85.04
36,2,0,85.612,86.891,85.612,85.04
37,2,0,82.014,83.6,82.014,81.416
38,2,0,81.295,83.22,81.295,80.457
39,2,0,82.734,85.383,82.734,82.14
40,2,0,80.576,82.428,80.576,80.124
41,2,0,82.014,85.449,82.014,81.203
42,2,0,82.734,85.897,82.734,82.014
43,2,0,82.734,86.265,82.734,81.961
44,2,0,82.734,86.265,82.734,81.961
45,2,0,82.014,85.853,82.014,81.133
46,2,0,82.734,84.31,82.734,82.049
47,2,0,82.734,84.636,82.734,82.265
48,2,0,82.734,84.636,82.734,82.265
49,2,0,81.295,83.584,81.295,80.679
50,2,0,81.295,83.584,81.295,80.679
51,2,0,84.892,86.97,84.892,84.32
52,2,0,84.173,85.383,84.173,83.469
53,2,0,85.612,87.295,85.612,85.111
54,2,0,85.612,87.295,85.612,85.111
55,2,0,84.173,85.075,84.173,83.46
56,2,0,84.173,85.075,84.173,83.46
57,2,0,80.576,81.871,80.576,80.096
58,2,0,87.05,87.947,87.05,86.828
59,2,0,83.453,85.394,83.453,83.003
60,2,0,82.734,84.31,82.734,82.049
61,2,0,83.453,84.845,83.453,82.828
62,2,0,84.173,84.951,84.173,83.603
63,2,0,84.892,85.648,84.892,84.495
64,2,0,84.892,85.648,84.892,84.495
65,2,0,84.892,86.394,84.892,84.417
66,2,0,84.892,86.303,84.892,84.423
67,2,0,82.734,83.983,82.734,82.164
68,2,0,82.734,83.983,82.734,82.164
69,2,0,86.331,87.987,86.331,85.841
70,2,0,86.331,87.987,86.331,85.841
71,2,0,84.892,85.897,84.892,84.507
72,2,0,84.892,85.897,84.892,84.507
73,2,0,82.014,83.774,82.014,81.232
