iter,step,fold,acc,prec,rec,f1score
0,2,0,75.54,65.582,75.54,69.789
1,2,0,76.978,66.347,76.978,71.114
2,2,0,81.295,81.987,81.295,79.4
3,2,0,81.295,80.511,81.295,80.216
4,2,0,82.014,81.92,82.014,80.847
5,2,0,84.173,83.861,84.173,82.932
6,2,0,83.453,83.189,83.453,82.237
7,2,0,84.892,84.509,84.892,84.208
8,2,0,85.612,85.367,85.612,85.115
9,2,0,84.892,84.509,84.892,84.208
10,2,0,87.05,87.085,87.05,86.475
11,2,0,87.05,87.316,87.05,86.668
12,2,0,87.77,87.513,87.77,86.946
13,2,0,87.77,87.513,87.77,86.946
14,2,0,88.489,88.321,88.489,87.868
15,2,0,89.209,89.138,89.209,89.114
16,2,0,89.209,89.276,89.209,89.086
17,2,0,89.928,90.112,89.928,89.764
18,2,0,89.209,89.276,89.209,89.086
19,2,0,89.209,89.263,89.209,89.191
20,2,0,89.209,89.263,89.209,89.191
21,2,0,88.489,88.523,88.489,88.501
22,2,0,89.209,89.263,89.209,89.191
23,2,0,88.489,88.424,88.489,88.446
24,2,0,89.209,89.174,89.209,89.169
25,2,0,87.77,87.77,87.77,87.77
26,2,0,89.209,89.174,89.209,89.169
27,2,0,88.489,88.523,88.489,88.501
28,2,0,88.489,88.424,88.489,88.446
29,2,0,89.209,89.174,89.209,89.169
30,2,0,88.489,88.522,88.489,88.461
31,2,0,87.77,87.861,87.77,87.794
32,2,0,88.489,88.522,88.489,88.461
33,2,0,89.209,89.209,89.209,89.209
34,2,0,88.489,88.602,88.489,88.523
35,2,0,89.209,89.209,89.209,89.209
36,2,0,89.209,89.138,89.209,89.114
37,2,0,89.928,89.904,89.928,89.894
38,2,0,89.209,89.253,89.209,89.225
39,2,0,89.209,89.253,89.209,89.225
40,2,0,89.928,89.886,89.928,89.783
41,2,0,89.209,89.263,89.209,89.191
42,2,0,89.209,89.138,89.209,89.114
43,2,0,88.489,88.408,88.489,88.389
44,2,0,89.928,89.849,89.928,89.878
45,2,0,89.928,89.849,89.928,89.878
46,2,0,89.928,89.796,89.928,89.762
47,2,0,89.928,89.796,89.928,89.762
48,2,0,89.209,89.058,89.209,89.046
49,2,0,89.209,89.058,89.209,89.046
50,2,0,89.928,89.821,89.928,89.837
51,2,0,89.209,89.118,89.209,89.154
52,2,0,89.928,89.821,89.928,89.837
53,2,0,89.928,89.821,89.928,89.837
54,2,0,89.928,89.821,89.928,89.837
55,2,0,89.209,89.118,89.209,89.154
56,2,0,89.928,89.821,89.928,89.837
57,2,0,89.209,89.058,89.209,89.046
58,2,0,89.209,89.058,89.209,89.046
59,2,0,89.209,89.276,89.209,89.086
60,2,0,89.928,89.886,89.928,89.783
61,2,0,89.928,89.886,89.928,89.783
62,2,0,89.928,89.886,89.928,89.783
63,2,0,89.928,89.886,89.928,89.783
64,2,0,89.928,89.886,89.928,89.783
65,2,0,89.928,89.886,89.928,89.783
66,2,0,89.928,89.886,89.928,89.783
67,2,0,89.928,89.886,89.928,89.783
68,2,0,89.928,89.886,89.928,89.783
69,2,0,89.928,89.886,89.928,89.783
70,2,0,89.928,89.886,89.928,89.783
71,2,0,89.928,89.886,89.928,89.783
72,2,0,89.928,89.796,89.928,89.762
73,2,0,89.928,89.796,89.928,89.762
74,2,0,89.209,89.058,89.209,89.046
75,2,0,89.209,89.058,89.209,89.046
76,2,0,89.209,89.058,89.209,89.046
77,2,0,89.209,89.058,89.209,89.046
78,2,0,89.209,89.058,89.209,89.046
79,2,0,89.209,89.058,89.209,89.046
80,2,0,89.209,89.058,89.209,89.046
81,2,0,89.209,89.058,89.209,89.046
82,2,0,89.209,89.058,89.209,89.046
83,2,0,89.209,89.058,89.209,89.046
84,2,0,89.209,89.058,89.209,89.046
85,2,0,89.209,89.058,89.209,89.046
86,2,0,89.209,89.058,89.209,89.046
87,2,0,89.209,89.058,89.209,89.046
88,2,0,89.209,89.058,89.209,89.046
89,2,0,89.209,89.118,89.209,89.064
90,2,0,89.209,89.118,89.209,89.064
91,2,0,89.209,89.118,89.209,89.064
92,2,0,89.209,89.118,89.209,89.064
93,2,0,89.928,89.948,89.928,89.749
94,2,0,89.928,89.948,89.928,89.749
95,2,0,89.928,89.948,89.928,89.749
96,2,0,89.928,89.948,89.928,89.749
97,2,0,89.928,89.948,89.928,89.749
98,2,0,89.928,89.948,89.928,89.749
99,2,0,89.928,89.948,89.928,89.749
100,2,0,90.647,90.587,90.647,90.447
0,2,1,84.173,79.081,84.173,80.973
1,2,1,84.173,78.205,84.173,81.009
2,2,1,87.05,87.767,87.05,85.929
3,2,1,87.05,86.719,87.05,86.712
4,2,1,87.77,87.357,87.77,87.492
5,2,1,87.05,86.674,87.05,86.708
6,2,1,87.77,87.767,87.77,87.655
7,2,1,86.331,86.654,86.331,86.213
8,2,1,87.05,87.477,87.05,87.097
9,2,1,89.209,89.292,89.209,89.152
10,2,1,87.05,87.715,87.05,87.221
11,2,1,85.612,88.071,85.612,86.116
12,2,1,89.209,91.283,89.209,89.744
13,2,1,89.209,90.388,89.209,89.489
14,2,1,90.647,91.435,90.647,90.809
15,2,1,92.086,92.993,92.086,92.277
16,2,1,91.367,92.041,91.367,91.528
17,2,1,90.647,91.308,90.647,90.747
18,2,1,91.367,92.244,91.367,91.387
19,2,1,90.647,92.086,90.647,90.799
20,2,1,92.086,93.095,92.086,92.201
21,2,1,90.647,92.086,90.647,90.799
22,2,1,89.928,91.585,89.928,90.085
23,2,1,92.806,93.631,92.806,92.909
24,2,1,92.806,93.542,92.806,92.939
25,2,1,92.086,93.165,92.086,92.209
26,2,1,92.086,93.165,92.086,92.209
27,2,1,92.086,93.165,92.086,92.209
28,2,1,92.086,93.165,92.086,92.209
29,2,1,93.525,94.496,93.525,93.613
30,2,1,94.245,95.025,94.245,94.317
31,2,1,93.525,94.215,93.525,93.624
32,2,1,94.245,94.798,94.245,94.332
33,2,1,93.525,94.22,93.525,93.615
