iter,step,fold,acc,prec,rec,f1score
0,2,0,75.54,65.582,75.54,69.789
1,2,0,64.748,60.155,64.748,58.415
2,2,0,56.835,57.224,56.835,47.631
3,2,0,55.396,62.36,55.396,45.634
4,2,0,54.676,54.748,54.676,43.976
5,2,0,55.396,62.36,55.396,45.634
6,2,0,55.396,62.36,55.396,45.634
7,2,0,54.676,54.955,54.676,44.15
8,2,0,54.676,54.955,54.676,44.15
9,2,0,56.835,64.451,56.835,48.317
10,2,0,56.835,64.451,56.835,48.317
11,2,0,56.835,66.388,56.835,48.28
12,2,0,56.835,66.388,56.835,48.28
13,2,0,58.273,66.548,58.273,50.56
14,2,0,58.273,66.548,58.273,50.56
15,2,0,56.835,64.451,56.835,48.317
16,2,0,57.554,65.635,57.554,49.474
17,2,0,56.835,64.451,56.835,48.317
18,2,0,54.676,54.748,54.676,43.976
19,2,0,54.676,54.748,54.676,43.976
20,2,0,54.676,54.748,54.676,43.976
21,2,0,54.676,54.748,54.676,43.976
22,2,0,54.676,54.748,54.676,43.976
23,2,0,54.676,54.748,54.676,43.976
24,2,0,54.676,54.748,54.676,43.976
25,2,0,54.676,54.748,54.676,43.976
26,2,0,54.676,54.748,54.676,43.976
27,2,0,54.676,54.748,54.676,43.976
28,2,0,54.676,54.748,54.676,43.976
29,2,0,54.676,54.748,54.676,43.976
30,2,0,54.676,54.748,54.676,43.976
31,2,0,54.676,54.748,54.676,43.976
32,2,0,54.676,54.748,54.676,43.976
33,2,0,54.676,54.748,54.676,43.976
34,2,0,54.676,54.748,54.676,43.976
35,2,0,54.676,54.748,54.676,43.976
36,2,0,54.676,54.748,54.676,43.976
37,2,0,54.676,54.748,54.676,43.976
38,2,0,54.676,54.748,54.676,43.976
39,2,0,54.676,54.748,54.676,43.976
40,2,0,54.676,54.748,54.676,43.976
41,2,0,54.676,54.748,54.676,43.976
42,2,0,54.676,54.748,54.676,43.976
43,2,0,54.676,54.748,54.676,43.976
44,2,0,54.676,54.748,54.676,43.976
45,2,0,54.676,54.748,54.676,43.976
46,2,0,54.676,54.748,54.676,43.976
47,2,0,54.676,54.748,54.676,43.976
48,2,0,54.676,54.748,54.676,43.976
49,2,0,54.676,54.748,54.676,43.976
50,2,0,54.676,54.748,54.676,43.976
51,2,0,54.676,54.748,54.676,43.976
52,2,0,54.676,54.748,54.676,43.976
53,2,0,54.676,54.748,54.676,43.976
54,2,0,54.676,54.748,54.676,43.976
55,2,0,54.676,54.748,54.676,43.976
