iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.464,77.698,71.912
1,2,0,76.259,67.119,76.259,70.539
2,2,0,79.856,77.773,79.856,75.104
3,2,0,79.137,83.758,79.137,74.143
4,2,0,78.417,78.387,78.417,74.408
5,2,0,77.698,68.99,77.698,71.918
6,2,0,77.698,75.975,77.698,73.032
7,2,0,76.978,68.038,76.978,71.227
8,2,0,77.698,82.794,77.698,72.845
9,2,0,78.417,83.744,78.417,73.537
10,2,0,78.417,77.388,78.417,73.817
11,2,0,78.417,83.744,78.417,73.537
12,2,0,78.417,70.504,78.417,72.719
13,2,0,77.698,68.99,77.698,71.918
14,2,0,79.137,85.248,79.137,74.334
15,2,0,78.417,70.504,78.417,72.719
16,2,0,77.698,68.99,77.698,71.918
17,2,0,79.137,84.582,79.137,75.126
18,2,0,78.417,70.504,78.417,72.719
19,2,0,79.137,85.248,79.137,74.334
20,2,0,77.698,69.47,77.698,72.017
21,2,0,78.417,70.504,78.417,72.719
22,2,0,78.417,83.744,78.417,73.537
23,2,0,77.698,82.794,77.698,72.845
24,2,0,78.417,84.216,78.417,73.632
25,2,0,77.698,69.47,77.698,72.017
26,2,0,78.417,83.633,78.417,73.619
27,2,0,79.137,85.248,79.137,74.334
28,2,0,79.137,85.248,79.137,74.334
29,2,0,79.137,85.248,79.137,74.334
30,2,0,78.417,84.216,78.417,73.632
31,2,0,79.137,85.248,79.137,74.334
32,2,0,79.137,85.248,79.137,74.334
33,2,0,79.137,85.248,79.137,74.334
34,2,0,79.856,85.123,79.856,74.923
35,2,0,79.137,84.603,79.137,74.32
36,2,0,79.137,85.248,79.137,74.334
37,2,0,77.698,69.47,77.698,72.017
38,2,0,78.417,70.504,78.417,72.719
39,2,0,78.417,69.978,78.417,72.613
40,2,0,76.978,68.038,76.978,71.227
41,2,0,78.417,70.342,78.417,72.861
42,2,0,79.137,85.248,79.137,74.334
43,2,0,77.698,69.47,77.698,72.017
44,2,0,78.417,70.504,78.417,72.719
45,2,0,79.137,85.248,79.137,74.334
46,2,0,79.137,85.248,79.137,74.334
47,2,0,79.137,85.248,79.137,74.334
48,2,0,78.417,70.504,78.417,72.719
49,2,0,78.417,70.504,78.417,72.719
50,2,0,79.137,85.248,79.137,74.334
0,2,1,83.453,81.165,83.453,81.495
1,2,1,86.331,81.451,86.331,83.46
2,2,1,86.331,85.162,86.331,84.41
3,2,1,84.892,84.098,84.892,83.027
4,2,1,84.173,80.341,84.173,81.286
5,2,1,84.173,82.711,84.173,82.259
6,2,1,84.892,83.139,84.892,83.208
7,2,1,84.892,84.096,84.892,83.457
8,2,1,84.173,79.886,84.173,81.006
9,2,1,84.892,84.402,84.892,82.769
10,2,1,84.892,87.631,84.892,82.496
11,2,1,86.331,85.488,86.331,84.151
12,2,1,83.453,82.596,83.453,81.576
13,2,1,86.331,85.881,86.331,84.212
14,2,1,85.612,85.411,85.612,83.477
15,2,1,87.05,89.478,87.05,84.758
16,2,1,84.892,84.951,84.892,82.736
17,2,1,84.892,84.951,84.892,82.736
18,2,1,85.612,85.411,85.612,83.477
19,2,1,84.173,80.46,84.173,80.978
20,2,1,84.892,88.097,84.892,82.564
21,2,1,84.892,87.631,84.892,82.496
22,2,1,84.892,88.097,84.892,82.564
23,2,1,84.892,84.951,84.892,82.736
24,2,1,84.173,80.46,84.173,80.978
25,2,1,84.173,80.46,84.173,80.978
26,2,1,84.173,80.46,84.173,80.978
27,2,1,84.173,80.46,84.173,80.978
28,2,1,84.892,84.951,84.892,82.736
29,2,1,84.892,84.212,84.892,82.928
30,2,1,84.173,80.46,84.173,80.978
31,2,1,84.173,80.46,84.173,80.978
32,2,1,84.173,80.903,84.173,81.256
33,2,1,84.173,80.903,84.173,81.256
34,2,1,84.173,80.903,84.173,81.256
35,2,1,84.892,88.097,84.892,82.564
36,2,1,84.892,88.097,84.892,82.564
37,2,1,84.173,80.46,84.173,80.978
38,2,1,84.173,80.46,84.173,80.978
39,2,1,84.173,80.46,84.173,80.978
40,2,1,84.173,80.46,84.173,80.978
41,2,1,84.892,88.097,84.892,82.564
42,2,1,84.173,80.46,84.173,80.978
43,2,1,84.173,80.46,84.173,80.978
44,2,1,84.173,80.46,84.173,80.978
45,2,1,84.173,80.46,84.173,80.978
46,2,1,84.173,80.46,84.173,80.978
47,2,1,83.453,80.027,83.453,80.236
48,2,1,83.453,80.46,83.453,80.511
49,2,1,84.173,80.46,84.173,80.978
50,2,1,84.173,80.46,84.173,80.978
0,2,2,77.698,77.937,77.698,74.824
1,2,2,77.698,82.692,77.698,74.567
2,2,2,77.698,80.416,77.698,76.194
3,2,2,76.978,78.28,76.978,74.639
4,2,2,77.698,77.937,77.698,74.824
5,2,2,77.698,78.683,77.698,75.608
6,2,2,81.295,81.247,81.295,80.2
7,2,2,81.295,80.911,81.295,79.657
8,2,2,78.417,78.433,78.417,76.488
9,2,2,78.417,78.645,78.417,76.333
10,2,2,78.417,77.296,78.417,75.86
11,2,2,79.137,80.303,79.137,76.887
12,2,2,79.137,78.394,79.137,76.555
13,2,2,79.137,79.939,79.137,76.182
14,2,2,79.856,80.696,79.856,77.642
15,2,2,79.856,79.56,79.856,77.771
16,2,2,80.576,82.317,80.576,78.287
17,2,2,77.698,79.262,77.698,75.387
18,2,2,80.576,81.184,80.576,78.379
19,2,2,78.417,78.061,78.417,76.41
20,2,2,80.576,83.573,80.576,77.509
21,2,2,80.576,83.433,80.576,78.299
22,2,2,79.856,80.004,79.856,77.837
23,2,2,78.417,80.341,78.417,76.075
24,2,2,78.417,83.125,78.417,75.323
25,2,2,78.417,82.603,78.417,75.248
26,2,2,77.698,77.224,77.698,74.906
27,2,2,76.259,71.312,76.259,72.36
28,2,2,77.698,76.839,77.698,75.095
29,2,2,78.417,74.913,78.417,75.373
30,2,2,77.698,78.395,77.698,74.729
31,2,2,78.417,76.404,78.417,76.292
32,2,2,77.698,78.186,77.698,75.557
33,2,2,78.417,79.187,78.417,76.942
34,2,2,78.417,79.162,78.417,76.743
35,2,2,79.137,79.768,79.137,77.026
36,2,2,79.137,79.11,79.137,77.102
37,2,2,79.856,80.205,79.856,77.797
38,2,2,78.417,78.352,78.417,75.598
39,2,2,78.417,79.338,78.417,76.247
40,2,2,76.978,77.529,76.978,74.042
41,2,2,77.698,78.395,77.698,74.729
42,2,2,79.856,80.095,79.856,77.933
43,2,2,78.417,82.527,78.417,75.379
44,2,2,77.698,79.119,77.698,74.65
45,2,2,82.014,82.471,82.014,80.463
46,2,2,78.417,79.526,78.417,75.42
47,2,2,77.698,77.224,77.698,74.906
48,2,2,78.417,79.526,78.417,75.42
49,2,2,77.698,83.425,77.698,74.489
50,2,2,77.698,78.999,77.698,74.812
0,5,0,77.698,68.464,77.698,71.912
1,5,0,78.417,69.369,78.417,72.773
2,5,0,78.417,76.922,78.417,73.725
3,5,0,79.856,80.683,79.856,75.869
4,5,0,79.856,85.101,79.856,75.729
5,5,0,79.137,75.887,79.137,74.618
6,5,0,79.856,85.123,79.856,74.923
7,5,0,79.856,85.101,79.856,75.729
8,5,0,78.417,69.769,78.417,72.856
9,5,0,78.417,83.744,78.417,73.537
10,5,0,78.417,83.744,78.417,73.537
11,5,0,77.698,82.794,77.698,72.845
12,5,0,78.417,70.504,78.417,72.719
13,5,0,78.417,70.504,78.417,72.719
14,5,0,78.417,69.978,78.417,72.613
15,5,0,78.417,69.978,78.417,72.613
16,5,0,78.417,70.504,78.417,72.719
17,5,0,78.417,70.504,78.417,72.719
18,5,0,78.417,70.504,78.417,72.719
19,5,0,78.417,70.504,78.417,72.719
20,5,0,79.137,85.248,79.137,74.334
0,5,1,83.453,81.165,83.453,81.495
1,5,1,86.331,82.318,86.331,83.751
2,5,1,85.612,84.478,85.612,83.521
3,5,1,85.612,87.011,85.612,83.312
4,5,1,82.734,81.065,82.734,81.107
5,5,1,81.295,77.781,81.295,78.779
6,5,1,83.453,82.584,83.453,82.095
7,5,1,82.734,78.867,82.734,79.847
8,5,1,83.453,79.864,83.453,80.55
9,5,1,84.173,80.341,84.173,81.286
10,5,1,84.892,81.814,84.892,82.278
11,5,1,84.173,81.7,84.173,81.921
12,5,1,84.173,81.354,84.173,81.537
13,5,1,83.453,81.236,83.453,81.18
14,5,1,83.453,79.52,83.453,80.163
15,5,1,84.892,80.903,84.892,81.713
16,5,1,84.892,84.951,84.892,82.736
17,5,1,84.892,84.212,84.892,82.928
18,5,1,84.173,80.903,84.173,81.256
19,5,1,84.892,88.097,84.892,82.564
20,5,1,84.173,80.46,84.173,80.978
0,5,2,77.698,77.937,77.698,74.824
1,5,2,78.417,78.582,78.417,76.269
2,5,2,74.82,71.715,74.82,70.668
3,5,2,77.698,82.636,77.698,75.209
4,5,2,76.259,81.839,76.259,73.028
5,5,2,77.698,78.395,77.698,74.729
6,5,2,76.978,72.967,76.978,72.982
7,5,2,75.54,81.419,75.54,72.245
8,5,2,75.54,72.129,75.54,71.449
9,5,2,75.54,77.1,75.54,72.399
10,5,2,77.698,74.102,77.698,73.671
11,5,2,78.417,73.92,78.417,74.343
12,5,2,76.978,74.073,76.978,73.153
13,5,2,75.54,73.289,75.54,71.59
14,5,2,76.978,82.998,76.978,74.328
15,5,2,77.698,83.394,77.698,75.117
16,5,2,76.259,73.322,76.259,72.133
17,5,2,76.259,73.678,76.259,72.377
18,5,2,76.259,73.322,76.259,72.133
19,5,2,76.259,73.678,76.259,72.377
20,5,2,79.137,75.289,79.137,75.43
0,10,0,77.698,68.464,77.698,71.912
1,10,0,79.137,78.502,79.137,75.106
2,10,0,78.417,67.127,78.417,72.332
3,10,0,81.295,69.693,81.295,75.028
4,10,0,82.014,70.219,82.014,75.66
5,10,0,80.576,83.249,80.576,75.322
6,10,0,81.295,83.868,81.295,75.987
7,10,0,82.014,84.49,82.014,76.654
8,10,0,82.014,84.49,82.014,76.654
9,10,0,83.453,85.937,83.453,78.044
10,10,0,83.453,85.937,83.453,78.044
0,10,1,83.453,81.165,83.453,81.495
1,10,1,84.892,81.3,84.892,82.303
2,10,1,85.612,84.182,85.612,83.7
3,10,1,84.892,85.579,84.892,83.328
4,10,1,85.612,84.682,85.612,83.672
5,10,1,84.892,84.212,84.892,82.928
6,10,1,83.453,80.027,83.453,80.236
7,10,1,84.173,80.46,84.173,80.978
8,10,1,84.173,80.46,84.173,80.978
9,10,1,84.173,80.46,84.173,80.978
10,10,1,84.173,80.46,84.173,80.978
0,10,2,77.698,77.937,77.698,74.824
1,10,2,79.856,79.277,79.856,76.914
2,10,2,79.137,78.891,79.137,78.206
3,10,2,76.978,72.331,76.978,73.046
4,10,2,77.698,76.839,77.698,75.095
5,10,2,76.978,76.78,76.978,74.135
6,10,2,74.82,75.06,74.82,71.946
7,10,2,75.54,75.499,75.54,72.747
8,10,2,76.259,74.041,76.259,72.623
9,10,2,77.698,79.119,77.698,74.65
10,10,2,76.978,78.717,76.978,73.87
0,25,0,77.698,68.464,77.698,71.912
1,25,0,76.978,68.038,76.978,71.227
2,25,0,80.576,69.267,80.576,74.367
3,25,0,82.734,70.912,82.734,76.337
4,25,0,82.734,70.833,82.734,76.322
0,25,1,83.453,81.165,83.453,81.495
1,25,1,82.014,77.493,82.014,79.105
2,25,1,84.173,78.969,84.173,81.147
3,25,1,85.612,79.485,85.612,82.416
4,25,1,85.612,80.222,85.612,82.555
0,25,2,77.698,77.937,77.698,74.824
1,25,2,79.856,78.067,79.856,77.21
2,25,2,84.173,85.901,84.173,82.431
3,25,2,84.173,85.767,84.173,81.817
4,25,2,87.05,88.086,87.05,85.681
