iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.464,77.698,71.912
1,2,0,80.576,69.165,80.576,74.362
2,2,0,76.978,78.991,76.978,73.138
3,2,0,79.137,79.802,79.137,75.077
4,2,0,82.734,82.953,82.734,79.715
5,2,0,82.734,84.874,82.734,78.93
6,2,0,82.014,84.892,82.014,76.736
7,2,0,84.173,86.444,84.173,80.363
8,2,0,86.331,88.093,86.331,83.613
9,2,0,87.05,88.566,87.05,84.263
10,2,0,90.647,91.665,90.647,89.445
11,2,0,89.928,91.13,89.928,89.025
12,2,0,89.928,90.969,89.928,88.375
13,2,0,90.647,91.498,90.647,89.385
14,2,0,94.245,94.609,94.245,93.619
15,2,0,92.086,92.159,92.086,91.352
16,2,0,93.525,93.462,93.525,92.929
17,2,0,92.086,92.108,92.086,91.325
18,2,0,91.367,91.894,91.367,91.007
19,2,0,94.245,94.277,94.245,93.825
20,2,0,92.086,92.15,92.086,91.723
21,2,0,93.525,93.324,93.525,93.312
22,2,0,94.245,94.11,94.245,93.976
23,2,0,93.525,93.476,93.525,93.264
24,2,0,94.964,94.964,94.964,94.666
25,2,0,95.683,95.938,95.683,95.368
26,2,0,95.683,95.938,95.683,95.368
27,2,0,94.964,94.964,94.964,94.666
28,2,0,94.245,94.331,94.245,93.962
29,2,0,93.525,93.476,93.525,93.264
30,2,0,94.964,94.964,94.964,94.666
31,2,0,94.964,94.964,94.964,94.666
32,2,0,94.964,94.964,94.964,94.666
33,2,0,93.525,93.476,93.525,93.264
34,2,0,94.964,95.125,94.964,94.798
35,2,0,94.964,94.964,94.964,94.666
36,2,0,93.525,93.558,93.525,93.106
37,2,0,95.683,95.743,95.683,95.502
38,2,0,95.683,95.743,95.683,95.502
39,2,0,95.683,95.895,95.683,95.357
40,2,0,95.683,95.636,95.683,95.485
41,2,0,94.964,94.964,94.964,94.666
42,2,0,94.964,94.909,94.964,94.655
43,2,0,96.403,96.643,96.403,96.208
44,2,0,94.245,94.2,94.245,94.072
45,2,0,94.964,95.009,94.964,94.775
