iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.464,77.698,71.912
1,2,0,76.978,66.347,76.978,71.114
2,2,0,84.173,84.009,84.173,83.22
3,2,0,79.137,78.819,79.137,77.411
4,2,0,84.892,84.969,84.892,84.654
5,2,0,83.453,83.271,83.453,83.008
6,2,0,85.612,85.882,85.612,85.661
7,2,0,85.612,85.41,85.612,85.43
8,2,0,87.05,86.764,87.05,86.801
9,2,0,86.331,86.176,86.331,86.033
10,2,0,89.928,89.858,89.928,89.849
11,2,0,89.209,89.009,89.209,89.07
12,2,0,89.209,89.245,89.209,89.122
13,2,0,88.489,88.491,88.489,88.368
14,2,0,86.331,86.469,86.331,86.325
15,2,0,84.892,85.136,84.892,84.98
16,2,0,89.928,89.803,89.928,89.748
17,2,0,92.086,91.894,92.086,91.711
18,2,0,91.367,91.241,91.367,91.127
19,2,0,92.086,91.98,92.086,91.935
20,2,0,90.647,90.778,90.647,90.258
21,2,0,88.489,88.601,88.489,88.247
22,2,0,89.209,89.25,89.209,88.952
23,2,0,87.77,87.985,87.77,87.481
24,2,0,90.647,90.802,90.647,90.402
25,2,0,89.209,89.332,89.209,88.97
26,2,0,87.05,87.067,87.05,86.766
27,2,0,87.77,88.379,87.77,87.486
28,2,0,90.647,90.73,90.647,90.509
29,2,0,90.647,90.603,90.647,90.505
30,2,0,91.367,91.27,91.367,91.298
31,2,0,92.086,92.019,92.086,91.97
32,2,0,91.367,91.375,91.367,91.248
33,2,0,92.806,92.543,92.806,92.581
34,2,0,94.245,94.04,94.245,93.965
35,2,0,92.806,92.64,92.806,92.546
36,2,0,93.525,93.327,93.525,93.261
37,2,0,93.525,93.596,93.525,93.236
38,2,0,92.086,91.932,92.086,91.845
39,2,0,94.245,94.375,94.245,94.064
40,2,0,92.806,92.838,92.806,92.387
41,2,0,92.806,92.726,92.806,92.53
42,2,0,94.245,94.672,94.245,94.078
43,2,0,92.806,93.203,92.806,92.543
44,2,0,93.525,94.069,93.525,93.367
45,2,0,94.245,94.13,94.245,94.103
46,2,0,92.806,92.704,92.806,92.554
47,2,0,94.245,94.2,94.245,94.072
48,2,0,94.964,94.931,94.964,94.773
49,2,0,94.245,94.228,94.245,93.956
50,2,0,94.964,95.233,94.964,94.656
0,2,1,83.453,81.165,83.453,81.495
1,2,1,83.453,77.465,83.453,80.343
2,2,1,87.05,86.484,87.05,86.499
3,2,1,86.331,85.661,86.331,85.876
4,2,1,89.209,89.173,89.209,89.076
5,2,1,92.086,91.959,92.086,91.845
6,2,1,91.367,91.946,91.367,91.138
7,2,1,90.647,91.166,90.647,90.577
8,2,1,90.647,91.443,90.647,90.709
9,2,1,92.086,92.502,92.086,92.164
10,2,1,94.245,94.511,94.245,94.249
11,2,1,91.367,91.949,91.367,91.42
12,2,1,89.928,90.537,89.928,89.999
13,2,1,91.367,92.108,91.367,91.506
14,2,1,96.403,96.435,96.403,96.413
15,2,1,94.964,94.948,94.964,94.951
16,2,1,91.367,92.108,91.367,91.506
17,2,1,94.964,95.131,94.964,95.021
18,2,1,93.525,94.496,93.525,93.613
19,2,1,94.245,94.775,94.245,94.318
20,2,1,92.086,92.419,92.086,92.175
21,2,1,88.489,88.626,88.489,88.511
22,2,1,89.928,89.973,89.928,89.933
23,2,1,94.245,94.393,94.245,94.292
24,2,1,95.683,95.773,95.683,95.706
25,2,1,94.964,95.135,94.964,95.001
26,2,1,93.525,93.707,93.525,93.568
27,2,1,92.806,93.094,92.806,92.866
28,2,1,95.683,95.916,95.683,95.711
29,2,1,94.245,94.393,94.245,94.292
30,2,1,92.086,92.132,92.086,92.104
31,2,1,94.245,94.281,94.245,94.257
32,2,1,94.964,95.356,94.964,95.037
33,2,1,92.806,92.991,92.806,92.762
34,2,1,86.331,86.569,86.331,86.406
35,2,1,87.05,86.977,87.05,86.994
36,2,1,89.928,90.196,89.928,89.71
37,2,1,89.928,89.903,89.928,89.83
38,2,1,91.367,91.469,91.367,91.295
