iter,step,fold,acc,prec,rec,f1score
0,2,0,77.698,68.464,77.698,71.912
1,2,0,77.698,83.335,77.698,72.84
2,2,0,77.698,83.335,77.698,72.84
3,2,0,79.856,84.578,79.856,74.909
4,2,0,77.698,83.964,77.698,72.827
5,2,0,79.137,84.158,79.137,74.226
6,2,0,76.259,67.616,76.259,70.536
7,2,0,77.698,82.794,77.698,72.845
8,2,0,77.698,82.408,77.698,72.766
9,2,0,76.259,83.222,76.259,71.392
10,2,0,74.82,66.785,74.82,69.13
11,2,0,75.54,68.498,75.54,69.784
12,2,0,79.137,84.684,79.137,75.704
13,2,0,79.137,84.73,79.137,74.232
14,2,0,75.54,82.858,75.54,70.661
15,2,0,74.82,68.141,74.82,69.056
16,2,0,71.942,66.755,71.942,66.048
17,2,0,74.82,68.825,74.82,69.169
18,2,0,74.101,67.788,74.101,68.319
19,2,0,74.101,68.508,74.101,68.432
20,2,0,74.82,68.825,74.82,69.169
21,2,0,73.381,82.586,73.381,68.523
22,2,0,72.662,81.449,72.662,67.642
23,2,0,73.381,82.586,73.381,68.523
24,2,0,69.784,65.751,69.784,63.674
25,2,0,71.223,66.418,71.223,65.269
26,2,0,70.504,66.083,70.504,64.478
27,2,0,70.504,66.083,70.504,64.478
28,2,0,71.942,66.755,71.942,66.048
29,2,0,71.942,66.755,71.942,66.048
30,2,0,71.942,66.755,71.942,66.048
31,2,0,69.784,64.781,69.784,63.813
32,2,0,69.784,64.781,69.784,63.813
33,2,0,71.223,66.418,71.223,65.269
34,2,0,69.065,64.41,69.065,63.014
35,2,0,69.784,64.781,69.784,63.813
36,2,0,69.784,65.625,69.784,63.918
37,2,0,69.065,66.448,69.065,62.968
38,2,0,69.784,66.727,69.784,63.786
39,2,0,69.784,65.625,69.784,63.918
40,2,0,71.223,65.524,71.223,65.376
41,2,0,70.504,67.01,70.504,64.59
42,2,0,70.504,67.01,70.504,64.59
43,2,0,70.504,67.01,70.504,64.59
44,2,0,69.065,66.448,69.065,62.968
45,2,0,69.784,66.727,69.784,63.786
46,2,0,70.504,67.01,70.504,64.59
47,2,0,70.504,67.01,70.504,64.59
48,2,0,69.784,66.727,69.784,63.786
49,2,0,68.345,66.174,68.345,62.136
50,2,0,71.223,67.299,71.223,65.382
0,2,1,83.453,81.165,83.453,81.495
1,2,1,86.331,85.081,86.331,84.178
2,2,1,85.612,80.99,85.612,82.685
3,2,1,84.892,80.546,84.892,82.336
4,2,1,84.173,79.559,84.173,81.26
5,2,1,80.576,77.372,80.576,78.269
6,2,1,84.892,80.102,84.892,81.984
7,2,1,83.453,79.368,83.453,80.582
8,2,1,82.734,83.624,82.734,80.469
9,2,1,82.734,82.967,82.734,80.529
10,2,1,82.014,86.38,82.014,79.537
11,2,1,83.453,79.864,83.453,80.55
12,2,1,81.295,78.166,81.295,77.886
13,2,1,82.734,83.624,82.734,80.469
14,2,1,81.295,78.777,81.295,77.963
15,2,1,84.173,80.903,84.173,81.256
16,2,1,81.295,79.186,81.295,78.229
17,2,1,81.295,79.186,81.295,78.229
18,2,1,78.417,77.983,78.417,75.318
19,2,1,79.856,78.376,79.856,76.664
20,2,1,79.137,78.376,79.137,76.127
21,2,1,79.856,78.376,79.856,76.664
22,2,1,79.856,77.698,79.856,76.588
23,2,1,77.698,77.218,77.698,74.243
24,2,1,79.856,77.983,79.856,76.404
25,2,1,79.137,77.597,79.137,75.61
26,2,1,81.295,78.777,81.295,77.963
27,2,1,82.734,79.602,82.734,79.487
28,2,1,79.856,77.983,79.856,76.404
29,2,1,82.014,79.186,82.014,78.729
30,2,1,81.295,78.777,81.295,77.963
31,2,1,82.014,79.186,82.014,78.729
32,2,1,79.856,77.189,79.856,76.493
33,2,1,79.137,77.597,79.137,75.61
34,2,1,80.576,78.376,80.576,77.188
35,2,1,80.576,78.376,80.576,77.188
36,2,1,80.576,78.376,80.576,77.188
37,2,1,77.698,76.846,77.698,73.991
38,2,1,76.259,76.123,76.259,72.326
39,2,1,76.978,76.481,76.978,73.164
40,2,1,76.978,76.481,76.978,73.164
41,2,1,79.137,77.597,79.137,75.61
42,2,1,78.417,77.218,78.417,74.806
43,2,1,78.417,77.218,78.417,74.806
44,2,1,78.417,77.218,78.417,74.806
45,2,1,77.698,76.846,77.698,73.991
46,2,1,77.698,76.846,77.698,73.991
47,2,1,76.978,76.481,76.978,73.164
48,2,1,76.259,76.123,76.259,72.326
49,2,1,78.417,77.218,78.417,74.806
50,2,1,74.82,75.425,74.82,70.61
0,2,2,77.698,77.937,77.698,74.824
1,2,2,77.698,83.425,77.698,74.489
2,2,2,81.295,82.751,81.295,79.036
3,2,2,79.856,84.641,79.856,76.766
4,2,2,81.295,82.751,81.295,79.036
5,2,2,75.54,82.257,75.54,72.13
6,2,2,79.137,78.772,79.137,76.362
7,2,2,79.856,78.829,79.856,77.314
8,2,2,79.856,80.205,79.856,77.797
9,2,2,77.698,77.937,77.698,74.824
10,2,2,80.576,82.317,80.576,78.287
11,2,2,79.137,78.772,79.137,76.362
12,2,2,79.137,78.44,79.137,76.97
13,2,2,80.576,79.895,80.576,78.221
14,2,2,79.137,79.533,79.137,76.293
15,2,2,76.978,78.408,76.978,73.937
16,2,2,75.54,77.693,75.54,72.315
17,2,2,75.54,77.161,75.54,72.677
18,2,2,77.698,79.478,77.698,75.656
19,2,2,79.137,79.144,79.137,76.483
20,2,2,79.137,79.074,79.137,76.683
21,2,2,76.978,78.142,76.978,74.721
22,2,2,75.54,73.888,75.54,71.237
23,2,2,75.54,83.24,75.54,72.001
24,2,2,74.82,73.553,74.82,70.429
25,2,2,75.54,73.888,75.54,71.237
26,2,2,76.259,74.576,76.259,72.276
27,2,2,77.698,79.967,77.698,74.56
28,2,2,77.698,81.526,77.698,75.106
29,2,2,78.417,81.893,78.417,75.901
30,2,2,78.417,84.643,78.417,75.807
31,2,2,76.259,74.228,76.259,72.034
32,2,2,76.259,78.321,76.259,73.081
33,2,2,76.978,83.928,76.978,73.612
34,2,2,75.54,83.24,75.54,72.001
35,2,2,73.381,72.902,73.381,68.777
36,2,2,76.259,83.581,76.259,72.812
37,2,2,74.82,78.564,74.82,71.326
