iter,step,fold,acc,prec,rec,f1score
0,2,0,52.518,50.758,52.518,43.617
1,2,0,53.237,47.905,53.237,41.76
2,2,0,53.237,47.905,53.237,41.76
3,2,0,57.554,52.844,57.554,49.664
4,2,0,56.835,52.05,56.835,48.65
5,2,0,56.115,52.2,56.115,51.956
6,2,0,56.115,52.2,56.115,51.956
7,2,0,56.835,50.821,56.835,50.896
8,2,0,56.835,50.821,56.835,50.896
9,2,0,55.396,48.626,55.396,49.793
10,2,0,56.115,51.872,56.115,50.812
11,2,0,55.396,55.102,55.396,53.129
12,2,0,55.396,55.102,55.396,53.129
13,2,0,57.554,56.759,57.554,55.007
14,2,0,57.554,56.759,57.554,55.007
15,2,0,57.554,56.317,57.554,54.537
16,2,0,57.554,56.317,57.554,54.537
17,2,0,61.151,59.442,61.151,58.804
18,2,0,61.151,59.717,61.151,58.791
19,2,0,60.432,60.334,60.432,58.819
20,2,0,61.151,60.748,61.151,58.857
21,2,0,61.871,61.126,61.871,59.793
22,2,0,61.871,61.126,61.871,59.793
23,2,0,63.309,63.618,63.309,61.004
24,2,0,64.748,64.675,64.748,62.053
25,2,0,66.906,67.172,66.906,64.57
26,2,0,66.906,67.172,66.906,64.57
27,2,0,65.468,65.098,65.468,62.736
28,2,0,65.468,65.413,65.468,62.681
29,2,0,64.029,63.757,64.029,60.553
30,2,0,62.59,62.16,62.59,58.94
31,2,0,66.187,66.888,66.187,63.36
32,2,0,66.187,66.888,66.187,63.36
33,2,0,66.187,65.86,66.187,63.424
34,2,0,66.187,65.86,66.187,63.424
35,2,0,65.468,65.226,65.468,62.618
36,2,0,65.468,65.226,65.468,62.618
37,2,0,64.029,64.978,64.029,60.915
38,2,0,62.59,63.48,62.59,58.908
39,2,0,62.59,62.822,62.59,59.015
40,2,0,63.309,63.848,63.309,59.633
41,2,0,63.309,63.848,63.309,59.633
42,2,0,63.309,63.848,63.309,59.633
43,2,0,63.309,63.468,63.309,61.049
44,2,0,63.309,63.468,63.309,61.049
45,2,0,62.59,62.791,62.59,60.231
46,2,0,62.59,62.791,62.59,60.231
