iter,step,fold,acc,prec,rec,f1score
0,2,0,52.518,50.758,52.518,43.617
1,2,0,58.273,60.279,58.273,51.161
2,2,0,56.115,55.384,56.115,49.942
3,2,0,60.432,59.814,60.432,55.763
4,2,0,60.432,59.814,60.432,55.763
5,2,0,58.993,58.96,58.993,54.913
6,2,0,58.273,56.361,58.273,54.298
7,2,0,61.871,59.753,61.871,58.323
8,2,0,59.712,56.509,59.712,55.854
9,2,0,61.151,60.208,61.151,58.391
10,2,0,62.59,61.164,62.59,59.398
11,2,0,63.309,62.248,63.309,60.564
12,2,0,62.59,61.283,62.59,59.631
13,2,0,62.59,60.892,62.59,59.296
14,2,0,62.59,60.892,62.59,59.296
15,2,0,61.871,62.098,61.871,58.465
16,2,0,61.871,62.472,61.871,57.953
17,2,0,63.309,63.799,63.309,59.783
18,2,0,64.029,64.905,64.029,60.827
19,2,0,64.748,65.093,64.748,61.976
20,2,0,65.468,66.075,65.468,62.513
21,2,0,64.748,65.165,64.748,62.294
22,2,0,65.468,65.809,65.468,63.111
23,2,0,66.187,66.697,66.187,63.74
24,2,0,64.029,63.016,64.029,60.97
25,2,0,64.029,63.016,64.029,60.97
26,2,0,64.029,63.343,64.029,60.783
27,2,0,66.906,67.698,66.906,65.031
28,2,0,65.468,66.192,65.468,63.232
29,2,0,65.468,66.192,65.468,63.232
30,2,0,65.468,65.941,65.468,62.938
31,2,0,64.029,63.203,64.029,61.86
32,2,0,64.029,63.203,64.029,61.86
33,2,0,64.029,63.01,64.029,62.046
34,2,0,64.029,63.01,64.029,62.046
35,2,0,64.748,63.856,64.748,62.595
36,2,0,64.748,63.856,64.748,62.595
37,2,0,65.468,65.054,65.468,63.242
38,2,0,65.468,65.054,65.468,63.242
39,2,0,64.748,64.619,64.748,62.546
40,2,0,64.748,64.619,64.748,62.546
41,2,0,64.029,63.972,64.029,61.731
42,2,0,64.748,66.243,64.748,62.221
43,2,0,65.468,67.045,65.468,63.204
44,2,0,64.748,66.461,64.748,62.383
45,2,0,64.748,66.315,64.748,62.467
46,2,0,63.309,64.068,63.309,60.521
47,2,0,63.309,64.068,63.309,60.521
48,2,0,64.029,64.663,64.029,61.355
49,2,0,64.029,64.178,64.029,61.317
50,2,0,65.468,66.079,65.468,62.876
0,2,1,49.64,40.03,49.64,42.869
1,2,1,59.712,53.814,59.712,55.012
2,2,1,60.432,54.827,60.432,56.283
3,2,1,60.432,55.734,60.432,56.691
4,2,1,58.273,56.101,58.273,55.776
5,2,1,58.993,57.379,58.993,57.493
6,2,1,58.993,56.901,58.993,57.317
7,2,1,63.309,57.905,63.309,59.257
8,2,1,62.59,57.172,62.59,58.921
9,2,1,62.59,60.22,62.59,59.746
10,2,1,62.59,58.854,62.59,59.775
11,2,1,66.187,63.247,66.187,62.651
12,2,1,66.906,63.914,66.906,63.515
13,2,1,64.029,60.243,64.029,60.537
14,2,1,65.468,61.685,65.468,62.251
15,2,1,65.468,61.685,65.468,62.251
16,2,1,65.468,61.685,65.468,62.251
17,2,1,63.309,61.686,63.309,60.846
18,2,1,65.468,65.281,65.468,63.256
19,2,1,64.748,63.943,64.748,63.316
20,2,1,65.468,64.519,65.468,63.864
21,2,1,64.029,63.388,64.029,62.991
22,2,1,64.029,63.388,64.029,62.991
23,2,1,62.59,62.083,62.59,61.265
24,2,1,64.029,63.463,64.029,62.435
25,2,1,65.468,64.807,65.468,63.991
26,2,1,65.468,64.807,65.468,63.991
27,2,1,66.906,66.951,66.906,64.726
28,2,1,67.626,67.947,67.626,65.349
29,2,1,68.345,69.204,68.345,65.936
30,2,1,69.065,70.432,69.065,66.933
31,2,1,69.065,70.432,69.065,66.933
32,2,1,69.065,70.432,69.065,66.933
33,2,1,69.065,70.087,69.065,67.193
34,2,1,69.065,70.087,69.065,67.193
35,2,1,70.504,72.276,70.504,68.449
36,2,1,70.504,72.276,70.504,68.449
37,2,1,67.626,70.56,67.626,66.015
38,2,1,67.626,70.56,67.626,66.015
39,2,1,67.626,70.97,67.626,66.252
40,2,1,67.626,70.97,67.626,66.252
41,2,1,65.468,66.929,65.468,66.035
42,2,1,65.468,66.929,65.468,66.035
43,2,1,66.187,66.94,66.187,66.494
44,2,1,66.187,66.94,66.187,66.494
45,2,1,66.187,66.675,66.187,66.338
46,2,1,69.065,71.774,69.065,67.576
47,2,1,69.065,71.774,69.065,67.576
48,2,1,68.345,71.121,68.345,66.646
49,2,1,68.345,71.121,68.345,66.646
50,2,1,71.942,73.138,71.942,71.665
0,2,2,56.115,52.0,56.115,50.442
1,2,2,53.957,55.407,53.957,51.973
2,2,2,54.676,57.401,54.676,50.549
3,2,2,57.554,58.544,57.554,54.134
4,2,2,56.115,56.388,56.115,51.962
5,2,2,56.835,64.393,56.835,51.12
6,2,2,57.554,63.578,57.554,52.952
7,2,2,56.115,59.513,56.115,51.831
8,2,2,55.396,59.221,55.396,51.388
9,2,2,57.554,63.761,57.554,52.794
10,2,2,58.993,63.443,58.993,56.139
11,2,2,61.871,62.986,61.871,59.286
12,2,2,61.871,62.986,61.871,59.286
13,2,2,63.309,65.996,63.309,61.423
14,2,2,63.309,65.996,63.309,61.423
15,2,2,61.871,64.323,61.871,59.76
16,2,2,61.151,64.377,61.151,58.485
17,2,2,62.59,64.399,62.59,60.947
18,2,2,64.029,65.683,64.029,62.711
19,2,2,64.029,65.541,64.029,62.578
20,2,2,63.309,62.837,63.309,62.43
21,2,2,64.029,63.36,64.029,62.964
22,2,2,65.468,64.658,65.468,64.05
23,2,2,65.468,64.658,65.468,64.05
24,2,2,62.59,61.581,62.59,61.529
25,2,2,62.59,61.581,62.59,61.529
26,2,2,63.309,62.192,63.309,61.957
27,2,2,64.029,63.451,64.029,63.198
28,2,2,65.468,65.027,65.468,64.577
29,2,2,65.468,65.027,65.468,64.577
30,2,2,66.187,66.124,66.187,65.199
31,2,2,66.906,67.573,66.906,65.839
32,2,2,66.187,66.704,66.187,64.745
33,2,2,66.187,66.704,66.187,64.745
34,2,2,64.748,65.337,64.748,63.196
35,2,2,64.748,65.293,64.748,63.328
36,2,2,66.906,67.303,66.906,65.398
37,2,2,66.187,66.615,66.187,64.624
38,2,2,66.187,66.615,66.187,64.624
39,2,2,65.468,65.406,65.468,63.551
40,2,2,64.029,62.499,64.029,62.447
41,2,2,64.029,62.499,64.029,62.447
42,2,2,63.309,61.821,63.309,61.957
43,2,2,62.59,60.973,62.59,61.398
44,2,2,62.59,61.571,62.59,61.881
45,2,2,62.59,61.571,62.59,61.881
46,2,2,62.59,61.582,62.59,61.732
47,2,2,61.871,60.788,61.871,61.086
48,2,2,61.871,60.788,61.871,61.086
49,2,2,61.871,60.788,61.871,61.086
50,2,2,61.871,60.856,61.871,61.182
0,5,0,52.518,50.758,52.518,43.617
1,5,0,60.432,59.86,60.432,59.15
2,5,0,51.079,52.945,51.079,51.927
3,5,0,56.115,57.339,56.115,55.009
4,5,0,60.432,60.542,60.432,58.351
5,5,0,58.993,57.946,58.993,57.686
6,5,0,58.273,55.753,58.273,55.944
7,5,0,58.273,56.571,58.273,56.177
8,5,0,59.712,57.241,59.712,56.494
9,5,0,58.273,56.731,58.273,56.862
10,5,0,59.712,56.492,59.712,56.722
11,5,0,56.115,56.409,56.115,56.208
12,5,0,55.396,55.677,55.396,55.451
13,5,0,56.835,54.942,56.835,55.284
14,5,0,59.712,58.901,59.712,58.613
15,5,0,64.748,63.493,64.748,63.254
16,5,0,64.748,63.007,64.748,62.756
17,5,0,64.029,62.84,64.029,61.0
18,5,0,63.309,62.157,63.309,60.532
19,5,0,64.029,62.488,64.029,61.508
20,5,0,62.59,60.026,62.59,59.522
0,5,1,49.64,40.03,49.64,42.869
1,5,1,46.763,52.768,46.763,48.266
2,5,1,51.079,55.414,51.079,52.556
3,5,1,56.115,56.184,56.115,55.603
4,5,1,54.676,55.064,54.676,54.265
5,5,1,58.993,58.552,58.993,57.788
6,5,1,58.993,58.141,58.993,57.842
7,5,1,57.554,56.225,57.554,56.438
8,5,1,58.273,57.617,58.273,56.263
9,5,1,58.993,57.56,58.993,56.276
10,5,1,61.151,59.288,61.151,58.47
11,5,1,63.309,62.607,63.309,61.377
