iter,step,fold,acc,prec,rec,f1score
0,2,0,67.626,67.482,67.626,63.908
1,2,0,58.273,59.562,58.273,57.835
2,2,0,67.626,72.844,67.626,64.338
3,2,0,68.345,74.449,68.345,63.6
4,2,0,68.345,74.449,68.345,63.6
5,2,0,74.82,78.401,74.82,72.085
6,2,0,74.82,78.401,74.82,72.085
7,2,0,75.54,76.599,75.54,74.279
8,2,0,71.942,76.374,71.942,68.626
9,2,0,74.82,74.616,74.82,73.699
10,2,0,74.82,74.616,74.82,73.699
11,2,0,74.82,76.027,74.82,73.864
12,2,0,74.82,76.027,74.82,73.864
13,2,0,71.942,76.342,71.942,69.796
14,2,0,71.223,72.501,71.223,70.206
15,2,0,75.54,75.826,75.54,74.962
16,2,0,75.54,75.826,75.54,74.962
17,2,0,74.101,74.926,74.101,73.034
18,2,0,75.54,75.465,75.54,74.802
19,2,0,72.662,72.63,72.662,71.809
20,2,0,72.662,72.63,72.662,71.809
21,2,0,74.82,74.56,74.82,74.593
22,2,0,78.417,78.455,78.417,77.862
23,2,0,76.259,75.875,76.259,75.848
24,2,0,75.54,75.68,75.54,75.041
25,2,0,73.381,72.849,73.381,72.909
26,2,0,75.54,75.256,75.54,75.282
27,2,0,74.82,75.504,74.82,73.889
28,2,0,74.82,75.504,74.82,73.889
29,2,0,73.381,73.045,73.381,72.799
30,2,0,77.698,78.683,77.698,76.877
31,2,0,76.259,76.746,76.259,75.598
32,2,0,73.381,74.579,73.381,72.537
33,2,0,77.698,78.683,77.698,76.877
34,2,0,78.417,80.244,78.417,77.229
35,2,0,76.259,78.585,76.259,74.998
36,2,0,76.259,78.585,76.259,74.998
37,2,0,78.417,79.722,78.417,77.323
38,2,0,78.417,79.722,78.417,77.323
39,2,0,74.82,75.595,74.82,74.052
40,2,0,74.82,75.595,74.82,74.052
41,2,0,76.259,77.039,76.259,75.416
42,2,0,77.698,79.383,77.698,76.91
43,2,0,79.856,80.908,79.856,79.102
44,2,0,79.856,80.908,79.856,79.102
45,2,0,77.698,78.912,77.698,76.83
46,2,0,77.698,78.912,77.698,76.83
47,2,0,77.698,78.721,77.698,76.769
48,2,0,77.698,78.721,77.698,76.769
49,2,0,78.417,79.815,78.417,77.516
50,2,0,79.856,81.065,79.856,79.495
0,2,1,62.59,59.338,62.59,60.782
1,2,1,64.748,71.083,64.748,65.364
2,2,1,64.748,71.083,64.748,65.364
3,2,1,63.309,70.076,63.309,64.943
4,2,1,68.345,71.874,68.345,68.647
5,2,1,70.504,72.509,70.504,70.731
6,2,1,70.504,72.509,70.504,70.731
7,2,1,71.942,75.075,71.942,72.222
8,2,1,71.223,70.546,71.223,70.753
9,2,1,71.223,71.922,71.223,71.495
10,2,1,71.223,71.922,71.223,71.495
11,2,1,69.784,68.994,69.784,69.103
12,2,1,69.784,68.994,69.784,69.103
