iter,step,fold,acc,prec,rec,f1score
0,2,0,61.871,58.176,61.871,57.78
1,2,0,62.59,60.23,62.59,59.362
2,2,0,59.712,58.26,59.712,58.418
3,2,0,63.309,61.625,63.309,59.771
4,2,0,57.554,55.981,57.554,52.905
5,2,0,61.151,62.526,61.151,58.627
6,2,0,64.029,66.282,64.029,62.716
7,2,0,66.187,65.344,66.187,64.319
8,2,0,65.468,65.21,65.468,64.648
9,2,0,68.345,69.315,68.345,66.917
10,2,0,65.468,65.297,65.468,63.994
11,2,0,60.432,60.824,60.432,59.509
12,2,0,69.065,70.613,69.065,67.894
13,2,0,61.151,62.664,61.151,60.355
14,2,0,69.065,70.59,69.065,68.029
15,2,0,69.784,69.572,69.784,69.132
16,2,0,66.187,66.964,66.187,65.241
17,2,0,69.784,70.693,69.784,69.171
18,2,0,67.626,67.755,67.626,67.127
19,2,0,65.468,66.062,65.468,65.002
20,2,0,70.504,70.607,70.504,70.46
21,2,0,71.942,72.041,71.942,71.987
22,2,0,75.54,75.348,75.54,75.206
23,2,0,77.698,77.738,77.698,77.466
24,2,0,77.698,77.64,77.698,77.664
25,2,0,75.54,75.436,75.54,75.354
26,2,0,76.978,76.842,76.978,76.759
27,2,0,76.259,76.161,76.259,76.136
28,2,0,79.856,79.658,79.856,79.584
29,2,0,79.856,79.696,79.856,79.74
30,2,0,80.576,80.518,80.576,80.467
31,2,0,79.137,79.177,79.137,78.996
32,2,0,78.417,78.134,78.417,78.206
33,2,0,76.978,76.894,76.978,76.9
34,2,0,77.698,77.957,77.698,77.761
35,2,0,79.137,78.789,79.137,78.838
36,2,0,78.417,78.364,78.417,78.305
37,2,0,78.417,78.364,78.417,78.305
38,2,0,78.417,78.304,78.417,78.325
39,2,0,82.014,81.805,82.014,81.86
40,2,0,80.576,80.28,80.576,80.209
41,2,0,79.856,79.619,79.856,79.665
42,2,0,80.576,80.54,80.576,80.537
43,2,0,80.576,80.571,80.576,80.413
44,2,0,79.137,78.844,79.137,78.787
45,2,0,80.576,80.486,80.576,80.422
46,2,0,63.309,65.922,63.309,63.514
47,2,0,73.381,74.37,73.381,73.616
48,2,0,76.978,77.306,76.978,76.621
49,2,0,82.734,82.636,82.734,82.609
50,2,0,78.417,78.597,78.417,78.49
0,2,1,70.504,65.78,70.504,67.78
1,2,1,67.626,64.924,67.626,65.402
2,2,1,61.871,62.421,61.871,60.812
3,2,1,66.187,64.129,66.187,64.713
4,2,1,65.468,67.542,65.468,64.388
5,2,1,66.906,68.873,66.906,65.874
6,2,1,69.784,68.637,69.784,68.75
7,2,1,61.151,64.754,61.151,60.928
8,2,1,71.223,67.757,71.223,68.76
9,2,1,71.942,74.271,71.942,72.02
10,2,1,73.381,74.465,73.381,71.911
11,2,1,70.504,73.158,70.504,69.186
12,2,1,73.381,73.741,73.381,72.787
13,2,1,76.978,77.741,76.978,76.605
14,2,1,76.978,78.642,76.978,77.25
15,2,1,78.417,78.718,78.417,78.477
16,2,1,74.101,75.535,74.101,74.352
17,2,1,79.137,80.179,79.137,79.326
18,2,1,79.856,81.059,79.856,80.026
19,2,1,78.417,79.241,78.417,78.628
20,2,1,75.54,75.69,75.54,75.598
21,2,1,78.417,78.746,78.417,78.515
22,2,1,79.856,80.774,79.856,80.031
23,2,1,79.137,79.825,79.137,79.322
24,2,1,77.698,79.104,77.698,77.971
25,2,1,75.54,76.666,75.54,75.761
26,2,1,76.259,77.385,76.259,76.48
27,2,1,81.295,82.84,81.295,81.554
28,2,1,79.137,80.113,79.137,79.335
29,2,1,79.137,79.846,79.137,79.291
30,2,1,80.576,80.917,80.576,80.677
31,2,1,78.417,78.788,78.417,78.532
32,2,1,80.576,81.215,80.576,80.741
33,2,1,77.698,78.635,77.698,77.909
34,2,1,79.856,80.046,79.856,79.776
35,2,1,78.417,78.645,78.417,78.451
36,2,1,80.576,80.45,80.576,80.445
37,2,1,82.734,82.864,82.734,82.752
38,2,1,80.576,80.569,80.576,80.502
39,2,1,84.892,85.231,84.892,84.946
40,2,1,82.734,82.995,82.734,82.79
41,2,1,82.734,82.923,82.734,82.782
42,2,1,79.137,79.38,79.137,79.217
