iter,step,fold,acc,prec,rec,f1score
0,2,0,61.871,58.176,61.871,57.78
1,2,0,58.993,64.781,58.993,54.989
2,2,0,58.993,64.781,58.993,54.989
3,2,0,59.712,61.914,59.712,57.204
4,2,0,63.309,61.795,63.309,60.005
5,2,0,62.59,60.184,62.59,60.737
6,2,0,62.59,60.184,62.59,60.737
7,2,0,62.59,67.587,62.59,58.433
8,2,0,62.59,67.587,62.59,58.433
9,2,0,63.309,68.201,63.309,59.231
10,2,0,63.309,68.201,63.309,59.231
11,2,0,60.432,59.839,60.432,57.705
12,2,0,67.626,66.507,67.626,65.603
13,2,0,65.468,63.269,65.468,61.11
14,2,0,65.468,63.269,65.468,61.11
15,2,0,66.187,64.362,66.187,64.123
16,2,0,69.065,67.31,69.065,67.209
17,2,0,65.468,63.223,65.468,61.968
18,2,0,65.468,63.223,65.468,61.968
19,2,0,67.626,66.681,67.626,66.733
20,2,0,64.029,68.701,64.029,59.302
21,2,0,62.59,59.455,62.59,58.996
22,2,0,62.59,59.455,62.59,58.996
23,2,0,67.626,65.504,67.626,64.937
24,2,0,67.626,65.504,67.626,64.937
25,2,0,66.187,64.802,66.187,65.229
26,2,0,66.187,64.802,66.187,65.229
27,2,0,66.906,65.766,66.906,65.683
28,2,0,64.748,63.499,64.748,62.94
29,2,0,64.029,62.518,64.029,62.326
30,2,0,64.029,62.518,64.029,62.326
31,2,0,64.029,61.874,64.029,61.815
32,2,0,64.029,61.99,64.029,61.964
33,2,0,66.187,60.804,66.187,62.165
34,2,0,66.187,60.804,66.187,62.165
35,2,0,65.468,63.654,65.468,62.961
36,2,0,66.906,64.665,66.906,64.799
37,2,0,67.626,65.444,67.626,65.459
38,2,0,67.626,65.444,67.626,65.459
39,2,0,65.468,62.832,65.468,62.69
40,2,0,66.187,62.33,66.187,62.869
41,2,0,67.626,64.651,67.626,64.83
42,2,0,67.626,64.651,67.626,64.83
43,2,0,68.345,66.989,68.345,66.714
44,2,0,64.748,62.973,64.748,63.357
45,2,0,66.187,65.0,66.187,64.979
46,2,0,66.187,65.0,66.187,64.979
47,2,0,65.468,62.743,65.468,62.634
48,2,0,61.871,59.145,61.871,59.864
49,2,0,64.029,62.322,64.029,62.605
50,2,0,64.029,62.322,64.029,62.605
0,2,1,70.504,65.78,70.504,67.78
1,2,1,70.504,65.811,70.504,67.96
2,2,1,73.381,72.087,73.381,72.412
3,2,1,64.748,67.588,64.748,63.933
4,2,1,64.748,67.588,64.748,63.933
5,2,1,64.029,66.123,64.029,63.158
6,2,1,64.029,66.123,64.029,63.158
7,2,1,66.187,63.686,66.187,64.593
8,2,1,66.187,63.686,66.187,64.593
