iter,step,fold,acc,prec,rec,f1score
0,2,0,61.871,58.176,61.871,57.78
1,2,0,54.676,51.661,54.676,51.961
2,2,0,56.115,52.601,56.115,52.44
3,2,0,57.554,56.718,57.554,56.519
4,2,0,58.273,55.952,58.273,56.646
5,2,0,53.237,48.818,53.237,50.118
6,2,0,62.59,59.595,62.59,60.25
7,2,0,64.748,63.809,64.748,63.315
8,2,0,63.309,61.538,63.309,62.003
9,2,0,63.309,62.017,63.309,62.303
10,2,0,63.309,62.017,63.309,62.303
11,2,0,60.432,59.979,60.432,59.982
12,2,0,60.432,57.356,60.432,58.296
13,2,0,64.748,60.0,64.748,61.172
14,2,0,64.748,60.0,64.748,61.172
15,2,0,66.906,66.831,66.906,66.319
16,2,0,66.906,66.831,66.906,66.319
17,2,0,66.187,66.283,66.187,65.359
18,2,0,66.187,66.283,66.187,65.359
19,2,0,64.029,63.304,64.029,63.578
20,2,0,64.029,63.304,64.029,63.578
21,2,0,66.187,65.782,66.187,65.169
22,2,0,66.187,65.782,66.187,65.169
23,2,0,69.065,68.804,69.065,68.696
24,2,0,69.065,68.804,69.065,68.696
25,2,0,67.626,66.245,67.626,66.347
26,2,0,67.626,66.245,67.626,66.347
27,2,0,71.223,70.768,71.223,70.814
28,2,0,71.223,70.768,71.223,70.814
29,2,0,71.942,72.048,71.942,71.222
30,2,0,69.784,68.378,69.784,68.37
31,2,0,66.906,64.001,66.906,64.821
32,2,0,66.906,64.001,66.906,64.821
33,2,0,67.626,66.158,67.626,66.152
34,2,0,69.065,68.727,69.065,68.37
35,2,0,66.906,65.536,66.906,64.638
36,2,0,66.906,65.536,66.906,64.638
37,2,0,66.906,64.857,66.906,65.455
38,2,0,66.906,64.857,66.906,65.455
39,2,0,69.784,68.7,69.784,68.282
40,2,0,69.784,68.525,69.784,68.588
41,2,0,64.748,63.407,64.748,63.906
42,2,0,64.748,63.407,64.748,63.906
43,2,0,70.504,69.504,70.504,69.233
44,2,0,69.065,67.661,69.065,68.028
45,2,0,69.784,68.399,69.784,68.498
46,2,0,69.784,68.399,69.784,68.498
47,2,0,67.626,66.016,67.626,66.074
48,2,0,69.065,68.188,69.065,67.601
49,2,0,68.345,67.116,68.345,67.353
50,2,0,68.345,67.116,68.345,67.353
0,2,1,70.504,65.78,70.504,67.78
1,2,1,64.748,65.382,64.748,64.432
2,2,1,64.748,65.382,64.748,64.432
3,2,1,69.065,67.538,69.065,67.447
4,2,1,69.065,67.538,69.065,67.447
5,2,1,67.626,66.443,67.626,65.015
6,2,1,66.906,65.754,66.906,65.722
7,2,1,69.784,68.573,69.784,68.565
8,2,1,69.784,68.573,69.784,68.565
9,2,1,67.626,69.65,67.626,65.904
10,2,1,69.784,71.482,69.784,68.648
11,2,1,74.82,76.213,74.82,73.513
12,2,1,74.82,76.213,74.82,73.513
13,2,1,61.871,63.614,61.871,62.582
14,2,1,61.871,63.614,61.871,62.582
15,2,1,70.504,71.166,70.504,70.039
16,2,1,69.065,69.95,69.065,66.3
17,2,1,70.504,70.823,70.504,68.268
18,2,1,70.504,70.823,70.504,68.268
19,2,1,69.784,68.561,69.784,68.569
20,2,1,69.784,68.561,69.784,68.569
21,2,1,69.784,69.346,69.784,69.052
22,2,1,71.942,72.044,71.942,70.805
23,2,1,66.906,67.257,66.906,65.105
24,2,1,66.906,67.257,66.906,65.105
25,2,1,69.065,69.968,69.065,67.713
26,2,1,70.504,70.901,70.504,68.817
27,2,1,69.784,71.258,69.784,68.11
28,2,1,69.784,71.258,69.784,68.11
29,2,1,69.065,69.591,69.065,68.041
30,2,1,73.381,73.512,73.381,72.915
31,2,1,75.54,75.825,75.54,74.176
32,2,1,75.54,75.825,75.54,74.176
33,2,1,72.662,74.72,72.662,72.099
34,2,1,72.662,74.72,72.662,72.099
35,2,1,75.54,75.881,75.54,74.924
36,2,1,75.54,75.881,75.54,74.924
37,2,1,73.381,72.946,73.381,72.02
38,2,1,77.698,77.736,77.698,77.071
39,2,1,73.381,72.653,73.381,72.557
40,2,1,73.381,72.653,73.381,72.557
41,2,1,73.381,73.427,73.381,72.53
42,2,1,73.381,73.427,73.381,72.53
43,2,1,72.662,72.943,72.662,71.65
44,2,1,72.662,72.943,72.662,71.65
45,2,1,74.82,74.784,74.82,73.567
46,2,1,74.82,74.784,74.82,73.567
47,2,1,76.259,75.236,76.259,74.993
48,2,1,76.259,75.236,76.259,74.993
49,2,1,73.381,73.53,73.381,71.971
50,2,1,73.381,73.53,73.381,71.971
0,2,2,64.748,58.883,64.748,61.267
1,2,2,58.273,61.693,58.273,57.201
2,2,2,64.029,69.256,64.029,62.242
3,2,2,63.309,66.782,63.309,61.314
4,2,2,63.309,66.782,63.309,61.314
