iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,58.821,60.432,59.281
1,2,0,56.115,57.836,56.115,56.796
2,2,0,56.115,55.726,56.115,55.24
3,2,0,57.554,49.298,57.554,52.665
4,2,0,54.676,55.951,54.676,52.039
5,2,0,50.36,50.628,50.36,47.588
6,2,0,60.432,61.62,60.432,59.481
7,2,0,61.151,60.276,61.151,56.531
8,2,0,61.151,60.276,61.151,56.531
9,2,0,64.748,64.822,64.748,61.501
10,2,0,64.748,64.822,64.748,61.501
11,2,0,61.871,60.48,61.871,60.571
12,2,0,61.871,60.48,61.871,60.571
13,2,0,61.871,63.118,61.871,59.277
14,2,0,61.871,63.118,61.871,59.277
15,2,0,63.309,63.175,63.309,61.528
16,2,0,63.309,63.175,63.309,61.528
17,2,0,66.187,66.012,66.187,63.507
18,2,0,69.065,70.421,69.065,67.233
19,2,0,66.187,66.198,66.187,63.504
20,2,0,65.468,67.121,65.468,62.829
21,2,0,67.626,70.808,67.626,65.72
22,2,0,66.187,66.46,66.187,63.147
23,2,0,69.065,72.111,69.065,67.511
24,2,0,69.065,72.111,69.065,67.511
25,2,0,68.345,68.183,68.345,66.529
26,2,0,68.345,68.183,68.345,66.529
27,2,0,69.065,70.365,69.065,66.898
28,2,0,66.187,68.154,66.187,64.7
29,2,0,67.626,69.482,67.626,65.95
30,2,0,67.626,69.482,67.626,65.95
31,2,0,69.784,71.001,69.784,67.755
32,2,0,69.784,71.001,69.784,67.755
33,2,0,65.468,66.525,65.468,63.252
34,2,0,65.468,66.525,65.468,63.252
35,2,0,72.662,74.073,72.662,70.921
36,2,0,72.662,74.073,72.662,70.921
37,2,0,65.468,67.216,65.468,62.83
38,2,0,71.223,70.832,71.223,69.821
39,2,0,72.662,72.146,72.662,71.274
40,2,0,72.662,72.146,72.662,71.274
41,2,0,69.065,69.647,69.065,67.824
42,2,0,74.101,75.675,74.101,71.877
43,2,0,74.82,75.763,74.82,73.213
44,2,0,74.82,75.763,74.82,73.213
45,2,0,74.101,74.292,74.101,72.8
46,2,0,74.101,74.292,74.101,72.8
47,2,0,76.978,77.502,76.978,75.19
48,2,0,76.978,77.502,76.978,75.19
49,2,0,75.54,75.639,75.54,74.314
50,2,0,77.698,78.384,77.698,76.764
0,2,1,65.468,65.638,65.468,65.544
1,2,1,59.712,64.882,59.712,59.939
2,2,1,70.504,71.131,70.504,69.236
3,2,1,66.906,68.833,66.906,65.666
4,2,1,66.906,68.833,66.906,65.666
5,2,1,65.468,65.085,65.468,63.612
6,2,1,65.468,65.085,65.468,63.612
7,2,1,64.748,65.427,64.748,64.86
8,2,1,64.748,65.427,64.748,64.86
9,2,1,66.187,67.746,66.187,66.436
10,2,1,69.784,70.825,69.784,67.695
11,2,1,70.504,71.029,70.504,70.469
12,2,1,70.504,71.029,70.504,70.469
13,2,1,71.223,73.019,71.223,70.448
14,2,1,69.784,69.48,69.784,67.736
15,2,1,71.223,71.022,71.223,70.285
16,2,1,72.662,73.484,72.662,73.005
17,2,1,76.978,78.199,76.978,77.392
18,2,1,74.101,74.889,74.101,74.412
19,2,1,68.345,66.969,68.345,67.317
20,2,1,68.345,66.969,68.345,67.317
21,2,1,75.54,75.218,75.54,75.22
22,2,1,75.54,75.218,75.54,75.22
23,2,1,74.101,75.644,74.101,74.649
24,2,1,72.662,74.56,72.662,73.159
25,2,1,73.381,72.712,73.381,72.771
26,2,1,73.381,74.801,73.381,73.928
27,2,1,71.942,73.467,71.942,72.25
28,2,1,71.942,73.467,71.942,72.25
29,2,1,76.259,77.036,76.259,76.54
30,2,1,76.259,77.036,76.259,76.54
31,2,1,78.417,77.95,78.417,77.841
32,2,1,78.417,77.95,78.417,77.841
33,2,1,70.504,69.347,70.504,69.55
34,2,1,70.504,72.541,70.504,70.964
35,2,1,76.978,77.847,76.978,76.976
36,2,1,76.978,77.847,76.978,76.976
37,2,1,71.942,72.61,71.942,71.002
38,2,1,71.942,72.61,71.942,71.002
39,2,1,71.223,71.028,71.223,71.064
40,2,1,71.223,71.028,71.223,71.064
