iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,58.821,60.432,59.281
1,2,0,59.712,61.221,59.712,57.382
2,2,0,62.59,64.131,62.59,58.64
3,2,0,58.993,59.479,58.993,56.445
4,2,0,57.554,65.317,57.554,49.515
5,2,0,59.712,58.257,59.712,57.932
6,2,0,69.065,67.206,69.065,65.924
7,2,0,65.468,65.673,65.468,61.5
8,2,0,64.748,73.509,64.748,59.062
9,2,0,67.626,66.499,67.626,64.009
10,2,0,66.187,70.484,66.187,62.665
11,2,0,70.504,69.941,70.504,66.737
12,2,0,71.223,71.571,71.223,70.004
13,2,0,71.942,72.831,71.942,70.094
14,2,0,70.504,71.748,70.504,67.853
15,2,0,67.626,65.877,67.626,65.22
16,2,0,66.187,67.82,66.187,64.018
17,2,0,64.029,63.727,64.029,61.936
18,2,0,70.504,72.203,70.504,67.737
19,2,0,72.662,73.563,72.662,71.003
20,2,0,71.223,72.129,71.223,69.401
21,2,0,73.381,73.178,73.381,71.388
22,2,0,69.784,71.02,69.784,68.719
23,2,0,71.223,72.203,71.223,69.509
24,2,0,68.345,66.578,68.345,65.643
25,2,0,69.065,67.827,69.065,67.905
26,2,0,66.187,65.439,66.187,64.958
27,2,0,67.626,66.904,67.626,66.219
28,2,0,69.065,68.779,69.065,68.216
29,2,0,65.468,66.914,65.468,64.185
30,2,0,66.906,67.284,66.906,65.939
31,2,0,64.029,65.395,64.029,62.115
32,2,0,64.029,63.559,64.029,62.699
33,2,0,63.309,63.592,63.309,61.488
34,2,0,62.59,62.774,62.59,61.712
35,2,0,60.432,60.649,60.432,59.067
36,2,0,66.906,67.301,66.906,66.145
37,2,0,61.151,59.417,61.151,58.753
38,2,0,61.151,60.433,61.151,58.882
39,2,0,68.345,67.746,68.345,67.384
40,2,0,63.309,63.749,63.309,62.711
41,2,0,66.906,67.337,66.906,66.223
42,2,0,66.906,66.606,66.906,65.203
43,2,0,64.748,64.339,64.748,62.961
44,2,0,70.504,72.097,70.504,68.319
45,2,0,67.626,69.6,67.626,65.191
46,2,0,54.676,59.173,54.676,52.559
47,2,0,58.273,52.305,58.273,52.089
48,2,0,58.273,63.638,58.273,54.912
49,2,0,60.432,52.84,60.432,56.225
50,2,0,66.187,67.6,66.187,64.065
0,2,1,65.468,65.638,65.468,65.544
1,2,1,58.993,67.349,58.993,61.79
2,2,1,64.748,64.145,64.748,64.366
3,2,1,66.187,67.437,66.187,66.725
4,2,1,66.187,61.555,66.187,63.388
5,2,1,67.626,68.554,67.626,67.842
6,2,1,58.993,63.487,58.993,60.098
7,2,1,65.468,66.091,65.468,65.728
8,2,1,45.324,59.031,45.324,46.494
9,2,1,65.468,67.212,65.468,65.274
10,2,1,68.345,71.081,68.345,67.097
11,2,1,64.748,63.88,64.748,63.738
12,2,1,58.993,65.671,58.993,61.123
13,2,1,66.906,66.978,66.906,66.695
14,2,1,61.871,62.457,61.871,60.185
15,2,1,61.871,64.656,61.871,62.204
16,2,1,69.065,70.936,69.065,67.456
17,2,1,57.554,55.634,57.554,56.305
18,2,1,56.835,61.115,56.835,58.702
19,2,1,58.993,59.858,58.993,58.959
20,2,1,65.468,65.938,65.468,65.515
21,2,1,66.906,66.36,66.906,66.135
22,2,1,61.151,62.711,61.151,61.06
23,2,1,66.187,67.025,66.187,64.745
24,2,1,64.748,67.278,64.748,64.313
25,2,1,62.59,63.576,62.59,62.064
26,2,1,62.59,63.762,62.59,62.575
27,2,1,58.273,56.38,58.273,57.128
28,2,1,59.712,60.272,59.712,58.859
29,2,1,65.468,65.556,65.468,64.499
30,2,1,65.468,65.38,65.468,65.42
31,2,1,63.309,64.115,63.309,62.976
32,2,1,70.504,70.149,70.504,69.622
33,2,1,69.065,66.956,69.065,67.227
34,2,1,64.029,63.215,64.029,62.853
35,2,1,61.871,62.016,61.871,61.223
36,2,1,68.345,68.974,68.345,68.463
37,2,1,66.187,66.594,66.187,65.72
38,2,1,66.906,69.83,66.906,67.893
39,2,1,68.345,68.803,68.345,67.994
40,2,1,63.309,66.673,63.309,63.94
41,2,1,67.626,68.013,67.626,66.923
42,2,1,65.468,67.642,65.468,65.635
43,2,1,62.59,64.955,62.59,62.503
44,2,1,69.065,72.127,69.065,69.553
45,2,1,67.626,70.954,67.626,68.478
46,2,1,58.993,65.738,58.993,53.839
47,2,1,48.201,61.866,48.201,51.799
48,2,1,56.115,63.24,56.115,58.482
49,2,1,59.712,65.866,59.712,57.281
50,2,1,65.468,65.019,65.468,59.482
0,2,2,65.468,64.604,65.468,64.929
1,2,2,61.151,62.544,61.151,61.34
2,2,2,63.309,62.077,63.309,62.131
3,2,2,61.151,66.258,61.151,62.631
4,2,2,64.748,64.826,64.748,63.198
5,2,2,69.065,67.012,69.065,67.619
6,2,2,60.432,57.29,60.432,58.247
7,2,2,61.151,60.585,61.151,59.649
8,2,2,62.59,63.164,62.59,61.445
9,2,2,62.59,67.528,62.59,60.613
10,2,2,51.079,55.593,51.079,52.676
11,2,2,64.029,62.107,64.029,62.165
