iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,71.942,63.97,71.942,66.343
2,2,0,73.381,63.325,73.381,67.658
3,2,0,74.101,63.497,74.101,68.324
4,2,0,74.82,64.163,74.82,68.98
5,2,0,73.381,62.831,73.381,67.695
6,2,0,73.381,68.405,73.381,69.025
7,2,0,74.101,69.079,74.101,69.685
8,2,0,72.662,72.949,72.662,70.425
9,2,0,73.381,73.498,73.381,71.189
10,2,0,71.942,72.166,71.942,70.811
11,2,0,69.065,71.255,69.065,67.269
12,2,0,69.784,71.804,69.784,68.119
13,2,0,70.504,72.347,70.504,68.957
14,2,0,71.223,73.234,71.223,69.311
15,2,0,68.345,71.79,68.345,65.85
16,2,0,69.784,72.859,69.784,67.634
17,2,0,69.065,70.952,69.065,66.953
18,2,0,71.223,73.234,71.223,69.311
19,2,0,71.223,73.234,71.223,69.311
20,2,0,69.784,73.372,69.784,67.341
21,2,0,68.345,72.284,68.345,65.525
22,2,0,64.029,73.859,64.029,58.254
23,2,0,75.54,77.644,75.54,73.999
24,2,0,69.784,73.537,69.784,67.474
25,2,0,69.784,73.401,69.784,67.486
26,2,0,65.468,70.766,65.468,63.138
27,2,0,60.432,72.302,60.432,53.202
28,2,0,58.273,70.431,58.273,50.076
29,2,0,58.993,64.138,58.993,51.267
30,2,0,64.029,69.277,64.029,59.439
31,2,0,64.748,69.335,64.748,59.924
32,2,0,64.029,69.928,64.029,59.661
33,2,0,58.993,64.138,58.993,51.267
34,2,0,60.432,66.296,60.432,53.984
35,2,0,61.871,67.572,61.871,56.194
36,2,0,61.871,68.747,61.871,55.773
37,2,0,61.871,68.486,61.871,56.051
38,2,0,64.748,70.263,64.748,59.036
39,2,0,64.748,70.263,64.748,59.036
40,2,0,56.835,65.83,56.835,48.201
41,2,0,57.554,65.317,57.554,49.515
42,2,0,61.151,67.828,61.151,55.209
43,2,0,63.309,68.509,63.309,56.612
44,2,0,60.432,67.063,60.432,53.379
45,2,0,59.712,66.379,59.712,52.488
46,2,0,63.309,68.885,63.309,57.129
47,2,0,64.029,67.738,64.029,58.351
48,2,0,64.029,69.153,64.029,59.173
49,2,0,65.468,68.999,65.468,60.341
50,2,0,66.906,70.367,66.906,62.052
0,2,1,76.259,70.952,76.259,73.176
1,2,1,74.101,69.075,74.101,70.912
2,2,1,76.978,71.476,76.978,73.979
3,2,1,77.698,72.353,77.698,74.589
4,2,1,74.82,76.187,74.82,73.175
5,2,1,78.417,79.584,78.417,76.94
6,2,1,76.259,77.533,76.259,74.89
7,2,1,78.417,79.729,78.417,77.086
8,2,1,76.978,78.536,76.978,75.747
9,2,1,76.259,76.004,76.259,75.142
10,2,1,72.662,75.303,72.662,73.582
11,2,1,71.942,74.703,71.942,72.858
12,2,1,71.223,73.331,71.223,71.989
13,2,1,69.784,71.696,69.784,70.452
14,2,1,75.54,76.894,75.54,76.026
15,2,1,76.259,77.778,76.259,76.84
16,2,1,69.784,76.526,69.784,72.22
17,2,1,70.504,77.425,70.504,72.989
18,2,1,63.309,73.111,63.309,66.771
19,2,1,64.029,74.117,64.029,67.522
20,2,1,64.029,73.976,64.029,67.564
21,2,1,64.748,74.921,64.748,68.324
22,2,1,61.151,70.729,61.151,64.299
23,2,1,61.151,73.17,61.151,64.393
24,2,1,60.432,71.759,60.432,63.887
25,2,1,59.712,70.705,59.712,63.107
26,2,1,62.59,75.525,62.59,66.879
27,2,1,60.432,72.796,60.432,64.468
28,2,1,64.029,79.928,64.029,69.068
29,2,1,62.59,78.754,62.59,67.232
30,2,1,61.871,77.58,61.871,66.478
31,2,1,61.871,78.035,61.871,66.357
32,2,1,62.59,78.342,62.59,67.344
