iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,71.942,63.97,71.942,66.343
2,2,0,74.101,64.082,74.101,68.32
3,2,0,74.82,64.415,74.82,69.027
4,2,0,74.82,64.274,74.82,68.999
5,2,0,74.101,63.584,74.101,68.338
6,2,0,74.82,73.297,74.82,71.729
7,2,0,71.223,71.468,71.223,68.286
8,2,0,69.784,71.25,69.784,67.704
9,2,0,69.784,71.25,69.784,67.704
10,2,0,74.101,74.625,74.101,73.362
11,2,0,70.504,71.725,70.504,69.726
12,2,0,71.223,72.324,71.223,70.547
13,2,0,69.065,70.518,69.065,68.052
14,2,0,67.626,69.389,67.626,66.685
15,2,0,68.345,70.011,68.345,67.543
16,2,0,71.942,73.251,71.942,71.635
17,2,0,72.662,73.874,72.662,72.441
18,2,0,69.784,71.384,69.784,69.156
19,2,0,71.223,72.63,71.223,70.819
20,2,0,71.223,72.772,71.223,70.91
21,2,0,70.504,72.621,70.504,69.933
22,2,0,69.065,71.503,69.065,68.28
23,2,0,69.784,72.119,69.784,69.148
24,2,0,69.065,71.655,69.065,68.572
25,2,0,69.065,71.655,69.065,68.572
26,2,0,69.784,72.119,69.784,69.148
27,2,0,69.784,72.119,69.784,69.148
28,2,0,69.065,71.503,69.065,68.28
29,2,0,69.065,71.503,69.065,68.28
30,2,0,69.784,72.72,69.784,68.956
31,2,0,69.784,72.72,69.784,68.956
32,2,0,68.345,71.972,68.345,67.672
33,2,0,69.065,72.681,69.065,68.372
34,2,0,68.345,71.367,68.345,67.88
35,2,0,68.345,71.367,68.345,67.88
36,2,0,67.626,71.358,67.626,66.767
37,2,0,64.029,70.313,64.029,62.869
38,2,0,64.029,69.438,64.029,63.173
39,2,0,64.748,70.741,64.748,64.874
40,2,0,64.748,71.226,64.748,64.262
41,2,0,64.748,70.954,64.748,63.851
42,2,0,65.468,71.585,65.468,64.815
43,2,0,63.309,68.745,63.309,62.199
44,2,0,63.309,71.3,63.309,62.451
45,2,0,61.871,70.109,61.871,60.42
46,2,0,62.59,70.71,62.59,61.445
47,2,0,62.59,70.71,62.59,61.445
48,2,0,61.871,70.109,61.871,60.42
49,2,0,61.871,70.109,61.871,60.42
50,2,0,56.835,66.763,56.835,55.045
0,2,1,76.259,70.952,76.259,73.176
1,2,1,74.101,69.075,74.101,70.912
2,2,1,73.381,68.316,73.381,70.359
3,2,1,75.54,70.154,75.54,72.42
4,2,1,74.82,69.877,74.82,72.239
5,2,1,77.698,72.589,77.698,74.927
6,2,1,78.417,73.428,78.417,75.524
7,2,1,76.259,71.541,76.259,73.251
8,2,1,73.381,74.117,73.381,70.675
9,2,1,74.101,74.159,74.101,71.459
10,2,1,74.101,74.129,74.101,71.256
11,2,1,71.223,76.492,71.223,67.845
12,2,1,71.223,76.492,71.223,67.845
13,2,1,65.468,72.091,65.468,59.492
14,2,1,68.345,74.46,68.345,63.84
15,2,1,74.82,77.338,74.82,72.856
16,2,1,74.101,76.78,74.101,71.846
17,2,1,75.54,78.271,75.54,73.627
18,2,1,74.82,78.752,74.82,72.545
19,2,1,69.065,74.281,69.065,64.608
20,2,1,72.662,77.119,72.662,69.521
21,2,1,70.504,75.427,70.504,67.42
22,2,1,68.345,74.209,68.345,65.839
23,2,1,66.906,73.521,66.906,64.823
24,2,1,64.029,73.89,64.029,63.679
25,2,1,61.151,73.878,61.151,62.707
26,2,1,61.871,73.395,61.871,62.604
27,2,1,60.432,72.176,60.432,60.622
28,2,1,57.554,70.344,57.554,57.155
29,2,1,53.237,67.184,53.237,51.819
30,2,1,53.237,68.662,53.237,52.513
31,2,1,51.799,68.509,51.799,51.671
32,2,1,48.201,68.71,48.201,49.474
