iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,73.381,63.129,73.381,67.724
2,2,0,73.381,63.129,73.381,67.724
3,2,0,74.101,63.683,74.101,68.395
4,2,0,74.101,63.683,74.101,68.395
5,2,0,74.82,65.127,74.82,69.035
6,2,0,74.82,65.127,74.82,69.035
7,2,0,72.662,63.316,72.662,66.867
8,2,0,69.784,63.239,69.784,64.044
9,2,0,74.82,65.431,74.82,69.096
10,2,0,74.82,65.431,74.82,69.096
11,2,0,71.942,64.02,71.942,66.206
12,2,0,71.942,64.02,71.942,66.206
13,2,0,71.942,63.537,71.942,66.268
14,2,0,71.942,63.537,71.942,66.268
15,2,0,74.101,64.284,74.101,68.432
16,2,0,78.417,68.127,78.417,72.657
17,2,0,78.417,68.127,78.417,72.657
18,2,0,78.417,67.954,78.417,72.621
19,2,0,78.417,68.642,78.417,72.705
20,2,0,78.417,68.642,78.417,72.705
21,2,0,74.101,66.227,74.101,68.567
22,2,0,74.101,66.227,74.101,68.567
23,2,0,66.187,62.186,66.187,60.104
24,2,0,68.345,68.406,68.345,63.447
25,2,0,75.54,71.746,75.54,71.065
26,2,0,75.54,71.746,75.54,71.065
27,2,0,71.942,70.511,71.942,67.403
28,2,0,71.942,70.511,71.942,67.403
29,2,0,76.259,77.187,76.259,73.723
30,2,0,79.137,78.934,79.137,76.643
31,2,0,77.698,77.427,77.698,75.992
32,2,0,77.698,77.427,77.698,75.992
33,2,0,77.698,77.427,77.698,75.992
34,2,0,77.698,77.427,77.698,75.992
35,2,0,71.223,73.443,71.223,68.977
36,2,0,71.223,73.443,71.223,68.977
37,2,0,71.942,73.872,71.942,69.798
38,2,0,71.942,73.872,71.942,69.798
39,2,0,77.698,77.427,77.698,75.992
40,2,0,77.698,77.427,77.698,75.992
41,2,0,77.698,77.427,77.698,75.992
42,2,0,77.698,77.427,77.698,75.992
43,2,0,77.698,77.427,77.698,75.992
44,2,0,77.698,77.427,77.698,75.992
45,2,0,77.698,79.345,77.698,78.015
46,2,0,77.698,79.345,77.698,78.015
47,2,0,77.698,79.682,77.698,78.059
48,2,0,77.698,79.682,77.698,78.059
49,2,0,77.698,79.682,77.698,78.059
50,2,0,77.698,78.278,77.698,77.81
0,2,1,76.259,70.952,76.259,73.176
1,2,1,76.259,73.535,76.259,72.759
2,2,1,76.259,73.535,76.259,72.759
3,2,1,76.978,72.994,76.978,73.447
4,2,1,76.978,72.994,76.978,73.447
5,2,1,76.259,72.455,76.259,72.652
6,2,1,81.295,82.828,81.295,79.005
7,2,1,80.576,82.46,80.576,78.293
8,2,1,80.576,82.46,80.576,78.293
9,2,1,80.576,79.332,80.576,78.463
10,2,1,80.576,79.332,80.576,78.463
11,2,1,79.137,78.897,79.137,76.924
12,2,1,79.137,78.897,79.137,76.924
13,2,1,74.101,75.249,74.101,71.337
14,2,1,74.101,75.249,74.101,71.337
15,2,1,76.259,77.25,76.259,75.449
16,2,1,76.259,77.25,76.259,75.449
17,2,1,73.381,75.398,73.381,72.21
18,2,1,73.381,75.398,73.381,72.21
19,2,1,70.504,73.122,70.504,68.32
20,2,1,70.504,73.122,70.504,68.32
21,2,1,71.942,75.068,71.942,69.886
22,2,1,73.381,75.512,73.381,71.581
23,2,1,72.662,74.73,72.662,70.89
24,2,1,72.662,74.73,72.662,70.89
25,2,1,71.942,74.83,71.942,69.724
26,2,1,71.942,74.83,71.942,69.724
27,2,1,73.381,76.771,73.381,71.287
28,2,1,71.942,74.272,71.942,70.135
29,2,1,71.942,74.272,71.942,70.135
30,2,1,79.137,80.012,79.137,79.259
31,2,1,71.223,74.253,71.223,69.776
32,2,1,71.223,74.253,71.223,69.776
33,2,1,72.662,74.977,72.662,72.401
34,2,1,77.698,79.902,77.698,77.903
35,2,1,73.381,79.245,73.381,74.818
36,2,1,73.381,79.245,73.381,74.818
37,2,1,71.223,78.908,71.223,72.946
38,2,1,71.223,77.971,71.223,72.439
39,2,1,69.784,77.502,69.784,71.241
40,2,1,69.065,78.249,69.065,71.242
41,2,1,66.906,76.099,66.906,68.461
42,2,1,71.223,79.424,71.223,73.149
43,2,1,69.065,78.249,69.065,71.242
44,2,1,71.942,81.243,71.942,74.583
45,2,1,66.187,75.86,66.187,67.939
46,2,1,66.187,75.86,66.187,67.939
47,2,1,64.748,76.464,64.748,65.854
48,2,1,64.748,76.464,64.748,65.854
49,2,1,64.748,76.883,64.748,65.861
50,2,1,64.748,76.883,64.748,65.861
0,2,2,71.223,65.101,71.223,67.526
1,2,2,74.101,67.221,74.101,70.383
2,2,2,74.82,68.075,74.82,71.24
3,2,2,76.259,69.558,76.259,72.636
4,2,2,76.259,69.558,76.259,72.636
5,2,2,76.978,70.107,76.978,73.301
6,2,2,76.978,70.107,76.978,73.301
7,2,2,79.137,80.918,79.137,77.62
8,2,2,79.137,80.918,79.137,77.62
9,2,2,80.576,82.033,80.576,78.944
10,2,2,80.576,82.033,80.576,78.944
11,2,2,76.259,79.043,76.259,74.333
12,2,2,76.259,79.043,76.259,74.333
13,2,2,78.417,80.479,78.417,76.573
14,2,2,77.698,79.298,77.698,76.034
15,2,2,79.137,80.642,79.137,77.527
16,2,2,78.417,78.155,78.417,77.515
17,2,2,78.417,78.155,78.417,77.515
18,2,2,78.417,78.377,78.417,77.531
19,2,2,77.698,77.584,77.698,76.828
20,2,2,77.698,77.584,77.698,76.828
21,2,2,76.978,76.359,76.978,75.894
22,2,2,77.698,77.325,77.698,76.496
23,2,2,76.259,75.422,76.259,75.366
24,2,2,76.259,75.422,76.259,75.366
25,2,2,77.698,76.623,77.698,76.88
26,2,2,77.698,76.623,77.698,76.88
27,2,2,76.978,75.89,76.978,76.202
28,2,2,73.381,73.779,73.381,72.261
29,2,2,72.662,75.092,72.662,70.872
30,2,2,73.381,73.807,73.381,72.428
31,2,2,73.381,73.807,73.381,72.428
32,2,2,73.381,73.807,73.381,72.428
33,2,2,73.381,73.807,73.381,72.428
34,2,2,73.381,73.807,73.381,72.428
35,2,2,74.101,74.412,74.101,73.226
36,2,2,74.101,74.412,74.101,73.226
37,2,2,73.381,74.317,73.381,72.221
38,2,2,73.381,74.317,73.381,72.221
39,2,2,73.381,74.317,73.381,72.221
40,2,2,73.381,73.446,73.381,72.147
41,2,2,73.381,73.446,73.381,72.147
42,2,2,73.381,73.446,73.381,72.147
43,2,2,71.223,72.671,71.223,69.766
