iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,72.662,62.557,72.662,67.087
2,2,0,70.504,63.666,70.504,64.802
3,2,0,71.942,63.97,71.942,66.343
4,2,0,73.381,63.144,73.381,67.682
5,2,0,74.101,63.583,74.101,68.294
6,2,0,75.54,64.988,75.54,69.604
7,2,0,75.54,64.842,75.54,69.582
8,2,0,74.82,64.03,74.82,68.967
9,2,0,74.82,64.03,74.82,68.967
10,2,0,74.82,63.923,74.82,68.878
11,2,0,75.54,64.618,75.54,69.648
12,2,0,79.137,81.878,79.137,74.773
13,2,0,78.417,81.227,78.417,74.121
14,2,0,76.259,79.596,76.259,71.359
15,2,0,76.978,80.033,76.978,72.86
16,2,0,79.856,78.154,79.856,75.596
17,2,0,80.576,78.786,80.576,76.297
18,2,0,81.295,79.503,81.295,76.95
19,2,0,79.856,75.897,79.856,74.812
20,2,0,82.014,80.078,82.014,77.679
21,2,0,82.014,80.078,82.014,77.679
22,2,0,81.295,77.592,81.295,77.137
23,2,0,84.173,83.303,84.173,82.917
24,2,0,84.173,83.303,84.173,82.917
25,2,0,84.892,84.384,84.892,83.894
26,2,0,82.014,81.96,82.014,81.269
27,2,0,84.173,84.501,84.173,83.824
28,2,0,81.295,82.133,81.295,80.834
29,2,0,80.576,81.569,80.576,80.046
30,2,0,80.576,81.569,80.576,80.046
31,2,0,81.295,82.133,81.295,80.834
32,2,0,82.014,82.379,82.014,81.586
33,2,0,82.734,83.318,82.734,82.277
34,2,0,82.014,82.432,82.014,81.765
35,2,0,82.014,82.757,82.014,81.687
36,2,0,84.173,84.347,84.173,83.98
37,2,0,84.173,84.347,84.173,83.98
38,2,0,84.173,84.347,84.173,83.98
39,2,0,84.892,84.885,84.892,84.572
40,2,0,84.892,84.88,84.892,84.648
41,2,0,85.612,85.468,85.612,85.251
42,2,0,85.612,85.468,85.612,85.251
43,2,0,85.612,85.468,85.612,85.251
44,2,0,85.612,85.468,85.612,85.251
45,2,0,84.892,84.885,84.892,84.572
46,2,0,84.892,84.885,84.892,84.572
47,2,0,84.892,84.885,84.892,84.572
48,2,0,84.892,84.885,84.892,84.572
49,2,0,84.892,84.885,84.892,84.572
50,2,0,84.173,84.347,84.173,83.98
0,2,1,76.259,70.952,76.259,73.176
1,2,1,76.978,71.58,76.978,73.918
2,2,1,78.417,75.601,78.417,75.023
3,2,1,76.978,73.435,76.978,73.657
4,2,1,77.698,79.403,77.698,75.511
5,2,1,78.417,80.024,78.417,76.248
6,2,1,79.856,80.878,79.856,78.813
7,2,1,79.856,80.807,79.856,78.907
8,2,1,82.014,82.918,82.014,80.906
9,2,1,80.576,79.741,80.576,79.547
10,2,1,79.856,80.556,79.856,78.749
11,2,1,80.576,81.153,80.576,79.425
12,2,1,79.137,80.77,79.137,78.273
13,2,1,79.856,81.294,79.856,79.085
14,2,1,80.576,81.756,80.576,80.025
15,2,1,81.295,82.108,81.295,80.648
16,2,1,79.137,81.14,79.137,78.926
17,2,1,79.137,82.165,79.137,79.323
18,2,1,76.978,78.192,76.978,77.13
19,2,1,78.417,79.954,78.417,78.671
20,2,1,79.137,81.174,79.137,79.414
21,2,1,79.856,82.094,79.856,80.103
22,2,1,82.014,84.196,82.014,82.258
23,2,1,82.014,84.196,82.014,82.258
24,2,1,82.734,84.501,82.734,82.822
25,2,1,82.734,84.501,82.734,82.822
26,2,1,82.014,83.625,82.014,82.122
27,2,1,82.014,83.625,82.014,82.122
28,2,1,84.892,87.369,84.892,84.933
29,2,1,82.734,87.007,82.734,83.359
30,2,1,81.295,85.761,81.295,81.855
31,2,1,82.734,86.672,82.734,83.217
32,2,1,84.173,86.352,84.173,84.573
33,2,1,84.173,85.856,84.173,84.508
34,2,1,82.734,84.303,82.734,83.017
35,2,1,82.734,86.415,82.734,83.353
36,2,1,84.173,87.903,84.173,85.006
37,2,1,84.173,87.903,84.173,85.006
38,2,1,85.612,89.441,85.612,86.632
39,2,1,84.892,88.63,84.892,85.923
40,2,1,85.612,89.441,85.612,86.632
41,2,1,85.612,89.441,85.612,86.632
42,2,1,85.612,89.441,85.612,86.632
43,2,1,85.612,89.441,85.612,86.632
44,2,1,84.173,87.829,84.173,85.115
45,2,1,85.612,88.352,85.612,86.333
46,2,1,84.892,88.133,84.892,85.789
47,2,1,84.892,88.133,84.892,85.789
48,2,1,84.892,88.133,84.892,85.789
49,2,1,84.892,88.133,84.892,85.789
50,2,1,84.892,88.133,84.892,85.789
0,2,2,71.223,65.101,71.223,67.526
1,2,2,73.381,66.528,73.381,69.715
2,2,2,73.381,68.858,73.381,69.416
3,2,2,75.54,68.422,75.54,71.761
4,2,2,79.856,72.933,79.856,75.681
5,2,2,78.417,72.131,78.417,74.109
6,2,2,82.014,74.382,82.014,77.89
7,2,2,81.295,74.076,81.295,77.138
8,2,2,83.453,75.719,83.453,79.387
9,2,2,84.892,77.018,84.892,80.752
10,2,2,87.05,87.182,87.05,86.058
11,2,2,89.928,90.738,89.928,89.177
12,2,2,87.77,88.562,87.77,87.067
13,2,2,86.331,87.077,86.331,85.679
14,2,2,85.612,85.735,85.612,84.981
15,2,2,85.612,85.745,85.612,84.938
16,2,2,84.892,84.979,84.892,84.328
17,2,2,84.173,84.346,84.173,83.636
18,2,2,84.892,84.979,84.892,84.328
19,2,2,83.453,83.148,83.453,83.258
20,2,2,82.734,82.612,82.734,82.651
21,2,2,83.453,83.276,83.453,83.353
22,2,2,84.173,83.839,84.173,83.959
23,2,2,82.014,82.24,82.014,82.106
24,2,2,86.331,86.108,86.331,86.209
25,2,2,84.892,84.727,84.892,84.787
26,2,2,83.453,85.079,83.453,83.341
27,2,2,84.892,86.906,84.892,85.254
28,2,2,84.173,86.703,84.173,84.53
29,2,2,82.014,86.03,82.014,82.619
30,2,2,82.014,85.969,82.014,82.751
31,2,2,79.856,85.597,79.856,81.315
32,2,2,81.295,86.265,81.295,82.626
33,2,2,82.734,87.127,82.734,84.039
34,2,2,82.734,87.624,82.734,84.341
35,2,2,81.295,87.29,81.295,83.179
36,2,2,80.576,88.163,80.576,82.802
37,2,2,80.576,88.163,80.576,82.802
38,2,2,79.856,87.273,79.856,82.116
39,2,2,79.856,87.273,79.856,82.116
40,2,2,80.576,87.959,80.576,82.938
41,2,2,80.576,87.959,80.576,82.938
42,2,2,79.856,86.729,79.856,81.883
43,2,2,80.576,86.91,80.576,82.37
44,2,2,79.137,87.152,79.137,81.522
45,2,2,79.856,86.975,79.856,82.107
46,2,2,80.576,88.745,80.576,83.041
47,2,2,80.576,88.745,80.576,83.041
48,2,2,81.295,88.868,81.295,83.629
49,2,2,82.014,88.997,82.014,84.211
50,2,2,77.698,85.045,77.698,79.407
0,5,0,69.784,60.634,69.784,64.328
1,5,0,69.065,60.098,69.065,63.714
2,5,0,74.82,69.735,74.82,70.794
3,5,0,74.82,69.002,74.82,70.683
4,5,0,77.698,76.587,77.698,76.018
5,5,0,79.137,78.86,79.137,77.776
6,5,0,79.137,78.295,79.137,77.815
7,5,0,79.856,79.445,79.856,78.422
8,5,0,86.331,87.295,86.331,86.08
9,5,0,86.331,86.769,86.331,86.026
10,5,0,86.331,86.56,86.331,86.16
11,5,0,77.698,81.181,77.698,76.564
12,5,0,82.014,83.976,82.014,81.703
13,5,0,83.453,85.052,83.453,83.295
14,5,0,84.173,85.634,84.173,83.978
15,5,0,84.173,86.043,84.173,84.007
16,5,0,85.612,86.863,85.612,85.576
17,5,0,84.892,85.929,84.892,84.873
18,5,0,84.892,85.721,84.892,84.958
19,5,0,85.612,86.589,85.612,85.66
20,5,0,85.612,85.879,85.612,85.562
0,5,1,76.259,70.952,76.259,73.176
1,5,1,74.101,68.677,74.101,71.252
2,5,1,72.662,74.306,72.662,71.502
3,5,1,71.942,74.048,71.942,71.418
4,5,1,76.978,78.097,76.978,76.117
5,5,1,80.576,81.547,80.576,79.552
