iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,72.662,62.557,72.662,67.087
2,2,0,72.662,62.557,72.662,67.087
3,2,0,70.504,61.742,70.504,65.047
4,2,0,74.101,63.683,74.101,68.395
5,2,0,74.101,63.498,74.101,68.352
6,2,0,74.101,63.498,74.101,68.352
7,2,0,74.82,71.734,74.82,70.185
8,2,0,74.82,71.734,74.82,70.185
9,2,0,74.82,70.776,74.82,71.372
10,2,0,74.82,70.776,74.82,71.372
11,2,0,74.82,70.61,74.82,71.353
12,2,0,74.82,70.61,74.82,71.353
13,2,0,76.978,72.7,76.978,73.397
14,2,0,76.978,72.7,76.978,73.397
15,2,0,77.698,73.508,77.698,73.896
16,2,0,77.698,73.508,77.698,73.896
17,2,0,78.417,77.057,78.417,76.695
18,2,0,78.417,77.057,78.417,76.695
19,2,0,76.259,74.858,76.259,74.615
20,2,0,76.259,74.365,76.259,74.309
21,2,0,75.54,73.746,75.54,73.567
22,2,0,75.54,73.746,75.54,73.567
23,2,0,74.82,73.268,74.82,73.296
24,2,0,74.82,73.268,74.82,73.296
25,2,0,72.662,71.263,72.662,71.327
26,2,0,74.101,72.137,74.101,72.246
27,2,0,74.82,72.848,74.82,72.902
28,2,0,74.82,72.848,74.82,72.902
29,2,0,72.662,70.868,72.662,70.843
30,2,0,72.662,70.868,72.662,70.843
31,2,0,73.381,71.818,73.381,71.549
32,2,0,73.381,71.818,73.381,71.549
33,2,0,73.381,71.818,73.381,71.549
34,2,0,73.381,71.818,73.381,71.549
35,2,0,78.417,77.979,78.417,77.854
36,2,0,78.417,77.837,78.417,77.539
37,2,0,78.417,77.983,78.417,77.689
38,2,0,78.417,77.983,78.417,77.689
39,2,0,78.417,77.983,78.417,77.689
40,2,0,78.417,77.983,78.417,77.689
41,2,0,78.417,77.983,78.417,77.689
42,2,0,77.698,76.409,77.698,76.598
43,2,0,73.381,66.1,73.381,69.543
44,2,0,73.381,66.1,73.381,69.543
45,2,0,75.54,70.989,75.54,72.781
46,2,0,76.978,73.499,76.978,74.824
47,2,0,77.698,74.772,77.698,75.795
48,2,0,77.698,74.772,77.698,75.795
49,2,0,79.856,78.403,79.856,78.884
50,2,0,79.856,78.403,79.856,78.884
0,2,1,76.259,70.952,76.259,73.176
1,2,1,75.54,70.325,75.54,72.429
2,2,1,79.137,74.259,79.137,75.863
3,2,1,77.698,72.806,77.698,74.433
4,2,1,77.698,72.806,77.698,74.433
5,2,1,79.137,74.267,79.137,75.742
6,2,1,79.137,74.267,79.137,75.742
7,2,1,79.137,75.054,79.137,75.684
8,2,1,79.137,75.054,79.137,75.684
9,2,1,77.698,73.132,77.698,74.194
10,2,1,77.698,73.132,77.698,74.194
11,2,1,78.417,73.372,78.417,74.945
12,2,1,78.417,73.372,78.417,74.945
13,2,1,77.698,73.132,77.698,74.194
14,2,1,77.698,73.132,77.698,74.194
15,2,1,76.978,72.567,76.978,73.408
16,2,1,76.978,72.567,76.978,73.408
17,2,1,79.137,74.267,79.137,75.742
18,2,1,79.137,74.267,79.137,75.742
19,2,1,79.856,74.558,79.856,76.479
20,2,1,79.856,74.558,79.856,76.479
21,2,1,79.856,74.837,79.856,76.504
22,2,1,79.856,74.837,79.856,76.504
23,2,1,79.856,74.837,79.856,76.504
24,2,1,79.856,81.61,79.856,77.3
25,2,1,80.576,82.213,80.576,78.066
26,2,1,80.576,82.213,80.576,78.066
27,2,1,81.295,81.49,81.295,79.938
28,2,1,79.856,79.823,79.856,78.006
29,2,1,79.856,79.524,79.856,77.988
30,2,1,79.856,79.524,79.856,77.988
31,2,1,79.856,79.524,79.856,77.988
32,2,1,79.856,79.824,79.856,78.996
33,2,1,79.856,79.824,79.856,78.996
34,2,1,79.856,79.824,79.856,78.996
35,2,1,80.576,80.448,80.576,79.78
36,2,1,80.576,80.448,80.576,79.78
37,2,1,79.137,79.169,79.137,78.297
38,2,1,79.137,79.169,79.137,78.297
39,2,1,79.856,79.8,79.856,79.093
40,2,1,79.856,79.8,79.856,79.093
41,2,1,80.576,80.72,80.576,79.772
42,2,1,82.014,82.293,82.014,81.146
43,2,1,80.576,80.434,80.576,79.656
44,2,1,80.576,80.434,80.576,79.656
45,2,1,80.576,80.748,80.576,79.675
46,2,1,80.576,80.748,80.576,79.675
47,2,1,81.295,81.712,81.295,80.356
48,2,1,81.295,81.712,81.295,80.356
49,2,1,81.295,82.363,81.295,80.706
50,2,1,81.295,82.363,81.295,80.706
0,2,2,71.223,65.101,71.223,67.526
1,2,2,73.381,66.528,73.381,69.715
2,2,2,73.381,66.528,73.381,69.715
3,2,2,69.784,64.177,69.784,65.944
4,2,2,69.784,64.177,69.784,65.944
5,2,2,70.504,65.769,70.504,67.327
6,2,2,72.662,65.997,72.662,69.144
7,2,2,73.381,67.194,73.381,69.944
8,2,2,74.101,67.294,74.101,70.508
9,2,2,74.82,67.89,74.82,71.177
10,2,2,74.82,67.89,74.82,71.177
11,2,2,75.54,68.724,75.54,71.891
12,2,2,75.54,68.724,75.54,71.891
13,2,2,74.101,67.195,74.101,70.477
14,2,2,74.82,74.004,74.82,73.569
15,2,2,74.82,73.87,74.82,74.104
16,2,2,75.54,75.337,75.54,75.365
17,2,2,77.698,77.7,77.698,77.481
18,2,2,78.417,78.085,78.417,78.111
19,2,2,79.137,79.094,79.137,78.894
20,2,2,79.137,79.094,79.137,78.894
21,2,2,79.137,79.245,79.137,78.804
22,2,2,79.137,79.245,79.137,78.804
23,2,2,79.137,79.094,79.137,78.894
24,2,2,79.137,79.094,79.137,78.894
25,2,2,79.856,79.219,79.856,79.455
26,2,2,79.856,79.219,79.856,79.455
27,2,2,79.137,77.981,79.137,78.41
28,2,2,79.137,77.981,79.137,78.41
29,2,2,81.295,80.003,81.295,80.36
30,2,2,81.295,80.003,81.295,80.36
31,2,2,83.453,82.309,83.453,82.395
32,2,2,83.453,82.309,83.453,82.395
33,2,2,85.612,84.818,85.612,84.456
34,2,2,85.612,84.818,85.612,84.456
35,2,2,84.892,85.623,84.892,84.577
36,2,2,84.892,85.623,84.892,84.577
37,2,2,85.612,86.026,85.612,85.212
38,2,2,85.612,86.026,85.612,85.212
39,2,2,84.892,86.537,84.892,84.805
40,2,2,84.892,86.537,84.892,84.805
41,2,2,83.453,84.578,83.453,83.399
42,2,2,83.453,84.578,83.453,83.399
43,2,2,82.734,85.138,82.734,82.906
44,2,2,82.734,85.138,82.734,82.906
45,2,2,82.014,84.866,82.014,82.251
46,2,2,81.295,83.524,81.295,81.66
47,2,2,80.576,83.644,80.576,81.312
48,2,2,80.576,83.644,80.576,81.312
49,2,2,81.295,84.594,81.295,82.018
50,2,2,81.295,84.594,81.295,82.018
0,5,0,69.784,60.634,69.784,64.328
1,5,0,69.065,60.098,69.065,63.714
2,5,0,73.381,74.86,73.381,70.583
3,5,0,76.978,75.637,76.978,74.489
4,5,0,76.978,77.324,76.978,75.525
5,5,0,77.698,77.846,77.698,76.29
6,5,0,77.698,77.846,77.698,76.29
7,5,0,82.014,81.348,82.014,81.185
8,5,0,82.014,81.348,82.014,81.185
9,5,0,82.014,81.674,82.014,81.498
10,5,0,82.014,81.674,82.014,81.498
11,5,0,80.576,81.0,80.576,80.181
12,5,0,82.014,81.716,82.014,81.524
13,5,0,79.856,80.338,79.856,79.848
14,5,0,81.295,81.352,81.295,81.018
15,5,0,81.295,81.183,81.295,81.075
16,5,0,81.295,81.183,81.295,81.075
17,5,0,78.417,78.934,78.417,78.127
18,5,0,78.417,78.934,78.417,78.127
19,5,0,82.014,81.912,82.014,81.686
20,5,0,80.576,80.826,80.576,80.431
0,5,1,76.259,70.952,76.259,73.176
1,5,1,74.82,69.395,74.82,71.909
2,5,1,74.82,69.395,74.82,71.909
3,5,1,78.417,72.729,78.417,75.43
4,5,1,82.734,81.124,82.734,80.807
5,5,1,83.453,83.655,83.453,82.64
