iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,72.662,62.557,72.662,67.087
2,2,0,74.101,63.49,74.101,68.368
3,2,0,74.101,63.683,74.101,68.395
4,2,0,72.662,62.214,72.662,67.028
5,2,0,73.381,62.906,73.381,67.703
6,2,0,71.223,68.943,71.223,67.697
7,2,0,72.662,72.314,72.662,70.25
8,2,0,74.82,74.94,74.82,72.207
9,2,0,76.259,74.963,76.259,73.013
10,2,0,78.417,79.596,78.417,76.599
11,2,0,78.417,79.192,78.417,76.641
12,2,0,76.259,76.07,76.259,75.151
13,2,0,78.417,78.404,78.417,77.613
14,2,0,78.417,78.825,78.417,77.58
15,2,0,79.856,79.863,79.856,79.051
16,2,0,80.576,79.822,80.576,80.076
17,2,0,79.856,80.071,79.856,79.371
18,2,0,79.137,79.139,79.137,78.809
19,2,0,79.856,79.425,79.856,79.526
20,2,0,76.978,77.495,76.978,76.437
21,2,0,79.137,79.217,79.137,78.682
22,2,0,81.295,81.044,81.295,81.067
23,2,0,83.453,83.693,83.453,83.528
24,2,0,76.978,79.03,76.978,76.636
25,2,0,79.137,80.639,79.137,78.986
26,2,0,79.856,81.557,79.856,80.167
27,2,0,81.295,82.632,81.295,81.533
28,2,0,81.295,82.165,81.295,81.476
29,2,0,81.295,81.83,81.295,81.437
30,2,0,79.856,80.409,79.856,79.806
31,2,0,79.856,80.199,79.856,79.851
32,2,0,79.137,80.045,79.137,79.273
33,2,0,79.137,80.178,79.137,79.324
34,2,0,77.698,78.927,77.698,77.905
35,2,0,78.417,79.394,78.417,78.705
36,2,0,76.978,78.632,76.978,77.265
37,2,0,78.417,80.216,78.417,78.766
38,2,0,75.54,78.194,75.54,75.511
39,2,0,76.259,78.774,76.259,76.325
40,2,0,72.662,75.923,72.662,72.155
41,2,0,73.381,76.486,73.381,73.01
42,2,0,73.381,76.486,73.381,73.01
43,2,0,74.82,77.62,74.82,74.688
44,2,0,72.662,75.467,72.662,72.388
45,2,0,72.662,75.467,72.662,72.388
46,2,0,76.259,78.774,76.259,76.325
47,2,0,76.259,78.774,76.259,76.325
48,2,0,72.662,76.834,72.662,72.052
49,2,0,73.381,77.214,73.381,72.852
50,2,0,72.662,76.476,72.662,72.411
0,2,1,76.259,70.952,76.259,73.176
1,2,1,76.978,71.58,76.978,73.918
2,2,1,77.698,72.021,77.698,74.737
3,2,1,77.698,72.064,77.698,74.575
4,2,1,80.576,74.749,80.576,77.449
5,2,1,80.576,74.781,80.576,77.57
6,2,1,79.856,74.604,79.856,77.113
7,2,1,81.295,80.311,81.295,80.545
8,2,1,78.417,78.566,78.417,77.4
9,2,1,79.137,78.835,79.137,78.147
10,2,1,80.576,81.579,80.576,79.351
11,2,1,79.856,80.156,79.856,78.167
12,2,1,79.137,80.053,79.137,77.89
13,2,1,78.417,78.85,78.417,77.172
14,2,1,77.698,78.28,77.698,76.378
15,2,1,78.417,78.85,78.417,77.172
16,2,1,79.137,79.85,79.137,77.853
17,2,1,79.856,80.62,79.856,78.664
18,2,1,77.698,79.341,77.698,76.109
19,2,1,78.417,79.856,78.417,76.928
20,2,1,75.54,78.62,75.54,73.384
21,2,1,75.54,78.62,75.54,73.384
22,2,1,76.259,78.317,76.259,74.439
23,2,1,74.82,77.294,74.82,72.723
24,2,1,73.381,76.978,73.381,70.916
25,2,1,76.978,79.877,76.978,75.461
26,2,1,75.54,78.499,75.54,73.54
27,2,1,75.54,77.806,75.54,73.587
28,2,1,74.101,76.78,74.101,71.846
29,2,1,76.259,78.317,76.259,74.439
30,2,1,74.101,77.488,74.101,71.804
31,2,1,74.101,76.78,74.101,71.846
32,2,1,74.82,77.322,74.82,73.119
33,2,1,75.54,78.102,75.54,73.985
34,2,1,75.54,77.844,75.54,73.985
35,2,1,76.259,78.632,76.259,74.854
36,2,1,76.978,78.887,76.978,75.682
37,2,1,74.82,77.203,74.82,73.185
38,2,1,75.54,77.179,75.54,74.168
39,2,1,74.82,76.876,74.82,73.976
40,2,1,74.82,76.24,74.82,74.044
41,2,1,74.82,76.702,74.82,74.342
42,2,1,75.54,78.006,75.54,75.318
43,2,1,76.259,78.391,76.259,75.865
44,2,1,76.978,80.7,76.978,78.076
45,2,1,76.259,80.444,76.259,77.521
46,2,1,77.698,82.153,77.698,78.897
47,2,1,76.978,81.277,76.978,78.146
48,2,1,74.82,80.062,74.82,75.835
49,2,1,74.82,80.062,74.82,75.835
50,2,1,75.54,82.678,75.54,77.673
0,2,2,71.223,65.101,71.223,67.526
1,2,2,73.381,66.528,73.381,69.715
2,2,2,74.82,68.751,74.82,71.321
3,2,2,71.942,67.483,71.942,68.68
4,2,2,64.748,64.248,64.748,61.428
5,2,2,66.906,65.49,66.906,63.647
6,2,2,64.029,63.831,64.029,60.676
7,2,2,68.345,66.316,68.345,65.097
8,2,2,70.504,76.775,70.504,68.068
9,2,2,71.223,77.199,71.223,68.779
10,2,2,71.223,74.12,71.223,70.555
11,2,2,71.942,74.561,71.942,71.298
12,2,2,72.662,74.629,72.662,72.514
13,2,2,73.381,75.139,73.381,73.257
14,2,2,70.504,71.858,70.504,70.651
15,2,2,73.381,74.283,73.381,73.661
16,2,2,71.223,71.956,71.223,71.46
17,2,2,69.784,70.288,69.784,70.008
18,2,2,64.748,66.891,64.748,65.59
19,2,2,66.187,68.548,66.187,67.08
20,2,2,69.784,72.772,69.784,70.707
21,2,2,69.065,71.897,69.065,69.981
22,2,2,70.504,73.759,70.504,71.652
23,2,2,70.504,73.759,70.504,71.652
24,2,2,70.504,73.601,70.504,71.653
25,2,2,70.504,73.236,70.504,71.474
26,2,2,70.504,73.236,70.504,71.474
27,2,2,71.223,73.553,71.223,72.066
28,2,2,71.942,74.394,71.942,72.8
29,2,2,71.223,73.416,71.223,72.05
30,2,2,69.065,73.189,69.065,70.474
31,2,2,69.065,73.189,69.065,70.474
32,2,2,66.187,75.387,66.187,69.145
33,2,2,66.906,75.619,66.906,69.719
34,2,2,66.187,78.276,66.187,69.337
35,2,2,66.187,78.276,66.187,69.337
36,2,2,66.187,77.476,66.187,69.37
37,2,2,66.187,77.476,66.187,69.37
38,2,2,66.187,77.476,66.187,69.37
39,2,2,67.626,79.323,67.626,70.956
40,2,2,69.784,80.864,69.784,72.897
41,2,2,69.784,80.864,69.784,72.897
42,2,2,66.187,77.49,66.187,69.348
43,2,2,66.906,77.712,66.906,69.92
44,2,2,66.906,77.712,66.906,69.92
45,2,2,67.626,78.591,67.626,70.744
46,2,2,65.468,78.767,65.468,68.945
47,2,2,66.187,79.642,66.187,69.796
48,2,2,67.626,80.822,67.626,71.192
49,2,2,67.626,81.814,67.626,71.418
50,2,2,64.029,78.333,64.029,67.774
0,5,0,69.784,60.634,69.784,64.328
1,5,0,69.065,60.098,69.065,63.714
2,5,0,71.942,69.685,71.942,69.168
3,5,0,72.662,70.264,72.662,69.898
4,5,0,76.978,75.651,76.978,75.109
5,5,0,78.417,78.052,78.417,77.441
6,5,0,79.137,78.827,79.137,78.937
7,5,0,76.259,75.913,76.259,76.044
8,5,0,79.137,79.645,79.137,79.349
9,5,0,79.856,80.118,79.856,79.97
10,5,0,73.381,76.004,73.381,73.997
11,5,0,74.82,77.417,74.82,75.504
12,5,0,77.698,79.59,77.698,78.297
13,5,0,76.259,78.5,76.259,76.938
14,5,0,76.259,78.373,76.259,76.669
15,5,0,76.259,79.031,76.259,77.02
16,5,0,72.662,75.613,72.662,72.97
17,5,0,72.662,75.613,72.662,72.97
18,5,0,70.504,74.143,70.504,70.253
19,5,0,71.942,75.401,71.942,71.988
20,5,0,69.784,73.514,69.784,69.368
0,5,1,76.259,70.952,76.259,73.176
1,5,1,74.101,68.677,74.101,71.252
2,5,1,81.295,81.605,81.295,80.81
3,5,1,84.173,83.877,84.173,83.964
4,5,1,81.295,81.514,81.295,80.193
5,5,1,79.856,80.014,79.856,78.606
