iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,69.784,60.634,69.784,64.328
2,2,0,71.942,62.013,71.942,66.415
3,2,0,72.662,62.25,72.662,67.036
4,2,0,71.942,69.36,71.942,68.422
5,2,0,71.942,69.36,71.942,68.422
6,2,0,74.101,71.763,74.101,70.399
7,2,0,74.101,74.906,74.101,72.104
8,2,0,75.54,75.401,75.54,74.642
9,2,0,75.54,75.401,75.54,74.642
10,2,0,76.259,75.774,76.259,75.351
11,2,0,76.978,76.503,76.978,76.385
12,2,0,76.259,76.273,76.259,75.332
13,2,0,78.417,78.003,78.417,78.097
14,2,0,79.856,79.548,79.856,79.674
15,2,0,80.576,80.257,80.576,80.388
16,2,0,77.698,77.397,77.698,77.482
17,2,0,78.417,78.072,78.417,78.202
18,2,0,76.978,76.731,76.978,76.757
19,2,0,75.54,75.599,75.54,75.313
20,2,0,74.82,75.357,74.82,74.78
21,2,0,74.82,75.357,74.82,74.78
22,2,0,74.82,75.357,74.82,74.78
23,2,0,75.54,76.239,75.54,75.487
24,2,0,74.82,75.746,74.82,74.896
25,2,0,74.82,75.746,74.82,74.896
26,2,0,74.101,76.0,74.101,74.219
27,2,0,74.101,76.0,74.101,74.219
28,2,0,73.381,75.37,73.381,73.412
29,2,0,74.82,76.421,74.82,74.914
30,2,0,71.223,73.499,71.223,70.933
31,2,0,71.223,73.499,71.223,70.933
32,2,0,71.223,74.029,71.223,70.773
33,2,0,70.504,72.877,70.504,70.085
34,2,0,69.784,72.843,69.784,69.033
35,2,0,70.504,73.436,70.504,69.909
36,2,0,70.504,73.436,70.504,69.909
37,2,0,69.784,72.843,69.784,69.033
38,2,0,66.906,70.534,66.906,65.464
39,2,0,67.626,70.975,67.626,66.019
40,2,0,69.065,72.358,69.065,67.963
41,2,0,69.784,73.062,69.784,68.67
42,2,0,67.626,71.367,67.626,66.243
43,2,0,67.626,71.367,67.626,66.243
44,2,0,67.626,71.367,67.626,66.243
45,2,0,67.626,71.367,67.626,66.243
46,2,0,68.345,72.499,68.345,67.914
47,2,0,69.065,73.133,69.065,68.811
48,2,0,66.906,73.821,66.906,68.303
49,2,0,66.906,73.821,66.906,68.303
50,2,0,66.906,73.821,66.906,68.303
0,2,1,76.259,70.952,76.259,73.176
1,2,1,74.82,69.7,74.82,71.674
2,2,1,74.82,71.366,74.82,71.411
3,2,1,79.137,73.747,79.137,75.915
4,2,1,77.698,73.001,77.698,74.788
