iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,69.784,60.634,69.784,64.328
2,2,0,69.784,60.634,69.784,64.328
3,2,0,69.784,60.634,69.784,64.328
4,2,0,68.345,61.742,68.345,62.416
5,2,0,70.504,62.162,70.504,64.741
6,2,0,78.417,81.625,78.417,74.226
7,2,0,77.698,81.17,77.698,74.305
8,2,0,77.698,81.17,77.698,74.305
9,2,0,77.698,81.17,77.698,74.305
10,2,0,77.698,81.17,77.698,74.305
11,2,0,78.417,81.697,78.417,74.989
12,2,0,78.417,81.697,78.417,74.989
13,2,0,78.417,81.697,78.417,74.989
14,2,0,78.417,81.697,78.417,74.989
15,2,0,78.417,81.697,78.417,74.989
16,2,0,78.417,81.697,78.417,74.989
17,2,0,78.417,81.697,78.417,74.989
18,2,0,78.417,81.697,78.417,74.989
19,2,0,78.417,81.697,78.417,74.989
20,2,0,78.417,81.697,78.417,74.989
21,2,0,78.417,81.697,78.417,74.989
22,2,0,78.417,81.697,78.417,74.989
23,2,0,78.417,81.697,78.417,74.989
24,2,0,78.417,81.697,78.417,74.989
25,2,0,78.417,81.697,78.417,74.989
26,2,0,78.417,81.697,78.417,74.989
27,2,0,78.417,81.697,78.417,74.989
28,2,0,78.417,81.697,78.417,74.989
29,2,0,78.417,81.697,78.417,74.989
30,2,0,78.417,81.697,78.417,74.989
31,2,0,78.417,81.697,78.417,74.989
32,2,0,78.417,81.697,78.417,74.989
33,2,0,78.417,81.697,78.417,74.989
34,2,0,78.417,81.697,78.417,74.989
35,2,0,78.417,81.697,78.417,74.989
36,2,0,78.417,81.697,78.417,74.989
37,2,0,76.978,80.39,76.978,73.625
38,2,0,76.978,80.39,76.978,73.625
39,2,0,76.978,80.39,76.978,73.625
40,2,0,76.978,80.39,76.978,73.625
41,2,0,76.978,80.39,76.978,73.625
42,2,0,76.978,80.39,76.978,73.625
43,2,0,76.978,80.39,76.978,73.625
44,2,0,76.978,80.39,76.978,73.625
45,2,0,76.978,80.39,76.978,73.625
46,2,0,76.978,80.39,76.978,73.625
47,2,0,76.978,80.39,76.978,73.625
48,2,0,76.978,80.39,76.978,73.625
49,2,0,76.978,80.39,76.978,73.625
50,2,0,76.978,80.39,76.978,73.625
0,2,1,76.259,70.952,76.259,73.176
1,2,1,75.54,71.069,75.54,72.118
2,2,1,75.54,71.069,75.54,72.118
3,2,1,75.54,71.069,75.54,72.118
4,2,1,75.54,71.069,75.54,72.118
