iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,71.223,61.471,71.223,65.737
2,2,0,71.942,63.537,71.942,66.268
3,2,0,71.223,62.656,71.223,65.476
4,2,0,68.345,61.157,68.345,62.726
5,2,0,68.345,61.157,68.345,62.726
6,2,0,67.626,60.683,67.626,61.966
7,2,0,68.345,61.157,68.345,62.726
8,2,0,64.748,59.39,64.748,58.624
9,2,0,65.468,60.152,65.468,59.657
10,2,0,66.187,67.011,66.187,61.349
11,2,0,66.906,67.617,66.906,62.871
12,2,0,67.626,68.129,67.626,63.675
13,2,0,67.626,68.129,67.626,63.675
14,2,0,68.345,68.495,68.345,63.711
15,2,0,67.626,68.006,67.626,62.935
16,2,0,66.187,73.553,66.187,61.792
17,2,0,66.187,73.553,66.187,61.792
18,2,0,62.59,71.395,62.59,57.059
19,2,0,61.871,67.82,61.871,56.166
20,2,0,62.59,68.307,62.59,57.178
21,2,0,62.59,68.307,62.59,57.178
22,2,0,59.712,66.187,59.712,52.987
23,2,0,59.712,66.187,59.712,52.987
24,2,0,66.906,71.917,66.906,63.633
25,2,0,66.906,71.917,66.906,63.633
26,2,0,65.468,70.742,65.468,61.622
27,2,0,64.029,69.62,64.029,59.15
28,2,0,68.345,73.298,68.345,64.955
29,2,0,68.345,73.298,68.345,64.955
30,2,0,68.345,73.319,68.345,64.654
31,2,0,68.345,73.319,68.345,64.654
32,2,0,68.345,73.196,68.345,65.235
33,2,0,69.784,74.238,69.784,67.218
34,2,0,67.626,72.694,67.626,63.941
35,2,0,68.345,73.265,68.345,64.989
36,2,0,71.223,75.974,71.223,69.047
37,2,0,71.223,75.974,71.223,69.047
38,2,0,72.662,77.092,72.662,70.992
39,2,0,71.223,75.974,71.223,69.047
40,2,0,71.223,75.974,71.223,69.047
41,2,0,71.223,75.974,71.223,69.047
42,2,0,71.223,75.974,71.223,69.047
43,2,0,71.223,75.974,71.223,69.047
44,2,0,71.942,76.535,71.942,70.028
45,2,0,71.942,76.535,71.942,70.028
46,2,0,73.381,77.75,73.381,71.659
47,2,0,73.381,77.75,73.381,71.659
48,2,0,72.662,77.183,72.662,70.692
49,2,0,72.662,77.183,72.662,70.692
50,2,0,71.223,76.194,71.223,69.143
0,2,1,76.259,70.952,76.259,73.176
1,2,1,76.978,71.448,76.978,73.911
2,2,1,76.259,70.672,76.259,73.325
3,2,1,77.698,72.07,77.698,74.775
4,2,1,75.54,70.153,75.54,72.743
5,2,1,76.259,70.775,76.259,73.414
6,2,1,76.259,71.144,76.259,73.516
7,2,1,76.259,71.144,76.259,73.516
8,2,1,75.54,70.229,75.54,72.772
9,2,1,76.259,70.967,76.259,73.482
10,2,1,76.259,75.137,76.259,74.593
11,2,1,79.137,78.88,79.137,78.25
12,2,1,79.856,79.423,79.856,79.371
13,2,1,76.978,77.495,76.978,77.198
14,2,1,76.978,77.244,76.978,76.951
15,2,1,77.698,77.948,77.698,77.712
16,2,1,73.381,75.422,73.381,73.826
17,2,1,72.662,74.362,72.662,73.183
18,2,1,72.662,75.499,72.662,73.466
19,2,1,76.259,82.251,76.259,78.018
20,2,1,76.259,82.251,76.259,78.018
21,2,1,76.978,82.414,76.978,78.581
22,2,1,76.978,82.015,76.978,78.383
23,2,1,78.417,83.165,78.417,79.901
24,2,1,77.698,82.582,77.698,79.143
25,2,1,77.698,82.582,77.698,79.143
26,2,1,75.54,80.976,75.54,77.272
27,2,1,75.54,80.71,75.54,77.331
28,2,1,79.137,83.515,79.137,80.63
29,2,1,78.417,82.632,78.417,79.913
30,2,1,68.345,77.879,68.345,70.745
31,2,1,69.065,78.052,69.065,71.352
32,2,1,71.942,80.42,71.942,74.572
33,2,1,71.942,80.42,71.942,74.572
34,2,1,71.223,81.245,71.223,74.566
35,2,1,71.942,81.393,71.942,75.128
36,2,1,71.223,80.728,71.223,74.335
37,2,1,70.504,80.08,70.504,73.541
38,2,1,70.504,80.08,70.504,73.541
39,2,1,72.662,82.078,72.662,75.918
40,2,1,69.784,81.468,69.784,73.758
41,2,1,69.784,81.468,69.784,73.758
42,2,1,68.345,80.966,68.345,72.4
43,2,1,68.345,80.966,68.345,72.4
44,2,1,69.065,81.636,69.065,73.216
45,2,1,69.784,82.326,69.784,74.029
46,2,1,70.504,82.452,70.504,74.59
47,2,1,71.223,82.578,71.223,75.145
48,2,1,70.504,81.894,70.504,74.347
49,2,1,70.504,82.397,70.504,74.652
50,2,1,71.223,82.578,71.223,75.145
0,2,2,71.223,65.101,71.223,67.526
1,2,2,66.187,61.001,66.187,62.359
2,2,2,64.029,65.415,64.029,57.431
3,2,2,61.871,63.897,61.871,54.319
4,2,2,65.468,72.384,65.468,59.904
5,2,2,66.187,73.027,66.187,61.031
6,2,2,67.626,74.816,67.626,63.278
7,2,2,69.065,75.88,69.065,65.366
8,2,2,64.748,71.316,64.748,61.334
9,2,2,66.187,72.316,66.187,63.408
10,2,2,64.029,70.769,64.029,60.284
11,2,2,65.468,71.921,65.468,61.904
12,2,2,65.468,71.844,65.468,62.364
13,2,2,65.468,70.445,65.468,62.369
14,2,2,62.59,67.796,62.59,58.136
15,2,2,63.309,68.511,63.309,59.227
16,2,2,64.029,69.057,64.029,59.781
17,2,2,64.029,69.174,64.029,59.768
18,2,2,62.59,69.128,62.59,60.136
19,2,2,64.029,72.15,64.029,62.429
20,2,2,66.906,74.334,66.906,66.341
21,2,2,66.906,74.334,66.906,66.341
22,2,2,66.906,74.334,66.906,66.341
23,2,2,67.626,74.871,67.626,67.279
24,2,2,61.871,70.404,61.871,59.3
25,2,2,64.029,71.916,64.029,61.923
26,2,2,65.468,73.035,65.468,63.952
27,2,2,64.748,72.998,64.748,63.513
28,2,2,61.871,72.723,61.871,61.865
29,2,2,61.871,72.723,61.871,61.865
30,2,2,62.59,73.721,62.59,62.705
31,2,2,63.309,74.337,63.309,63.705
32,2,2,63.309,74.337,63.309,63.705
33,2,2,63.309,74.337,63.309,63.705
34,2,2,63.309,73.962,63.309,63.536
35,2,2,64.029,74.236,64.029,64.048
36,2,2,63.309,73.307,63.309,62.542
37,2,2,63.309,73.307,63.309,62.542
38,2,2,62.59,74.497,62.59,62.582
39,2,2,63.309,74.755,63.309,63.089
40,2,2,64.029,75.406,64.029,64.118
41,2,2,63.309,74.755,63.309,63.089
42,2,2,64.029,75.01,64.029,63.942
43,2,2,63.309,74.37,63.309,62.917
44,2,2,63.309,75.991,63.309,64.296
45,2,2,63.309,75.551,63.309,64.107
46,2,2,63.309,75.551,63.309,64.107
47,2,2,63.309,75.551,63.309,64.107
48,2,2,63.309,78.745,63.309,66.87
49,2,2,63.309,78.745,63.309,66.87
50,2,2,61.151,76.127,61.151,63.655
0,5,0,69.784,60.634,69.784,64.328
1,5,0,71.223,61.311,71.223,65.647
2,5,0,68.345,58.586,68.345,63.08
3,5,0,68.345,58.586,68.345,63.08
4,5,0,72.662,62.582,72.662,66.851
5,5,0,73.381,63.328,73.381,67.499
6,5,0,75.54,76.813,75.54,73.787
7,5,0,74.101,74.183,74.101,73.414
8,5,0,74.101,74.183,74.101,73.414
9,5,0,75.54,75.503,75.54,74.864
10,5,0,77.698,78.074,77.698,76.885
11,5,0,77.698,78.074,77.698,76.885
12,5,0,76.978,76.868,76.978,76.264
13,5,0,79.856,79.725,79.856,79.719
14,5,0,80.576,80.739,80.576,80.049
15,5,0,81.295,81.321,81.295,81.093
16,5,0,81.295,82.441,81.295,81.466
17,5,0,82.014,83.09,82.014,82.293
18,5,0,72.662,78.306,72.662,73.658
19,5,0,73.381,78.619,73.381,74.347
20,5,0,74.101,78.892,74.101,74.818
0,5,1,76.259,70.952,76.259,73.176
1,5,1,76.259,70.733,76.259,73.357
2,5,1,71.223,72.721,71.223,71.776
3,5,1,73.381,74.488,73.381,73.729
4,5,1,71.942,77.809,71.942,74.33
5,5,1,66.187,82.335,66.187,72.158
6,5,1,55.396,73.306,55.396,61.208
7,5,1,57.554,76.19,57.554,63.791
8,5,1,53.957,73.455,53.957,60.26
9,5,1,51.079,73.352,51.079,57.42
10,5,1,54.676,78.505,54.676,61.024
11,5,1,53.957,77.362,53.957,60.574
12,5,1,59.712,77.849,59.712,64.002
13,5,1,60.432,78.055,60.432,64.536
14,5,1,62.59,77.802,62.59,66.642
15,5,1,62.59,79.28,62.59,66.729
16,5,1,63.309,80.258,63.309,68.308
17,5,1,61.871,77.638,61.871,66.216
18,5,1,56.835,75.078,56.835,61.162
19,5,1,56.835,75.078,56.835,61.162
20,5,1,56.115,76.95,56.115,61.727
0,5,2,71.223,65.101,71.223,67.526
1,5,2,70.504,63.878,70.504,66.959
2,5,2,77.698,70.415,77.698,73.877
3,5,2,77.698,70.415,77.698,73.877
4,5,2,74.82,77.6,74.82,71.586
5,5,2,74.101,67.575,74.101,69.971
6,5,2,76.978,77.393,76.978,75.124
7,5,2,76.978,79.702,76.978,75.945
8,5,2,76.978,79.636,76.978,76.438
9,5,2,76.259,79.078,76.259,75.59
10,5,2,76.978,80.172,76.978,75.925
11,5,2,77.698,81.52,77.698,76.608
12,5,2,78.417,81.19,78.417,77.633
13,5,2,78.417,81.19,78.417,77.633
14,5,2,79.137,81.089,79.137,78.605
15,5,2,76.978,80.015,76.978,76.817
16,5,2,71.942,80.356,71.942,72.409
17,5,2,70.504,80.94,70.504,72.311
18,5,2,67.626,77.252,67.626,68.684
19,5,2,69.065,78.125,69.065,70.119
20,5,2,69.784,78.74,69.784,71.016
0,10,0,69.784,60.634,69.784,64.328
1,10,0,71.223,63.093,71.223,65.396
2,10,0,73.381,76.782,73.381,74.323
3,10,0,71.942,76.531,71.942,72.704
4,10,0,74.82,76.989,74.82,75.075
5,10,0,77.698,79.305,77.698,78.187
6,10,0,77.698,80.05,77.698,78.058
7,10,0,76.978,79.229,76.978,77.374
8,10,0,73.381,76.772,73.381,72.837
9,10,0,71.942,75.443,71.942,71.032
10,10,0,67.626,73.002,67.626,65.864
0,10,1,76.259,70.952,76.259,73.176
1,10,1,77.698,72.07,77.698,74.775
2,10,1,57.554,63.666,57.554,57.497
3,10,1,62.59,66.86,62.59,63.241
