iter,step,fold,acc,prec,rec,f1score
0,2,0,69.784,60.634,69.784,64.328
1,2,0,67.626,59.374,67.626,62.238
2,2,0,68.345,58.909,68.345,62.975
3,2,0,70.504,60.602,70.504,65.039
4,2,0,70.504,60.602,70.504,65.039
5,2,0,69.065,59.851,69.065,63.578
6,2,0,69.065,59.851,69.065,63.578
7,2,0,71.942,62.03,71.942,66.367
8,2,0,71.942,62.03,71.942,66.367
9,2,0,69.784,60.395,69.784,64.285
10,2,0,69.784,60.395,69.784,64.285
11,2,0,68.345,59.067,68.345,62.828
12,2,0,68.345,59.067,68.345,62.828
13,2,0,67.626,58.504,67.626,62.105
14,2,0,67.626,58.504,67.626,62.105
15,2,0,69.065,59.313,69.065,63.579
16,2,0,69.065,59.313,69.065,63.579
17,2,0,62.59,57.094,62.59,56.006
18,2,0,67.626,65.653,67.626,63.234
19,2,0,68.345,66.241,68.345,63.96
20,2,0,70.504,68.002,70.504,66.093
21,2,0,72.662,71.4,72.662,70.898
22,2,0,72.662,71.4,72.662,70.898
23,2,0,66.187,65.255,66.187,64.351
24,2,0,66.187,65.255,66.187,64.351
25,2,0,65.468,64.613,65.468,63.568
26,2,0,65.468,64.613,65.468,63.568
27,2,0,61.871,61.889,61.871,61.055
28,2,0,61.871,61.889,61.871,61.055
29,2,0,63.309,64.819,63.309,61.685
30,2,0,61.871,62.563,61.871,61.154
31,2,0,63.309,63.282,63.309,62.498
32,2,0,63.309,63.282,63.309,62.498
33,2,0,61.871,61.713,61.871,60.816
34,2,0,68.345,69.439,68.345,67.27
35,2,0,68.345,69.439,68.345,67.27
36,2,0,68.345,69.439,68.345,67.27
37,2,0,69.065,71.174,69.065,68.019
38,2,0,69.065,71.174,69.065,68.019
39,2,0,71.223,76.018,71.223,71.197
40,2,0,72.662,74.656,72.662,70.617
41,2,0,73.381,75.146,73.381,71.459
42,2,0,73.381,75.146,73.381,71.459
43,2,0,73.381,75.146,73.381,71.459
44,2,0,76.978,77.2,76.978,76.254
45,2,0,77.698,78.257,77.698,77.14
46,2,0,77.698,78.257,77.698,77.14
47,2,0,80.576,81.201,80.576,80.382
48,2,0,80.576,81.201,80.576,80.382
49,2,0,79.137,80.972,79.137,79.565
50,2,0,79.137,80.972,79.137,79.565
0,2,1,76.259,70.952,76.259,73.176
1,2,1,74.82,69.302,74.82,71.765
2,2,1,74.82,69.302,74.82,71.765
3,2,1,73.381,68.032,73.381,70.602
4,2,1,73.381,68.032,73.381,70.602
5,2,1,67.626,65.233,67.626,65.569
6,2,1,76.978,71.712,76.978,74.189
7,2,1,76.259,71.011,76.259,73.479
8,2,1,76.259,71.011,76.259,73.479
9,2,1,74.101,68.719,74.101,71.294
10,2,1,72.662,71.206,72.662,70.84
11,2,1,74.101,72.683,74.101,72.368
12,2,1,74.101,72.683,74.101,72.368
13,2,1,76.259,74.835,76.259,74.512
14,2,1,76.259,74.835,76.259,74.512
15,2,1,75.54,74.096,75.54,73.791
16,2,1,77.698,76.255,77.698,76.67
17,2,1,79.856,78.612,79.856,78.722
18,2,1,79.856,78.612,79.856,78.722
19,2,1,78.417,77.158,78.417,77.485
20,2,1,78.417,77.158,78.417,77.485
21,2,1,78.417,77.138,78.417,77.275
22,2,1,81.295,80.712,81.295,80.837
23,2,1,76.978,78.227,76.978,77.429
24,2,1,76.978,78.227,76.978,77.429
25,2,1,75.54,76.877,75.54,75.916
26,2,1,75.54,76.877,75.54,75.916
27,2,1,76.259,77.197,76.259,76.507
28,2,1,75.54,76.507,75.54,75.55
29,2,1,72.662,74.056,72.662,72.42
30,2,1,74.82,76.989,74.82,75.408
31,2,1,69.065,71.883,69.065,68.966
32,2,1,70.504,72.436,70.504,70.592
33,2,1,69.065,71.055,69.065,68.926
34,2,1,71.223,73.583,71.223,72.15
35,2,1,74.82,78.48,74.82,76.069
36,2,1,75.54,79.113,75.54,76.814
37,2,1,71.223,74.076,71.223,72.276
38,2,1,71.223,74.076,71.223,72.276
39,2,1,75.54,78.209,75.54,76.621
40,2,1,72.662,79.471,72.662,74.96
41,2,1,72.662,79.471,72.662,74.96
42,2,1,72.662,79.471,72.662,74.96
43,2,1,72.662,79.471,72.662,74.96
44,2,1,72.662,79.471,72.662,74.96
45,2,1,65.468,74.478,65.468,68.451
46,2,1,65.468,74.478,65.468,68.451
47,2,1,66.906,74.947,66.906,69.55
48,2,1,69.784,77.049,69.784,72.256
49,2,1,66.187,73.541,66.187,68.387
50,2,1,66.187,73.541,66.187,68.387
0,2,2,71.223,65.101,71.223,67.526
1,2,2,69.784,63.923,69.784,66.041
2,2,2,69.784,63.923,69.784,66.041
3,2,2,74.101,67.77,74.101,70.584
4,2,2,74.101,67.77,74.101,70.584
5,2,2,74.82,68.309,74.82,71.256
6,2,2,74.82,68.309,74.82,71.256
7,2,2,72.662,66.269,72.662,69.206
8,2,2,72.662,66.269,72.662,69.206
9,2,2,71.223,64.801,71.223,67.814
10,2,2,71.223,64.801,71.223,67.814
11,2,2,74.82,67.674,74.82,70.913
12,2,2,74.82,67.674,74.82,70.913
13,2,2,75.54,68.413,75.54,71.793
14,2,2,77.698,70.666,77.698,73.965
15,2,2,76.259,69.221,76.259,72.56
16,2,2,76.259,69.221,76.259,72.56
17,2,2,76.978,69.811,76.978,73.218
18,2,2,76.978,69.811,76.978,73.218
19,2,2,76.978,69.94,76.978,73.264
20,2,2,76.978,69.94,76.978,73.264
21,2,2,77.698,70.666,77.698,73.965
22,2,2,77.698,70.666,77.698,73.965
23,2,2,78.417,71.154,78.417,74.599
24,2,2,78.417,71.154,78.417,74.599
25,2,2,79.137,71.962,79.137,75.328
26,2,2,79.137,71.962,79.137,75.328
27,2,2,78.417,71.402,78.417,74.663
28,2,2,78.417,71.402,78.417,74.663
29,2,2,77.698,70.666,77.698,73.965
30,2,2,75.54,74.341,75.54,74.086
31,2,2,79.137,78.713,79.137,78.332
32,2,2,79.137,78.713,79.137,78.332
33,2,2,77.698,77.035,77.698,77.106
34,2,2,79.856,79.824,79.856,79.796
