iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,70.504,78.417,72.719
1,2,0,75.54,64.94,75.54,69.734
2,2,0,74.82,64.393,74.82,69.067
3,2,0,76.978,66.391,76.978,71.085
4,2,0,76.259,65.372,76.259,70.378
5,2,0,72.662,62.438,72.662,67.019
6,2,0,74.101,63.576,74.101,68.369
7,2,0,76.978,80.147,76.978,71.991
8,2,0,76.259,79.381,76.259,72.176
9,2,0,79.856,79.692,79.856,78.466
10,2,0,79.856,79.145,79.856,78.531
11,2,0,80.576,82.62,80.576,78.66
12,2,0,81.295,83.302,81.295,79.343
13,2,0,82.014,82.596,82.014,80.828
14,2,0,82.014,81.664,82.014,80.519
15,2,0,81.295,81.023,81.295,79.841
16,2,0,81.295,81.874,81.295,79.794
17,2,0,83.453,83.849,83.453,81.842
18,2,0,84.173,85.864,84.173,82.053
19,2,0,82.734,84.552,82.734,80.702
20,2,0,82.734,84.583,82.734,80.698
21,2,0,84.173,85.828,84.173,82.494
22,2,0,84.173,85.828,84.173,82.494
23,2,0,84.173,84.617,84.173,82.536
24,2,0,84.173,84.617,84.173,82.536
25,2,0,84.173,84.62,84.173,82.891
26,2,0,84.173,84.62,84.173,82.891
27,2,0,82.734,82.458,82.734,82.105
28,2,0,82.734,82.412,82.734,82.102
29,2,0,84.892,84.963,84.892,84.62
30,2,0,84.173,84.033,84.173,83.701
31,2,0,84.892,85.033,84.892,84.563
32,2,0,84.173,84.294,84.173,83.497
33,2,0,83.453,84.113,83.453,82.225
34,2,0,84.892,84.898,84.892,84.185
35,2,0,83.453,83.579,83.453,82.573
36,2,0,84.173,84.175,84.173,83.484
37,2,0,87.77,88.33,87.77,87.375
38,2,0,87.05,87.048,87.05,86.844
39,2,0,85.612,85.874,85.612,85.113
40,2,0,84.173,84.294,84.173,83.497
41,2,0,84.173,84.149,84.173,83.576
42,2,0,86.331,86.698,86.331,86.003
43,2,0,85.612,86.251,85.612,84.856
44,2,0,84.892,84.564,84.892,84.013
45,2,0,86.331,86.537,86.331,85.611
46,2,0,85.612,85.493,85.612,84.637
47,2,0,87.77,88.563,87.77,87.38
48,2,0,87.05,87.764,87.05,86.684
49,2,0,86.331,86.96,86.331,86.014
50,2,0,87.05,87.501,87.05,86.707
0,2,1,83.453,79.418,83.453,80.272
1,2,1,80.576,74.883,80.576,77.587
2,2,1,81.295,75.603,81.295,78.278
3,2,1,82.014,80.405,82.014,80.087
4,2,1,83.453,77.825,83.453,80.333
5,2,1,81.295,76.808,81.295,78.622
6,2,1,82.734,77.974,82.734,79.787
7,2,1,81.295,81.195,81.295,80.194
8,2,1,83.453,83.828,83.453,82.17
9,2,1,82.014,84.61,82.014,79.986
10,2,1,82.014,84.538,82.014,80.046
11,2,1,82.014,84.785,82.014,80.78
12,2,1,80.576,81.504,80.576,79.399
13,2,1,79.856,81.41,79.856,78.78
14,2,1,81.295,84.329,81.295,80.096
15,2,1,84.173,86.763,84.173,84.326
16,2,1,82.014,84.166,82.014,81.369
17,2,1,80.576,83.047,80.576,80.456
18,2,1,82.734,85.75,82.734,82.889
19,2,1,84.892,87.592,84.892,84.968
20,2,1,83.453,86.775,83.453,83.419
21,2,1,84.892,87.49,84.892,85.069
22,2,1,86.331,89.552,86.331,86.375
23,2,1,83.453,86.177,83.453,83.569
24,2,1,82.734,86.791,82.734,83.035
25,2,1,84.173,87.158,84.173,84.271
26,2,1,84.173,87.158,84.173,84.271
27,2,1,86.331,88.495,86.331,86.474
28,2,1,82.734,85.75,82.734,82.889
29,2,1,85.612,88.416,85.612,85.841
30,2,1,87.77,89.427,87.77,87.896
31,2,1,86.331,88.823,86.331,86.571
32,2,1,87.05,88.79,87.05,87.266
33,2,1,87.77,89.75,87.77,87.926
34,2,1,87.77,89.372,87.77,87.909
35,2,1,88.489,90.196,88.489,88.67
36,2,1,87.77,89.726,87.77,87.972
37,2,1,87.05,88.888,87.05,87.198
38,2,1,87.77,89.371,87.77,87.901
39,2,1,85.612,87.618,85.612,85.684
40,2,1,85.612,87.923,85.612,85.772
41,2,1,85.612,87.959,85.612,85.786
42,2,1,87.77,90.242,87.77,87.983
43,2,1,86.331,89.523,86.331,86.482
44,2,1,88.489,90.299,88.489,88.61
45,2,1,87.05,89.511,87.05,87.084
46,2,1,85.612,88.101,85.612,85.678
47,2,1,87.77,90.361,87.77,87.903
48,2,1,87.77,90.375,87.77,87.869
49,2,1,85.612,88.702,85.612,85.427
50,2,1,87.05,89.511,87.05,87.084
0,2,2,76.259,74.228,76.259,72.034
1,2,2,76.259,69.13,76.259,72.518
2,2,2,77.698,70.432,77.698,73.885
3,2,2,74.82,68.184,74.82,71.186
4,2,2,74.101,67.169,74.101,70.464
5,2,2,78.417,71.089,78.417,74.572
6,2,2,80.576,82.168,80.576,78.312
7,2,2,79.137,77.809,79.137,78.053
8,2,2,79.856,78.195,79.856,78.653
9,2,2,80.576,79.254,80.576,79.417
10,2,2,79.856,79.439,79.856,79.316
11,2,2,78.417,77.014,78.417,77.147
12,2,2,78.417,77.298,78.417,77.398
13,2,2,80.576,79.504,80.576,79.026
14,2,2,79.137,78.753,79.137,77.999
15,2,2,76.259,74.798,76.259,74.975
16,2,2,75.54,73.368,75.54,73.755
17,2,2,78.417,77.9,78.417,77.569
18,2,2,80.576,80.218,80.576,79.785
19,2,2,76.978,75.976,76.978,75.98
20,2,2,76.978,76.663,76.978,76.232
21,2,2,74.101,73.109,74.101,73.293
22,2,2,75.54,74.814,75.54,73.532
23,2,2,79.856,79.834,79.856,78.743
24,2,2,76.978,76.311,76.978,76.517
25,2,2,78.417,77.776,78.417,77.759
26,2,2,79.137,78.831,79.137,78.646
27,2,2,79.856,79.539,79.856,79.007
