iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,70.504,78.417,72.719
1,2,0,79.856,70.755,79.856,73.983
2,2,0,78.417,70.504,78.417,72.719
3,2,0,78.417,70.504,78.417,72.719
4,2,0,79.137,70.363,79.137,73.301
5,2,0,78.417,69.978,78.417,72.613
6,2,0,77.698,69.6,77.698,71.917
7,2,0,78.417,69.396,78.417,72.605
8,2,0,78.417,69.978,78.417,72.613
9,2,0,79.856,70.755,79.856,73.983
10,2,0,76.978,76.618,76.978,72.414
11,2,0,76.259,69.072,76.259,70.865
12,2,0,77.698,70.155,77.698,72.025
13,2,0,79.137,85.248,79.137,75.129
14,2,0,77.698,69.6,77.698,71.917
15,2,0,77.698,69.6,77.698,71.917
16,2,0,76.978,69.812,76.978,71.323
17,2,0,77.698,77.698,77.698,73.114
18,2,0,78.417,75.486,78.417,73.914
19,2,0,78.417,84.344,78.417,73.533
20,2,0,77.698,84.543,77.698,72.933
21,2,0,78.417,70.504,78.417,72.719
22,2,0,76.978,69.227,76.978,71.214
23,2,0,76.259,69.202,76.259,70.743
24,2,0,76.259,70.155,76.259,71.091
25,2,0,76.978,69.576,76.978,71.457
26,2,0,77.698,70.155,77.698,72.025
27,2,0,77.698,84.543,77.698,72.933
28,2,0,78.417,78.642,78.417,75.519
29,2,0,77.698,77.698,77.698,73.114
30,2,0,77.698,77.698,77.698,73.114
31,2,0,76.259,83.865,76.259,71.5
32,2,0,76.978,84.201,76.978,72.221
33,2,0,78.417,80.452,78.417,74.553
34,2,0,76.978,77.349,76.978,72.399
35,2,0,77.698,80.096,77.698,73.835
36,2,0,76.259,74.796,76.259,71.992
37,2,0,76.259,77.037,76.259,72.785
38,2,0,76.978,77.349,76.978,72.399
39,2,0,77.698,84.543,77.698,73.707
40,2,0,77.698,80.096,77.698,73.835
41,2,0,78.417,79.856,78.417,75.28
42,2,0,76.259,69.812,76.259,70.851
43,2,0,77.698,76.39,77.698,74.292
44,2,0,76.978,74.457,76.978,72.777
45,2,0,77.698,75.656,77.698,73.302
46,2,0,76.259,69.477,76.259,70.614
47,2,0,76.259,70.155,76.259,71.091
48,2,0,76.259,69.812,76.259,70.851
49,2,0,76.259,69.477,76.259,70.614
50,2,0,76.978,75.3,76.978,72.584
0,2,1,83.453,79.418,83.453,80.272
1,2,1,85.612,80.99,85.612,82.685
2,2,1,83.453,79.418,83.453,80.272
3,2,1,82.734,84.773,82.734,80.408
4,2,1,82.734,79.062,82.734,79.412
5,2,1,79.856,74.807,79.856,76.71
6,2,1,83.453,78.991,83.453,80.208
7,2,1,83.453,77.923,83.453,80.302
8,2,1,83.453,78.555,83.453,80.246
9,2,1,84.173,80.46,84.173,80.978
10,2,1,82.734,78.501,82.734,79.466
11,2,1,82.734,78.501,82.734,79.466
12,2,1,81.295,78.06,81.295,78.029
13,2,1,82.734,79.602,82.734,79.487
14,2,1,82.014,78.506,82.014,78.785
15,2,1,81.295,78.777,81.295,77.963
16,2,1,82.734,79.602,82.734,79.487
17,2,1,82.734,79.602,82.734,79.487
18,2,1,82.734,79.602,82.734,79.487
19,2,1,82.014,79.186,82.014,78.729
20,2,1,82.734,79.602,82.734,79.487
21,2,1,82.734,79.602,82.734,79.487
22,2,1,83.453,80.027,83.453,80.236
23,2,1,82.734,79.602,82.734,79.487
24,2,1,82.014,79.602,82.014,78.998
25,2,1,82.734,79.602,82.734,79.487
26,2,1,80.576,78.376,80.576,77.188
27,2,1,82.014,79.186,82.014,78.729
28,2,1,82.734,79.602,82.734,79.487
29,2,1,80.576,78.376,80.576,77.188
30,2,1,79.856,77.983,79.856,76.404
31,2,1,82.734,80.027,82.734,79.758
32,2,1,82.014,79.602,82.014,78.998
33,2,1,79.856,77.983,79.856,76.404
34,2,1,79.856,77.983,79.856,76.404
35,2,1,79.137,77.983,79.137,75.867
36,2,1,80.576,78.777,80.576,77.451
37,2,1,79.137,78.237,79.137,76.31
38,2,1,80.576,78.777,80.576,77.451
39,2,1,79.856,77.983,79.856,76.404
40,2,1,81.295,78.777,81.295,77.963
41,2,1,79.856,78.376,79.856,76.664
42,2,1,81.295,79.186,81.295,78.229
43,2,1,81.295,79.052,81.295,78.374
44,2,1,79.137,77.983,79.137,75.867
45,2,1,79.856,78.641,79.856,77.097
46,2,1,79.137,78.376,79.137,76.127
47,2,1,78.417,77.842,78.417,75.514
48,2,1,79.856,79.471,79.856,77.63
49,2,1,78.417,76.342,78.417,74.921
50,2,1,78.417,77.218,78.417,74.806
0,2,2,76.259,74.228,76.259,72.034
1,2,2,77.698,75.658,77.698,74.095
2,2,2,79.137,76.033,79.137,75.376
3,2,2,74.82,72.562,74.82,70.555
4,2,2,78.417,73.322,78.417,74.404
5,2,2,76.259,74.228,76.259,72.034
6,2,2,76.978,73.063,76.978,72.821
7,2,2,77.698,74.93,77.698,73.598
8,2,2,77.698,72.863,77.698,73.658
9,2,2,78.417,74.619,78.417,74.273
10,2,2,78.417,74.619,78.417,74.273
11,2,2,74.82,74.228,74.82,70.904
12,2,2,75.54,73.888,75.54,71.237
13,2,2,74.82,73.553,74.82,70.429
14,2,2,74.101,73.224,74.101,69.609
15,2,2,74.82,73.553,74.82,70.429
16,2,2,74.82,73.553,74.82,70.429
17,2,2,74.82,73.553,74.82,70.429
18,2,2,74.82,73.553,74.82,70.429
19,2,2,76.978,74.576,76.978,72.821
20,2,2,74.82,73.553,74.82,70.429
21,2,2,75.54,73.888,75.54,71.237
22,2,2,74.82,73.553,74.82,70.429
23,2,2,74.82,73.553,74.82,70.429
24,2,2,74.82,73.553,74.82,70.429
25,2,2,74.82,73.553,74.82,70.429
26,2,2,75.54,73.888,75.54,71.237
27,2,2,74.82,73.553,74.82,70.429
28,2,2,73.381,73.224,73.381,69.008
29,2,2,72.662,72.585,72.662,67.932
30,2,2,74.101,73.553,74.101,69.843
31,2,2,75.54,73.888,75.54,71.237
32,2,2,74.82,73.553,74.82,70.429
33,2,2,74.101,73.553,74.101,69.843
34,2,2,74.101,73.224,74.101,69.609
35,2,2,73.381,73.224,73.381,69.008
36,2,2,74.101,73.553,74.101,69.843
37,2,2,74.101,73.553,74.101,69.843
38,2,2,73.381,73.224,73.381,69.008
39,2,2,74.101,73.553,74.101,69.843
40,2,2,73.381,72.902,73.381,68.777
41,2,2,74.101,73.224,74.101,69.609
42,2,2,73.381,72.902,73.381,68.777
43,2,2,72.662,72.585,72.662,67.932
44,2,2,74.101,73.553,74.101,69.843
45,2,2,73.381,72.902,73.381,68.777
46,2,2,73.381,72.902,73.381,68.777
47,2,2,73.381,72.902,73.381,68.777
48,2,2,73.381,72.902,73.381,68.777
49,2,2,73.381,72.902,73.381,68.777
50,2,2,73.381,72.902,73.381,68.777
0,5,0,78.417,70.504,78.417,72.719
1,5,0,79.137,70.734,79.137,73.553
2,5,0,76.978,69.227,76.978,71.214
3,5,0,77.698,69.6,77.698,71.917
4,5,0,76.259,68.192,76.259,70.524
5,5,0,77.698,70.155,77.698,72.025
6,5,0,77.698,70.155,77.698,72.025
7,5,0,77.698,69.6,77.698,71.917
8,5,0,76.259,68.86,76.259,70.504
9,5,0,76.978,69.812,76.978,71.323
10,5,0,76.978,69.812,76.978,71.323
11,5,0,77.698,69.6,77.698,71.917
12,5,0,76.259,69.477,76.259,70.614
13,5,0,76.259,68.86,76.259,70.504
14,5,0,76.978,69.227,76.978,71.214
15,5,0,75.54,69.148,75.54,69.896
16,5,0,76.978,69.812,76.978,71.323
17,5,0,75.54,69.148,75.54,69.896
18,5,0,76.978,69.812,76.978,71.323
19,5,0,76.978,69.812,76.978,71.323
20,5,0,76.259,69.477,76.259,70.614
0,5,1,83.453,79.418,83.453,80.272
1,5,1,84.173,80.341,84.173,81.286
2,5,1,84.173,80.46,84.173,80.978
3,5,1,83.453,80.027,83.453,80.236
4,5,1,83.453,78.991,83.453,80.208
5,5,1,82.734,79.602,82.734,79.487
6,5,1,82.734,79.602,82.734,79.487
7,5,1,82.734,79.602,82.734,79.487
8,5,1,82.014,79.186,82.014,78.729
9,5,1,82.014,79.186,82.014,78.729
10,5,1,81.295,78.777,81.295,77.963
11,5,1,82.014,79.186,82.014,78.729
12,5,1,76.978,76.481,76.978,73.164
13,5,1,78.417,77.218,78.417,74.806
14,5,1,79.856,77.983,79.856,76.404
15,5,1,77.698,76.846,77.698,73.991
16,5,1,80.576,78.376,80.576,77.188
17,5,1,79.137,77.597,79.137,75.61
18,5,1,79.856,77.983,79.856,76.404
19,5,1,79.856,77.983,79.856,76.404
20,5,1,77.698,76.846,77.698,73.991
0,5,2,76.259,74.228,76.259,72.034
1,5,2,79.856,76.033,79.856,75.873
2,5,2,75.54,73.888,75.54,71.237
3,5,2,75.54,73.888,75.54,71.237
4,5,2,76.978,73.829,76.978,72.728
5,5,2,76.259,74.228,76.259,72.034
6,5,2,74.82,73.553,74.82,70.429
7,5,2,74.82,73.553,74.82,70.429
8,5,2,74.82,73.553,74.82,70.429
9,5,2,75.54,73.888,75.54,71.237
10,5,2,74.101,73.224,74.101,69.609
11,5,2,74.101,73.224,74.101,69.609
12,5,2,72.662,73.395,72.662,68.894
13,5,2,71.942,73.233,71.942,68.542
14,5,2,72.662,75.601,72.662,69.553
15,5,2,71.223,72.576,71.223,67.463
16,5,2,72.662,75.603,72.662,70.191
17,5,2,73.381,73.064,73.381,69.261
18,5,2,71.223,72.422,71.223,66.954
19,5,2,72.662,73.064,72.662,68.661
20,5,2,71.942,72.576,71.942,68.079
0,10,0,78.417,70.504,78.417,72.719
1,10,0,78.417,69.978,78.417,72.613
