iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,70.504,78.417,72.719
1,2,0,79.856,70.755,79.856,73.983
2,2,0,79.856,70.755,79.856,73.983
3,2,0,79.856,70.755,79.856,73.983
4,2,0,79.856,70.755,79.856,73.983
5,2,0,79.856,70.755,79.856,73.983
6,2,0,79.856,70.755,79.856,73.983
7,2,0,79.856,70.755,79.856,73.983
8,2,0,79.856,70.755,79.856,73.983
9,2,0,79.856,70.755,79.856,73.983
10,2,0,79.856,70.755,79.856,73.983
11,2,0,79.856,70.755,79.856,73.983
12,2,0,79.856,70.755,79.856,73.983
13,2,0,79.856,70.755,79.856,73.983
14,2,0,79.856,70.755,79.856,73.983
15,2,0,79.856,70.755,79.856,73.983
16,2,0,79.856,70.755,79.856,73.983
17,2,0,79.856,70.755,79.856,73.983
18,2,0,79.856,70.755,79.856,73.983
19,2,0,79.856,70.755,79.856,73.983
20,2,0,79.856,70.755,79.856,73.983
21,2,0,79.856,70.755,79.856,73.983
22,2,0,79.856,70.755,79.856,73.983
23,2,0,79.856,70.755,79.856,73.983
24,2,0,79.856,70.755,79.856,73.983
25,2,0,79.856,70.755,79.856,73.983
26,2,0,77.698,69.097,77.698,71.821
27,2,0,77.698,69.097,77.698,71.821
28,2,0,77.698,69.097,77.698,71.821
29,2,0,77.698,69.097,77.698,71.821
30,2,0,77.698,69.097,77.698,71.821
31,2,0,77.698,69.097,77.698,71.821
32,2,0,77.698,69.097,77.698,71.821
33,2,0,77.698,69.097,77.698,71.821
34,2,0,77.698,69.097,77.698,71.821
35,2,0,77.698,69.097,77.698,71.821
36,2,0,77.698,69.097,77.698,71.821
37,2,0,77.698,69.097,77.698,71.821
38,2,0,77.698,69.097,77.698,71.821
39,2,0,77.698,69.097,77.698,71.821
40,2,0,77.698,69.097,77.698,71.821
41,2,0,77.698,69.097,77.698,71.821
42,2,0,77.698,69.097,77.698,71.821
43,2,0,77.698,69.097,77.698,71.821
44,2,0,77.698,69.097,77.698,71.821
45,2,0,77.698,69.097,77.698,71.821
46,2,0,77.698,69.097,77.698,71.821
47,2,0,77.698,69.097,77.698,71.821
48,2,0,77.698,69.097,77.698,71.821
49,2,0,77.698,69.097,77.698,71.821
50,2,0,77.698,69.097,77.698,71.821
0,2,1,83.453,79.418,83.453,80.272
1,2,1,83.453,78.384,83.453,80.639
2,2,1,85.612,80.506,85.612,82.394
3,2,1,85.612,80.506,85.612,82.394
4,2,1,85.612,80.506,85.612,82.394
5,2,1,85.612,80.506,85.612,82.394
6,2,1,85.612,80.506,85.612,82.394
7,2,1,85.612,80.506,85.612,82.394
8,2,1,85.612,80.506,85.612,82.394
9,2,1,85.612,80.506,85.612,82.394
10,2,1,85.612,80.506,85.612,82.394
11,2,1,85.612,80.506,85.612,82.394
12,2,1,85.612,80.506,85.612,82.394
13,2,1,85.612,80.506,85.612,82.394
14,2,1,85.612,80.506,85.612,82.394
15,2,1,85.612,80.506,85.612,82.394
16,2,1,85.612,80.506,85.612,82.394
17,2,1,85.612,80.506,85.612,82.394
18,2,1,85.612,80.506,85.612,82.394
19,2,1,85.612,80.506,85.612,82.394
20,2,1,85.612,80.506,85.612,82.394
21,2,1,85.612,80.506,85.612,82.394
22,2,1,85.612,80.506,85.612,82.394
23,2,1,85.612,80.506,85.612,82.394
24,2,1,85.612,80.506,85.612,82.394
25,2,1,83.453,82.998,83.453,81.223
26,2,1,83.453,82.998,83.453,81.223
27,2,1,83.453,82.998,83.453,81.223
28,2,1,83.453,82.998,83.453,81.223
29,2,1,83.453,82.998,83.453,81.223
30,2,1,83.453,82.998,83.453,81.223
31,2,1,83.453,82.998,83.453,81.223
32,2,1,83.453,82.998,83.453,81.223
33,2,1,83.453,82.998,83.453,81.223
34,2,1,83.453,82.998,83.453,81.223
35,2,1,83.453,82.998,83.453,81.223
36,2,1,83.453,82.998,83.453,81.223
37,2,1,83.453,82.998,83.453,81.223
38,2,1,83.453,82.998,83.453,81.223
39,2,1,83.453,82.998,83.453,81.223
40,2,1,83.453,82.998,83.453,81.223
41,2,1,83.453,82.998,83.453,81.223
42,2,1,83.453,82.998,83.453,81.223
43,2,1,83.453,82.998,83.453,81.223
44,2,1,83.453,82.998,83.453,81.223
45,2,1,83.453,82.998,83.453,81.223
46,2,1,83.453,82.998,83.453,81.223
47,2,1,83.453,82.998,83.453,81.223
48,2,1,83.453,82.998,83.453,81.223
49,2,1,83.453,82.998,83.453,81.223
50,2,1,83.453,82.998,83.453,81.223
0,2,2,76.259,74.228,76.259,72.034
1,2,2,79.137,76.806,79.137,75.891
2,2,2,79.137,76.806,79.137,75.891
3,2,2,79.137,76.806,79.137,75.891
4,2,2,79.137,76.806,79.137,75.891
5,2,2,79.137,76.806,79.137,75.891
6,2,2,79.137,76.806,79.137,75.891
7,2,2,79.137,76.806,79.137,75.891
8,2,2,79.137,76.806,79.137,75.891
9,2,2,79.137,76.806,79.137,75.891
10,2,2,79.137,76.806,79.137,75.891
11,2,2,79.137,76.806,79.137,75.891
12,2,2,79.137,76.806,79.137,75.891
13,2,2,79.137,76.806,79.137,75.891
14,2,2,79.137,76.806,79.137,75.891
15,2,2,79.137,76.806,79.137,75.891
16,2,2,79.137,76.806,79.137,75.891
17,2,2,79.137,76.806,79.137,75.891
18,2,2,79.137,76.806,79.137,75.891
19,2,2,79.137,76.806,79.137,75.891
20,2,2,79.137,76.806,79.137,75.891
21,2,2,79.137,76.806,79.137,75.891
22,2,2,79.137,76.806,79.137,75.891
23,2,2,78.417,73.243,78.417,74.523
24,2,2,78.417,73.243,78.417,74.523
25,2,2,78.417,73.243,78.417,74.523
26,2,2,78.417,74.046,78.417,75.041
27,2,2,78.417,74.046,78.417,75.041
28,2,2,78.417,74.046,78.417,75.041
29,2,2,78.417,74.046,78.417,75.041
30,2,2,78.417,74.046,78.417,75.041
31,2,2,78.417,74.046,78.417,75.041
32,2,2,78.417,74.046,78.417,75.041
33,2,2,78.417,74.046,78.417,75.041
34,2,2,78.417,74.046,78.417,75.041
35,2,2,78.417,74.046,78.417,75.041
36,2,2,78.417,74.046,78.417,75.041
37,2,2,78.417,74.046,78.417,75.041
38,2,2,78.417,74.046,78.417,75.041
39,2,2,76.259,70.488,76.259,72.75
40,2,2,76.259,70.488,76.259,72.75
41,2,2,76.259,70.488,76.259,72.75
42,2,2,76.259,70.488,76.259,72.75
43,2,2,76.259,70.488,76.259,72.75
44,2,2,76.259,70.488,76.259,72.75
45,2,2,76.259,70.488,76.259,72.75
46,2,2,76.259,70.488,76.259,72.75
47,2,2,76.259,70.488,76.259,72.75
48,2,2,79.137,72.898,79.137,75.218
49,2,2,79.137,72.898,79.137,75.218
50,2,2,79.137,72.898,79.137,75.218
0,5,0,78.417,70.504,78.417,72.719
1,5,0,79.856,70.755,79.856,73.983
2,5,0,79.856,70.755,79.856,73.983
3,5,0,79.856,70.755,79.856,73.983
4,5,0,79.856,70.755,79.856,73.983
5,5,0,79.856,70.755,79.856,73.983
6,5,0,79.856,70.755,79.856,73.983
7,5,0,79.856,70.755,79.856,73.983
8,5,0,79.856,70.755,79.856,73.983
9,5,0,79.856,70.755,79.856,73.983
10,5,0,79.856,70.755,79.856,73.983
11,5,0,79.856,70.755,79.856,73.983
12,5,0,79.856,70.755,79.856,73.983
13,5,0,78.417,69.978,78.417,72.613
14,5,0,78.417,69.978,78.417,72.613
15,5,0,78.417,69.978,78.417,72.613
16,5,0,78.417,69.978,78.417,72.613
17,5,0,78.417,69.978,78.417,72.613
18,5,0,78.417,69.978,78.417,72.613
19,5,0,77.698,68.094,77.698,71.833
20,5,0,77.698,68.094,77.698,71.833
0,5,1,83.453,79.418,83.453,80.272
1,5,1,84.173,79.952,84.173,81.227
2,5,1,84.173,79.952,84.173,81.227
3,5,1,84.892,79.614,84.892,81.694
4,5,1,84.892,79.614,84.892,81.694
5,5,1,84.892,79.614,84.892,81.694
6,5,1,84.892,79.614,84.892,81.694
7,5,1,84.892,79.614,84.892,81.694
8,5,1,84.892,79.614,84.892,81.694
9,5,1,84.892,79.614,84.892,81.694
10,5,1,84.892,79.614,84.892,81.694
11,5,1,84.892,79.614,84.892,81.694
12,5,1,84.892,79.614,84.892,81.694
13,5,1,84.892,79.614,84.892,81.694
14,5,1,84.892,79.614,84.892,81.694
15,5,1,84.892,79.614,84.892,81.694
16,5,1,84.892,79.614,84.892,81.694
17,5,1,84.892,79.614,84.892,81.694
18,5,1,84.892,79.614,84.892,81.694
19,5,1,84.892,79.614,84.892,81.694
20,5,1,84.892,79.614,84.892,81.694
0,5,2,76.259,74.228,76.259,72.034
1,5,2,78.417,74.21,78.417,74.735
2,5,2,78.417,74.21,78.417,74.735
3,5,2,78.417,75.291,78.417,74.365
4,5,2,78.417,75.291,78.417,74.365
5,5,2,78.417,75.291,78.417,74.365
6,5,2,78.417,75.291,78.417,74.365
7,5,2,79.137,74.355,79.137,75.092
8,5,2,79.137,74.355,79.137,75.092
9,5,2,77.698,73.489,77.698,73.587
10,5,2,77.698,73.489,77.698,73.587
11,5,2,77.698,73.489,77.698,73.587
12,5,2,77.698,73.489,77.698,73.587
13,5,2,77.698,73.489,77.698,73.587
14,5,2,77.698,73.489,77.698,73.587
15,5,2,77.698,73.489,77.698,73.587
16,5,2,76.259,71.424,76.259,72.072
17,5,2,76.259,71.424,76.259,72.072
18,5,2,76.259,71.424,76.259,72.072
19,5,2,76.259,71.424,76.259,72.072
20,5,2,76.259,71.424,76.259,72.072
0,10,0,78.417,70.504,78.417,72.719
1,10,0,78.417,70.504,78.417,72.719
