iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,70.504,78.417,72.719
1,2,0,78.417,68.988,78.417,72.519
2,2,0,81.295,71.288,81.295,75.722
3,2,0,81.295,71.611,81.295,75.749
4,2,0,81.295,75.656,81.295,77.289
5,2,0,81.295,75.593,81.295,76.82
6,2,0,80.576,69.093,80.576,74.374
7,2,0,81.295,70.579,81.295,75.414
8,2,0,82.734,71.401,82.734,76.484
9,2,0,81.295,69.909,81.295,75.099
10,2,0,81.295,70.204,81.295,75.122
11,2,0,83.453,72.521,83.453,77.226
12,2,0,82.734,86.046,82.734,77.513
13,2,0,82.014,85.24,82.014,76.819
14,2,0,80.576,69.447,80.576,74.437
15,2,0,81.295,70.019,81.295,75.074
16,2,0,82.734,85.602,82.734,77.402
17,2,0,83.453,86.606,83.453,78.143
18,2,0,82.014,85.312,82.014,76.787
19,2,0,81.295,78.332,81.295,76.386
20,2,0,85.612,84.987,85.612,83.178
21,2,0,84.892,85.734,84.892,82.408
22,2,0,85.612,84.987,85.612,83.178
23,2,0,86.331,85.502,86.331,83.864
24,2,0,85.612,84.875,85.612,81.885
25,2,0,84.892,83.379,84.892,81.894
26,2,0,85.612,84.335,85.612,82.67
27,2,0,86.331,86.077,86.331,83.184
28,2,0,86.331,86.451,86.331,83.755
29,2,0,87.05,87.292,87.05,84.911
30,2,0,86.331,86.451,86.331,83.755
31,2,0,86.331,86.451,86.331,83.755
32,2,0,87.77,89.39,87.77,85.535
33,2,0,87.77,89.674,87.77,85.055
34,2,0,88.489,90.168,88.489,86.235
35,2,0,87.77,89.492,87.77,85.008
36,2,0,88.489,90.168,88.489,86.235
37,2,0,87.77,89.674,87.77,85.055
38,2,0,87.05,89.192,87.05,83.804
39,2,0,87.77,89.674,87.77,85.055
40,2,0,87.05,87.246,87.05,84.455
41,2,0,89.209,90.673,89.209,87.354
42,2,0,87.77,88.082,87.77,85.611
43,2,0,87.77,87.899,87.77,85.569
44,2,0,88.489,88.845,88.489,86.71
45,2,0,87.77,89.674,87.77,85.055
46,2,0,86.331,86.284,86.331,83.234
47,2,0,85.612,87.756,85.612,81.727
48,2,0,85.612,87.93,85.612,81.774
49,2,0,86.331,88.516,86.331,82.42
50,2,0,87.05,88.998,87.05,83.754
0,2,1,83.453,79.418,83.453,80.272
1,2,1,83.453,79.418,83.453,80.272
2,2,1,86.331,81.431,86.331,83.097
3,2,1,89.928,83.826,89.928,86.596
4,2,1,86.331,80.127,86.331,83.109
5,2,1,88.489,82.243,88.489,85.211
6,2,1,86.331,80.187,86.331,83.106
7,2,1,89.928,84.025,89.928,86.636
8,2,1,87.05,81.082,87.05,83.792
9,2,1,87.77,81.467,87.77,84.497
10,2,1,85.612,79.562,85.612,82.404
11,2,1,87.77,81.467,87.77,84.497
12,2,1,87.77,81.83,87.77,84.526
13,2,1,89.209,83.203,89.209,85.928
14,2,1,88.489,82.135,88.489,85.189
15,2,1,88.489,82.127,88.489,85.185
16,2,1,86.331,80.148,86.331,83.12
17,2,1,89.209,82.819,89.209,85.877
18,2,1,89.209,82.787,89.209,85.874
19,2,1,88.489,82.127,88.489,85.172
20,2,1,89.209,82.888,89.209,85.891
21,2,1,89.209,82.888,89.209,85.891
22,2,1,88.489,82.127,88.489,85.185
23,2,1,89.928,83.459,89.928,86.573
24,2,1,89.928,83.459,89.928,86.573
25,2,1,90.647,84.142,90.647,87.269
26,2,1,88.489,82.135,88.489,85.189
27,2,1,88.489,82.182,88.489,85.2
28,2,1,89.928,83.588,89.928,86.6
29,2,1,89.928,83.51,89.928,86.581
30,2,1,89.209,83.0,89.209,85.919
31,2,1,89.209,82.896,89.209,85.894
32,2,1,88.489,82.127,88.489,85.185
33,2,1,87.77,81.479,87.77,84.503
34,2,1,88.489,82.124,88.489,85.188
35,2,1,88.489,82.124,88.489,85.188
36,2,1,89.209,82.819,89.209,85.877
37,2,1,88.489,82.127,88.489,85.185
38,2,1,88.489,82.127,88.489,85.185
39,2,1,89.209,82.819,89.209,85.877
40,2,1,87.77,81.475,87.77,84.487
41,2,1,89.209,82.819,89.209,85.877
42,2,1,87.77,81.479,87.77,84.503
43,2,1,89.209,82.787,89.209,85.874
44,2,1,88.489,82.167,88.489,85.193
45,2,1,88.489,82.127,88.489,85.185
46,2,1,89.928,83.533,89.928,86.571
47,2,1,89.928,83.533,89.928,86.571
48,2,1,89.928,83.633,89.928,86.591
49,2,1,90.647,84.178,90.647,87.251
50,2,1,89.928,83.472,89.928,86.562
0,2,2,76.259,74.228,76.259,72.034
1,2,2,79.137,77.204,79.137,76.152
2,2,2,79.856,72.533,79.856,75.94
3,2,2,79.856,72.68,79.856,75.929
4,2,2,79.856,74.22,79.856,76.173
5,2,2,82.014,75.312,82.014,78.038
6,2,2,76.978,69.776,76.978,73.193
