iter,step,fold,acc,prec,rec,f1score
0,2,0,78.417,70.504,78.417,72.719
1,2,0,78.417,70.86,78.417,72.964
2,2,0,78.417,70.86,78.417,72.964
3,2,0,79.137,70.363,79.137,73.301
4,2,0,79.137,70.363,79.137,73.301
5,2,0,78.417,70.504,78.417,72.719
6,2,0,79.137,69.808,79.137,73.285
7,2,0,77.698,76.868,77.698,73.214
8,2,0,77.698,76.868,77.698,73.214
9,2,0,77.698,73.518,77.698,73.231
10,2,0,77.698,73.518,77.698,73.231
11,2,0,79.137,69.818,79.137,73.71
12,2,0,79.137,69.818,79.137,73.71
13,2,0,78.417,68.94,78.417,72.769
14,2,0,79.856,83.797,79.856,74.818
15,2,0,76.978,68.038,76.978,71.227
16,2,0,76.978,68.038,76.978,71.227
17,2,0,79.137,83.329,79.137,74.14
18,2,0,79.137,83.329,79.137,74.14
19,2,0,82.014,82.05,82.014,80.673
20,2,0,82.014,82.05,82.014,80.673
21,2,0,82.734,83.007,82.734,81.329
22,2,0,82.734,83.007,82.734,81.329
23,2,0,82.014,81.609,82.014,79.838
24,2,0,83.453,83.208,83.453,81.983
25,2,0,81.295,82.754,81.295,78.564
26,2,0,81.295,82.754,81.295,78.564
27,2,0,81.295,82.832,81.295,78.994
28,2,0,81.295,82.832,81.295,78.994
29,2,0,85.612,86.163,85.612,83.939
30,2,0,84.173,85.457,84.173,82.924
31,2,0,82.014,80.609,82.014,77.781
32,2,0,81.295,81.154,81.295,77.833
33,2,0,83.453,83.644,83.453,80.489
34,2,0,83.453,83.644,83.453,80.489
35,2,0,81.295,82.488,81.295,78.424
36,2,0,81.295,82.488,81.295,78.424
37,2,0,81.295,80.679,81.295,77.169
38,2,0,81.295,80.679,81.295,77.169
39,2,0,81.295,80.679,81.295,77.169
40,2,0,82.014,85.117,82.014,78.408
41,2,0,82.734,80.087,82.734,79.498
42,2,0,82.734,80.087,82.734,79.498
43,2,0,81.295,79.734,81.295,77.971
44,2,0,81.295,79.734,81.295,77.971
45,2,0,83.453,83.644,83.453,80.489
46,2,0,83.453,83.644,83.453,80.489
47,2,0,83.453,82.817,83.453,81.095
48,2,0,83.453,82.817,83.453,81.095
49,2,0,82.734,81.972,82.734,79.092
50,2,0,82.734,81.972,82.734,79.092
0,2,1,83.453,79.418,83.453,80.272
1,2,1,83.453,78.624,83.453,80.945
2,2,1,83.453,78.624,83.453,80.945
3,2,1,84.173,81.99,84.173,82.47
4,2,1,85.612,84.824,85.612,84.495
5,2,1,84.173,82.534,84.173,83.066
6,2,1,84.173,82.534,84.173,83.066
7,2,1,82.734,80.616,82.734,80.89
8,2,1,82.734,80.616,82.734,80.89
9,2,1,82.014,81.174,82.014,80.015
10,2,1,85.612,85.001,85.612,84.154
11,2,1,84.892,84.474,84.892,83.36
12,2,1,84.892,84.474,84.892,83.36
13,2,1,83.453,80.336,83.453,80.622
14,2,1,82.014,79.602,82.014,78.998
15,2,1,83.453,84.058,83.453,81.232
16,2,1,84.892,80.919,84.892,81.928
17,2,1,85.612,84.078,85.612,84.286
18,2,1,87.05,85.332,87.05,84.917
19,2,1,86.331,87.59,86.331,84.025
20,2,1,86.331,87.59,86.331,84.025
21,2,1,88.489,87.657,88.489,86.951
22,2,1,87.77,88.978,87.77,85.434
23,2,1,85.612,87.465,85.612,86.119
24,2,1,84.173,86.339,84.173,84.499
25,2,1,84.892,87.007,84.892,85.022
26,2,1,84.173,85.714,84.173,83.96
27,2,1,82.734,86.434,82.734,83.373
28,2,1,82.734,86.034,82.734,83.166
29,2,1,82.734,83.335,82.734,82.309
30,2,1,82.014,84.212,82.014,82.218
31,2,1,84.892,84.98,84.892,84.274
32,2,1,84.892,84.98,84.892,84.274
33,2,1,85.612,87.192,85.612,85.759
34,2,1,85.612,87.192,85.612,85.759
35,2,1,82.734,86.682,82.734,83.808
36,2,1,84.173,87.584,84.173,85.15
37,2,1,85.612,87.146,85.612,85.733
38,2,1,89.928,89.906,89.928,89.491
39,2,1,88.489,88.826,88.489,88.341
40,2,1,88.489,88.826,88.489,88.341
41,2,1,86.331,88.418,86.331,86.845
42,2,1,86.331,88.418,86.331,86.845
43,2,1,87.77,87.066,87.77,87.186
44,2,1,87.77,87.066,87.77,87.186
45,2,1,89.209,88.416,89.209,88.299
46,2,1,89.209,88.416,89.209,88.299
47,2,1,88.489,87.489,88.489,86.96
48,2,1,88.489,87.489,88.489,86.96
49,2,1,85.612,83.54,85.612,83.536
50,2,1,87.05,85.283,87.05,84.957
0,2,2,76.259,74.228,76.259,72.034
1,2,2,78.417,76.464,78.417,75.718
2,2,2,77.698,73.168,77.698,74.449
3,2,2,78.417,74.697,78.417,74.857
4,2,2,78.417,74.697,78.417,74.857
5,2,2,75.54,72.94,75.54,71.349
6,2,2,75.54,72.94,75.54,71.349
7,2,2,76.259,69.58,76.259,72.481
8,2,2,76.259,69.58,76.259,72.481
9,2,2,77.698,71.188,77.698,73.847
10,2,2,77.698,71.188,77.698,73.847
11,2,2,79.137,72.321,79.137,75.202
12,2,2,79.137,72.321,79.137,75.202
13,2,2,81.295,74.801,81.295,77.334
14,2,2,79.856,73.797,79.856,75.907
15,2,2,82.014,75.694,82.014,78.028
16,2,2,82.014,75.694,82.014,78.028
17,2,2,79.856,74.254,79.856,75.874
18,2,2,79.856,74.254,79.856,75.874
19,2,2,82.014,76.153,82.014,78.012
20,2,2,82.014,76.153,82.014,78.012
21,2,2,80.576,84.549,80.576,77.43
22,2,2,80.576,84.549,80.576,77.43
23,2,2,82.734,76.618,82.734,78.726
24,2,2,82.734,76.618,82.734,78.726
25,2,2,82.734,76.618,82.734,78.726
26,2,2,82.734,76.618,82.734,78.726
27,2,2,84.173,86.888,84.173,81.047
28,2,2,84.173,86.888,84.173,81.047
29,2,2,87.05,88.837,87.05,85.201
30,2,2,87.05,88.837,87.05,85.201
31,2,2,83.453,76.686,83.453,79.435
32,2,2,83.453,76.686,83.453,79.435
33,2,2,83.453,77.091,83.453,79.434
34,2,2,83.453,77.091,83.453,79.434
35,2,2,84.173,82.666,84.173,81.238
36,2,2,80.576,79.63,80.576,78.555
37,2,2,79.137,77.176,79.137,76.414
38,2,2,82.734,81.658,82.734,80.617
39,2,2,83.453,81.726,83.453,81.507
40,2,2,82.734,80.155,82.734,80.027
