iter,step,fold,acc,prec,rec,f1score
0,2,0,79.856,78.445,79.856,78.269
1,2,0,82.734,82.603,82.734,82.503
2,2,0,82.734,82.603,82.734,82.503
3,2,0,80.576,81.222,80.576,80.656
4,2,0,80.576,81.222,80.576,80.656
5,2,0,83.453,83.696,83.453,83.321
6,2,0,83.453,83.696,83.453,83.321
7,2,0,84.892,85.418,84.892,84.711
8,2,0,84.892,85.418,84.892,84.711
9,2,0,84.173,85.49,84.173,83.806
10,2,0,84.173,85.49,84.173,83.806
11,2,0,83.453,84.074,83.453,82.857
12,2,0,83.453,84.074,83.453,82.857
13,2,0,83.453,84.306,83.453,82.908
14,2,0,83.453,84.306,83.453,82.908
15,2,0,84.173,84.854,84.173,83.684
16,2,0,84.173,84.854,84.173,83.684
17,2,0,84.173,85.082,84.173,83.555
18,2,0,84.173,85.082,84.173,83.555
19,2,0,85.612,86.007,85.612,84.928
20,2,0,79.856,81.111,79.856,78.834
21,2,0,84.173,84.839,84.173,83.834
22,2,0,84.173,84.839,84.173,83.834
23,2,0,82.734,82.842,82.734,82.432
24,2,0,82.734,82.842,82.734,82.432
25,2,0,84.173,84.47,84.173,83.862
26,2,0,84.173,84.47,84.173,83.862
27,2,0,84.892,85.459,84.892,84.571
28,2,0,84.892,85.459,84.892,84.571
29,2,0,84.892,85.107,84.892,84.613
30,2,0,84.892,85.107,84.892,84.613
31,2,0,84.173,84.462,84.173,83.813
32,2,0,84.173,84.462,84.173,83.813
33,2,0,82.014,82.072,82.014,81.561
34,2,0,82.014,82.072,82.014,81.561
35,2,0,83.453,83.48,83.453,83.108
36,2,0,83.453,83.48,83.453,83.108
37,2,0,82.014,82.13,82.014,81.552
38,2,0,82.014,82.13,82.014,81.552
39,2,0,84.173,84.462,84.173,83.813
40,2,0,84.173,84.462,84.173,83.813
41,2,0,84.173,84.324,84.173,83.867
42,2,0,84.173,84.324,84.173,83.867
43,2,0,82.734,82.635,82.734,82.499
