iter,step,fold,acc,prec,rec,f1score
0,2,0,79.856,78.445,79.856,78.269
1,2,0,79.856,78.663,79.856,78.301
2,2,0,84.173,84.031,84.173,83.374
3,2,0,77.698,78.211,77.698,76.719
4,2,0,80.576,83.672,80.576,80.207
5,2,0,84.892,86.653,84.892,84.792
6,2,0,87.05,88.7,87.05,86.901
7,2,0,86.331,88.23,86.331,86.313
8,2,0,83.453,85.145,83.453,83.507
9,2,0,83.453,85.553,83.453,83.529
10,2,0,83.453,85.381,83.453,83.608
11,2,0,84.173,86.014,84.173,84.402
12,2,0,82.734,84.192,82.734,82.687
13,2,0,83.453,85.184,83.453,83.39
14,2,0,84.892,85.922,84.892,85.202
15,2,0,85.612,86.343,85.612,85.807
16,2,0,85.612,86.343,85.612,85.807
17,2,0,85.612,86.343,85.612,85.807
18,2,0,85.612,86.343,85.612,85.807
19,2,0,87.05,87.594,87.05,87.176
20,2,0,87.05,87.157,87.05,87.082
21,2,0,87.05,87.532,87.05,87.185
22,2,0,84.892,85.991,84.892,85.137
23,2,0,84.892,85.991,84.892,85.137
24,2,0,86.331,87.108,86.331,86.442
25,2,0,87.05,87.577,87.05,87.116
26,2,0,84.173,83.637,84.173,83.513
27,2,0,84.892,84.408,84.892,84.182
28,2,0,84.892,84.947,84.892,84.644
29,2,0,84.173,84.282,84.173,83.869
30,2,0,83.453,83.624,83.453,83.044
31,2,0,84.173,84.32,84.173,83.791
32,2,0,84.173,84.32,84.173,83.791
33,2,0,83.453,83.624,83.453,83.044
34,2,0,85.612,85.602,85.612,85.319
35,2,0,87.05,87.368,87.05,86.738
36,2,0,84.892,85.081,84.892,84.543
37,2,0,85.612,85.939,85.612,85.23
38,2,0,84.892,85.508,84.892,84.622
39,2,0,84.173,84.505,84.173,83.837
40,2,0,83.453,83.894,83.453,83.061
41,2,0,85.612,86.292,85.612,85.26
42,2,0,85.612,85.979,85.612,85.332
43,2,0,84.892,85.373,84.892,84.568
44,2,0,85.612,86.292,85.612,85.26
45,2,0,85.612,86.164,85.612,85.235
46,2,0,86.331,86.766,86.331,86.095
47,2,0,86.331,86.766,86.331,86.095
48,2,0,85.612,85.979,85.612,85.332
49,2,0,87.05,87.645,87.05,86.792
50,2,0,87.05,87.645,87.05,86.792
0,2,1,80.576,79.128,80.576,79.471
1,2,1,81.295,79.893,81.295,80.212
2,2,1,87.05,87.356,87.05,86.807
3,2,1,79.137,81.096,79.137,78.815
4,2,1,76.978,84.588,76.978,78.028
5,2,1,81.295,85.95,81.295,81.321
6,2,1,78.417,84.956,78.417,79.216
7,2,1,80.576,85.003,80.576,81.131
8,2,1,82.014,85.491,82.014,82.33
9,2,1,82.014,85.491,82.014,82.33
10,2,1,82.014,85.505,82.014,82.681
11,2,1,81.295,84.561,81.295,81.956
12,2,1,83.453,84.85,83.453,83.497
13,2,1,84.173,85.211,84.173,84.084
14,2,1,85.612,86.782,85.612,85.579
15,2,1,87.05,88.167,87.05,87.152
16,2,1,89.209,90.948,89.209,89.566
17,2,1,90.647,91.604,90.647,90.758
18,2,1,91.367,91.985,91.367,91.483
19,2,1,90.647,92.0,90.647,90.962
20,2,1,89.209,91.387,89.209,89.865
21,2,1,91.367,91.856,91.367,91.499
22,2,1,92.086,93.429,92.086,92.501
23,2,1,92.086,93.513,92.086,92.437
24,2,1,92.086,93.513,92.086,92.437
25,2,1,92.086,92.951,92.086,92.332
26,2,1,92.086,93.051,92.086,92.242
27,2,1,92.806,93.802,92.806,93.007
28,2,1,92.086,92.603,92.086,92.19
29,2,1,92.086,92.603,92.086,92.19
30,2,1,90.647,92.451,90.647,91.09
31,2,1,89.928,91.705,89.928,90.366
32,2,1,93.525,94.194,93.525,93.655
33,2,1,92.806,93.832,92.806,93.039
34,2,1,91.367,92.187,91.367,91.59
35,2,1,90.647,91.472,90.647,90.883
36,2,1,91.367,92.265,91.367,91.638
37,2,1,92.086,93.11,92.086,92.325
38,2,1,92.086,92.346,92.086,92.162
39,2,1,92.086,92.389,92.086,92.18
40,2,1,92.086,92.329,92.086,92.145
41,2,1,93.525,93.847,93.525,93.628
42,2,1,92.806,93.08,92.806,92.888
43,2,1,92.086,92.329,92.086,92.145
44,2,1,93.525,93.826,93.525,93.613
45,2,1,92.806,93.858,92.806,93.052
46,2,1,94.964,95.395,94.964,95.059
47,2,1,94.245,94.97,94.245,94.413
48,2,1,87.77,90.277,87.77,88.015
49,2,1,85.612,88.334,85.612,85.924
50,2,1,84.892,87.724,84.892,85.138
0,2,2,75.54,74.059,75.54,74.086
1,2,2,76.259,74.636,76.259,74.659
2,2,2,76.978,80.018,76.978,77.896
3,2,2,79.856,80.348,79.856,79.933
4,2,2,78.417,82.079,78.417,79.712
5,2,2,79.137,82.098,79.137,80.178
6,2,2,79.856,81.526,79.856,79.685
7,2,2,80.576,84.301,80.576,81.223
8,2,2,75.54,85.062,75.54,78.301
9,2,2,76.978,84.701,76.978,79.106
10,2,2,81.295,86.884,81.295,83.096
11,2,2,82.014,85.698,82.014,83.196
12,2,2,77.698,84.877,77.698,79.589
13,2,2,77.698,85.56,77.698,79.777
14,2,2,78.417,83.056,78.417,79.401
15,2,2,79.137,83.909,79.137,80.12
16,2,2,79.856,84.128,79.856,80.758
17,2,2,79.856,84.398,79.856,81.068
18,2,2,81.295,85.282,81.295,82.581
19,2,2,81.295,85.282,81.295,82.581
20,2,2,80.576,85.281,80.576,82.013
21,2,2,82.014,86.426,82.014,83.329
22,2,2,84.173,87.076,84.173,85.027
23,2,2,85.612,87.604,85.612,86.152
24,2,2,86.331,88.913,86.331,87.08
25,2,2,87.05,89.174,87.05,87.683
26,2,2,88.489,89.788,88.489,88.844
27,2,2,87.77,89.475,87.77,88.229
28,2,2,88.489,90.159,88.489,88.996
29,2,2,89.209,90.47,89.209,89.602
30,2,2,89.209,90.458,89.209,89.642
31,2,2,89.209,90.458,89.209,89.642
32,2,2,88.489,89.769,88.489,88.892
33,2,2,88.489,89.442,88.489,88.757
34,2,2,88.489,89.442,88.489,88.757
35,2,2,87.77,89.096,87.77,88.138
36,2,2,88.489,89.442,88.489,88.757
37,2,2,88.489,89.172,88.489,88.64
38,2,2,87.77,88.531,87.77,87.894
39,2,2,88.489,89.205,88.489,88.59
40,2,2,88.489,89.748,88.489,88.928
41,2,2,88.489,89.442,88.489,88.757
42,2,2,89.209,89.562,89.209,89.003
43,2,2,88.489,89.06,88.489,88.411
44,2,2,88.489,89.297,88.489,88.456
45,2,2,88.489,89.297,88.489,88.456
46,2,2,87.77,89.336,87.77,88.008
47,2,2,86.331,88.053,86.331,86.643
48,2,2,85.612,88.639,85.612,86.606
49,2,2,86.331,88.877,86.331,87.19
50,2,2,85.612,89.287,85.612,86.809
0,5,0,79.856,78.445,79.856,78.269
1,5,0,83.453,82.855,83.453,82.869
2,5,0,86.331,86.243,86.331,86.127
3,5,0,87.05,86.93,87.05,86.458
4,5,0,85.612,84.734,85.612,84.374
5,5,0,87.05,86.453,87.05,86.04
6,5,0,88.489,88.887,88.489,88.417
7,5,0,87.77,88.044,87.77,87.714
8,5,0,88.489,89.045,88.489,88.574
9,5,0,89.209,89.518,89.209,89.229
10,5,0,92.086,91.843,92.086,91.88
11,5,0,92.086,91.843,92.086,91.88
12,5,0,91.367,91.168,91.367,91.18
13,5,0,91.367,91.168,91.367,91.18
14,5,0,92.086,92.019,92.086,91.97
15,5,0,91.367,91.369,91.367,91.248
16,5,0,92.806,92.755,92.806,92.663
17,5,0,92.806,92.842,92.806,92.544
18,5,0,93.525,93.579,93.525,93.365
19,5,0,93.525,93.536,93.525,93.356
20,5,0,93.525,93.536,93.525,93.356
0,5,1,80.576,79.128,80.576,79.471
1,5,1,84.173,85.226,84.173,84.597
2,5,1,87.77,87.398,87.77,87.437
3,5,1,86.331,88.191,86.331,86.953
4,5,1,90.647,91.391,90.647,90.912
5,5,1,90.647,91.124,90.647,90.819
6,5,1,92.806,92.974,92.806,92.875
7,5,1,92.806,93.354,92.806,92.967
8,5,1,91.367,93.034,91.367,91.856
9,5,1,91.367,92.594,91.367,91.707
10,5,1,92.806,94.728,92.806,93.306
11,5,1,92.806,94.728,92.806,93.306
12,5,1,92.806,94.264,92.806,93.158
13,5,1,93.525,94.583,93.525,93.756
14,5,1,93.525,94.221,93.525,93.679
15,5,1,94.245,94.662,94.245,94.332
16,5,1,94.245,94.958,94.245,94.397
17,5,1,94.964,95.385,94.964,95.05
18,5,1,94.245,94.662,94.245,94.332
19,5,1,89.209,90.304,89.209,88.933
20,5,1,93.525,94.596,93.525,93.781
0,5,2,75.54,74.059,75.54,74.086
1,5,2,80.576,80.888,80.576,80.724
2,5,2,80.576,80.827,80.576,80.692
3,5,2,77.698,80.171,77.698,78.574
4,5,2,75.54,81.538,75.54,76.94
5,5,2,74.82,80.956,74.82,76.04
6,5,2,76.259,80.085,76.259,76.989
7,5,2,78.417,82.024,78.417,79.167
8,5,2,78.417,84.109,78.417,80.16
9,5,2,80.576,85.286,80.576,82.142
10,5,2,83.453,86.818,83.453,84.569
11,5,2,83.453,86.818,83.453,84.569
12,5,2,85.612,88.235,85.612,86.299
13,5,2,84.892,87.343,84.892,85.583
14,5,2,84.173,87.3,84.173,84.982
15,5,2,84.173,87.3,84.173,84.982
16,5,2,83.453,87.095,83.453,84.266
17,5,2,85.612,88.235,85.612,86.299
18,5,2,83.453,87.095,83.453,84.266
19,5,2,83.453,87.095,83.453,84.266
20,5,2,86.331,88.498,86.331,86.911
0,10,0,79.856,78.445,79.856,78.269
1,10,0,79.856,78.566,79.856,78.147
2,10,0,83.453,87.189,83.453,84.581
3,10,0,84.173,86.337,84.173,84.861
4,10,0,79.856,82.63,79.856,80.246
5,10,0,84.173,86.337,84.173,84.861
6,10,0,85.612,87.313,85.612,86.164
7,10,0,87.05,88.669,87.05,87.507
8,10,0,87.05,88.217,87.05,87.473
9,10,0,87.05,88.02,87.05,87.425
10,10,0,87.77,88.975,87.77,88.193
0,10,1,80.576,79.128,80.576,79.471
1,10,1,85.612,85.353,85.612,85.461
2,10,1,85.612,90.832,85.612,87.051
3,10,1,82.734,90.499,82.734,84.986
4,10,1,87.77,90.941,87.77,88.619
5,10,1,88.489,92.871,88.489,89.709
6,10,1,84.892,89.732,84.892,86.301
7,10,1,84.173,90.108,84.173,85.947
8,10,1,89.928,91.268,89.928,90.324
9,10,1,90.647,92.096,90.647,90.999
10,10,1,92.806,93.859,92.806,93.059
0,10,2,75.54,74.059,75.54,74.086
1,10,2,80.576,79.616,80.576,79.494
2,10,2,74.82,83.964,74.82,77.812
3,10,2,77.698,84.604,77.698,79.71
4,10,2,84.173,87.554,84.173,85.083
5,10,2,85.612,88.702,85.612,86.552
6,10,2,88.489,90.783,88.489,89.196
7,10,2,87.77,90.521,87.77,88.647
8,10,2,82.734,88.544,82.734,84.442
9,10,2,87.05,89.156,87.05,87.736
10,10,2,85.612,88.235,85.612,86.299
0,25,0,79.856,78.445,79.856,78.269
1,25,0,79.137,80.024,79.137,78.472
2,25,0,73.381,77.617,73.381,72.227
3,25,0,87.05,88.141,87.05,87.147
4,25,0,86.331,86.8,86.331,86.487
0,25,1,80.576,79.128,80.576,79.471
1,25,1,85.612,89.972,85.612,86.957
2,25,1,84.892,93.725,84.892,87.53
3,25,1,91.367,94.391,91.367,92.191
4,25,1,91.367,91.932,91.367,91.557
0,25,2,75.54,74.059,75.54,74.086
1,25,2,78.417,84.881,78.417,80.134
2,25,2,76.978,85.908,76.978,79.833
3,25,2,83.453,87.318,83.453,84.64
4,25,2,81.295,87.999,81.295,83.636
