iter,step,fold,acc,prec,rec,f1score
0,2,0,79.856,78.445,79.856,78.269
1,2,0,79.856,78.663,79.856,78.301
2,2,0,79.856,78.663,79.856,78.301
3,2,0,81.295,80.729,81.295,79.595
4,2,0,81.295,80.729,81.295,79.595
5,2,0,82.014,82.191,82.014,81.793
6,2,0,82.014,82.191,82.014,81.793
7,2,0,82.014,81.259,82.014,81.416
8,2,0,82.014,81.259,82.014,81.416
9,2,0,81.295,79.821,81.295,80.171
10,2,0,81.295,79.821,81.295,80.171
11,2,0,81.295,79.93,81.295,80.065
12,2,0,81.295,79.93,81.295,80.065
13,2,0,83.453,82.429,83.453,82.436
14,2,0,83.453,82.429,83.453,82.436
15,2,0,84.892,84.697,84.892,84.776
16,2,0,84.892,84.697,84.892,84.776
17,2,0,84.173,86.371,84.173,84.92
18,2,0,84.173,86.371,84.173,84.92
19,2,0,85.612,86.555,85.612,85.951
20,2,0,85.612,86.555,85.612,85.951
21,2,0,83.453,84.465,83.453,83.855
22,2,0,83.453,84.465,83.453,83.855
23,2,0,83.453,84.465,83.453,83.855
24,2,0,83.453,84.465,83.453,83.855
25,2,0,84.892,85.053,84.892,84.952
26,2,0,84.892,85.053,84.892,84.952
27,2,0,84.892,85.053,84.892,84.952
28,2,0,84.892,85.053,84.892,84.952
29,2,0,84.892,85.969,84.892,85.271
30,2,0,84.892,85.969,84.892,85.271
31,2,0,83.453,84.659,83.453,83.91
32,2,0,83.453,84.659,83.453,83.91
33,2,0,84.173,85.571,84.173,84.658
34,2,0,84.173,85.571,84.173,84.658
35,2,0,87.05,87.334,87.05,87.136
36,2,0,87.05,87.334,87.05,87.136
37,2,0,87.77,88.075,87.77,87.885
38,2,0,87.77,88.075,87.77,87.885
39,2,0,87.05,87.596,87.05,87.258
40,2,0,87.05,87.596,87.05,87.258
41,2,0,87.77,87.731,87.77,87.745
42,2,0,87.77,87.731,87.77,87.745
43,2,0,87.77,87.731,87.77,87.745
44,2,0,87.77,87.731,87.77,87.745
45,2,0,87.77,87.731,87.77,87.745
46,2,0,87.77,87.731,87.77,87.745
47,2,0,87.05,86.987,87.05,86.996
48,2,0,87.05,86.987,87.05,86.996
49,2,0,87.77,87.731,87.77,87.745
50,2,0,87.77,87.731,87.77,87.745
0,2,1,80.576,79.128,80.576,79.471
1,2,1,81.295,79.893,81.295,80.212
2,2,1,81.295,79.893,81.295,80.212
3,2,1,81.295,80.098,81.295,80.009
4,2,1,81.295,80.098,81.295,80.009
5,2,1,84.892,83.951,84.892,83.458
6,2,1,84.892,83.951,84.892,83.458
7,2,1,82.734,81.89,82.734,81.35
8,2,1,82.734,81.89,82.734,81.35
9,2,1,83.453,82.596,83.453,82.0
10,2,1,83.453,82.596,83.453,82.0
11,2,1,84.892,83.983,84.892,83.411
12,2,1,84.892,83.983,84.892,83.411
13,2,1,86.331,84.271,86.331,84.253
14,2,1,86.331,84.271,86.331,84.253
15,2,1,87.77,87.374,87.77,87.514
16,2,1,87.77,87.374,87.77,87.514
17,2,1,89.209,90.025,89.209,89.511
18,2,1,89.209,90.025,89.209,89.511
19,2,1,88.489,91.597,88.489,89.453
20,2,1,88.489,91.597,88.489,89.453
21,2,1,88.489,90.717,88.489,89.143
22,2,1,88.489,90.717,88.489,89.143
23,2,1,88.489,90.02,88.489,89.006
24,2,1,88.489,90.02,88.489,89.006
25,2,1,86.331,88.519,86.331,87.126
26,2,1,86.331,88.519,86.331,87.126
27,2,1,86.331,88.919,86.331,87.291
28,2,1,86.331,88.919,86.331,87.291
29,2,1,87.77,91.405,87.77,88.903
30,2,1,87.77,91.405,87.77,88.903
31,2,1,87.77,91.405,87.77,88.903
32,2,1,84.892,85.911,84.892,84.878
33,2,1,83.453,85.073,83.453,83.398
34,2,1,83.453,85.073,83.453,83.398
35,2,1,86.331,87.469,86.331,86.369
36,2,1,86.331,87.469,86.331,86.369
37,2,1,83.453,85.811,83.453,83.371
38,2,1,83.453,85.811,83.453,83.371
39,2,1,83.453,86.573,83.453,83.382
40,2,1,83.453,86.573,83.453,83.382
41,2,1,82.734,84.827,82.734,82.665
42,2,1,82.734,84.827,82.734,82.665
43,2,1,84.173,84.999,84.173,83.859
44,2,1,84.173,84.999,84.173,83.859
45,2,1,85.612,86.351,85.612,85.173
46,2,1,85.612,86.351,85.612,85.173
47,2,1,84.173,85.841,84.173,84.161
48,2,1,84.173,85.841,84.173,84.161
49,2,1,84.173,86.125,84.173,84.067
50,2,1,84.173,86.125,84.173,84.067
0,2,2,75.54,74.059,75.54,74.086
1,2,2,76.259,74.636,76.259,74.659
2,2,2,76.259,74.636,76.259,74.659
3,2,2,80.576,80.143,80.576,78.396
4,2,2,80.576,80.143,80.576,78.396
5,2,2,75.54,75.134,75.54,75.331
6,2,2,75.54,75.134,75.54,75.331
7,2,2,76.978,75.342,76.978,76.052
8,2,2,76.978,75.342,76.978,76.052
9,2,2,76.259,74.174,76.259,74.971
10,2,2,76.259,74.174,76.259,74.971
11,2,2,77.698,74.946,77.698,75.405
12,2,2,77.698,74.946,77.698,75.405
13,2,2,76.978,76.374,76.978,75.585
14,2,2,76.978,76.374,76.978,75.585
15,2,2,77.698,75.773,77.698,75.757
16,2,2,77.698,75.773,77.698,75.757
17,2,2,79.856,77.694,79.856,77.622
18,2,2,79.856,77.694,79.856,77.622
19,2,2,79.137,81.272,79.137,79.186
20,2,2,79.137,81.272,79.137,79.186
21,2,2,82.014,82.883,82.014,81.6
22,2,2,82.014,82.883,82.014,81.6
23,2,2,82.014,82.946,82.014,81.485
24,2,2,82.014,82.946,82.014,81.485
25,2,2,84.173,84.818,84.173,83.469
26,2,2,84.173,84.818,84.173,83.469
27,2,2,83.453,82.737,83.453,82.49
28,2,2,83.453,82.737,83.453,82.49
29,2,2,82.734,81.47,82.734,81.813
30,2,2,82.734,81.47,82.734,81.813
31,2,2,84.173,82.97,84.173,83.101
32,2,2,84.173,82.97,84.173,83.101
33,2,2,85.612,84.621,85.612,84.423
34,2,2,85.612,84.621,85.612,84.423
35,2,2,84.173,83.909,84.173,82.935
36,2,2,84.173,83.909,84.173,82.935
37,2,2,87.05,86.223,87.05,85.794
38,2,2,87.05,86.405,87.05,85.194
39,2,2,87.05,86.405,87.05,85.194
40,2,2,87.05,86.405,87.05,85.194
41,2,2,85.612,84.509,85.612,84.635
42,2,2,85.612,84.509,85.612,84.635
43,2,2,85.612,84.509,85.612,84.635
44,2,2,85.612,84.509,85.612,84.635
45,2,2,84.173,83.312,84.173,83.313
46,2,2,84.173,83.312,84.173,83.313
47,2,2,84.892,83.901,84.892,83.907
48,2,2,84.892,83.901,84.892,83.907
49,2,2,87.05,86.249,87.05,85.743
50,2,2,87.05,86.249,87.05,85.743
0,5,0,79.856,78.445,79.856,78.269
1,5,0,82.014,81.529,82.014,81.207
2,5,0,82.014,81.529,82.014,81.207
3,5,0,87.77,87.708,87.77,87.621
4,5,0,87.77,87.708,87.77,87.621
5,5,0,85.612,85.531,85.612,85.399
6,5,0,85.612,85.531,85.612,85.399
7,5,0,86.331,86.458,86.331,86.314
8,5,0,86.331,86.458,86.331,86.314
9,5,0,79.856,79.978,79.856,79.686
10,5,0,79.856,79.978,79.856,79.686
11,5,0,81.295,81.632,81.295,81.062
12,5,0,81.295,81.632,81.295,81.062
13,5,0,83.453,83.986,83.453,83.183
14,5,0,83.453,83.986,83.453,83.183
15,5,0,82.734,83.083,82.734,82.382
16,5,0,82.734,83.083,82.734,82.382
17,5,0,82.734,83.083,82.734,82.382
18,5,0,82.734,83.083,82.734,82.382
19,5,0,83.453,83.995,83.453,83.069
20,5,0,83.453,83.995,83.453,83.069
0,5,1,80.576,79.128,80.576,79.471
1,5,1,84.173,85.226,84.173,84.597
2,5,1,84.173,85.226,84.173,84.597
3,5,1,83.453,84.263,83.453,83.646
4,5,1,83.453,84.263,83.453,83.646
5,5,1,82.014,86.299,82.014,83.246
6,5,1,82.014,86.299,82.014,83.246
7,5,1,78.417,87.167,78.417,80.366
8,5,1,78.417,87.167,78.417,80.366
9,5,1,79.856,88.205,79.856,82.147
10,5,1,79.856,88.205,79.856,82.147
11,5,1,82.734,86.627,82.734,83.969
12,5,1,82.734,86.627,82.734,83.969
13,5,1,89.209,91.804,89.209,90.007
14,5,1,89.209,91.804,89.209,90.007
15,5,1,87.77,89.659,87.77,88.406
16,5,1,87.77,89.659,87.77,88.406
17,5,1,90.647,91.912,90.647,91.024
18,5,1,90.647,91.912,90.647,91.024
19,5,1,89.209,90.824,89.209,89.687
20,5,1,89.209,90.824,89.209,89.687
0,5,2,75.54,74.059,75.54,74.086
1,5,2,80.576,80.888,80.576,80.724
2,5,2,80.576,80.888,80.576,80.724
3,5,2,80.576,79.693,80.576,79.673
4,5,2,80.576,79.693,80.576,79.673
5,5,2,84.892,84.278,84.892,84.078
6,5,2,84.892,84.278,84.892,84.078
7,5,2,81.295,83.293,81.295,79.635
8,5,2,81.295,83.293,81.295,79.635
9,5,2,83.453,85.607,83.453,81.793
10,5,2,83.453,85.607,83.453,81.793
11,5,2,84.892,84.746,84.892,84.603
12,5,2,84.892,84.746,84.892,84.603
13,5,2,85.612,86.806,85.612,84.721
14,5,2,85.612,86.806,85.612,84.721
15,5,2,82.014,84.692,82.014,82.948
16,5,2,82.014,84.692,82.014,82.948
17,5,2,84.173,85.039,84.173,84.53
18,5,2,84.173,85.039,84.173,84.53
19,5,2,84.892,86.773,84.892,85.592
20,5,2,84.892,86.773,84.892,85.592
0,10,0,79.856,78.445,79.856,78.269
1,10,0,82.014,80.512,82.014,80.306
2,10,0,82.014,80.512,82.014,80.306
3,10,0,88.489,88.879,88.489,88.55
4,10,0,88.489,88.879,88.489,88.55
5,10,0,87.77,88.397,87.77,87.882
6,10,0,87.77,88.397,87.77,87.882
7,10,0,87.05,86.951,87.05,86.883
8,10,0,87.05,86.951,87.05,86.883
9,10,0,87.77,88.315,87.77,87.935
10,10,0,87.77,88.315,87.77,87.935
0,10,1,80.576,79.128,80.576,79.471
1,10,1,85.612,85.109,85.612,85.309
2,10,1,85.612,85.109,85.612,85.309
3,10,1,84.173,86.977,84.173,85.107
4,10,1,84.173,86.977,84.173,85.107
5,10,1,87.05,89.405,87.05,87.836
6,10,1,87.05,89.405,87.05,87.836
7,10,1,87.77,91.482,87.77,88.789
8,10,1,87.77,91.482,87.77,88.789
9,10,1,90.647,92.944,90.647,91.247
10,10,1,90.647,92.944,90.647,91.247
0,10,2,75.54,74.059,75.54,74.086
1,10,2,80.576,79.616,80.576,79.494
2,10,2,80.576,79.616,80.576,79.494
3,10,2,73.381,77.375,73.381,74.704
4,10,2,73.381,77.375,73.381,74.704
5,10,2,80.576,82.61,80.576,80.961
6,10,2,80.576,82.61,80.576,80.961
7,10,2,82.014,84.476,82.014,82.87
8,10,2,82.014,84.476,82.014,82.87
9,10,2,77.698,83.199,77.698,79.266
10,10,2,77.698,83.199,77.698,79.266
0,25,0,79.856,78.445,79.856,78.269
1,25,0,82.734,82.405,82.734,82.36
2,25,0,82.734,82.405,82.734,82.36
3,25,0,89.209,89.924,89.209,89.213
4,25,0,89.209,89.924,89.209,89.213
0,25,1,80.576,79.128,80.576,79.471
1,25,1,84.892,88.573,84.892,86.097
2,25,1,84.892,88.573,84.892,86.097
3,25,1,90.647,92.972,90.647,91.264
4,25,1,90.647,92.972,90.647,91.264
0,25,2,75.54,74.059,75.54,74.086
1,25,2,74.82,83.169,74.82,76.906
2,25,2,74.82,83.169,74.82,76.906
3,25,2,81.295,85.741,81.295,82.535
4,25,2,81.295,85.741,81.295,82.535
