iter,step,fold,acc,prec,rec,f1score
0,2,0,79.856,78.445,79.856,78.269
1,2,0,82.734,82.603,82.734,82.503
2,2,0,77.698,78.109,77.698,77.254
3,2,0,76.978,77.995,76.978,76.758
4,2,0,67.626,72.05,67.626,64.849
5,2,0,71.942,75.693,71.942,70.675
6,2,0,64.029,72.399,64.029,61.699
7,2,0,66.906,74.179,66.906,66.58
8,2,0,60.432,69.901,60.432,57.967
9,2,0,59.712,69.596,59.712,57.45
10,2,0,64.748,70.052,64.748,60.051
11,2,0,66.187,71.504,66.187,62.132
12,2,0,64.748,70.341,64.748,60.557
13,2,0,66.906,72.109,66.906,63.66
14,2,0,65.468,70.983,65.468,61.272
15,2,0,65.468,70.983,65.468,61.272
16,2,0,64.748,70.642,64.748,60.425
17,2,0,65.468,71.226,65.468,61.483
18,2,0,64.748,70.642,64.748,60.425
19,2,0,65.468,71.226,65.468,61.483
20,2,0,61.871,71.19,61.871,59.17
21,2,0,63.309,72.387,63.309,61.299
22,2,0,58.273,72.483,58.273,59.85
23,2,0,60.432,75.077,60.432,62.831
24,2,0,53.237,75.323,53.237,56.635
25,2,0,56.835,76.662,56.835,60.525
26,2,0,46.763,78.912,46.763,51.0
27,2,0,46.043,78.712,46.043,50.337
28,2,0,46.763,80.286,46.763,51.324
29,2,0,46.763,80.325,46.763,51.394
30,2,0,51.799,81.605,51.799,56.672
31,2,0,51.799,81.605,51.799,56.672
32,2,0,48.921,84.018,48.921,54.107
33,2,0,52.518,80.566,52.518,57.091
34,2,0,44.604,83.248,44.604,49.343
35,2,0,46.043,84.952,46.043,51.069
36,2,0,46.043,83.58,46.043,50.818
37,2,0,44.604,83.333,44.604,48.888
38,2,0,43.165,85.513,43.165,46.985
39,2,0,42.446,85.728,42.446,45.529
40,2,0,37.41,86.794,37.41,38.7
41,2,0,43.885,85.544,43.885,47.907
42,2,0,36.691,88.276,36.691,38.237
43,2,0,38.129,88.326,38.129,39.68
