iter,step,fold,acc,prec,rec,f1score
0,2,0,79.856,78.445,79.856,78.269
1,2,0,80.576,80.675,80.576,80.113
2,2,0,82.734,82.268,82.734,82.425
3,2,0,82.734,82.268,82.734,82.425
4,2,0,82.734,84.848,82.734,83.443
5,2,0,82.734,85.102,82.734,83.453
6,2,0,82.734,85.233,82.734,83.551
7,2,0,84.173,85.789,84.173,84.683
8,2,0,85.612,86.371,85.612,85.855
9,2,0,84.173,86.534,84.173,84.908
10,2,0,82.014,85.602,82.014,83.101
11,2,0,79.856,83.595,79.856,81.045
12,2,0,78.417,83.221,78.417,79.785
13,2,0,78.417,83.221,78.417,79.785
14,2,0,79.137,83.486,79.137,80.39
15,2,0,79.856,83.76,79.856,80.995
16,2,0,83.453,85.399,83.453,84.05
17,2,0,82.734,85.053,82.734,83.43
18,2,0,81.295,84.341,81.295,82.202
19,2,0,81.295,83.705,81.295,82.079
20,2,0,82.014,84.041,82.014,82.679
21,2,0,82.014,84.041,82.014,82.679
22,2,0,81.295,83.111,81.295,81.934
23,2,0,82.014,83.475,82.014,82.531
24,2,0,82.014,84.052,82.014,82.67
25,2,0,82.014,84.052,82.014,82.67
26,2,0,82.014,84.052,82.014,82.67
27,2,0,82.734,84.966,82.734,83.398
28,2,0,82.734,85.562,82.734,83.505
29,2,0,82.014,84.631,82.014,82.793
30,2,0,80.576,84.004,80.576,81.586
31,2,0,80.576,84.044,80.576,81.598
32,2,0,80.576,84.044,80.576,81.598
33,2,0,81.295,84.957,81.295,82.289
34,2,0,81.295,84.957,81.295,82.289
35,2,0,81.295,84.957,81.295,82.289
36,2,0,80.576,85.237,80.576,81.848
37,2,0,81.295,86.239,81.295,82.539
38,2,0,81.295,86.239,81.295,82.539
39,2,0,80.576,85.237,80.576,81.848
40,2,0,80.576,85.237,80.576,81.848
41,2,0,80.576,85.237,80.576,81.848
42,2,0,80.576,84.585,80.576,81.763
43,2,0,80.576,84.585,80.576,81.763
44,2,0,80.576,84.585,80.576,81.763
45,2,0,80.576,84.585,80.576,81.763
46,2,0,81.295,84.857,81.295,82.361
47,2,0,81.295,84.857,81.295,82.361
48,2,0,81.295,84.857,81.295,82.361
49,2,0,81.295,84.857,81.295,82.361
50,2,0,81.295,84.857,81.295,82.361
0,2,1,80.576,79.128,80.576,79.471
1,2,1,82.734,81.944,82.734,81.316
2,2,1,80.576,80.008,80.576,79.131
3,2,1,79.856,79.44,79.856,79.383
4,2,1,76.259,76.233,76.259,75.771
5,2,1,74.101,73.9,74.101,72.971
6,2,1,81.295,80.82,81.295,80.702
7,2,1,79.856,79.131,79.856,78.944
8,2,1,81.295,83.637,81.295,82.005
9,2,1,77.698,79.725,77.698,78.024
10,2,1,76.259,81.767,76.259,77.418
11,2,1,75.54,81.37,75.54,76.877
12,2,1,76.259,81.08,76.259,77.306
13,2,1,77.698,83.218,77.698,79.102
14,2,1,77.698,83.218,77.698,79.102
15,2,1,77.698,83.218,77.698,79.102
16,2,1,72.662,83.413,72.662,75.694
17,2,1,72.662,83.413,72.662,75.694
18,2,1,75.54,84.706,75.54,78.148
19,2,1,76.259,84.862,76.259,78.702
20,2,1,74.101,86.194,74.101,77.562
21,2,1,72.662,84.155,72.662,75.961
22,2,1,73.381,86.161,73.381,76.955
23,2,1,71.942,86.377,71.942,75.751
24,2,1,74.101,86.844,74.101,77.801
25,2,1,74.101,85.944,74.101,77.555
26,2,1,75.54,86.182,75.54,78.65
27,2,1,74.82,85.277,74.82,77.848
28,2,1,77.698,88.33,77.698,80.776
29,2,1,77.698,88.33,77.698,80.776
30,2,1,75.54,88.116,75.54,79.055
31,2,1,75.54,88.116,75.54,79.055
32,2,1,74.101,86.736,74.101,77.426
33,2,1,72.662,86.466,72.662,76.339
34,2,1,74.101,87.873,74.101,77.981
35,2,1,73.381,87.63,73.381,77.113
