iter,step,fold,acc,prec,rec,f1score
0,2,0,80.576,70.541,80.576,74.672
1,2,0,81.295,70.424,81.295,75.18
2,2,0,81.295,70.424,81.295,75.18
3,2,0,81.295,70.974,81.295,75.326
4,2,0,81.295,70.204,81.295,75.122
5,2,0,81.295,70.204,81.295,75.122
6,2,0,81.295,70.204,81.295,75.122
7,2,0,80.576,70.224,80.576,74.591
8,2,0,82.014,70.909,82.014,75.834
9,2,0,82.014,85.24,82.014,76.819
10,2,0,82.014,85.24,82.014,76.819
11,2,0,80.576,69.946,80.576,74.521
12,2,0,81.295,70.204,81.295,75.122
13,2,0,82.014,84.957,82.014,77.618
14,2,0,82.734,85.677,82.734,78.338
15,2,0,79.856,69.474,79.856,73.857
16,2,0,79.856,69.474,79.856,73.857
17,2,0,81.295,84.52,81.295,76.1
18,2,0,82.014,85.18,82.014,77.672
19,2,0,79.856,69.775,79.856,73.93
20,2,0,79.856,69.775,79.856,73.93
21,2,0,80.576,84.018,80.576,75.43
22,2,0,80.576,84.018,80.576,75.43
23,2,0,80.576,84.018,80.576,75.43
24,2,0,80.576,84.018,80.576,75.43
25,2,0,81.295,84.52,81.295,76.1
26,2,0,81.295,84.52,81.295,76.1
27,2,0,81.295,84.324,81.295,76.053
28,2,0,81.295,84.324,81.295,76.053
29,2,0,82.014,85.029,82.014,76.765
30,2,0,82.014,85.029,82.014,76.765
31,2,0,80.576,69.704,80.576,74.46
32,2,0,81.295,70.019,81.295,75.074
33,2,0,80.576,69.704,80.576,74.46
34,2,0,80.576,69.704,80.576,74.46
35,2,0,81.295,84.324,81.295,76.053
36,2,0,81.295,84.324,81.295,76.053
37,2,0,81.295,84.324,81.295,76.053
38,2,0,80.576,83.801,80.576,75.381
39,2,0,81.295,70.499,81.295,75.146
40,2,0,80.576,69.704,80.576,74.46
41,2,0,81.295,70.771,81.295,75.213
42,2,0,80.576,83.752,80.576,75.415
43,2,0,81.295,70.771,81.295,75.213
44,2,0,81.295,70.771,81.295,75.213
45,2,0,80.576,69.704,80.576,74.46
46,2,0,80.576,69.704,80.576,74.46
47,2,0,80.576,69.704,80.576,74.46
48,2,0,80.576,69.704,80.576,74.46
49,2,0,79.856,70.507,79.856,74.27
50,2,0,79.856,70.507,79.856,74.27
51,2,0,80.576,70.364,80.576,74.787
52,2,0,80.576,70.364,80.576,74.787
53,2,0,80.576,70.942,80.576,74.932
54,2,0,80.576,70.942,80.576,74.932
55,2,0,80.576,69.704,80.576,74.46
56,2,0,80.576,69.704,80.576,74.46
57,2,0,81.295,70.019,81.295,75.074
58,2,0,81.295,70.019,81.295,75.074
59,2,0,79.856,69.211,79.856,73.794
60,2,0,80.576,70.224,80.576,74.591
61,2,0,79.856,69.775,79.856,73.93
62,2,0,79.856,69.775,79.856,73.93
63,2,0,80.576,69.704,80.576,74.46
64,2,0,80.576,69.704,80.576,74.46
65,2,0,79.856,70.507,79.856,74.27
66,2,0,79.856,70.507,79.856,74.27
67,2,0,80.576,69.704,80.576,74.46
68,2,0,80.576,69.704,80.576,74.46
69,2,0,79.856,69.775,79.856,73.93
70,2,0,79.856,69.775,79.856,73.93
71,2,0,80.576,70.224,80.576,74.591
72,2,0,81.295,70.851,81.295,75.449
73,2,0,80.576,70.633,80.576,74.854
74,2,0,81.295,70.424,81.295,75.18
75,2,0,81.295,70.019,81.295,75.074
76,2,0,81.295,70.204,81.295,75.122
77,2,0,82.014,70.909,82.014,75.834
78,2,0,82.014,85.24,82.014,76.819
79,2,0,82.734,86.325,82.734,77.584
80,2,0,82.014,85.24,82.014,76.819
81,2,0,82.014,85.575,82.014,76.85
82,2,0,81.295,77.763,81.295,76.31
83,2,0,82.734,71.475,82.734,76.468
84,2,0,81.295,70.923,81.295,75.416
85,2,0,80.576,69.946,80.576,74.521
86,2,0,80.576,70.224,80.576,74.591
87,2,0,81.295,84.52,81.295,76.1
88,2,0,80.576,69.704,80.576,74.46
89,2,0,80.576,69.704,80.576,74.46
90,2,0,80.576,69.704,80.576,74.46
91,2,0,80.576,70.364,80.576,74.787
92,2,0,80.576,70.364,80.576,74.787
93,2,0,80.576,69.704,80.576,74.46
94,2,0,80.576,70.364,80.576,74.787
95,2,0,81.295,77.763,81.295,76.31
96,2,0,80.576,77.251,80.576,75.637
97,2,0,81.295,80.321,81.295,77.157
98,2,0,81.295,77.763,81.295,76.31
99,2,0,80.576,84.018,80.576,75.43
100,2,0,80.576,84.018,80.576,75.43
0,2,1,85.612,80.155,85.612,82.41
1,2,1,85.612,80.433,85.612,82.668
2,2,1,85.612,80.433,85.612,82.668
3,2,1,86.331,80.705,86.331,83.12
4,2,1,85.612,87.05,85.612,83.255
5,2,1,86.331,80.498,86.331,83.084
6,2,1,87.05,81.082,87.05,83.792
7,2,1,85.612,80.155,85.612,82.41
8,2,1,85.612,80.155,85.612,82.41
9,2,1,86.331,80.705,86.331,83.12
10,2,1,86.331,80.705,86.331,83.12
11,2,1,85.612,79.924,85.612,82.371
12,2,1,85.612,79.924,85.612,82.371
13,2,1,85.612,80.155,85.612,82.41
14,2,1,85.612,80.155,85.612,82.41
15,2,1,87.05,81.263,87.05,83.826
16,2,1,87.05,81.263,87.05,83.826
17,2,1,84.892,79.358,84.892,81.653
18,2,1,84.892,79.358,84.892,81.653
19,2,1,86.331,81.451,86.331,83.46
20,2,1,86.331,81.451,86.331,83.46
21,2,1,86.331,80.705,86.331,83.12
22,2,1,86.331,80.705,86.331,83.12
23,2,1,84.173,78.799,84.173,80.93
24,2,1,87.05,81.263,87.05,83.826
25,2,1,85.612,80.433,85.612,82.668
26,2,1,85.612,80.433,85.612,82.668
27,2,1,86.331,87.311,86.331,83.937
28,2,1,86.331,87.311,86.331,83.937
29,2,1,85.612,79.961,85.612,82.31
30,2,1,85.612,79.961,85.612,82.31
31,2,1,85.612,80.654,85.612,82.703
32,2,1,85.612,81.163,85.612,83.0
33,2,1,85.612,81.163,85.612,83.0
34,2,1,85.612,81.163,85.612,83.0
35,2,1,86.331,80.705,86.331,83.12
36,2,1,86.331,80.705,86.331,83.12
37,2,1,87.05,81.315,87.05,83.78
38,2,1,87.05,81.263,87.05,83.826
39,2,1,88.489,82.183,88.489,85.179
40,2,1,87.05,81.082,87.05,83.792
41,2,1,85.612,79.924,85.612,82.371
42,2,1,85.612,79.924,85.612,82.371
43,2,1,84.892,79.358,84.892,81.653
44,2,1,85.612,80.654,85.612,82.703
45,2,1,87.05,81.263,87.05,83.826
46,2,1,86.331,81.521,86.331,83.405
47,2,1,85.612,80.211,85.612,82.347
48,2,1,87.05,81.115,87.05,83.748
49,2,1,87.05,81.556,87.05,83.823
50,2,1,87.05,81.556,87.05,83.823
51,2,1,85.612,80.155,85.612,82.41
52,2,1,85.612,80.155,85.612,82.41
53,2,1,84.173,78.754,84.173,80.997
54,2,1,84.173,78.754,84.173,80.997
55,2,1,86.331,80.333,86.331,83.059
56,2,1,86.331,80.458,86.331,83.124
57,2,1,85.612,79.924,85.612,82.371
58,2,1,85.612,79.924,85.612,82.371
59,2,1,85.612,80.654,85.612,82.703
60,2,1,85.612,80.654,85.612,82.703
61,2,1,86.331,80.705,86.331,83.12
62,2,1,87.77,81.674,87.77,84.496
63,2,1,88.489,82.276,88.489,85.195
64,2,1,88.489,82.276,88.489,85.195
65,2,1,87.05,81.082,87.05,83.792
66,2,1,87.05,81.082,87.05,83.792
67,2,1,86.331,80.458,86.331,83.124
68,2,1,86.331,80.458,86.331,83.124
69,2,1,87.05,81.043,87.05,83.824
70,2,1,85.612,80.155,85.612,82.41
71,2,1,84.892,79.314,84.892,81.711
72,2,1,84.892,79.314,84.892,81.711
73,2,1,86.331,80.498,86.331,83.084
74,2,1,86.331,80.498,86.331,83.084
75,2,1,87.77,82.218,87.77,84.804
76,2,1,87.05,81.082,87.05,83.792
77,2,1,89.209,87.308,89.209,87.042
78,2,1,87.77,82.218,87.77,84.804
79,2,1,84.892,79.614,84.892,81.694
80,2,1,84.892,79.614,84.892,81.694
81,2,1,85.612,80.506,85.612,82.394
82,2,1,85.612,80.155,85.612,82.41
83,2,1,85.612,79.924,85.612,82.371
84,2,1,85.612,87.05,85.612,83.255
85,2,1,85.612,79.924,85.612,82.371
86,2,1,85.612,79.924,85.612,82.371
87,2,1,84.892,79.358,84.892,81.653
88,2,1,84.892,79.358,84.892,81.653
89,2,1,87.77,81.879,87.77,84.49
90,2,1,86.331,84.551,86.331,84.168
91,2,1,85.612,80.433,85.612,82.668
92,2,1,85.612,80.433,85.612,82.668
93,2,1,86.331,87.628,86.331,83.976
94,2,1,84.892,79.358,84.892,81.653
95,2,1,84.892,79.358,84.892,81.653
96,2,1,84.892,79.358,84.892,81.653
97,2,1,84.892,80.102,84.892,81.984
98,2,1,85.612,83.042,85.612,83.914
99,2,1,84.892,80.601,84.892,82.278
100,2,1,85.612,84.198,85.612,83.477
0,2,2,82.734,76.618,82.734,78.726
1,2,2,81.295,74.918,81.295,77.167
2,2,2,81.295,74.918,81.295,77.167
3,2,2,82.014,76.579,82.014,78.283
4,2,2,82.014,76.579,82.014,78.283
5,2,2,82.734,75.946,82.734,78.609
6,2,2,82.734,75.946,82.734,78.609
7,2,2,82.734,75.946,82.734,78.609
8,2,2,82.734,76.618,82.734,78.726
9,2,2,82.014,76.153,82.014,78.012
10,2,2,82.014,75.768,82.014,77.947
11,2,2,82.734,76.26,82.734,78.662
12,2,2,82.014,76.153,82.014,78.012
13,2,2,82.734,76.618,82.734,78.726
14,2,2,83.453,76.759,83.453,79.372
15,2,2,82.014,75.768,82.014,77.947
16,2,2,82.014,75.768,82.014,77.947
17,2,2,81.295,75.694,81.295,77.293
18,2,2,81.295,75.694,81.295,77.293
19,2,2,81.295,76.154,81.295,77.371
20,2,2,81.295,76.154,81.295,77.371
21,2,2,82.734,75.946,82.734,78.609
22,2,2,82.734,75.946,82.734,78.609
23,2,2,80.576,75.242,80.576,76.566
24,2,2,81.295,76.111,81.295,77.56
25,2,2,82.014,76.579,82.014,78.283
26,2,2,82.014,76.579,82.014,78.283
27,2,2,81.295,76.563,81.295,77.635
28,2,2,82.014,76.153,82.014,78.012
29,2,2,80.576,76.068,80.576,77.098
30,2,2,80.576,76.068,80.576,77.098
31,2,2,82.014,76.203,82.014,78.22
32,2,2,82.734,76.618,82.734,78.726
33,2,2,81.295,75.694,81.295,77.293
34,2,2,82.014,75.768,82.014,77.947
35,2,2,81.295,75.694,81.295,77.293
36,2,2,82.014,75.768,82.014,77.947
37,2,2,82.734,85.556,82.734,79.556
