iter,step,fold,acc,prec,rec,f1score
0,2,0,80.576,70.541,80.576,74.672
1,2,0,80.576,69.499,80.576,74.41
2,2,0,80.576,69.499,80.576,74.41
3,2,0,83.453,85.862,83.453,80.354
4,2,0,83.453,85.862,83.453,80.354
5,2,0,86.331,86.526,86.331,84.213
6,2,0,86.331,86.526,86.331,84.213
7,2,0,87.05,87.122,87.05,85.271
8,2,0,87.05,87.122,87.05,85.271
9,2,0,88.489,88.649,88.489,87.341
10,2,0,88.489,88.649,88.489,87.341
11,2,0,89.209,89.35,89.209,88.306
12,2,0,87.77,87.933,87.77,86.336
13,2,0,89.928,90.095,89.928,89.243
14,2,0,88.489,88.191,88.489,87.631
15,2,0,89.928,90.159,89.928,89.018
16,2,0,91.367,91.692,91.367,90.696
17,2,0,90.647,90.796,90.647,89.694
18,2,0,90.647,90.796,90.647,89.694
19,2,0,89.928,90.123,89.928,88.443
20,2,0,89.928,90.123,89.928,88.443
21,2,0,90.647,91.006,90.647,89.943
22,2,0,90.647,91.006,90.647,89.943
23,2,0,92.086,92.108,92.086,91.325
24,2,0,92.086,92.108,92.086,91.325
25,2,0,90.647,90.707,90.647,89.68
26,2,0,90.647,90.707,90.647,89.68
27,2,0,89.928,89.991,89.928,88.412
28,2,0,89.928,89.991,89.928,88.412
29,2,0,91.367,91.349,91.367,90.381
30,2,0,89.928,89.939,89.928,88.718
31,2,0,89.209,88.678,89.209,88.065
32,2,0,89.209,88.678,89.209,88.065
33,2,0,94.245,94.569,94.245,93.801
34,2,0,94.245,94.569,94.245,93.801
35,2,0,91.367,91.176,91.367,91.015
36,2,0,91.367,91.176,91.367,91.015
37,2,0,91.367,91.242,91.367,91.141
38,2,0,91.367,91.242,91.367,91.141
39,2,0,93.525,93.476,93.525,93.264
40,2,0,93.525,93.476,93.525,93.264
41,2,0,92.806,92.876,92.806,92.239
42,2,0,92.806,92.876,92.806,92.239
43,2,0,94.245,94.331,94.245,93.962
44,2,0,94.964,95.125,94.964,94.798
45,2,0,94.245,94.523,94.245,94.091
46,2,0,94.245,94.523,94.245,94.091
47,2,0,93.525,93.476,93.525,93.264
48,2,0,93.525,93.476,93.525,93.264
49,2,0,92.806,92.802,92.806,92.226
50,2,0,93.525,93.5,93.525,93.098
51,2,0,94.964,95.125,94.964,94.798
52,2,0,94.964,95.125,94.964,94.798
53,2,0,93.525,93.66,93.525,93.126
54,2,0,93.525,93.66,93.525,93.126
55,2,0,94.245,94.228,94.245,93.956
56,2,0,94.245,94.228,94.245,93.956
57,2,0,94.245,94.331,94.245,93.962
58,2,0,94.245,94.331,94.245,93.962
59,2,0,94.245,94.338,94.245,94.08
60,2,0,94.245,94.11,94.245,93.976
61,2,0,93.525,93.579,93.525,93.365
62,2,0,93.525,93.579,93.525,93.365
63,2,0,93.525,93.476,93.525,93.264
64,2,0,94.245,94.331,94.245,94.095
65,2,0,92.806,92.753,92.806,92.433
66,2,0,93.525,93.66,93.525,93.126
67,2,0,94.245,94.331,94.245,93.962
68,2,0,94.245,94.331,94.245,93.962
69,2,0,94.964,95.009,94.964,94.775
70,2,0,94.964,95.009,94.964,94.775
71,2,0,94.245,94.04,94.245,93.965
72,2,0,93.525,93.5,93.525,93.098
73,2,0,94.964,95.009,94.964,94.775
74,2,0,94.245,94.109,94.245,94.078
75,2,0,94.245,94.2,94.245,94.072
76,2,0,94.245,94.2,94.245,94.072
77,2,0,94.245,94.331,94.245,93.962
78,2,0,93.525,93.476,93.525,93.264
79,2,0,94.964,95.009,94.964,94.775
80,2,0,94.964,95.009,94.964,94.775
81,2,0,94.245,94.245,94.245,93.947
82,2,0,94.245,94.245,94.245,93.947
83,2,0,94.964,95.009,94.964,94.775
84,2,0,94.964,95.009,94.964,94.775
85,2,0,94.964,95.009,94.964,94.775
86,2,0,94.964,95.009,94.964,94.775
87,2,0,94.245,94.245,94.245,93.947
88,2,0,94.245,94.245,94.245,93.947
89,2,0,94.245,94.2,94.245,94.072
90,2,0,94.245,94.2,94.245,94.072
91,2,0,93.525,93.375,93.525,93.249
92,2,0,93.525,93.375,93.525,93.249
93,2,0,93.525,93.375,93.525,93.249
94,2,0,93.525,93.375,93.525,93.249
95,2,0,94.245,94.331,94.245,94.095
96,2,0,94.245,94.331,94.245,94.095
97,2,0,94.964,95.009,94.964,94.775
98,2,0,94.964,95.009,94.964,94.775
99,2,0,94.964,95.125,94.964,94.798
100,2,0,94.964,95.125,94.964,94.798
0,2,1,85.612,80.155,85.612,82.41
1,2,1,87.77,81.674,87.77,84.496
2,2,1,87.77,81.674,87.77,84.496
3,2,1,89.928,83.633,89.928,86.591
4,2,1,89.209,82.888,89.209,85.891
5,2,1,90.647,84.239,90.647,87.284
6,2,1,90.647,84.403,90.647,87.293
7,2,1,91.367,92.082,91.367,89.646
8,2,1,91.367,92.082,91.367,89.646
9,2,1,91.367,92.156,91.367,88.917
10,2,1,90.647,89.528,90.647,89.055
11,2,1,92.086,92.56,92.086,90.87
12,2,1,92.086,92.56,92.086,90.87
13,2,1,91.367,92.3,91.367,89.655
14,2,1,92.086,92.727,92.086,90.327
15,2,1,91.367,91.994,91.367,89.6
16,2,1,91.367,91.994,91.367,89.6
17,2,1,94.245,94.494,94.245,93.922
18,2,1,94.245,94.494,94.245,93.922
19,2,1,93.525,94.016,93.525,93.012
20,2,1,93.525,94.016,93.525,93.012
21,2,1,94.964,95.04,94.964,94.875
22,2,1,94.964,95.04,94.964,94.875
23,2,1,94.964,94.9,94.964,94.851
24,2,1,96.403,96.514,96.403,96.33
25,2,1,96.403,96.514,96.403,96.33
26,2,1,97.122,97.188,97.122,97.052
27,2,1,97.122,97.188,97.122,97.052
28,2,1,95.683,95.871,95.683,95.52
29,2,1,95.683,95.615,95.683,95.531
30,2,1,95.683,95.615,95.683,95.531
31,2,1,96.403,96.529,96.403,96.238
32,2,1,96.403,96.529,96.403,96.238
33,2,1,97.122,97.188,97.122,97.052
34,2,1,97.122,97.188,97.122,97.052
35,2,1,96.403,96.529,96.403,96.238
36,2,1,96.403,96.529,96.403,96.238
37,2,1,97.842,97.878,97.842,97.771
38,2,1,97.842,97.878,97.842,97.771
39,2,1,97.122,97.064,97.122,97.064
40,2,1,97.122,97.064,97.122,97.064
41,2,1,96.403,96.374,96.403,96.338
42,2,1,96.403,96.374,96.403,96.338
43,2,1,95.683,95.824,95.683,95.36
44,2,1,95.683,95.718,95.683,95.649
45,2,1,97.122,97.064,97.122,97.064
46,2,1,97.122,97.064,97.122,97.064
47,2,1,97.842,97.863,97.842,97.821
48,2,1,97.842,97.863,97.842,97.821
49,2,1,97.122,97.141,97.122,97.11
50,2,1,97.122,97.141,97.122,97.11
51,2,1,97.122,97.168,97.122,97.06
52,2,1,97.122,97.168,97.122,97.06
53,2,1,97.842,97.878,97.842,97.771
54,2,1,97.842,97.878,97.842,97.771
55,2,1,96.403,96.289,96.403,96.253
56,2,1,96.403,96.289,96.403,96.253
57,2,1,96.403,96.363,96.403,96.354
58,2,1,96.403,96.363,96.403,96.354
59,2,1,96.403,96.457,96.403,96.341
60,2,1,96.403,96.341,96.403,96.353
61,2,1,97.842,97.878,97.842,97.771
62,2,1,97.842,97.878,97.842,97.771
63,2,1,97.122,97.186,97.122,96.951
64,2,1,97.122,97.07,97.122,97.076
65,2,1,97.122,97.158,97.122,97.051
66,2,1,97.122,97.158,97.122,97.051
67,2,1,97.842,97.879,97.842,97.775
68,2,1,97.842,97.879,97.842,97.775
69,2,1,97.122,97.194,97.122,97.124
70,2,1,97.122,97.194,97.122,97.124
71,2,1,97.842,97.863,97.842,97.821
72,2,1,97.842,97.863,97.842,97.821
73,2,1,97.122,97.141,97.122,97.126
74,2,1,97.122,97.141,97.122,97.126
75,2,1,97.842,97.836,97.842,97.833
76,2,1,97.842,97.836,97.842,97.833
77,2,1,97.842,97.869,97.842,97.833
78,2,1,97.842,97.869,97.842,97.833
79,2,1,97.842,97.836,97.842,97.833
80,2,1,97.842,97.836,97.842,97.833
81,2,1,98.561,98.57,98.561,98.545
82,2,1,98.561,98.57,98.561,98.545
83,2,1,97.122,97.188,97.122,97.052
84,2,1,96.403,96.374,96.403,96.338
85,2,1,97.122,97.158,97.122,97.051
86,2,1,97.122,97.158,97.122,97.051
87,2,1,97.122,97.168,97.122,97.06
88,2,1,97.122,97.158,97.122,97.051
89,2,1,98.561,98.57,98.561,98.545
90,2,1,97.122,97.168,97.122,97.06
91,2,1,97.842,97.863,97.842,97.821
92,2,1,98.561,98.57,98.561,98.545
93,2,1,97.122,97.188,97.122,97.052
94,2,1,98.561,98.57,98.561,98.545
95,2,1,98.561,98.57,98.561,98.545
96,2,1,98.561,98.57,98.561,98.545
97,2,1,98.561,98.615,98.561,98.554
98,2,1,98.561,98.615,98.561,98.554
99,2,1,97.842,97.878,97.842,97.771
100,2,1,97.842,97.878,97.842,97.771
0,2,2,82.734,76.618,82.734,78.726
1,2,2,82.734,76.618,82.734,78.726
2,2,2,82.734,76.26,82.734,78.662
3,2,2,84.173,77.265,84.173,80.077
4,2,2,83.453,76.759,83.453,79.372
5,2,2,82.014,75.768,82.014,77.947
6,2,2,82.014,75.768,82.014,77.947
7,2,2,82.014,77.112,82.014,78.258
8,2,2,82.734,76.329,82.734,78.577
9,2,2,84.892,87.823,84.892,81.749
10,2,2,83.453,78.447,83.453,79.778
11,2,2,86.331,88.714,86.331,84.944
12,2,2,84.892,85.895,84.892,83.116
13,2,2,87.77,87.582,87.77,86.514
14,2,2,87.77,88.326,87.77,86.434
15,2,2,86.331,87.246,86.331,84.632
16,2,2,86.331,87.246,86.331,84.632
17,2,2,87.05,86.804,87.05,85.191
18,2,2,88.489,88.583,88.489,87.105
19,2,2,89.209,89.214,89.209,88.146
20,2,2,90.647,91.24,90.647,90.295
21,2,2,90.647,91.552,90.647,89.878
22,2,2,90.647,91.552,90.647,89.878
23,2,2,90.647,91.552,90.647,89.878
24,2,2,90.647,91.552,90.647,89.878
25,2,2,90.647,90.601,90.647,89.874
26,2,2,90.647,90.601,90.647,89.874
27,2,2,89.928,90.593,89.928,89.157
28,2,2,91.367,91.808,91.367,90.834
29,2,2,92.806,93.247,92.806,92.577
30,2,2,91.367,91.937,91.367,90.809
31,2,2,92.086,92.208,92.086,91.726
32,2,2,92.806,93.097,92.806,92.6
33,2,2,93.525,93.619,93.525,93.449
34,2,2,91.367,91.808,91.367,90.834
35,2,2,91.367,91.63,91.367,91.153
36,2,2,91.367,91.63,91.367,91.153
37,2,2,92.086,91.904,92.086,91.539
38,2,2,90.647,90.505,90.647,90.122
39,2,2,90.647,90.549,90.647,90.331
40,2,2,90.647,90.463,90.647,90.459
41,2,2,91.367,91.291,91.367,91.182
42,2,2,91.367,91.291,91.367,91.182
43,2,2,91.367,90.912,91.367,90.9
44,2,2,92.086,91.975,92.086,91.707
45,2,2,92.086,91.984,92.086,91.87
46,2,2,92.086,91.984,92.086,91.87
47,2,2,92.806,92.99,92.806,92.601
48,2,2,92.806,92.99,92.806,92.601
49,2,2,92.806,92.723,92.806,92.441
