iter,step,fold,acc,prec,rec,f1score
0,2,0,80.576,70.541,80.576,74.672
1,2,0,79.856,69.474,79.856,73.857
2,2,0,79.856,69.474,79.856,73.857
3,2,0,80.576,69.946,80.576,74.521
4,2,0,80.576,69.946,80.576,74.521
5,2,0,83.453,86.846,83.453,79.061
6,2,0,83.453,86.846,83.453,79.061
7,2,0,80.576,70.224,80.576,74.591
8,2,0,82.734,86.762,82.734,77.626
9,2,0,81.295,71.558,81.295,75.328
10,2,0,82.014,86.341,82.014,76.959
11,2,0,82.014,72.359,82.014,76.086
12,2,0,82.014,72.359,82.014,76.086
13,2,0,82.014,71.97,82.014,75.992
14,2,0,82.014,71.97,82.014,75.992
15,2,0,82.014,71.97,82.014,75.992
16,2,0,82.014,85.44,82.014,77.736
17,2,0,81.295,84.752,81.295,76.157
18,2,0,81.295,84.752,81.295,76.157
19,2,0,80.576,70.224,80.576,74.591
20,2,0,81.295,84.752,81.295,76.157
21,2,0,80.576,70.316,80.576,74.548
22,2,0,80.576,70.316,80.576,74.548
23,2,0,81.295,70.771,81.295,75.213
24,2,0,81.295,70.771,81.295,75.213
25,2,0,79.856,69.474,79.856,73.857
26,2,0,80.576,70.224,80.576,74.591
27,2,0,80.576,70.316,80.576,74.548
28,2,0,80.576,70.316,80.576,74.548
29,2,0,82.014,71.233,82.014,75.873
30,2,0,82.734,71.475,82.734,76.468
31,2,0,82.734,79.98,82.734,77.83
32,2,0,82.734,79.98,82.734,77.83
33,2,0,80.576,70.364,80.576,74.787
34,2,0,80.576,70.364,80.576,74.787
35,2,0,81.295,78.245,81.295,76.428
36,2,0,81.295,78.245,81.295,76.428
37,2,0,82.734,79.555,82.734,77.792
38,2,0,82.734,86.19,82.734,78.47
39,2,0,80.576,70.364,80.576,74.787
40,2,0,82.734,79.98,82.734,77.83
41,2,0,83.453,80.418,83.453,78.496
42,2,0,83.453,82.687,83.453,79.334
43,2,0,82.014,80.609,82.014,77.781
44,2,0,82.014,80.609,82.014,77.781
45,2,0,84.173,86.969,84.173,79.695
46,2,0,84.173,87.214,84.173,79.759
47,2,0,81.295,77.985,81.295,76.364
48,2,0,83.453,86.182,83.453,78.999
49,2,0,83.453,82.387,83.453,79.259
50,2,0,82.014,78.805,82.014,77.057
51,2,0,82.014,72.374,82.014,76.255
52,2,0,82.014,72.374,82.014,76.255
53,2,0,83.453,86.606,83.453,78.143
54,2,0,83.453,86.606,83.453,78.143
55,2,0,84.173,80.586,84.173,79.085
56,2,0,84.173,80.586,84.173,79.085
57,2,0,82.734,85.914,82.734,78.399
58,2,0,82.014,78.72,82.014,77.091
59,2,0,82.734,81.138,82.734,78.453
60,2,0,82.734,81.138,82.734,78.453
61,2,0,83.453,86.48,83.453,79.032
62,2,0,83.453,86.48,83.453,79.032
63,2,0,84.892,88.043,84.892,81.215
64,2,0,84.892,88.043,84.892,81.215
65,2,0,83.453,86.749,83.453,79.1
66,2,0,84.173,86.969,84.173,79.695
67,2,0,83.453,86.124,83.453,79.751
68,2,0,83.453,86.124,83.453,79.751
69,2,0,81.295,70.204,81.295,75.122
70,2,0,82.734,81.328,82.734,78.5
71,2,0,82.014,85.086,82.014,76.733
72,2,0,81.295,84.752,81.295,76.157
73,2,0,81.295,84.752,81.295,76.157
74,2,0,81.295,84.752,81.295,76.157
75,2,0,82.734,85.806,82.734,77.453
76,2,0,82.014,84.855,82.014,76.721
77,2,0,83.453,86.07,83.453,78.082
78,2,0,82.734,71.224,82.734,76.432
79,2,0,83.453,71.974,83.453,77.122
80,2,0,83.453,71.974,83.453,77.122
81,2,0,84.173,86.816,84.173,78.772
82,2,0,84.173,86.816,84.173,78.772
83,2,0,82.014,70.546,82.014,75.734
84,2,0,82.734,85.734,82.734,77.477
85,2,0,84.892,86.982,84.892,80.236
86,2,0,84.892,86.982,84.892,80.236
87,2,0,82.734,85.546,82.734,77.426
88,2,0,83.453,86.07,83.453,78.082
89,2,0,82.734,71.401,82.734,76.484
90,2,0,82.014,70.71,82.014,75.779
91,2,0,82.734,71.401,82.734,76.484
92,2,0,82.734,71.401,82.734,76.484
93,2,0,82.734,85.392,82.734,77.384
94,2,0,82.734,85.392,82.734,77.384
95,2,0,82.014,70.983,82.014,75.809
96,2,0,82.734,71.08,82.734,76.39
97,2,0,82.734,71.224,82.734,76.432
98,2,0,82.734,71.224,82.734,76.432
99,2,0,82.734,71.475,82.734,76.468
100,2,0,82.734,71.475,82.734,76.468
0,2,1,85.612,80.155,85.612,82.41
1,2,1,85.612,79.924,85.612,82.371
2,2,1,84.173,78.799,84.173,80.93
3,2,1,87.05,85.332,87.05,84.917
4,2,1,89.209,87.106,89.209,87.041
5,2,1,88.489,89.413,88.489,86.112
6,2,1,88.489,89.413,88.489,86.112
7,2,1,87.05,88.408,87.05,84.725
8,2,1,87.05,88.408,87.05,84.725
9,2,1,85.612,83.963,85.612,83.443
10,2,1,86.331,87.848,86.331,84.011
11,2,1,86.331,87.848,86.331,84.011
12,2,1,86.331,87.848,86.331,84.011
13,2,1,87.05,88.213,87.05,84.693
14,2,1,87.05,88.213,87.05,84.693
15,2,1,87.77,88.978,87.77,85.434
16,2,1,87.77,88.978,87.77,85.434
17,2,1,88.489,89.308,88.489,86.095
18,2,1,87.05,88.213,87.05,84.693
19,2,1,88.489,85.759,88.489,86.502
20,2,1,88.489,85.759,88.489,86.502
21,2,1,87.77,85.756,87.77,85.603
22,2,1,87.05,88.059,87.05,84.671
23,2,1,87.77,85.955,87.77,85.585
24,2,1,87.05,88.059,87.05,84.671
25,2,1,89.209,90.027,89.209,86.815
26,2,1,88.489,89.413,88.489,86.112
27,2,1,89.209,88.261,89.209,87.663
28,2,1,89.209,88.261,89.209,87.663
29,2,1,89.209,90.102,89.209,87.536
30,2,1,89.209,90.102,89.209,87.536
31,2,1,89.928,90.597,89.928,88.22
32,2,1,89.928,90.597,89.928,88.22
33,2,1,89.928,90.597,89.928,88.22
34,2,1,89.928,90.597,89.928,88.22
35,2,1,91.367,91.833,91.367,90.169
36,2,1,89.209,89.878,89.209,87.501
37,2,1,90.647,91.274,90.647,89.477
38,2,1,90.647,91.274,90.647,89.477
39,2,1,89.928,90.53,89.928,88.211
40,2,1,89.928,90.53,89.928,88.211
41,2,1,90.647,91.236,90.647,88.923
42,2,1,90.647,91.236,90.647,88.923
43,2,1,90.647,91.274,90.647,89.477
44,2,1,90.647,91.236,90.647,88.923
45,2,1,89.928,90.597,89.928,87.505
46,2,1,89.928,90.597,89.928,87.505
47,2,1,90.647,91.317,90.647,88.94
48,2,1,90.647,91.317,90.647,88.94
49,2,1,89.928,90.515,89.928,88.225
50,2,1,89.928,90.515,89.928,88.225
51,2,1,90.647,91.258,90.647,88.204
52,2,1,90.647,91.258,90.647,88.204
53,2,1,89.928,90.53,89.928,88.211
54,2,1,89.928,90.653,89.928,87.514
55,2,1,89.928,90.653,89.928,87.514
56,2,1,89.928,90.653,89.928,87.514
57,2,1,92.086,92.56,92.086,90.87
58,2,1,90.647,91.236,90.647,88.923
59,2,1,91.367,91.887,91.367,89.623
60,2,1,91.367,91.887,91.367,89.623
61,2,1,89.928,90.704,89.928,88.24
62,2,1,90.647,91.358,90.647,88.227
63,2,1,91.367,91.806,91.367,90.167
64,2,1,90.647,91.194,90.647,88.918
65,2,1,90.647,91.236,90.647,88.923
66,2,1,90.647,91.236,90.647,88.923
67,2,1,91.367,91.833,91.367,90.169
68,2,1,90.647,91.194,90.647,88.918
69,2,1,92.086,92.498,92.086,90.873
70,2,1,91.367,91.887,91.367,89.623
71,2,1,91.367,91.896,91.367,89.612
72,2,1,91.367,91.896,91.367,89.612
73,2,1,91.367,91.969,91.367,89.624
74,2,1,91.367,91.969,91.367,89.624
75,2,1,90.647,91.257,90.647,88.193
76,2,1,90.647,91.194,90.647,88.918
77,2,1,92.086,92.602,92.086,90.324
78,2,1,92.086,92.602,92.086,90.324
79,2,1,92.086,92.555,92.086,90.316
80,2,1,92.086,92.546,92.086,90.318
81,2,1,92.806,93.174,92.806,91.57
82,2,1,92.806,93.174,92.806,91.57
83,2,1,91.367,91.941,91.367,88.905
84,2,1,92.086,92.546,92.086,90.318
85,2,1,90.647,91.194,90.647,88.918
86,2,1,90.647,91.194,90.647,88.918
87,2,1,91.367,91.896,91.367,89.612
88,2,1,91.367,91.896,91.367,89.612
89,2,1,92.806,93.207,92.806,91.574
90,2,1,92.806,93.207,92.806,91.574
91,2,1,92.086,92.555,92.086,90.316
92,2,1,92.086,92.555,92.086,90.316
93,2,1,92.086,92.555,92.086,90.316
94,2,1,92.086,92.555,92.086,90.316
95,2,1,92.086,92.602,92.086,90.324
96,2,1,90.647,91.191,90.647,88.922
97,2,1,92.086,92.56,92.086,90.87
98,2,1,93.525,93.827,93.525,92.696
99,2,1,92.806,93.174,92.806,91.57
100,2,1,92.806,93.174,92.806,91.57
