iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,58.844,60.432,57.942
1,2,0,60.432,58.844,60.432,57.942
2,2,0,60.432,58.844,60.432,57.942
3,2,0,60.432,58.844,60.432,57.942
4,2,0,60.432,58.844,60.432,57.942
5,2,0,60.432,58.844,60.432,57.942
6,2,0,60.432,58.844,60.432,57.942
7,2,0,61.151,59.77,61.151,58.575
8,2,0,61.871,60.361,61.871,59.058
9,2,0,61.871,60.361,61.871,59.058
10,2,0,61.151,59.225,61.151,58.623
11,2,0,61.151,59.225,61.151,58.623
12,2,0,61.151,59.225,61.151,58.623
13,2,0,61.151,59.225,61.151,58.623
14,2,0,61.151,59.225,61.151,58.623
15,2,0,61.151,59.225,61.151,58.623
16,2,0,61.151,59.225,61.151,58.623
17,2,0,61.151,59.225,61.151,58.623
18,2,0,61.151,59.562,61.151,58.642
19,2,0,61.151,59.562,61.151,58.642
20,2,0,60.432,58.116,60.432,57.533
21,2,0,59.712,57.47,59.712,56.713
22,2,0,58.993,56.94,58.993,56.25
23,2,0,58.273,56.28,58.273,55.418
24,2,0,58.273,56.28,58.273,55.418
25,2,0,57.554,55.605,57.554,54.574
26,2,0,57.554,55.605,57.554,54.574
27,2,0,57.554,55.605,57.554,54.574
28,2,0,57.554,55.605,57.554,54.574
29,2,0,57.554,55.605,57.554,54.574
30,2,0,57.554,55.605,57.554,54.574
31,2,0,57.554,55.605,57.554,54.574
32,2,0,58.273,56.136,58.273,55.036
33,2,0,58.273,56.235,58.273,54.901
34,2,0,59.712,57.847,59.712,55.832
35,2,0,59.712,57.847,59.712,55.832
36,2,0,59.712,57.847,59.712,55.832
37,2,0,59.712,57.847,59.712,55.832
38,2,0,59.712,57.847,59.712,55.832
39,2,0,59.712,57.847,59.712,55.832
40,2,0,59.712,57.847,59.712,55.832
41,2,0,59.712,57.847,59.712,55.832
42,2,0,59.712,57.847,59.712,55.832
43,2,0,59.712,57.847,59.712,55.832
44,2,0,59.712,57.847,59.712,55.832
45,2,0,59.712,57.847,59.712,55.832
46,2,0,59.712,57.847,59.712,55.832
47,2,0,59.712,57.847,59.712,55.832
48,2,0,60.432,59.516,60.432,57.024
49,2,0,60.432,59.516,60.432,57.024
50,2,0,60.432,59.516,60.432,57.024
51,2,0,60.432,59.516,60.432,57.024
52,2,0,60.432,59.516,60.432,57.024
53,2,0,60.432,59.963,60.432,57.045
54,2,0,60.432,59.963,60.432,57.045
55,2,0,59.712,59.291,59.712,56.181
56,2,0,59.712,59.291,59.712,56.181
57,2,0,59.712,59.291,59.712,56.181
58,2,0,59.712,59.291,59.712,56.181
59,2,0,59.712,59.291,59.712,56.181
60,2,0,59.712,59.291,59.712,56.181
61,2,0,60.432,60.303,60.432,56.789
62,2,0,60.432,60.303,60.432,56.789
63,2,0,60.432,60.884,60.432,56.82
64,2,0,60.432,60.884,60.432,56.82
65,2,0,59.712,59.814,59.712,56.207
66,2,0,59.712,59.814,59.712,56.207
67,2,0,59.712,59.814,59.712,56.207
68,2,0,59.712,59.814,59.712,56.207
69,2,0,58.993,58.652,58.993,55.412
70,2,0,58.993,58.652,58.993,55.412
71,2,0,58.993,58.652,58.993,55.412
72,2,0,58.993,58.652,58.993,55.412
73,2,0,58.993,58.652,58.993,55.412
74,2,0,58.993,58.652,58.993,55.412
75,2,0,58.993,58.652,58.993,55.412
76,2,0,58.993,58.652,58.993,55.412
77,2,0,58.993,58.652,58.993,55.412
78,2,0,59.712,59.74,59.712,56.019
79,2,0,59.712,59.74,59.712,56.019
80,2,0,59.712,59.74,59.712,56.019
81,2,0,59.712,59.74,59.712,56.019
82,2,0,59.712,59.74,59.712,56.019
83,2,0,58.993,59.057,58.993,55.112
84,2,0,58.993,59.057,58.993,55.112
85,2,0,58.993,59.057,58.993,55.112
86,2,0,58.993,59.057,58.993,55.112
87,2,0,58.993,59.057,58.993,55.112
88,2,0,58.993,59.057,58.993,55.112
89,2,0,58.993,59.552,58.993,55.027
90,2,0,58.993,59.552,58.993,55.027
91,2,0,59.712,60.23,59.712,55.931
92,2,0,59.712,60.23,59.712,55.931
93,2,0,58.993,59.067,58.993,55.495
94,2,0,58.993,59.067,58.993,55.495
95,2,0,59.712,59.746,59.712,56.35
96,2,0,61.871,61.686,61.871,58.836
97,2,0,62.59,63.432,62.59,59.561
98,2,0,62.59,63.432,62.59,59.561
99,2,0,62.59,63.432,62.59,59.561
100,2,0,62.59,63.432,62.59,59.561
0,2,1,60.432,58.956,60.432,59.009
1,2,1,60.432,58.956,60.432,59.009
2,2,1,60.432,58.956,60.432,59.009
3,2,1,60.432,58.956,60.432,59.009
4,2,1,61.151,59.713,61.151,59.635
5,2,1,61.151,59.713,61.151,59.635
6,2,1,61.151,59.713,61.151,59.635
7,2,1,61.871,60.494,61.871,60.259
8,2,1,61.871,60.31,61.871,60.287
9,2,1,61.871,60.31,61.871,60.287
10,2,1,62.59,61.085,62.59,60.908
11,2,1,63.309,61.888,63.309,61.529
12,2,1,62.59,61.094,62.59,60.656
13,2,1,62.59,61.094,62.59,60.656
14,2,1,62.59,61.364,62.59,60.633
15,2,1,62.59,61.364,62.59,60.633
16,2,1,62.59,61.364,62.59,60.633
17,2,1,62.59,61.364,62.59,60.633
18,2,1,62.59,61.364,62.59,60.633
19,2,1,63.309,61.903,63.309,61.143
20,2,1,63.309,61.903,63.309,61.143
21,2,1,63.309,61.903,63.309,61.143
22,2,1,63.309,61.903,63.309,61.143
23,2,1,63.309,61.903,63.309,61.143
24,2,1,64.029,62.783,64.029,61.757
25,2,1,64.029,62.783,64.029,61.757
26,2,1,64.029,62.783,64.029,61.757
27,2,1,64.029,62.783,64.029,61.757
28,2,1,64.029,62.783,64.029,61.757
29,2,1,64.029,62.783,64.029,61.757
30,2,1,64.029,62.783,64.029,61.757
31,2,1,64.029,62.896,64.029,61.645
32,2,1,64.029,62.896,64.029,61.645
33,2,1,64.748,63.816,64.748,62.259
34,2,1,66.906,68.683,66.906,63.894
35,2,1,66.906,68.683,66.906,63.894
36,2,1,66.906,68.683,66.906,63.894
37,2,1,66.906,68.683,66.906,63.894
38,2,1,68.345,70.364,68.345,65.391
39,2,1,68.345,70.364,68.345,65.391
40,2,1,68.345,70.364,68.345,65.391
41,2,1,68.345,70.364,68.345,65.391
42,2,1,68.345,70.364,68.345,65.391
43,2,1,68.345,70.364,68.345,65.391
44,2,1,68.345,70.364,68.345,65.391
45,2,1,68.345,70.364,68.345,65.391
46,2,1,68.345,70.364,68.345,65.391
47,2,1,68.345,70.364,68.345,65.391
48,2,1,68.345,70.364,68.345,65.391
49,2,1,68.345,70.364,68.345,65.391
50,2,1,68.345,70.364,68.345,65.391
51,2,1,67.626,69.636,67.626,64.497
52,2,1,67.626,69.636,67.626,64.497
53,2,1,67.626,69.424,67.626,64.782
54,2,1,67.626,69.424,67.626,64.782
55,2,1,65.468,66.853,65.468,62.778
56,2,1,65.468,66.853,65.468,62.778
57,2,1,65.468,66.853,65.468,62.778
58,2,1,65.468,66.739,65.468,62.815
