iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,58.844,60.432,57.942
1,2,0,60.432,58.844,60.432,57.942
2,2,0,60.432,58.844,60.432,57.942
3,2,0,60.432,58.844,60.432,57.942
4,2,0,60.432,58.844,60.432,57.942
5,2,0,60.432,58.844,60.432,57.942
6,2,0,60.432,58.844,60.432,57.942
7,2,0,60.432,58.844,60.432,57.942
8,2,0,60.432,58.844,60.432,57.942
9,2,0,60.432,58.844,60.432,57.942
10,2,0,60.432,58.844,60.432,57.942
11,2,0,60.432,58.844,60.432,57.942
12,2,0,60.432,58.844,60.432,57.942
13,2,0,60.432,58.844,60.432,57.942
14,2,0,60.432,58.844,60.432,57.942
15,2,0,60.432,58.844,60.432,57.942
16,2,0,60.432,58.844,60.432,57.942
17,2,0,60.432,58.844,60.432,57.942
18,2,0,60.432,58.844,60.432,57.942
19,2,0,60.432,58.844,60.432,57.942
20,2,0,60.432,58.844,60.432,57.942
21,2,0,60.432,58.844,60.432,57.942
22,2,0,60.432,58.844,60.432,57.942
23,2,0,60.432,58.844,60.432,57.942
24,2,0,60.432,58.844,60.432,57.942
25,2,0,60.432,58.844,60.432,57.942
26,2,0,60.432,58.844,60.432,57.942
27,2,0,60.432,58.844,60.432,57.942
28,2,0,60.432,58.844,60.432,57.942
29,2,0,60.432,58.844,60.432,57.942
30,2,0,60.432,58.844,60.432,57.942
31,2,0,60.432,58.844,60.432,57.942
32,2,0,59.712,57.955,59.712,57.31
33,2,0,59.712,57.955,59.712,57.31
34,2,0,59.712,57.955,59.712,57.31
35,2,0,59.712,57.955,59.712,57.31
36,2,0,59.712,57.955,59.712,57.31
37,2,0,59.712,57.955,59.712,57.31
38,2,0,59.712,57.955,59.712,57.31
39,2,0,59.712,57.955,59.712,57.31
40,2,0,59.712,57.955,59.712,57.31
41,2,0,59.712,57.955,59.712,57.31
42,2,0,59.712,57.955,59.712,57.31
43,2,0,59.712,57.955,59.712,57.31
44,2,0,59.712,57.955,59.712,57.31
45,2,0,59.712,57.955,59.712,57.31
46,2,0,59.712,57.955,59.712,57.31
47,2,0,59.712,57.955,59.712,57.31
48,2,0,59.712,57.955,59.712,57.31
49,2,0,59.712,57.955,59.712,57.31
50,2,0,59.712,57.955,59.712,57.31
51,2,0,59.712,57.955,59.712,57.31
52,2,0,59.712,57.955,59.712,57.31
53,2,0,59.712,57.955,59.712,57.31
54,2,0,59.712,57.955,59.712,57.31
55,2,0,59.712,57.955,59.712,57.31
56,2,0,59.712,57.955,59.712,57.31
57,2,0,59.712,57.955,59.712,57.31
58,2,0,59.712,57.955,59.712,57.31
59,2,0,59.712,57.955,59.712,57.31
60,2,0,59.712,57.955,59.712,57.31
61,2,0,59.712,57.955,59.712,57.31
62,2,0,59.712,57.955,59.712,57.31
63,2,0,59.712,57.955,59.712,57.31
64,2,0,59.712,58.308,59.712,57.328
65,2,0,59.712,58.308,59.712,57.328
66,2,0,59.712,58.308,59.712,57.328
67,2,0,59.712,58.308,59.712,57.328
68,2,0,59.712,58.308,59.712,57.328
69,2,0,59.712,58.308,59.712,57.328
70,2,0,59.712,58.308,59.712,57.328
71,2,0,59.712,58.308,59.712,57.328
72,2,0,59.712,58.308,59.712,57.328
73,2,0,59.712,58.308,59.712,57.328
74,2,0,59.712,58.308,59.712,57.328
75,2,0,59.712,58.308,59.712,57.328
76,2,0,59.712,58.308,59.712,57.328
77,2,0,59.712,58.308,59.712,57.328
78,2,0,59.712,58.308,59.712,57.328
79,2,0,59.712,58.308,59.712,57.328
80,2,0,59.712,58.308,59.712,57.328
81,2,0,59.712,58.308,59.712,57.328
82,2,0,59.712,58.308,59.712,57.328
83,2,0,59.712,58.308,59.712,57.328
84,2,0,59.712,58.308,59.712,57.328
85,2,0,59.712,58.308,59.712,57.328
86,2,0,59.712,58.308,59.712,57.328
87,2,0,59.712,58.308,59.712,57.328
88,2,0,59.712,58.308,59.712,57.328
89,2,0,59.712,58.308,59.712,57.328
90,2,0,59.712,58.308,59.712,57.328
91,2,0,59.712,58.308,59.712,57.328
92,2,0,59.712,58.308,59.712,57.328
93,2,0,59.712,58.308,59.712,57.328
94,2,0,59.712,58.308,59.712,57.328
95,2,0,59.712,58.308,59.712,57.328
96,2,0,59.712,58.308,59.712,57.328
97,2,0,59.712,58.308,59.712,57.328
98,2,0,59.712,58.308,59.712,57.328
99,2,0,59.712,58.308,59.712,57.328
100,2,0,59.712,58.308,59.712,57.328
0,2,1,60.432,58.956,60.432,59.009
1,2,1,60.432,58.956,60.432,59.009
2,2,1,60.432,58.956,60.432,59.009
3,2,1,60.432,58.956,60.432,59.009
4,2,1,60.432,58.956,60.432,59.009
5,2,1,60.432,58.956,60.432,59.009
6,2,1,60.432,58.956,60.432,59.009
7,2,1,60.432,58.956,60.432,59.009
8,2,1,60.432,58.956,60.432,59.009
9,2,1,60.432,58.956,60.432,59.009
10,2,1,60.432,58.956,60.432,59.009
11,2,1,60.432,58.956,60.432,59.009
12,2,1,60.432,58.956,60.432,59.009
13,2,1,60.432,58.956,60.432,59.009
14,2,1,60.432,58.956,60.432,59.009
15,2,1,60.432,58.956,60.432,59.009
16,2,1,60.432,58.956,60.432,59.009
17,2,1,60.432,58.956,60.432,59.009
18,2,1,60.432,58.956,60.432,59.009
19,2,1,60.432,58.956,60.432,59.009
20,2,1,60.432,58.956,60.432,59.009
21,2,1,60.432,58.956,60.432,59.009
22,2,1,60.432,58.956,60.432,59.009
23,2,1,60.432,58.956,60.432,59.009
24,2,1,60.432,58.956,60.432,59.009
25,2,1,60.432,58.956,60.432,59.009
26,2,1,60.432,58.956,60.432,59.009
27,2,1,60.432,58.956,60.432,59.009
28,2,1,60.432,58.956,60.432,59.009
29,2,1,60.432,58.956,60.432,59.009
30,2,1,60.432,58.956,60.432,59.009
31,2,1,60.432,58.956,60.432,59.009
32,2,1,60.432,58.956,60.432,59.009
33,2,1,60.432,58.956,60.432,59.009
34,2,1,60.432,58.956,60.432,59.009
35,2,1,60.432,58.956,60.432,59.009
36,2,1,60.432,58.956,60.432,59.009
37,2,1,60.432,58.956,60.432,59.009
38,2,1,60.432,58.956,60.432,59.009
39,2,1,60.432,58.956,60.432,59.009
40,2,1,60.432,58.956,60.432,59.009
41,2,1,60.432,58.956,60.432,59.009
42,2,1,60.432,58.956,60.432,59.009
43,2,1,60.432,58.956,60.432,59.009
44,2,1,60.432,58.956,60.432,59.009
45,2,1,60.432,58.956,60.432,59.009
46,2,1,60.432,58.956,60.432,59.009
47,2,1,60.432,58.956,60.432,59.009
48,2,1,60.432,58.956,60.432,59.009
49,2,1,60.432,58.956,60.432,59.009
50,2,1,60.432,58.956,60.432,59.009
51,2,1,60.432,58.956,60.432,59.009
52,2,1,61.871,60.363,61.871,60.581
53,2,1,62.59,61.14,62.59,61.397
54,2,1,62.59,61.14,62.59,61.397
55,2,1,62.59,61.14,62.59,61.397
56,2,1,62.59,61.14,62.59,61.397
57,2,1,62.59,61.14,62.59,61.397
58,2,1,62.59,61.14,62.59,61.397
