iter,step,fold,acc,prec,rec,f1score
0,2,0,60.432,58.844,60.432,57.942
1,2,0,60.432,58.844,60.432,57.942
2,2,0,60.432,58.844,60.432,57.942
3,2,0,60.432,58.626,60.432,58.13
4,2,0,60.432,58.626,60.432,58.13
5,2,0,60.432,58.626,60.432,58.13
6,2,0,60.432,58.626,60.432,58.13
7,2,0,59.712,57.836,59.712,57.37
8,2,0,58.993,57.163,58.993,56.558
9,2,0,58.993,57.484,58.993,56.574
10,2,0,58.993,57.484,58.993,56.574
11,2,0,59.712,58.142,59.712,57.388
12,2,0,59.712,58.142,59.712,57.388
13,2,0,59.712,58.142,59.712,57.388
14,2,0,61.151,59.715,61.151,58.525
15,2,0,61.151,59.715,61.151,58.525
16,2,0,61.151,59.715,61.151,58.525
17,2,0,61.151,59.715,61.151,58.525
18,2,0,61.151,59.715,61.151,58.525
19,2,0,59.712,57.604,59.712,57.404
20,2,0,58.273,56.11,58.273,56.132
21,2,0,58.273,56.11,58.273,56.132
22,2,0,58.273,56.11,58.273,56.132
23,2,0,58.273,56.431,58.273,55.877
24,2,0,58.273,56.431,58.273,55.877
25,2,0,58.273,56.431,58.273,55.877
26,2,0,58.273,56.431,58.273,55.877
27,2,0,58.273,56.431,58.273,55.877
28,2,0,58.273,56.431,58.273,55.877
29,2,0,58.273,56.431,58.273,55.877
30,2,0,58.273,56.431,58.273,55.877
31,2,0,58.273,56.431,58.273,55.877
32,2,0,58.273,56.431,58.273,55.877
33,2,0,58.273,56.431,58.273,55.877
34,2,0,58.273,56.431,58.273,55.877
35,2,0,58.273,56.431,58.273,55.877
36,2,0,58.273,56.431,58.273,55.877
37,2,0,59.712,58.432,59.712,57.039
38,2,0,59.712,58.432,59.712,57.039
39,2,0,60.432,59.674,60.432,57.564
40,2,0,60.432,59.674,60.432,57.564
41,2,0,60.432,59.674,60.432,57.564
42,2,0,60.432,59.674,60.432,57.564
43,2,0,61.151,60.104,61.151,58.634
44,2,0,61.151,60.104,61.151,58.634
45,2,0,61.871,61.759,61.871,59.177
46,2,0,61.871,61.6,61.871,59.174
47,2,0,60.432,57.255,60.432,56.545
48,2,0,60.432,57.255,60.432,56.545
49,2,0,60.432,57.255,60.432,56.545
50,2,0,60.432,57.255,60.432,56.545
51,2,0,60.432,57.255,60.432,56.545
52,2,0,60.432,57.255,60.432,56.545
53,2,0,60.432,57.255,60.432,56.545
54,2,0,60.432,57.255,60.432,56.545
55,2,0,60.432,57.255,60.432,56.545
56,2,0,61.151,59.866,61.151,57.005
57,2,0,61.151,59.782,61.151,57.126
58,2,0,61.151,59.782,61.151,57.126
59,2,0,61.151,59.782,61.151,57.126
60,2,0,61.151,59.782,61.151,57.126
61,2,0,62.59,61.222,62.59,58.386
62,2,0,62.59,61.222,62.59,58.386
63,2,0,63.309,61.836,63.309,59.132
64,2,0,63.309,61.836,63.309,59.132
65,2,0,63.309,61.836,63.309,59.132
66,2,0,63.309,61.836,63.309,59.132
67,2,0,64.029,65.193,64.029,61.424
68,2,0,65.468,67.217,65.468,63.817
69,2,0,65.468,67.217,65.468,63.817
70,2,0,63.309,64.96,63.309,61.207
71,2,0,63.309,64.96,63.309,61.207
72,2,0,63.309,64.96,63.309,61.207
73,2,0,63.309,64.96,63.309,61.207
74,2,0,63.309,64.96,63.309,61.207
75,2,0,63.309,65.015,63.309,61.082
76,2,0,63.309,65.015,63.309,61.082
77,2,0,63.309,65.015,63.309,61.082
78,2,0,63.309,65.015,63.309,61.082
79,2,0,63.309,65.015,63.309,61.082
80,2,0,63.309,65.015,63.309,61.082
81,2,0,62.59,62.871,62.59,59.291
82,2,0,62.59,62.871,62.59,59.291
83,2,0,62.59,62.937,62.59,59.279
84,2,0,62.59,62.937,62.59,59.279
85,2,0,62.59,62.937,62.59,59.279
86,2,0,61.871,60.056,61.871,57.886
87,2,0,63.309,68.186,63.309,59.187
88,2,0,61.871,67.022,61.871,57.934
89,2,0,61.871,67.022,61.871,57.934
90,2,0,61.871,67.022,61.871,57.934
91,2,0,61.871,67.022,61.871,57.934
92,2,0,61.871,67.022,61.871,57.934
93,2,0,63.309,67.917,63.309,59.923
94,2,0,63.309,67.917,63.309,59.923
95,2,0,63.309,67.917,63.309,59.923
96,2,0,63.309,67.917,63.309,59.923
97,2,0,63.309,67.917,63.309,59.923
98,2,0,63.309,67.917,63.309,59.923
99,2,0,63.309,67.917,63.309,59.923
100,2,0,63.309,67.917,63.309,59.923
0,2,1,60.432,58.956,60.432,59.009
1,2,1,60.432,58.956,60.432,59.009
2,2,1,60.432,58.956,60.432,59.009
3,2,1,60.432,58.39,60.432,59.134
4,2,1,60.432,58.39,60.432,59.134
5,2,1,60.432,58.39,60.432,59.134
6,2,1,60.432,58.39,60.432,59.134
7,2,1,60.432,58.39,60.432,59.134
8,2,1,61.871,59.711,61.871,60.385
9,2,1,61.871,59.711,61.871,60.385
10,2,1,61.871,59.781,61.871,60.346
11,2,1,61.871,59.612,61.871,60.167
12,2,1,61.871,59.612,61.871,60.167
13,2,1,62.59,60.326,62.59,60.794
14,2,1,61.871,59.548,61.871,59.961
15,2,1,61.151,58.828,61.151,59.34
16,2,1,61.151,58.828,61.151,59.34
17,2,1,62.59,60.29,62.59,60.582
18,2,1,62.59,60.29,62.59,60.582
19,2,1,61.871,59.393,61.871,59.828
20,2,1,61.151,58.601,61.151,58.99
21,2,1,61.871,59.393,61.871,59.828
22,2,1,61.871,59.393,61.871,59.828
23,2,1,61.871,59.484,61.871,60.034
24,2,1,61.871,59.427,61.871,60.075
25,2,1,61.151,57.22,61.151,58.809
26,2,1,61.151,57.22,61.151,58.809
27,2,1,62.59,57.692,62.59,59.606
28,2,1,62.59,57.692,62.59,59.606
29,2,1,64.029,58.569,64.029,60.623
30,2,1,64.029,58.569,64.029,60.623
31,2,1,64.029,58.569,64.029,60.623
32,2,1,64.029,58.569,64.029,60.623
33,2,1,64.029,58.569,64.029,60.623
34,2,1,64.029,58.569,64.029,60.623
35,2,1,64.029,58.569,64.029,60.623
36,2,1,64.029,58.569,64.029,60.623
37,2,1,64.029,58.569,64.029,60.623
38,2,1,64.029,58.569,64.029,60.623
39,2,1,64.748,59.269,64.748,61.229
40,2,1,64.748,59.269,64.748,61.229
41,2,1,64.748,59.269,64.748,61.229
42,2,1,65.468,59.991,65.468,61.836
43,2,1,65.468,59.991,65.468,61.836
44,2,1,65.468,59.991,65.468,61.836
45,2,1,66.187,60.737,66.187,62.665
46,2,1,66.187,60.909,66.187,62.642
47,2,1,66.906,68.138,66.906,64.69
48,2,1,66.906,68.138,66.906,64.69
49,2,1,67.626,68.886,67.626,65.526
50,2,1,67.626,68.73,67.626,65.554
51,2,1,67.626,68.73,67.626,65.554
52,2,1,67.626,68.73,67.626,65.554
53,2,1,66.906,68.019,66.906,64.94
54,2,1,65.468,66.473,65.468,63.272
55,2,1,66.187,67.251,66.187,64.111
56,2,1,66.187,67.251,66.187,64.111
57,2,1,66.187,67.251,66.187,64.111
58,2,1,66.187,67.39,66.187,64.078
